# D P P-Pmin Pmax-P
1.000000e-06 1.487000e-02 2.363136e-04 2.391297e-04
1.467799e-06 1.471900e-02 2.351238e-04 2.379407e-04
2.154433e-06 1.447100e-02 2.331556e-04 2.359741e-04
3.162274e-06 1.429900e-02 2.317802e-04 2.345998e-04
4.641582e-06 1.406600e-02 2.299032e-04 2.327242e-04
6.812908e-06 1.388400e-02 2.284258e-04 2.312478e-04
9.999978e-06 1.359400e-02 2.260505e-04 2.288744e-04
1.467795e-05 1.342300e-02 2.246376e-04 2.274625e-04
2.154428e-05 1.309200e-02 2.218757e-04 2.247026e-04
3.162267e-05 1.277700e-02 2.192134e-04 2.220422e-04
4.641572e-05 1.254800e-02 2.172565e-04 2.200867e-04
6.812893e-05 1.228900e-02 2.150207e-04 2.178525e-04
9.999956e-05 1.212400e-02 2.135836e-04 2.164164e-04
1.467793e-04 1.188300e-02 2.114662e-04 2.143005e-04
2.154426e-04 1.164600e-02 2.093621e-04 2.121979e-04
3.162266e-04 1.131500e-02 2.063861e-04 2.092239e-04
4.641572e-04 1.114500e-02 2.048401e-04 2.076790e-04
6.812897e-04 1.093000e-02 2.028673e-04 2.057076e-04
9.999967e-04 1.056300e-02 1.994529e-04 2.022954e-04
1.467795e-03 9.751000e-03 1.916740e-04 1.945216e-04
2.154428e-03 8.385000e-03 1.777942e-04 1.806505e-04
3.162269e-03 6.310000e-03 1.542675e-04 1.571375e-04
4.641577e-03 3.653000e-03 1.173042e-04 1.201934e-04
6.812904e-03 1.831000e-03 8.284446e-05 8.575092e-05
1.000000e-02 8.130000e-04 5.491121e-05 5.783496e-05
