#./underdamped_3d --dev=2 --amp=4.818 --omega=4.028 --force=0.1 --gam=0.007 --Dg=0 --block=1024 --paths=1048576 --periods=250000 --trans=249750 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0:0.005:50:0 --domainy=a:4.818:4.818:1:0 --domainz=w:4.028:4.028:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-faw-D0-g0.007-a4.818-w4.028.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 4.818000e+00 4.028000e+00 1.950213e-03 4.645238e+00 2.141734e+00 2.409961e+11 3.089963e+05 2.001642e-01 1.458857e-01
1.000000e-04 4.818000e+00 4.028000e+00 -1.375214e-03 4.647041e+00 2.156989e+00 2.415304e+11 3.096783e+05 1.977260e-01 1.460141e-01
2.000000e-04 4.818000e+00 4.028000e+00 -1.807552e-02 4.643517e+00 2.158894e+00 2.405493e+11 3.084643e+05 2.018915e-01 1.458942e-01
3.000000e-04 4.818000e+00 4.028000e+00 -3.204494e-02 4.642601e+00 2.206580e+00 2.398627e+11 3.076561e+05 2.032561e-01 1.457063e-01
4.000000e-04 4.818000e+00 4.028000e+00 -5.077398e-02 4.639548e+00 2.179888e+00 2.382554e+11 3.057560e+05 2.088330e-01 1.456187e-01
5.000000e-04 4.818000e+00 4.028000e+00 -7.466807e-02 4.640881e+00 2.160809e+00 2.375682e+11 3.051726e+05 2.102278e-01 1.457551e-01
6.000000e-04 4.818000e+00 4.028000e+00 -9.722501e-02 4.650986e+00 2.155081e+00 2.379902e+11 3.060038e+05 2.028499e-01 1.459984e-01
7.000000e-04 4.818000e+00 4.028000e+00 -1.186393e-01 4.668524e+00 2.153183e+00 2.396515e+11 3.085771e+05 1.893506e-01 1.464005e-01
8.000000e-04 4.818000e+00 4.028000e+00 -1.358619e-01 4.679387e+00 2.221835e+00 2.402525e+11 3.093011e+05 1.797132e-01 1.466576e-01
9.000000e-04 4.818000e+00 4.028000e+00 -1.575372e-01 4.679258e+00 2.174153e+00 2.379059e+11 3.068363e+05 1.863530e-01 1.468114e-01
9.999999e-04 4.818000e+00 4.028000e+00 -1.829921e-01 4.686688e+00 2.218022e+00 2.370356e+11 3.062823e+05 1.848457e-01 1.471334e-01
1.100000e-03 4.818000e+00 4.028000e+00 -2.052152e-01 4.694074e+00 2.176075e+00 2.374962e+11 3.056708e+05 1.684878e-01 1.471101e-01
1.200000e-03 4.818000e+00 4.028000e+00 -2.193402e-01 4.704335e+00 2.179887e+00 2.376781e+11 3.063672e+05 1.634518e-01 1.473230e-01
1.300000e-03 4.818000e+00 4.028000e+00 -2.230345e-01 4.723998e+00 2.155081e+00 2.406061e+11 3.103009e+05 1.475652e-01 1.477426e-01
1.400000e-03 4.818000e+00 4.028000e+00 -2.358126e-01 4.734002e+00 2.210396e+00 2.410257e+11 3.109166e+05 1.404483e-01 1.479819e-01
1.500000e-03 4.818000e+00 4.028000e+00 -2.469493e-01 4.740234e+00 2.200852e+00 2.404714e+11 3.105986e+05 1.398489e-01 1.482412e-01
1.600000e-03 4.818000e+00 4.028000e+00 -2.708469e-01 4.740806e+00 3.001864e+00 2.394667e+11 3.070192e+05 1.245606e-01 1.481380e-01
