#./underdamped_3d --dev=0 --amp=4.818 --omega=4.028 --force=0.1 --gam=0.007 --Dg=4e-06 --block=1024 --paths=1048576 --periods=250000 --trans=249750 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.005:0.0062:10:0 --domainy=a:4.818:4.818:1:0 --domainz=w:4.028:4.028:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./data/3d-faw-D4e-06-g0.007-a4.818-w4.028-part00.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
5.000000e-03 4.818000e+00 4.028000e+00 -6.112905e-01 4.460336e+00 1.979635e+00 1.239379e+11 1.582655e+05 -2.631599e-02 1.406883e-01
5.120000e-03 4.818000e+00 4.028000e+00 -6.368336e-01 4.500002e+00 1.888069e+00 1.265209e+11 1.623009e+05 -4.884410e-02 1.426594e-01
5.240000e-03 4.818000e+00 4.028000e+00 -6.615165e-01 4.537779e+00 2.216119e+00 1.294970e+11 1.659670e+05 -7.970154e-02 1.443537e-01
5.360000e-03 4.818000e+00 4.028000e+00 -6.794755e-01 4.565185e+00 2.631799e+00 1.323531e+11 1.687018e+05 -1.126680e-01 1.453233e-01
5.480000e-03 4.818000e+00 4.028000e+00 -6.991712e-01 4.596685e+00 2.023513e+00 1.345757e+11 1.718689e+05 -1.262707e-01 1.465448e-01
5.600000e-03 4.818000e+00 4.028000e+00 -7.142215e-01 4.618953e+00 1.840413e+00 1.362163e+11 1.742859e+05 -1.384575e-01 1.469656e-01
5.720000e-03 4.818000e+00 4.028000e+00 -7.301984e-01 4.643405e+00 2.050212e+00 1.373101e+11 1.761151e+05 -1.524640e-01 1.476343e-01
5.840000e-03 4.818000e+00 4.028000e+00 -7.475553e-01 4.671913e+00 2.462147e+00 1.395111e+11 1.787550e+05 -1.630015e-01 1.484478e-01
5.960000e-03 4.818000e+00 4.028000e+00 -7.681383e-01 4.702350e+00 2.828328e+00 1.418378e+11 1.808650e+05 -1.950605e-01 1.488701e-01
6.080000e-03 4.818000e+00 4.028000e+00 -7.869897e-01 4.732213e+00 1.956752e+00 1.434646e+11 1.832608e+05 -2.059009e-01 1.493020e-01
6.200000e-03 4.818000e+00 4.028000e+00 -8.035657e-01 4.757383e+00 1.964388e+00 1.446608e+11 1.852098e+05 -2.166824e-01 1.496878e-01
6.320000e-03 4.818000e+00 4.028000e+00 -8.157616e-01 4.775761e+00 2.010145e+00 1.458146e+11 1.869856e+05 -2.268245e-01 1.496421e-01
6.440000e-03 4.818000e+00 4.028000e+00 -8.242481e-01 4.788593e+00 2.210386e+00 1.469299e+11 1.884576e+05 -2.319573e-01 1.498019e-01
6.560000e-03 4.818000e+00 4.028000e+00 -8.330119e-01 4.802111e+00 2.265703e+00 1.481074e+11 1.899365e+05 -2.407551e-01 1.499124e-01
6.680000e-03 4.818000e+00 4.028000e+00 -8.412314e-01 4.814819e+00 2.336262e+00 1.491243e+11 1.911027e+05 -2.434862e-01 1.499401e-01
6.800000e-03 4.818000e+00 4.028000e+00 -8.531122e-01 4.832814e+00 2.542251e+00 1.503876e+11 1.924565e+05 -2.552990e-01 1.499856e-01
6.920000e-03 4.818000e+00 4.028000e+00 -8.654205e-01 4.851846e+00 2.067358e+00 1.519908e+11 1.942019e+05 -2.642034e-01 1.498702e-01
7.040000e-03 4.818000e+00 4.028000e+00 -8.754422e-01 4.865963e+00 2.128380e+00 1.529657e+11 1.955985e+05 -2.741597e-01 1.497622e-01
7.160000e-03 4.818000e+00 4.028000e+00 -8.829980e-01 4.878450e+00 2.210404e+00 1.540762e+11 1.970609e+05 -2.722650e-01 1.498764e-01
7.280000e-03 4.818000e+00 4.028000e+00 -8.861585e-01 4.882911e+00 2.218026e+00 1.549943e+11 1.982362e+05 -2.755666e-01 1.498084e-01
7.400000e-03 4.818000e+00 4.028000e+00 -8.815415e-01 4.875095e+00 2.145546e+00 1.550316e+11 1.982397e+05 -2.734046e-01 1.497318e-01
7.520000e-03 4.818000e+00 4.028000e+00 -8.775687e-01 4.869154e+00 2.191301e+00 1.552983e+11 1.984649e+05 -2.689080e-01 1.497619e-01
7.640000e-03 4.818000e+00 4.028000e+00 -8.706427e-01 4.858307e+00 2.515550e+00 1.550994e+11 1.985634e+05 -2.619450e-01 1.496825e-01
7.760000e-03 4.818000e+00 4.028000e+00 -8.608620e-01 4.842818e+00 2.441154e+00 1.544004e+11 1.979496e+05 -2.530366e-01 1.497262e-01
7.880000e-03 4.818000e+00 4.028000e+00 -8.487687e-01 4.825968e+00 2.168461e+00 1.543261e+11 1.979673e+05 -2.355344e-01 1.497993e-01
8.000000e-03 4.818000e+00 4.028000e+00 -8.343938e-01 4.802232e+00 1.989165e+00 1.538938e+11 1.969951e+05 -2.324044e-01 1.494908e-01
8.120000e-03 4.818000e+00 4.028000e+00 -8.065411e-01 4.760221e+00 2.511730e+00 1.534053e+11 1.959867e+05 -2.047327e-01 1.493143e-01
8.240000e-03 4.818000e+00 4.028000e+00 -7.757630e-01 4.712614e+00 2.330519e+00 1.515804e+11 1.939746e+05 -1.716350e-01 1.485395e-01
8.360000e-03 4.818000e+00 4.028000e+00 -7.459044e-01 4.666868e+00 2.065468e+00 1.504998e+11 1.922569e+05 -1.474738e-01 1.475241e-01
8.480000e-03 4.818000e+00 4.028000e+00 -7.236969e-01 4.632524e+00 2.433559e+00 1.480987e+11 1.900035e+05 -1.121175e-01 1.467644e-01
