#./underdamped_3d --dev=0 --amp=4.818 --omega=4.028 --force=0.01925 --gam=0.1 --Dg=0 --block=1024 --paths=262144 --periods=250000 --trans=249750 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=a:4.818:4.818:1:0 --domainy=w:4.028:4.028:1:0 --domainz=g:0.005:0.0325:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-gaw-f0.01925-D0-a4.818-w4.028-spp200-part0.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
5.000000e-03 4.818000e+00 4.028000e+00 3.607660e+00 1.406158e+01 1.785124e+00 2.905590e+10 4.192248e+04 3.627198e+01 2.554333e-02
5.275000e-03 4.818000e+00 4.028000e+00 3.408541e+00 1.260173e+01 1.985348e+00 2.864734e+10 3.180528e+04 4.526952e+01 1.636326e-02
5.550000e-03 4.818000e+00 4.028000e+00 3.221905e+00 1.140478e+01 2.082613e+00 3.294720e+10 4.254377e+04 4.486660e+01 8.046746e-03
5.825000e-03 4.818000e+00 4.028000e+00 3.102403e+00 1.075999e+01 1.983441e+00 4.983391e+10 6.404665e+04 2.998987e+01 5.620599e-03
6.100000e-03 4.818000e+00 4.028000e+00 2.963498e+00 1.015153e+01 2.004418e+00 7.571280e+10 9.733971e+04 1.844504e+01 5.013704e-03
6.375000e-03 4.818000e+00 4.028000e+00 2.690749e+00 9.234120e+00 2.027306e+00 1.652503e+11 2.119177e+05 6.845520e+00 2.385855e-03
6.650000e-03 4.818000e+00 4.028000e+00 1.905718e+00 8.763017e+00 2.126477e+00 5.666836e+11 7.266209e+05 2.885256e-01 6.856799e-03
6.925000e-03 4.818000e+00 4.028000e+00 -1.070445e+00 7.383048e+00 2.410624e+00 5.284026e+11 6.774576e+05 -3.328844e-01 8.737326e-03
7.200000e-03 4.818000e+00 4.028000e+00 -1.318515e+00 7.328381e+00 2.330534e+00 4.849421e+11 6.217534e+05 -1.817559e-01 4.562855e-03
7.475000e-03 4.818000e+00 4.028000e+00 -1.451881e+00 7.358171e+00 2.280960e+00 4.766312e+11 6.111356e+05 -5.385119e-02 2.014637e-03
7.750000e-03 4.818000e+00 4.028000e+00 -1.523922e+00 7.367064e+00 2.256158e+00 4.707829e+11 6.036338e+05 3.429794e-02 1.037240e-03
8.025000e-03 4.818000e+00 4.028000e+00 -1.606896e+00 7.377110e+00 2.233274e+00 4.634850e+11 5.942808e+05 1.621031e-01 1.983643e-04
8.300000e-03 4.818000e+00 4.028000e+00 -1.667172e+00 7.377255e+00 2.197040e+00 4.535762e+11 5.815787e+05 2.737141e-01 -3.249049e-04
8.575000e-03 4.818000e+00 4.028000e+00 -1.709935e+00 7.378226e+00 2.202760e+00 4.479510e+11 5.743468e+05 3.675232e-01 -3.759861e-04
8.850000e-03 4.818000e+00 4.028000e+00 -1.760856e+00 7.376678e+00 2.160812e+00 4.357180e+11 5.586142e+05 4.888924e-01 -3.544688e-04
9.125000e-03 4.818000e+00 4.028000e+00 -1.812503e+00 7.376810e+00 2.170349e+00 4.226312e+11 5.418633e+05 6.318951e-01 -4.251003e-04
9.400000e-03 4.818000e+00 4.028000e+00 -1.847235e+00 7.374539e+00 2.147458e+00 4.124594e+11 5.287906e+05 7.391568e-01 -6.585717e-04
9.675000e-03 4.818000e+00 4.028000e+00 -1.869858e+00 7.372781e+00 2.126482e+00 4.070378e+11 5.218095e+05 8.173668e-01 -6.574988e-04
9.950000e-03 4.818000e+00 4.028000e+00 -1.871336e+00 7.371351e+00 2.139831e+00 4.099479e+11 5.255941e+05 8.259705e-01 -7.990599e-04
1.022500e-02 4.818000e+00 4.028000e+00 -1.904026e+00 7.370643e+00 2.107402e+00 3.981001e+11 5.103911e+05 9.438182e-01 -9.467602e-04
1.050000e-02 4.818000e+00 4.028000e+00 -1.912197e+00 7.369483e+00 2.094058e+00 3.972043e+11 5.092144e+05 9.776685e-01 -9.619594e-04
1.077500e-02 4.818000e+00 4.028000e+00 -1.907054e+00 7.369426e+00 2.109323e+00 4.024470e+11 5.159191e+05 9.606266e-01 -9.734035e-04
1.105000e-02 4.818000e+00 4.028000e+00 -1.901014e+00 7.367661e+00 2.109322e+00 4.067638e+11 5.214426e+05 9.394382e-01 -8.398294e-04
1.132500e-02 4.818000e+00 4.028000e+00 -1.894566e+00 7.366128e+00 2.094060e+00 4.121571e+11 5.283654e+05 9.171845e-01 -8.431077e-04
1.160000e-02 4.818000e+00 4.028000e+00 -1.879766e+00 7.362575e+00 2.076898e+00 4.205060e+11 5.390565e+05 8.613766e-01 -7.578731e-04
1.187500e-02 4.818000e+00 4.028000e+00 -1.808427e+00 7.360625e+00 2.107416e+00 4.576653e+11 5.866888e+05 6.428425e-01 -5.856752e-04
1.215000e-02 4.818000e+00 4.028000e+00 -1.782726e+00 7.359279e+00 2.109318e+00 4.714598e+11 6.044455e+05 5.733385e-01 -4.771948e-04
1.242500e-02 4.818000e+00 4.028000e+00 -1.822040e+00 7.357671e+00 2.082617e+00 4.532018e+11 5.810319e+05 6.834435e-01 -4.715323e-04
1.270000e-02 4.818000e+00 4.028000e+00 -1.765480e+00 7.355600e+00 2.082615e+00 4.825385e+11 6.185635e+05 5.289518e-01 -6.523728e-04
1.297500e-02 4.818000e+00 4.028000e+00 -1.613676e+00 7.354387e+00 2.109314e+00 5.554075e+11 7.120638e+05 2.069200e-01 -6.793141e-04
1.325000e-02 4.818000e+00 4.028000e+00 -1.523349e+00 7.352596e+00 2.086431e+00 5.981701e+11 7.668904e+05 6.213534e-02 -5.559325e-04
1.352500e-02 4.818000e+00 4.028000e+00 -1.438405e+00 7.350159e+00 2.065449e+00 6.353506e+11 8.146382e+05 -5.246043e-02 -5.097389e-04
1.380000e-02 4.818000e+00 4.028000e+00 -1.414071e+00 7.347319e+00 2.073079e+00 6.470449e+11 8.295287e+05 -8.186871e-02 -3.703833e-04
1.407500e-02 4.818000e+00 4.028000e+00 -1.395426e+00 7.344635e+00 2.042559e+00 6.557195e+11 8.407648e+05 -1.031216e-01 -1.403093e-04
1.435000e-02 4.818000e+00 4.028000e+00 -1.388515e+00 7.341541e+00 2.071177e+00 6.601550e+11 8.464466e+05 -1.109807e-01 6.055832e-05
1.462500e-02 4.818000e+00 4.028000e+00 -1.395701e+00 7.337883e+00 2.046386e+00 6.593620e+11 8.453411e+05 -1.033701e-01 1.288652e-04
1.490000e-02 4.818000e+00 4.028000e+00 -1.357211e+00 7.332756e+00 2.105498e+00 6.759049e+11 8.665030e+05 -1.453227e-01 1.689196e-04
1.517500e-02 4.818000e+00 4.028000e+00 -1.311278e+00 7.330210e+00 2.095958e+00 6.946242e+11 8.905402e+05 -1.925130e-01 6.365776e-05
1.545000e-02 4.818000e+00 4.028000e+00 -1.259178e+00 7.330296e+00 2.057820e+00 7.152429e+11 9.169361e+05 -2.407723e-01 9.179115e-06
1.572500e-02 4.818000e+00 4.028000e+00 -1.230325e+00 7.330281e+00 2.094058e+00 7.257957e+11 9.305869e+05 -2.659851e-01 -4.613400e-05
1.600000e-02 4.818000e+00 4.028000e+00 -1.199428e+00 7.330008e+00 2.067358e+00 7.372518e+11 9.453036e+05 -2.913504e-01 -9.596348e-05
1.627500e-02 4.818000e+00 4.028000e+00 -1.184644e+00 7.329978e+00 2.074985e+00 7.431252e+11 9.527862e+05 -3.030577e-01 -1.968741e-04
1.655000e-02 4.818000e+00 4.028000e+00 -1.146319e+00 7.330044e+00 2.082627e+00 7.562849e+11 9.697329e+05 -3.322723e-01 -2.627373e-04
1.682500e-02 4.818000e+00 4.028000e+00 -1.102758e+00 7.330407e+00 2.074978e+00 7.716993e+11 9.894246e+05 -3.626074e-01 -3.669858e-04
1.710000e-02 4.818000e+00 4.028000e+00 -1.046233e+00 7.330800e+00 1.996792e+00 7.902157e+11 1.013206e+06 -3.989311e-01 -3.483891e-04
1.737500e-02 4.818000e+00 4.028000e+00 -1.003752e+00 7.331389e+00 2.046379e+00 8.030177e+11 1.029647e+06 -4.240442e-01 -3.632307e-04
1.765000e-02 4.818000e+00 4.028000e+00 -9.805431e-01 7.331741e+00 2.044481e+00 8.112569e+11 1.040045e+06 -4.372358e-01 -4.263520e-04
1.792501e-02 4.818000e+00 4.028000e+00 -9.578484e-01 7.332036e+00 2.071174e+00 8.198938e+11 1.051330e+06 -4.492641e-01 -4.651546e-04
1.820001e-02 4.818000e+00 4.028000e+00 -9.361528e-01 7.332394e+00 2.013953e+00 8.283178e+11 1.061914e+06 -4.606603e-01 -5.404949e-04
1.847501e-02 4.818000e+00 4.028000e+00 -8.266209e-01 7.333415e+00 2.033038e+00 8.585635e+11 1.100908e+06 -5.111355e-01 -5.584955e-04
1.875001e-02 4.818000e+00 4.028000e+00 -7.698587e-01 7.334232e+00 1.958644e+00 8.733010e+11 1.119656e+06 -5.338650e-01 -6.444454e-04
1.902501e-02 4.818000e+00 4.028000e+00 -6.377863e-01 7.335819e+00 2.029211e+00 9.028026e+11 1.157573e+06 -5.781751e-01 -7.330179e-04
