#./underdamped_3d --dev=3 --amp=4.818 --omega=4.028 --force=0.01925 --gam=0.1 --Dg=4e-06 --block=1024 --paths=262144 --periods=250000 --trans=249750 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=a:4.818:4.818:1:0 --domainy=w:4.028:4.028:1:0 --domainz=g:0.005:0.0325:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-gaw-f0.01925-D4e-06-a4.818-w4.028-spp200-part0.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
5.000000e-03 4.818000e+00 4.028000e+00 3.657981e+00 1.426429e+01 1.830870e+00 2.323759e+10 2.617428e+04 3.039263e+01 2.207828e-02
5.275000e-03 4.818000e+00 4.028000e+00 3.426144e+00 1.263019e+01 1.691653e+00 1.743907e+10 1.733967e+04 5.224541e+01 1.510465e-02
5.550000e-03 4.818000e+00 4.028000e+00 3.252432e+00 1.143585e+01 1.405570e+00 1.208698e+10 1.573290e+04 7.939431e+01 6.319284e-03
5.825000e-03 4.818000e+00 4.028000e+00 3.157919e+00 1.081908e+01 1.102341e+00 1.195228e+10 1.545763e+04 8.443493e+01 3.861666e-03
6.100000e-03 4.818000e+00 4.028000e+00 3.101216e+00 1.055386e+01 1.260628e+00 2.897499e+10 3.714217e+04 3.873551e+01 6.187797e-03
6.375000e-03 4.818000e+00 4.028000e+00 2.802358e+00 9.300739e+00 1.642063e+00 1.029706e+11 1.321090e+05 1.093617e+01 1.805425e-03
6.650000e-03 4.818000e+00 4.028000e+00 1.990796e+00 8.885055e+00 2.071173e+00 5.417213e+11 6.946179e+05 3.187805e-01 5.506992e-03
6.925000e-03 4.818000e+00 4.028000e+00 -1.929389e+00 7.233303e+00 2.042565e+00 2.550683e+11 3.270321e+05 8.484617e-01 2.609181e-02
7.200000e-03 4.818000e+00 4.028000e+00 -2.351730e+00 7.150348e+00 1.232027e+00 1.147468e+11 1.470901e+05 2.043093e+00 1.762354e-02
7.475000e-03 4.818000e+00 4.028000e+00 -2.425683e+00 7.238197e+00 1.129046e+00 9.628045e+10 1.233891e+05 2.994031e+00 1.037765e-02
7.750000e-03 4.818000e+00 4.028000e+00 -2.473059e+00 7.298460e+00 1.031765e+00 8.139787e+10 1.043016e+05 4.412789e+00 5.653501e-03
8.025000e-03 4.818000e+00 4.028000e+00 -2.507613e+00 7.342085e+00 9.860038e-01 6.743786e+10 8.641047e+04 6.584987e+00 2.112627e-03
8.300000e-03 4.818000e+00 4.028000e+00 -2.530160e+00 7.361752e+00 9.497620e-01 5.345393e+10 6.847412e+04 9.385182e+00 1.617670e-04
8.575000e-03 4.818000e+00 4.028000e+00 -2.539169e+00 7.370925e+00 9.802761e-01 4.531950e+10 5.804106e+04 1.291202e+01 -5.446076e-04
8.850000e-03 4.818000e+00 4.028000e+00 -2.543151e+00 7.374662e+00 1.066100e+00 3.897663e+10 4.988690e+04 1.754499e+01 -8.858442e-04
9.125000e-03 4.818000e+00 4.028000e+00 -2.548545e+00 7.374074e+00 1.071820e+00 3.198182e+10 4.090113e+04 2.285066e+01 -1.179755e-03
9.400000e-03 4.818000e+00 4.028000e+00 -2.551447e+00 7.373622e+00 1.155732e+00 2.710149e+10 3.465564e+04 2.937964e+01 -1.369059e-03
9.675000e-03 4.818000e+00 4.028000e+00 -2.554373e+00 7.371906e+00 1.165270e+00 2.291740e+10 2.929186e+04 3.649035e+01 -1.492977e-03
9.950000e-03 4.818000e+00 4.028000e+00 -2.557383e+00 7.369856e+00 1.155735e+00 1.900169e+10 2.420410e+04 4.457133e+01 -1.714110e-03
1.022500e-02 4.818000e+00 4.028000e+00 -2.557153e+00 7.369702e+00 1.239648e+00 1.806761e+10 2.300402e+04 5.080664e+01 -1.736224e-03
1.050000e-02 4.818000e+00 4.028000e+00 -2.558010e+00 7.368784e+00 1.277788e+00 1.641717e+10 2.085217e+04 5.827524e+01 -1.830339e-03
