#./underdamped_3d --dev=0 --amp=3.3 --omega=4.04 --force=0.1 --gam=0.08 --Dg=0 --block=1024 --paths=262144 --periods=200000 --trans=199800 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0:0.005:10:0 --domainy=a:3.3:3.3:1:0 --domainz=w:4.04:4.04:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./data/3d-faw-D0-g0.08-a3.3-w4.04-spp200-part0.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 3.300000e+00 4.040000e+00 -4.221301e-03 4.165966e+00 2.000800e+00 3.471024e+11 5.580224e+05 -6.662630e-01 -9.143353e-05
5.000000e-04 3.300000e+00 4.040000e+00 7.438584e-02 4.165967e+00 2.023710e+00 3.470683e+11 5.579740e+05 -6.642953e-01 -1.744628e-04
9.999999e-04 3.300000e+00 4.040000e+00 6.548790e-02 4.165965e+00 1.983644e+00 3.472921e+11 5.583609e+05 -6.647212e-01 -3.232360e-04
1.500000e-03 3.300000e+00 4.040000e+00 1.542894e-01 4.165972e+00 2.077104e+00 3.451182e+11 5.549081e+05 -6.576092e-01 -3.786683e-04
2.000000e-03 3.300000e+00 4.040000e+00 1.573740e-01 4.165969e+00 2.063749e+00 3.453336e+11 5.552331e+05 -6.573115e-01 -5.372167e-04
2.500000e-03 3.300000e+00 4.040000e+00 1.149309e-01 4.166015e+00 2.014155e+00 3.463872e+11 5.568329e+05 -6.615678e-01 -6.650090e-04
3.000000e-03 3.300000e+00 4.040000e+00 2.135445e-01 4.166046e+00 1.997017e+00 3.426177e+11 5.509055e+05 -6.495737e-01 -6.721020e-04
3.500000e-03 3.300000e+00 4.040000e+00 2.978199e-01 4.166037e+00 1.976023e+00 3.378996e+11 5.432743e+05 -6.335821e-01 -6.678104e-04
4.000000e-03 3.300000e+00 4.040000e+00 3.317316e-01 4.165967e+00 2.012254e+00 3.359566e+11 5.400747e+05 -6.255405e-01 -7.448196e-04
4.500000e-03 3.300000e+00 4.040000e+00 2.673420e-01 4.165835e+00 1.989372e+00 3.393955e+11 5.456679e+05 -6.400267e-01 -7.930994e-04
5.000000e-03 3.300000e+00 4.040000e+00 2.279992e-01 4.165755e+00 1.998908e+00 3.407855e+11 5.478956e+05 -6.472027e-01 -8.192062e-04
5.500000e-03 3.300000e+00 4.040000e+00 1.607570e-01 4.165629e+00 2.040854e+00 3.430942e+11 5.515803e+05 -6.567644e-01 -8.692741e-04
6.000000e-03 3.300000e+00 4.040000e+00 9.200642e-02 4.165494e+00 2.052302e+00 3.449920e+11 5.545639e+05 -6.631637e-01 -9.291172e-04
6.500000e-03 3.300000e+00 4.040000e+00 1.473768e-02 4.165392e+00 2.002734e+00 3.461241e+11 5.565342e+05 -6.660213e-01 -9.573698e-04
7.000000e-03 3.300000e+00 4.040000e+00 -5.139494e-02 4.165306e+00 1.985546e+00 3.460884e+11 5.564178e+05 -6.652259e-01 -1.003444e-03
7.500000e-03 3.300000e+00 4.040000e+00 -4.244567e-02 4.165298e+00 2.006528e+00 3.455714e+11 5.555688e+05 -6.655033e-01 -9.768605e-04
8.000000e-03 3.300000e+00 4.040000e+00 -2.001840e-02 4.165211e+00 2.008432e+00 3.450364e+11 5.546892e+05 -6.659442e-01 -8.564591e-04
8.500000e-03 3.300000e+00 4.040000e+00 1.481318e-02 4.165058e+00 2.021811e+00 3.447733e+11 5.543448e+05 -6.659147e-01 -7.789731e-04
9.000001e-03 3.300000e+00 4.040000e+00 -2.912343e-02 4.164839e+00 2.006526e+00 3.442768e+11 5.534914e+05 -6.657019e-01 -7.309914e-04
9.500001e-03 3.300000e+00 4.040000e+00 -9.480213e-02 4.164530e+00 2.059932e+00 3.425203e+11 5.505734e+05 -6.627759e-01 -7.714629e-04
1.000000e-02 3.300000e+00 4.040000e+00 -1.756985e-01 4.164289e+00 2.132409e+00 3.395010e+11 5.458074e+05 -6.546528e-01 -8.744001e-04
