#./underdamped_3d --dev=3 --amp=3.3 --omega=4.04 --force=0.1 --gam=0.08 --Dg=5e-06 --block=1024 --paths=65536 --periods=1000000 --trans=999000 --samples=10 --spp=100 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0:0.075:100:0 --domainy=a:3.3:3.3:1:0 --domainz=w:4.04:4.04:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-faw-D5e-06-g0.08-a3.3-w4.04-part0.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 3.300000e+00 4.040000e+00 6.188544e-03 4.132825e+00 1.397526e+00 4.099221e+12 1.317870e+06 -4.343656e-01 5.917430e-03
7.500000e-04 3.300000e+00 4.040000e+00 -8.768327e-01 4.136889e+00 1.241190e+00 3.399312e+12 1.092866e+06 -2.334704e-01 5.475402e-03
1.500000e-03 3.300000e+00 4.040000e+00 -1.418102e+00 4.141291e+00 9.399464e-01 2.102412e+12 6.758962e+05 2.962632e-01 4.884362e-03
2.250000e-03 3.300000e+00 4.040000e+00 -1.702735e+00 4.147058e+00 6.520554e-01 1.049588e+12 3.374462e+05 1.091571e+00 3.972530e-03
3.000000e-03 3.300000e+00 4.040000e+00 -1.834913e+00 4.149987e+00 3.965722e-01 4.252663e+11 1.366566e+05 1.649867e+00 3.116608e-03
3.750000e-03 3.300000e+00 4.040000e+00 -1.889345e+00 4.153784e+00 2.764554e-01 1.602605e+11 5.144060e+04 2.460096e+00 2.101064e-03
4.500000e-03 3.300000e+00 4.040000e+00 -1.914478e+00 4.155677e+00 1.773119e-01 5.649277e+10 1.810971e+04 2.496955e+00 1.591802e-03
5.250000e-03 3.300000e+00 4.040000e+00 -1.921925e+00 4.156586e+00 1.086730e-01 2.056618e+10 6.504365e+03 2.746416e+00 1.379609e-03
6.000001e-03 3.300000e+00 4.040000e+00 -1.925316e+00 4.157849e+00 5.338304e-02 8.535219e+09 2.658448e+03 2.471165e+00 1.260400e-03
6.750001e-03 3.300000e+00 4.040000e+00 -1.926468e+00 4.157605e+00 7.435845e-02 4.240692e+09 1.198425e+03 2.388454e+00 1.279354e-03
7.500001e-03 3.300000e+00 4.040000e+00 -1.927340e+00 4.158221e+00 2.478190e-02 2.595982e+09 7.404617e+02 2.291707e+00 1.233935e-03
8.250001e-03 3.300000e+00 4.040000e+00 -1.927606e+00 4.158415e+00 3.811811e-03 1.790075e+09 4.407711e+02 2.110232e+00 1.248598e-03
9.000001e-03 3.300000e+00 4.040000e+00 -1.927936e+00 4.158869e+00 -3.817180e-03 1.384466e+09 3.349186e+02 1.998377e+00 1.217604e-03
9.750000e-03 3.300000e+00 4.040000e+00 -1.927906e+00 4.158919e+00 -5.723530e-03 1.183466e+09 2.353026e+02 1.965614e+00 1.255870e-03
1.050000e-02 3.300000e+00 4.040000e+00 -1.927906e+00 4.159064e+00 -7.628848e-03 1.057185e+09 2.353026e+02 1.950916e+00 1.261830e-03
1.125000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.160245e+00 -9.536941e-03 9.795011e+08 1.709147e+02 1.994215e+00 1.230121e-03
1.200000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.161752e+00 -9.537357e-03 9.654293e+08 1.628240e+02 1.915877e+00 1.249194e-03
1.275000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.162342e+00 1.898665e-03 9.375418e+08 1.432717e+02 1.896197e+00 1.258373e-03
1.350000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.162476e+00 -1.907031e-03 9.764393e+08 1.827135e+02 2.172585e+00 1.226306e-03
1.425000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.162605e+00 -1.144176e-02 1.036143e+09 2.063112e+02 1.853348e+00 1.245379e-03
1.500000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.162825e+00 -1.525799e-02 1.194403e+09 2.513154e+02 2.058461e+00 1.239300e-03
1.575000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.163356e+00 7.626991e-03 1.326969e+09 3.229512e+02 1.825926e+00 1.220345e-03
1.650000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.163559e+00 5.718830e-03 1.500543e+09 3.981267e+02 2.004652e+00 1.226783e-03
1.725000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.163723e+00 1.903575e-03 1.716013e+09 4.753248e+02 1.999487e+00 1.207709e-03
1.800000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.163872e+00 -3.813505e-03 2.008560e+09 5.538714e+02 2.107611e+00 1.214266e-03
1.875000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.168409e+00 3.812656e-03 2.267443e+09 6.246645e+02 2.200493e+00 1.212835e-03
1.950000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.171531e+00 8.498088e-07 2.534981e+09 6.748938e+02 2.134646e+00 1.209497e-03
2.025000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.171687e+00 -1.910386e-03 2.797225e+09 7.967590e+02 2.083362e+00 1.200795e-03
2.100000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.171831e+00 -3.810293e-03 3.267645e+09 9.612686e+02 2.069814e+00 1.163006e-03
2.175000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.172294e+00 3.815640e-03 3.617755e+09 1.107911e+03 2.051577e+00 1.158595e-03
2.250000e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.172737e+00 -1.907813e-03 4.196188e+09 1.304109e+03 2.139541e+00 1.139760e-03
2.324999e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.172894e+00 -1.358550e-06 4.861490e+09 1.502330e+03 1.971862e+00 1.143813e-03
2.399999e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.173043e+00 -1.906966e-03 5.940178e+09 1.890680e+03 2.091280e+00 1.106024e-03
2.474999e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.174944e+00 -1.906858e-03 7.708217e+09 2.439832e+03 2.044625e+00 1.096606e-03
2.549999e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.176368e+00 -1.906898e-03 9.561704e+09 3.000109e+03 2.226202e+00 1.102448e-03
2.624999e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.176541e+00 1.907927e-03 1.205733e+10 3.803779e+03 2.031538e+00 1.074672e-03
2.699999e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.176680e+00 -5.722233e-03 1.532717e+10 4.939333e+03 2.094316e+00 1.054764e-03
2.774999e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.177282e+00 -1.171802e-06 2.201675e+10 7.052168e+03 1.936631e+00 1.042008e-03
2.849999e-02 3.300000e+00 4.040000e+00 -1.927936e+00 4.177599e+00 1.906701e-03 3.822998e+10 1.229743e+04 2.308154e+00 1.062751e-03
2.924999e-02 3.300000e+00 4.040000e+00 -1.927844e+00 4.177700e+00 9.532453e-03 8.954863e+10 2.876254e+04 2.078890e+00 1.295567e-03
2.999999e-02 3.300000e+00 4.040000e+00 -1.927232e+00 4.177089e+00 3.622489e-02 1.562152e+11 5.022666e+04 1.757659e+00 1.711845e-03
3.074999e-02 3.300000e+00 4.040000e+00 -1.927147e+00 4.177023e+00 4.194561e-02 1.605402e+11 5.159634e+04 1.734548e+00 1.768947e-03
3.149999e-02 3.300000e+00 4.040000e+00 -1.927267e+00 4.177310e+00 4.003821e-02 1.448805e+11 4.659228e+04 1.913305e+00 1.641989e-03
3.224999e-02 3.300000e+00 4.040000e+00 -1.927784e+00 4.178097e+00 9.532523e-03 1.255261e+11 4.033114e+04 1.802484e+00 1.453876e-03
3.300000e-02 3.300000e+00 4.040000e+00 -1.927627e+00 4.178485e+00 1.906605e-02 1.300318e+11 4.181038e+04 1.772300e+00 1.464128e-03
3.375000e-02 3.300000e+00 4.040000e+00 -1.927632e+00 4.178842e+00 2.097332e-02 1.318422e+11 4.237571e+04 1.805705e+00 1.464605e-03
3.450000e-02 3.300000e+00 4.040000e+00 -1.927567e+00 4.178992e+00 2.478402e-02 1.288097e+11 4.139203e+04 1.902673e+00 1.422882e-03
3.525000e-02 3.300000e+00 4.040000e+00 -1.927600e+00 4.180061e+00 2.478539e-02 1.316891e+11 4.231975e+04 1.784708e+00 1.423478e-03
3.600000e-02 3.300000e+00 4.040000e+00 -1.927078e+00 4.181778e+00 5.147703e-02 1.458600e+11 4.690192e+04 1.914114e+00 1.548409e-03
3.675000e-02 3.300000e+00 4.040000e+00 -1.926685e+00 4.181507e+00 5.719635e-02 1.634855e+11 5.255457e+04 1.745778e+00 1.680493e-03
3.750001e-02 3.300000e+00 4.040000e+00 -1.925299e+00 4.180063e+00 7.244951e-02 1.769994e+11 5.689722e+04 1.706353e+00 1.929045e-03
3.825001e-02 3.300000e+00 4.040000e+00 -1.922571e+00 4.177668e+00 1.067684e-01 2.038716e+11 6.553499e+04 1.579112e+00 2.462864e-03
3.900001e-02 3.300000e+00 4.040000e+00 -1.916791e+00 4.171143e+00 1.582470e-01 2.417610e+11 7.770718e+04 1.419103e+00 3.523588e-03
3.975001e-02 3.300000e+00 4.040000e+00 -1.908903e+00 4.162093e+00 2.516683e-01 2.874977e+11 9.242220e+04 1.234033e+00 4.959583e-03
4.050001e-02 3.300000e+00 4.040000e+00 -1.898008e+00 4.155259e+00 3.126794e-01 3.230626e+11 1.038807e+05 1.072629e+00 6.777406e-03
4.125001e-02 3.300000e+00 4.040000e+00 -1.876981e+00 4.132379e+00 4.137301e-01 3.488722e+11 1.121492e+05 9.080057e-01 1.020694e-02
4.200001e-02 3.300000e+00 4.040000e+00 -1.830489e+00 4.078392e+00 5.738815e-01 4.320644e+11 1.389046e+05 5.734096e-01 1.785493e-02
4.275002e-02 3.300000e+00 4.040000e+00 -1.703090e+00 3.929899e+00 9.189723e-01 5.826226e+11 1.873099e+05 1.359191e-01 3.921497e-02
4.350002e-02 3.300000e+00 4.040000e+00 -1.480498e+00 3.670322e+00 1.163018e+00 7.110535e+11 2.285988e+05 -1.966007e-01 7.581306e-02
4.425002e-02 3.300000e+00 4.040000e+00 -1.133019e+00 3.264841e+00 1.368929e+00 7.362766e+11 2.366953e+05 -3.229718e-01 1.307906e-01
4.500002e-02 3.300000e+00 4.040000e+00 -7.146984e-01 2.779935e+00 1.386087e+00 5.710314e+11 1.835697e+05 -2.011588e-01 1.797267e-01
4.575002e-02 3.300000e+00 4.040000e+00 -3.282586e-01 2.330668e+00 1.271697e+00 2.879589e+11 9.257330e+04 2.587752e-01 1.752290e-01
4.650002e-02 3.300000e+00 4.040000e+00 -7.127285e-02 2.032177e+00 1.122976e+00 8.737470e+10 2.809026e+04 1.126691e+00 1.046237e-01
4.725002e-02 3.300000e+00 4.040000e+00 4.285130e-02 1.900028e+00 1.088661e+00 1.741300e+10 5.598151e+03 3.350898e+00 3.880072e-02
4.800003e-02 3.300000e+00 4.040000e+00 7.792177e-02 1.860184e+00 9.590110e-01 3.184507e+09 1.023813e+03 5.556458e+00 1.308024e-02
4.875003e-02 3.300000e+00 4.040000e+00 8.883576e-02 1.848389e+00 8.617703e-01 7.011059e+08 2.253882e+02 7.617782e+00 4.955411e-03
4.950003e-02 3.300000e+00 4.040000e+00 9.267413e-02 1.845800e+00 9.857116e-01 1.572895e+08 5.062507e+01 1.135496e+01 2.712131e-03
5.025003e-02 3.300000e+00 4.040000e+00 9.584842e-02 1.843222e+00 1.428020e+00 2.554365e+07 8.194665e+00 2.092838e+01 1.153231e-03
5.100003e-02 3.300000e+00 4.040000e+00 9.691199e-02 1.842407e+00 8.246216e-01 5.410474e+06 1.814599e+00 8.198114e+00 7.619858e-04
5.175003e-02 3.300000e+00 4.040000e+00 9.816301e-02 1.842242e+00 8.741146e-01 3.967858e+06 1.394528e+00 4.397050e-01 6.799698e-04
5.250004e-02 3.300000e+00 4.040000e+00 9.902435e-02 1.842553e+00 9.906051e-01 3.883156e+06 1.270746e+00 1.065922e-02 6.799698e-04
5.325004e-02 3.300000e+00 4.040000e+00 9.987539e-02 1.842700e+00 1.284063e+00 3.833027e+06 1.217414e+00 9.093642e-03 6.742477e-04
5.400004e-02 3.300000e+00 4.040000e+00 1.004831e-01 1.842980e+00 1.086718e+00 3.842286e+06 1.265479e+00 -6.659925e-03 6.836653e-04
5.475004e-02 3.300000e+00 4.040000e+00 1.009585e-01 1.843417e+00 8.511968e-01 3.813396e+06 1.209513e+00 -2.715051e-03 6.836653e-04
5.550004e-02 3.300000e+00 4.040000e+00 1.014098e-01 1.843681e+00 1.326043e+00 3.793445e+06 1.222681e+00 1.580954e-03 6.557703e-04
5.625004e-02 3.300000e+00 4.040000e+00 1.020150e-01 1.844009e+00 1.263108e+00 3.789970e+06 1.130503e+00 4.956603e-03 6.639957e-04
5.700004e-02 3.300000e+00 4.040000e+00 1.024861e-01 1.843860e+00 1.183043e+00 3.777212e+06 1.239800e+00 3.939271e-03 6.657839e-04
5.775005e-02 3.300000e+00 4.040000e+00 1.028661e-01 1.844404e+00 6.149068e-01 3.776381e+06 1.281939e+00 4.266500e-04 6.812811e-04
5.850005e-02 3.300000e+00 4.040000e+00 1.036425e-01 1.844622e+00 1.048598e+00 3.764967e+06 1.258894e+00 -3.772080e-03 6.513596e-04
5.925005e-02 3.300000e+00 4.040000e+00 1.048786e-01 1.845677e+00 9.455662e-01 3.774220e+06 1.191736e+00 -6.352067e-03 6.482601e-04
6.000005e-02 3.300000e+00 4.040000e+00 1.054930e-01 1.845934e+00 8.132790e-01 3.794572e+06 1.172642e+00 6.117940e-03 6.653070e-04
6.075005e-02 3.300000e+00 4.040000e+00 1.062996e-01 1.846302e+00 1.105831e+00 3.784256e+06 1.268112e+00 1.556122e-02 6.605387e-04
6.150005e-02 3.300000e+00 4.040000e+00 1.072546e-01 1.846764e+00 1.079213e+00 4.087326e+06 1.415598e+00 3.652836e+00 6.645918e-04
6.225006e-02 3.300000e+00 4.040000e+00 1.082833e-01 1.847768e+00 2.268571e-01 1.502208e+07 4.843320e+00 4.412406e+02 6.561279e-04
6.300005e-02 3.300000e+00 4.040000e+00 1.084110e-01 1.848842e+00 1.033370e+00 6.818586e+09 2.192573e+03 3.902337e+02 1.557469e-03
6.375005e-02 3.300000e+00 4.040000e+00 1.066581e-01 1.852426e+00 2.001913e+00 1.578343e+10 5.075200e+03 2.103912e+02 4.604340e-03
6.450005e-02 3.300000e+00 4.040000e+00 1.079279e-01 1.854050e+00 2.000006e+00 1.825177e+10 5.868971e+03 1.818970e+02 5.222559e-03
6.525005e-02 3.300000e+00 4.040000e+00 1.096759e-01 1.853411e+00 2.000006e+00 1.367516e+10 4.397335e+03 2.437373e+02 4.080772e-03
6.600004e-02 3.300000e+00 4.040000e+00 1.104132e-01 1.855705e+00 2.001914e+00 1.829957e+10 5.884011e+03 1.818780e+02 5.210638e-03
6.675004e-02 3.300000e+00 4.040000e+00 1.114091e-01 1.856382e+00 2.001914e+00 1.955084e+10 6.286713e+03 1.703550e+02 5.545259e-03
6.750004e-02 3.300000e+00 4.040000e+00 1.133722e-01 1.855981e+00 2.000007e+00 1.526887e+10 4.909744e+03 2.189728e+02 4.487395e-03
6.825004e-02 3.300000e+00 4.040000e+00 1.149303e-01 1.856796e+00 2.000007e+00 1.606062e+10 5.164242e+03 2.083532e+02 4.630327e-03
6.900004e-02 3.300000e+00 4.040000e+00 1.156740e-01 1.857741e+00 2.001913e+00 1.808596e+10 5.815517e+03 1.850195e+02 5.193710e-03
6.975003e-02 3.300000e+00 4.040000e+00 1.168240e-01 1.857650e+00 1.996193e+00 1.625151e+10 5.225622e+03 2.063535e+02 4.725814e-03
7.050003e-02 3.300000e+00 4.040000e+00 1.181876e-01 1.858235e+00 2.001914e+00 1.611425e+10 5.181375e+03 2.083532e+02 4.703879e-03
7.125003e-02 3.300000e+00 4.040000e+00 1.198695e-01 1.858476e+00 2.001913e+00 1.427240e+10 4.589583e+03 2.357591e+02 4.244447e-03
7.200003e-02 3.300000e+00 4.040000e+00 1.209069e-01 1.858885e+00 2.000006e+00 1.335646e+10 4.295084e+03 2.523127e+02 3.971457e-03
7.275002e-02 3.300000e+00 4.040000e+00 1.213776e-01 1.859201e+00 1.998100e+00 1.445518e+10 4.648149e+03 2.331920e+02 4.283547e-03
7.350002e-02 3.300000e+00 4.040000e+00 1.220815e-01 1.860023e+00 2.001912e+00 1.539905e+10 4.951784e+03 2.189661e+02 4.482627e-03
7.425002e-02 3.300000e+00 4.040000e+00 1.232515e-01 1.859756e+00 1.998099e+00 1.370108e+10 4.406015e+03 2.465585e+02 4.058003e-03
7.500000e-02 3.300000e+00 4.040000e+00 1.246797e-01 1.859746e+00 2.001914e+00 1.106545e+10 3.558376e+03 3.059557e+02 3.465176e-03
7.575000e-02 3.300000e+00 4.040000e+00 1.250334e-01 1.860522e+00 2.000006e+00 1.309635e+10 4.211271e+03 2.583533e+02 3.955960e-03
7.650000e-02 3.300000e+00 4.040000e+00 1.254697e-01 1.861097e+00 2.001913e+00 1.341588e+10 4.314088e+03 2.523009e+02 3.967166e-03
7.725000e-02 3.300000e+00 4.040000e+00 1.261533e-01 1.861649e+00 2.000006e+00 1.358091e+10 4.367230e+03 2.493821e+02 4.021525e-03
7.799999e-02 3.300000e+00 4.040000e+00 1.265024e-01 1.862411e+00 1.996190e+00 1.452587e+10 4.670800e+03 2.331894e+02 4.316807e-03
7.874999e-02 3.300000e+00 4.040000e+00 1.275417e-01 1.861899e+00 1.986661e+00 1.266175e+10 4.071744e+03 2.679578e+02 3.885269e-03
7.949999e-02 3.300000e+00 4.040000e+00 1.271163e-01 1.863889e+00 1.992380e+00 1.766372e+10 5.679544e+03 1.916082e+02 5.051494e-03
8.024999e-02 3.300000e+00 4.040000e+00 1.274755e-01 1.864576e+00 1.986662e+00 1.782805e+10 5.732628e+03 1.899217e+02 5.132914e-03
8.099999e-02 3.300000e+00 4.040000e+00 1.283195e-01 1.864642e+00 1.998100e+00 1.612016e+10 5.183375e+03 2.103634e+02 4.670262e-03
8.174998e-02 3.300000e+00 4.040000e+00 1.293712e-01 1.865628e+00 2.000007e+00 1.565997e+10 5.035742e+03 2.167296e+02 4.646659e-03
8.249998e-02 3.300000e+00 4.040000e+00 1.300010e-01 1.865745e+00 2.001913e+00 1.472931e+10 4.736434e+03 2.306576e+02 4.290700e-03
8.324998e-02 3.300000e+00 4.040000e+00 1.300508e-01 1.865963e+00 2.000007e+00 1.551801e+10 4.989729e+03 2.189193e+02 4.533648e-03
8.399998e-02 3.300000e+00 4.040000e+00 1.306556e-01 1.865942e+00 2.000006e+00 1.474194e+10 4.740110e+03 2.306451e+02 4.346967e-03
8.474997e-02 3.300000e+00 4.040000e+00 1.318218e-01 1.865454e+00 2.000007e+00 1.271318e+10 4.088273e+03 2.679228e+02 3.898621e-03
8.549997e-02 3.300000e+00 4.040000e+00 1.321341e-01 1.866677e+00 2.001914e+00 1.617187e+10 5.200098e+03 2.103561e+02 4.699707e-03
8.624997e-02 3.300000e+00 4.040000e+00 1.328842e-01 1.866343e+00 2.000007e+00 1.445996e+10 4.649769e+03 2.357022e+02 4.213929e-03
8.699997e-02 3.300000e+00 4.040000e+00 1.349669e-01 1.866016e+00 2.000006e+00 1.054633e+10 3.391630e+03 3.242118e+02 3.306508e-03
8.774997e-02 3.300000e+00 4.040000e+00 1.358565e-01 1.866592e+00 2.000006e+00 1.228872e+10 3.951479e+03 2.782780e+02 3.794789e-03
8.849996e-02 3.300000e+00 4.040000e+00 1.367969e-01 1.867599e+00 2.000006e+00 1.261570e+10 4.056700e+03 2.713087e+02 3.909469e-03
8.924996e-02 3.300000e+00 4.040000e+00 1.374153e-01 1.867880e+00 1.998101e+00 1.294199e+10 4.161719e+03 2.646694e+02 3.981471e-03
8.999996e-02 3.300000e+00 4.040000e+00 1.390238e-01 1.867743e+00 2.001913e+00 1.105995e+10 3.556429e+03 3.102769e+02 3.420591e-03
9.074996e-02 3.300000e+00 4.040000e+00 1.403317e-01 1.867451e+00 2.000006e+00 8.225996e+09 2.644970e+03 4.181172e+02 2.672553e-03
9.149995e-02 3.300000e+00 4.040000e+00 1.408989e-01 1.868135e+00 2.001912e+00 7.916547e+09 2.545627e+03 4.348943e+02 2.659917e-03
9.224995e-02 3.300000e+00 4.040000e+00 1.424639e-01 1.868311e+00 2.000007e+00 5.707431e+09 1.835468e+03 6.044536e+02 2.084374e-03
9.299995e-02 3.300000e+00 4.040000e+00 1.432363e-01 1.869613e+00 2.000007e+00 6.505687e+09 2.091798e+03 5.306077e+02 2.220511e-03
9.374995e-02 3.300000e+00 4.040000e+00 1.444581e-01 1.870881e+00 2.000007e+00 6.194424e+09 1.991797e+03 5.578752e+02 2.195477e-03
9.449995e-02 3.300000e+00 4.040000e+00 1.455233e-01 1.871523e+00 1.998100e+00 5.088315e+09 1.636143e+03 6.799881e+02 1.945257e-03
9.524994e-02 3.300000e+00 4.040000e+00 1.467586e-01 1.872185e+00 1.988568e+00 3.680609e+09 1.183204e+03 9.368958e+02 1.539230e-03
9.599994e-02 3.300000e+00 4.040000e+00 1.477742e-01 1.872260e+00 1.653011e+00 1.158126e+09 3.724971e+02 2.753328e+03 8.840561e-04
9.674994e-02 3.300000e+00 4.040000e+00 1.487073e-01 1.873168e+00 1.073374e+00 5.871610e+06 2.112204e+00 1.739072e+02 6.704330e-04
9.749994e-02 3.300000e+00 4.040000e+00 1.493564e-01 1.873971e+00 9.847453e-01 4.980642e+06 1.365558e+00 3.569365e-03 6.664991e-04
9.824993e-02 3.300000e+00 4.040000e+00 1.496723e-01 1.875197e+00 1.065873e+00 5.349848e+06 1.797480e+00 9.474874e-03 6.743670e-04
9.899993e-02 3.300000e+00 4.040000e+00 1.491027e-01 1.876206e+00 8.323281e-01 6.215740e+06 1.933114e+00 1.812565e-02 6.512403e-04
9.974993e-02 3.300000e+00 4.040000e+00 1.477776e-01 1.877187e+00 8.626788e-01 8.546954e+06 2.652106e+00 7.913947e-03 6.787777e-04
1.000000e-01 3.300000e+00 4.040000e+00 1.537848e-01 1.814420e+00 1.001737e+00 9.339440e+05 1.479794e+00 7.520676e-03 7.987022e-06
1.010000e-01 3.300000e+00 4.040000e+00 1.549509e-01 1.815690e+00 1.013746e+00 1.005268e+06 1.651805e+00 -2.112329e-03 1.811981e-05
1.020000e-01 3.300000e+00 4.040000e+00 1.552103e-01 1.816930e+00 9.973267e-01 1.161681e+06 1.875667e+00 6.185770e-04 3.492832e-05
1.030000e-01 3.300000e+00 4.040000e+00 1.532920e-01 1.818381e+00 1.010425e+00 1.718394e+06 2.783872e+00 3.284800e-02 1.692772e-05
1.040000e-01 3.300000e+00 4.040000e+00 1.462267e-01 1.820220e+00 9.954496e-01 4.185844e+06 6.698988e+00 7.440650e-02 -1.192093e-05
1.050000e-01 3.300000e+00 4.040000e+00 1.283123e-01 1.823150e+00 9.940713e-01 1.618759e+07 2.600832e+01 8.161402e-02 1.108646e-05
1.060000e-01 3.300000e+00 4.040000e+00 9.414025e-02 1.827931e+00 1.014196e+00 5.878036e+07 9.450412e+01 8.728492e-02 1.394749e-05
1.070000e-01 3.300000e+00 4.040000e+00 5.298698e-02 1.833251e+00 1.023229e+00 1.374621e+08 2.209639e+02 5.476916e-02 -1.430511e-06
1.080000e-01 3.300000e+00 4.040000e+00 2.264112e-02 1.837216e+00 1.026058e+00 2.132737e+08 3.428334e+02 4.178941e-02 1.156330e-05
1.090000e-01 3.300000e+00 4.040000e+00 7.494922e-03 1.839600e+00 1.034183e+00 2.568449e+08 4.128694e+02 2.880669e-02 2.062321e-05
1.100000e-01 3.300000e+00 4.040000e+00 -1.125124e-02 1.842363e+00 1.030113e+00 3.108955e+08 4.997540e+02 5.566597e-03 2.813339e-05
1.110000e-01 3.300000e+00 4.040000e+00 -6.333158e-02 1.847765e+00 1.042648e+00 4.556360e+08 7.324022e+02 -1.018029e-02 4.088879e-05
1.120000e-01 3.300000e+00 4.040000e+00 -1.669278e-01 1.856408e+00 1.059838e+00 7.876358e+08 1.266105e+03 -5.662596e-02 3.600121e-05
1.130000e-01 3.300000e+00 4.040000e+00 -2.872848e-01 1.864988e+00 1.084265e+00 1.131904e+09 1.819596e+03 -6.416112e-02 5.912781e-05
1.140000e-01 3.300000e+00 4.040000e+00 -3.376722e-01 1.867570e+00 1.086418e+00 1.293997e+09 2.080107e+03 -6.819451e-02 4.220009e-05
1.150000e-01 3.300000e+00 4.040000e+00 -2.944333e-01 1.864013e+00 1.101625e+00 1.362317e+09 2.189839e+03 -8.178329e-02 4.947186e-05
1.160000e-01 3.300000e+00 4.040000e+00 -1.604393e-01 1.856086e+00 1.088065e+00 1.120556e+09 1.801145e+03 -7.171440e-02 3.516674e-05
1.170000e-01 3.300000e+00 4.040000e+00 3.172390e-02 1.846708e+00 1.063953e+00 3.882000e+08 6.240184e+02 4.295766e-02 1.072884e-05
1.180000e-01 3.300000e+00 4.040000e+00 1.510122e-01 1.842587e+00 1.007000e+00 3.342732e+07 5.376515e+01 1.978395e-01 1.049042e-05
1.190000e-01 3.300000e+00 4.040000e+00 1.825752e-01 1.843198e+00 1.013416e+00 2.278706e+06 3.645576e+00 1.466998e-01 1.347065e-05
