#./underdamped_3d_long --dev=0 --amp=3.3 --omega=4.04 --force=0.004 --gam=0.08 --Dg=0.1 --block=1024 --paths=65536 --periods=2000000 --trans=1998000 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-6:-5:50:1 --domainy=a:3.3:3.3:1:0 --domainz=w:4.04:4.04:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-Daw-f0.004-g0.08-a3.3-w4.04-part0.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.000000e-06 3.300000e+00 4.040000e+00 2.952914e-01 4.164559e+00 0.000000e+00 6.184692e+14 3.976730e+06 -6.346508e-01 -nan
1.047129e-06 3.300000e+00 4.040000e+00 3.101301e-01 4.164552e+00 0.000000e+00 6.168883e+14 3.966902e+06 -6.312511e-01 -nan
1.096478e-06 3.300000e+00 4.040000e+00 2.797523e-01 4.164506e+00 0.000000e+00 6.199323e+14 3.986510e+06 -6.379187e-01 -nan
1.148154e-06 3.300000e+00 4.040000e+00 2.677420e-01 4.164480e+00 0.000000e+00 6.210637e+14 3.993705e+06 -6.404144e-01 -nan
1.202264e-06 3.300000e+00 4.040000e+00 3.061365e-01 4.164485e+00 0.000000e+00 6.173636e+14 3.969602e+06 -6.321980e-01 -nan
1.258925e-06 3.300000e+00 4.040000e+00 2.955408e-01 4.164460e+00 0.000000e+00 6.184354e+14 3.976578e+06 -6.346363e-01 -nan
1.318256e-06 3.300000e+00 4.040000e+00 2.296020e-01 4.164369e+00 0.000000e+00 6.242966e+14 4.013891e+06 -6.474695e-01 8.358234e+03
1.380384e-06 3.300000e+00 4.040000e+00 2.785931e-01 4.164383e+00 0.000000e+00 6.199840e+14 3.986449e+06 -6.381196e-01 8.890712e+03
1.445439e-06 3.300000e+00 4.040000e+00 2.823635e-01 4.164359e+00 0.000000e+00 6.195890e+14 3.983788e+06 -6.373471e-01 3.315071e+03
1.513561e-06 3.300000e+00 4.040000e+00 2.602274e-01 4.164306e+00 0.000000e+00 6.215693e+14 3.996155e+06 -6.416482e-01 2.313656e+03
1.584893e-06 3.300000e+00 4.040000e+00 2.100695e-01 4.164236e+00 -3.814739e-02 6.227817e+14 4.004445e+06 -6.480618e-01 2.314702e+02
1.659586e-06 3.300000e+00 4.040000e+00 1.992344e-01 4.164209e+00 0.000000e+00 6.221040e+14 4.000376e+06 -6.483479e-01 1.703997e+02
1.737800e-06 3.300000e+00 4.040000e+00 -1.388881e-02 4.163992e+00 3.814629e-02 6.232024e+14 4.006865e+06 -6.621863e-01 5.396376e+01
1.819700e-06 3.300000e+00 4.040000e+00 -2.397191e-01 4.163777e+00 3.814666e-02 6.124470e+14 3.938183e+06 -6.496507e-01 3.309171e+01
1.905459e-06 3.300000e+00 4.040000e+00 -6.207720e-01 4.163401e+00 -1.907316e-01 5.632786e+14 3.621554e+06 -5.543906e-01 2.038388e+01
1.995263e-06 3.300000e+00 4.040000e+00 -1.045626e+00 4.161989e+00 -1.365682e+01 4.617740e+14 2.970840e+06 -2.683423e-01 1.607052e+01
2.089297e-06 3.300000e+00 4.040000e+00 -1.545013e+00 4.161791e+00 3.814867e-01 2.640026e+14 1.696685e+06 9.039693e-01 1.496935e+01
2.187762e-06 3.300000e+00 4.040000e+00 -1.842938e+00 4.161730e+00 -2.479478e+00 7.898933e+13 5.082542e+05 7.099233e+00 2.890380e+01
2.290868e-06 3.300000e+00 4.040000e+00 -1.916179e+00 4.161698e+00 -5.054320e+00 1.568713e+13 1.008080e+05 3.851883e+01 7.953864e+01
2.398834e-06 3.300000e+00 4.040000e+00 -1.928138e+00 4.161685e+00 -7.991552e+00 7.625587e+11 4.906161e+03 7.316066e+02 7.637198e+02
2.511887e-06 3.300000e+00 4.040000e+00 -1.928448e+00 4.161678e+00 -1.077619e+01 2.705480e+10 1.743262e+02 1.217167e+04 3.005710e+04
2.630268e-06 3.300000e+00 4.040000e+00 -1.928421e+00 4.161670e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
2.754229e-06 3.300000e+00 4.040000e+00 -1.928371e+00 4.161663e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
2.884032e-06 3.300000e+00 4.040000e+00 -1.928328e+00 4.161655e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
3.019952e-06 3.300000e+00 4.040000e+00 -1.928067e+00 4.161644e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
3.162278e-06 3.300000e+00 4.040000e+00 -1.928004e+00 4.161644e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
3.311311e-06 3.300000e+00 4.040000e+00 -1.927563e+00 4.161526e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
3.467368e-06 3.300000e+00 4.040000e+00 -1.926661e+00 4.161575e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
3.630780e-06 3.300000e+00 4.040000e+00 -1.924184e+00 4.161448e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
3.801893e-06 3.300000e+00 4.040000e+00 -1.923784e+00 4.161310e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
3.981071e-06 3.300000e+00 4.040000e+00 -1.922079e+00 4.161122e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
4.168693e-06 3.300000e+00 4.040000e+00 -1.920029e+00 4.160662e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
4.365157e-06 3.300000e+00 4.040000e+00 -1.915794e+00 4.159638e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
4.570880e-06 3.300000e+00 4.040000e+00 -1.911388e+00 4.158288e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
4.786299e-06 3.300000e+00 4.040000e+00 -1.904897e+00 4.155478e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
5.011865e-06 3.300000e+00 4.040000e+00 -1.894979e+00 4.148937e+00 5.948244e-01 4.864355e+10 7.598792e+03 1.389255e+00 1.685143e-03
5.248066e-06 3.300000e+00 4.040000e+00 -1.883246e+00 4.142601e+00 7.759427e-01 4.410363e+10 6.987949e+03 1.036316e+00 2.082109e-03
5.495400e-06 3.300000e+00 4.040000e+00 -1.871738e+00 4.135258e+00 9.189349e-01 4.201171e+10 6.630950e+03 7.797078e-01 2.517581e-03
5.754390e-06 3.300000e+00 4.040000e+00 -1.849363e+00 4.119998e+00 8.026313e-01 4.364808e+10 7.004805e+03 4.829606e-01 3.455043e-03
6.025586e-06 3.300000e+00 4.040000e+00 -1.822808e+00 4.103400e+00 9.589624e-01 4.691869e+10 7.492939e+03 3.282801e-01 4.380703e-03
6.309562e-06 3.300000e+00 4.040000e+00 -1.789623e+00 4.075281e+00 9.818369e-01 5.055041e+10 8.165474e+03 2.043581e-01 6.096125e-03
6.606922e-06 3.300000e+00 4.040000e+00 -1.744291e+00 4.037054e+00 1.002811e+00 5.651560e+10 9.067917e+03 1.339933e-01 8.350134e-03
6.918297e-06 3.300000e+00 4.040000e+00 -1.695542e+00 3.989977e+00 7.930993e-01 6.105016e+10 9.804502e+03 9.199047e-02 1.108456e-02
7.244346e-06 3.300000e+00 4.040000e+00 -1.620148e+00 3.926273e+00 8.712588e-01 6.521625e+10 1.046962e+04 3.887510e-02 1.484215e-02
7.585761e-06 3.300000e+00 4.040000e+00 -1.546841e+00 3.851993e+00 8.483884e-01 7.114807e+10 1.141218e+04 1.759231e-02 2.051377e-02
7.943267e-06 3.300000e+00 4.040000e+00 -1.449800e+00 3.752670e+00 8.865278e-01 7.405447e+10 1.190604e+04 1.333857e-02 3.564560e-02
8.317621e-06 3.300000e+00 4.040000e+00 -1.347742e+00 3.644037e+00 1.044767e+00 7.530920e+10 1.210949e+04 -3.487647e-03 6.694114e-02
8.709618e-06 3.300000e+00 4.040000e+00 -1.238453e+00 3.524100e+00 1.002816e+00 7.325050e+10 1.177525e+04 -8.174777e-04 6.939161e-02
9.120089e-06 3.300000e+00 4.040000e+00 -1.109824e+00 3.378650e+00 1.082870e+00 6.857594e+10 1.103462e+04 -1.256168e-02 7.233357e-02
9.549905e-06 3.300000e+00 4.040000e+00 -9.864722e-01 3.237888e+00 8.807831e-01 6.108762e+10 9.832145e+03 -2.154410e-03 8.199108e-02
1.000000e-05 3.300000e+00 4.040000e+00 -8.760535e-01 3.109585e+00 9.456171e-01 5.431769e+10 8.716479e+03 -8.090734e-04 8.943439e-02
1.047129e-05 3.300000e+00 4.040000e+00 -7.488859e-01 2.960220e+00 9.723077e-01 4.571156e+10 7.338459e+03 -5.889714e-03 9.952044e-02
1.096478e-05 3.300000e+00 4.040000e+00 -6.533335e-01 2.838441e+00 1.090512e+00 3.768987e+10 6.056641e+03 -3.903806e-03 1.149608e-01
