#./underdamped_3d --dev=0 --amp=4.818 --omega=4.028 --force=0.1 --gam=0.022 --Dg=0 --block=1024 --paths=262144 --periods=250000 --trans=249750 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.02:0.025:10:0 --domainy=a:4.818:4.818:1:0 --domainz=w:4.028:4.028:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./data/3d-faw-D0-g0.022-a4.818-w4.028-spp200-part2.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 4.818000e+00 4.028000e+00 -2.169099e-03 6.110317e+00 2.063743e+00 4.320487e+11 6.923713e+05 -5.155602e-01 8.807051e-02
5.000000e-04 4.818000e+00 4.028000e+00 2.367721e-02 6.123413e+00 2.052303e+00 4.342367e+11 6.957564e+05 -5.180569e-01 8.706582e-02
9.999999e-04 4.818000e+00 4.028000e+00 4.034201e-02 6.175340e+00 2.025605e+00 4.425085e+11 7.090811e+05 -5.271395e-01 8.340633e-02
1.500000e-03 4.818000e+00 4.028000e+00 6.453228e-02 6.228240e+00 2.010353e+00 4.504973e+11 7.219978e+05 -5.353232e-01 7.976925e-02
2.000000e-03 4.818000e+00 4.028000e+00 7.711782e-02 6.364790e+00 1.996983e+00 4.721346e+11 7.565958e+05 -5.567586e-01 6.998372e-02
2.500000e-03 4.818000e+00 4.028000e+00 8.789972e-02 6.434280e+00 2.111438e+00 4.826777e+11 7.737268e+05 -5.662673e-01 6.510627e-02
3.000000e-03 4.818000e+00 4.028000e+00 1.120420e-01 6.449668e+00 1.939767e+00 4.845571e+11 7.766442e+05 -5.674068e-01 6.410551e-02
3.500000e-03 4.818000e+00 4.028000e+00 1.241615e-01 6.487601e+00 2.075224e+00 4.900991e+11 7.856748e+05 -5.719005e-01 6.148028e-02
4.000000e-03 4.818000e+00 4.028000e+00 1.300884e-01 6.549162e+00 1.895899e+00 4.996094e+11 8.008699e+05 -5.799971e-01 5.712032e-02
4.500000e-03 4.818000e+00 4.028000e+00 1.352499e-01 6.617857e+00 1.979819e+00 5.101325e+11 8.177611e+05 -5.885489e-01 5.229247e-02
5.000000e-03 4.818000e+00 4.028000e+00 1.453892e-01 6.745818e+00 1.932132e+00 5.298138e+11 8.493145e+05 -6.036012e-01 4.292023e-02
5.500000e-03 4.818000e+00 4.028000e+00 1.506353e-01 6.795370e+00 1.943578e+00 5.373002e+11 8.611256e+05 -6.090933e-01 3.929830e-02
6.000001e-03 4.818000e+00 4.028000e+00 1.468696e-01 6.901114e+00 1.914979e+00 5.535638e+11 8.872611e+05 -6.209666e-01 3.148234e-02
6.500001e-03 4.818000e+00 4.028000e+00 1.544421e-01 6.947465e+00 2.180079e+00 5.606331e+11 8.983653e+05 -6.255250e-01 2.804339e-02
