#./underdamped_3d --dev=0 --amp=4.818 --omega=4.028 --force=0.1 --gam=0.022 --Dg=3e-05 --block=1024 --paths=65536 --periods=500000 --trans=499500 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.07:0.075:10:0 --domainy=a:4.818:4.818:1:0 --domainz=w:4.028:4.028:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./data/3d-faw-D3e-05-g0.022-a4.818-w4.028-spp200-part3.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 4.818000e+00 4.028000e+00 5.477329e-04 7.302352e+00 2.165799e+00 6.199195e+13 9.935803e+06 -6.650787e-01 1.140046e-02
5.000000e-04 4.818000e+00 4.028000e+00 1.549330e-02 7.302353e+00 2.129570e+00 6.267589e+13 1.004546e+07 -6.659849e-01 1.139927e-02
9.999999e-04 4.818000e+00 4.028000e+00 1.815183e-02 7.302371e+00 2.009448e+00 6.334391e+13 1.015302e+07 -6.664653e-01 1.141798e-02
1.500000e-03 4.818000e+00 4.028000e+00 3.333148e-02 7.302401e+00 2.251593e+00 6.361469e+13 1.019532e+07 -6.664623e-01 1.139951e-02
2.000000e-03 4.818000e+00 4.028000e+00 7.049786e-02 7.302444e+00 2.024694e+00 6.367017e+13 1.020513e+07 -6.656682e-01 1.134539e-02
2.500000e-03 4.818000e+00 4.028000e+00 7.941619e-02 7.302526e+00 1.868396e+00 6.369077e+13 1.020949e+07 -6.653197e-01 1.137173e-02
3.000000e-03 4.818000e+00 4.028000e+00 8.659882e-02 7.340578e+00 0.000000e+00 6.329735e+14 4.055766e+06 -6.656313e-01 -nan
3.500000e-03 4.818000e+00 4.028000e+00 9.807447e-02 7.340758e+00 0.000000e+00 6.326237e+14 4.054473e+06 -6.652095e-01 3.276700e+04
4.000000e-03 4.818000e+00 4.028000e+00 1.219231e-01 7.341018e+00 0.000000e+00 6.316834e+14 4.051457e+06 -6.634215e-01 2.359196e+04
4.500000e-03 4.818000e+00 4.028000e+00 1.208440e-01 7.341315e+00 0.000000e+00 6.316501e+14 4.049786e+06 -6.637087e-01 2.091579e+03
5.000000e-03 4.818000e+00 4.028000e+00 1.309959e-01 7.341630e+00 0.000000e+00 6.316746e+14 4.047293e+06 -6.634581e-01 1.225210e+03
5.500000e-03 4.818000e+00 4.028000e+00 1.175886e-01 7.341825e+00 -3.812068e-03 6.311490e+14 4.046599e+06 -6.635008e-01 6.764045e+02
6.000000e-03 4.818000e+00 4.028000e+00 8.226768e-02 7.341746e+00 7.623112e-03 6.307412e+14 4.042754e+06 -6.645736e-01 3.003555e+02
6.500000e-03 4.818000e+00 4.028000e+00 -1.199526e-01 7.341299e+00 1.904520e-02 6.274557e+14 4.021696e+06 -6.631936e-01 9.894137e+01
7.000000e-03 4.818000e+00 4.028000e+00 -3.884347e-01 7.340848e+00 -9.535013e-02 6.131270e+14 3.932599e+06 -6.418298e-01 4.991693e+01
7.500000e-03 4.818000e+00 4.028000e+00 -1.019378e+00 7.340051e+00 -4.840757e-01 5.407583e+14 3.467054e+06 -4.805028e-01 2.727009e+01
8.000000e-03 4.818000e+00 4.028000e+00 -1.774822e+00 7.339644e+00 -1.590041e+00 3.681397e+14 2.361631e+06 1.826099e-01 2.140692e+01
8.500000e-03 4.818000e+00 4.028000e+00 -2.405142e+00 7.339449e+00 -2.428699e+00 1.327951e+14 8.517654e+05 3.798898e+00 3.166991e+01
9.000001e-03 4.818000e+00 4.028000e+00 -2.610476e+00 7.339476e+00 -4.236032e+00 2.691010e+13 1.726352e+05 2.460963e+01 8.149706e+01
9.500001e-03 4.818000e+00 4.028000e+00 -2.647244e+00 7.339490e+00 -7.722796e+00 1.363585e+12 8.747210e+03 4.539180e+02 7.538055e+02
1.000000e-02 4.818000e+00 4.028000e+00 -2.648538e+00 7.339447e+00 -2.867892e+01 2.923072e+09 1.892963e+01 2.184377e+04 6.553500e+04
1.050000e-02 4.818000e+00 4.028000e+00 -2.648539e+00 7.339410e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
1.100000e-02 4.818000e+00 4.028000e+00 -2.648543e+00 7.339377e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
1.150000e-02 4.818000e+00 4.028000e+00 -2.648548e+00 7.339345e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
1.200000e-02 4.818000e+00 4.028000e+00 -2.648553e+00 7.339325e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
1.250000e-02 4.818000e+00 4.028000e+00 -2.648557e+00 7.339291e+00 -nan 0.000000e+00 0.000000e+00 -nan -nan
1.300000e-02 4.818000e+00 4.028000e+00 -2.559505e+00 7.305277e+00 7.435419e-02 4.205607e+12 6.739527e+05 2.731395e+00 1.323962e-02
1.350000e-02 4.818000e+00 4.028000e+00 -2.562391e+00 7.305440e+00 3.357102e-07 2.168599e+12 3.473123e+05 2.915912e+00 1.240444e-02
1.400000e-02 4.818000e+00 4.028000e+00 -2.562469e+00 7.305480e+00 1.334757e-02 1.055709e+12 1.692252e+05 2.937748e+00 1.180470e-02
1.450000e-02 4.818000e+00 4.028000e+00 -2.562469e+00 7.305735e+00 9.530343e-03 5.813963e+11 9.297904e+04 2.679331e+00 1.157248e-02
