#./underdamped_3d --dev=0 --amp=4.818 --omega=4.028 --force=0.025 --gam=0.022 --Dg=0.1 --block=1024 --paths=65536 --periods=1000000.0 --trans=999000 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-6:-4:100:1 --domainy=a:4.818:4.818:1:0 --domainz=w:4.028:4.028:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./data/3d-Daw-f0.025-g0.022-a4.818-w4.028-part0.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.000000e-06 4.818000e+00 4.028000e+00 5.831805e-01 7.346544e+00 1.973305e+00 1.501902e+13 4.814294e+06 -5.938830e-01 1.278162e-03
1.047129e-06 4.818000e+00 4.028000e+00 5.892075e-01 7.346518e+00 1.931370e+00 1.500245e+13 4.809232e+06 -5.922474e-01 1.282215e-03
1.096478e-06 4.818000e+00 4.028000e+00 5.716026e-01 7.346357e+00 2.034335e+00 1.505168e+13 4.824612e+06 -5.969387e-01 1.273751e-03
1.148154e-06 4.818000e+00 4.028000e+00 5.899147e-01 7.346591e+00 1.956169e+00 1.500003e+13 4.808249e+06 -5.921032e-01 1.264334e-03
1.202264e-06 4.818000e+00 4.028000e+00 5.767732e-01 7.346383e+00 1.982849e+00 1.503737e+13 4.820112e+06 -5.955762e-01 1.264215e-03
1.258925e-06 4.818000e+00 4.028000e+00 5.726233e-01 7.346373e+00 2.083899e+00 1.504923e+13 4.823858e+06 -5.966695e-01 1.255155e-03
1.318256e-06 4.818000e+00 4.028000e+00 5.765511e-01 7.346411e+00 1.980942e+00 1.503888e+13 4.820633e+06 -5.956309e-01 1.278877e-03
1.380384e-06 4.818000e+00 4.028000e+00 5.801435e-01 7.346425e+00 2.022901e+00 1.502906e+13 4.817544e+06 -5.946932e-01 1.260519e-03
1.445439e-06 4.818000e+00 4.028000e+00 5.633258e-01 7.346220e+00 2.028607e+00 1.507426e+13 4.831856e+06 -5.990317e-01 1.255393e-03
1.513561e-06 4.818000e+00 4.028000e+00 5.839901e-01 7.346363e+00 1.977108e+00 1.501805e+13 4.814011e+06 -5.936888e-01 1.246810e-03
1.584893e-06 4.818000e+00 4.028000e+00 5.747589e-01 7.346409e+00 1.948518e+00 1.504252e+13 4.822083e+06 -5.960456e-01 1.270771e-03
1.659586e-06 4.818000e+00 4.028000e+00 5.688124e-01 7.346318e+00 1.980937e+00 1.505910e+13 4.827168e+06 -5.976067e-01 1.268864e-03
1.737800e-06 4.818000e+00 4.028000e+00 5.691280e-01 7.346347e+00 1.992366e+00 1.505788e+13 4.826733e+06 -5.974654e-01 1.265407e-03
1.819700e-06 4.818000e+00 4.028000e+00 5.620862e-01 7.346300e+00 1.965690e+00 1.507542e+13 4.832400e+06 -5.991769e-01 1.240611e-03
1.905459e-06 4.818000e+00 4.028000e+00 5.795482e-01 7.346421e+00 2.007655e+00 1.502221e+13 4.815388e+06 -5.944904e-01 1.237631e-03
1.995261e-06 4.818000e+00 4.028000e+00 5.627235e-01 7.346426e+00 2.076258e+00 1.506379e+13 4.828536e+06 -5.985243e-01 1.227856e-03
2.089295e-06 4.818000e+00 4.028000e+00 5.584669e-01 7.346360e+00 1.961869e+00 1.507323e+13 4.831896e+06 -5.995222e-01 1.257658e-03
2.187760e-06 4.818000e+00 4.028000e+00 5.642238e-01 7.346803e+00 1.958071e+00 1.504852e+13 4.823914e+06 -5.976033e-01 1.241446e-03
2.290866e-06 4.818000e+00 4.028000e+00 5.512111e-01 7.347050e+00 2.055308e+00 1.505973e+13 4.827199e+06 -5.998752e-01 1.233935e-03
2.398831e-06 4.818000e+00 4.028000e+00 5.528477e-01 7.347310e+00 1.959957e+00 1.504883e+13 4.824122e+06 -5.991179e-01 1.221180e-03
2.511884e-06 4.818000e+00 4.028000e+00 5.518149e-01 7.348185e+00 2.053393e+00 1.501765e+13 4.813676e+06 -5.980519e-01 1.183033e-03
2.630265e-06 4.818000e+00 4.028000e+00 5.424585e-01 7.348326e+00 2.026699e+00 1.501964e+13 4.814424e+06 -5.993111e-01 1.191258e-03
2.754226e-06 4.818000e+00 4.028000e+00 5.270231e-01 7.349105e+00 2.057215e+00 1.503743e+13 4.820098e+06 -6.023594e-01 1.166821e-03
2.884029e-06 4.818000e+00 4.028000e+00 5.135212e-01 7.349688e+00 1.986654e+00 1.505035e+13 4.824482e+06 -6.049335e-01 1.143098e-03
3.019949e-06 4.818000e+00 4.028000e+00 4.938146e-01 7.349991e+00 2.040029e+00 1.507901e+13 4.833424e+06 -6.090111e-01 1.128316e-03
3.162274e-06 4.818000e+00 4.028000e+00 5.107885e-01 7.350442e+00 2.032414e+00 1.504393e+13 4.822202e+06 -6.058837e-01 1.111507e-03
3.311307e-06 4.818000e+00 4.028000e+00 5.037093e-01 7.350400e+00 2.015257e+00 1.506285e+13 4.828243e+06 -6.079868e-01 1.119852e-03
3.467364e-06 4.818000e+00 4.028000e+00 4.824351e-01 7.349959e+00 2.013350e+00 1.511766e+13 4.845806e+06 -6.129982e-01 1.142263e-03
3.630776e-06 4.818000e+00 4.028000e+00 4.795099e-01 7.350165e+00 1.998102e+00 1.511224e+13 4.844126e+06 -6.129764e-01 1.144886e-03
3.801889e-06 4.818000e+00 4.028000e+00 4.585023e-01 7.349595e+00 1.948536e+00 1.512905e+13 4.849726e+06 -6.158206e-01 1.173377e-03
3.981067e-06 4.818000e+00 4.028000e+00 4.325843e-01 7.349114e+00 1.986667e+00 1.511070e+13 4.843761e+06 -6.179121e-01 1.168966e-03
4.168688e-06 4.818000e+00 4.028000e+00 3.662786e-01 7.348289e+00 1.979052e+00 1.514313e+13 4.854179e+06 -6.254620e-01 1.212478e-03
4.365152e-06 4.818000e+00 4.028000e+00 3.415504e-01 7.347417e+00 2.011430e+00 1.501284e+13 4.812266e+06 -6.226467e-01 1.239181e-03
4.570875e-06 4.818000e+00 4.028000e+00 2.387017e-01 7.345283e+00 1.998099e+00 1.495219e+13 4.792780e+06 -6.294391e-01 1.363635e-03
4.786294e-06 4.818000e+00 4.028000e+00 1.130007e-01 7.343039e+00 1.904682e+00 1.479455e+13 4.742534e+06 -6.338800e-01 1.483202e-03
5.011865e-06 4.818000e+00 4.028000e+00 -7.730427e-02 7.338931e+00 1.931375e+00 1.457689e+13 4.672602e+06 -6.389146e-01 1.673818e-03
5.248066e-06 4.818000e+00 4.028000e+00 -2.650720e-01 7.335311e+00 1.919930e+00 1.419315e+13 4.549543e+06 -6.358323e-01 1.833081e-03
5.495400e-06 4.818000e+00 4.028000e+00 -5.445774e-01 7.330372e+00 1.857016e+00 1.362202e+13 4.366486e+06 -6.253257e-01 2.045631e-03
5.754390e-06 4.818000e+00 4.028000e+00 -8.765689e-01 7.325559e+00 1.790290e+00 1.280117e+13 4.103308e+06 -5.960429e-01 2.225995e-03
