#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=a:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_a:-0.05:1.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
8.912510e-02 8.912509e-01 1.033470e+00 1.010000e+00 7.617135e+04 6.050752e+00 4.380405e-02 2.561092e-03
9.141134e-02 8.912509e-01 1.021116e+00 1.023245e+00 7.592965e+04 6.009054e+00 5.780458e-04 2.587438e-03
9.375623e-02 8.912509e-01 1.009051e+00 9.973133e-01 7.196431e+04 5.748995e+00 -1.203138e-02 2.470016e-03
9.616126e-02 8.912509e-01 9.985268e-01 1.002887e+00 7.033965e+04 5.593659e+00 -2.006054e-02 2.455473e-03
9.862799e-02 8.912509e-01 9.894893e-01 9.885992e-01 6.797319e+04 5.404902e+00 -1.226193e-02 2.412438e-03
1.011580e-01 8.912509e-01 9.806276e-01 9.957016e-01 6.599026e+04 5.250203e+00 -2.049172e-02 2.424836e-03
1.037529e-01 8.912509e-01 9.724379e-01 1.013042e+00 6.534150e+04 5.183995e+00 -5.713403e-03 2.443671e-03
1.064143e-01 8.912509e-01 9.659967e-01 9.952362e-01 6.314940e+04 5.059854e+00 1.696396e-02 2.447009e-03
1.091441e-01 8.912509e-01 9.608185e-01 1.007415e+00 6.159720e+04 4.894969e+00 4.104257e-03 2.413392e-03
1.119438e-01 8.912509e-01 9.574073e-01 1.010332e+00 5.991421e+04 4.759051e+00 -8.486569e-03 2.366185e-03
1.148154e-01 8.912509e-01 9.552435e-01 9.792367e-01 5.583839e+04 4.447744e+00 5.571008e-03 2.245307e-03
1.177606e-01 8.912509e-01 9.534258e-01 9.927249e-01 5.486567e+04 4.367530e+00 1.233006e-02 2.244353e-03
1.207814e-01 8.912509e-01 9.546214e-01 9.954220e-01 5.427624e+04 4.336972e+00 5.147874e-02 2.209425e-03
1.238797e-01 8.912509e-01 9.557803e-01 1.000451e+00 5.180657e+04 4.126887e+00 1.981747e-02 2.191544e-03
1.270574e-01 8.912509e-01 9.590541e-01 1.006612e+00 5.245308e+04 4.179090e+00 4.373133e-02 2.164960e-03
1.303167e-01 8.912509e-01 9.637517e-01 9.861131e-01 5.024127e+04 4.018662e+00 3.408015e-02 2.080441e-03
1.336595e-01 8.912509e-01 9.703531e-01 1.004168e+00 4.911129e+04 3.922214e+00 2.743137e-02 2.045631e-03
1.370881e-01 8.912509e-01 9.794376e-01 1.019050e+00 5.102839e+04 4.057178e+00 4.376554e-02 2.092481e-03
1.406047e-01 8.912509e-01 9.890299e-01 9.931415e-01 4.813238e+04 3.839135e+00 2.430940e-02 1.980662e-03
1.442115e-01 8.912509e-01 1.000288e+00 1.000209e+00 4.640067e+04 3.731547e+00 2.524996e-02 1.919270e-03
1.479108e-01 8.912509e-01 1.012225e+00 1.015388e+00 4.743598e+04 3.755738e+00 3.851247e-02 1.918077e-03
1.517050e-01 8.912509e-01 1.025056e+00 9.972586e-01 4.537471e+04 3.584806e+00 2.686727e-02 1.838923e-03
1.555965e-01 8.912509e-01 1.037723e+00 9.954339e-01 4.559054e+04 3.641783e+00 4.263353e-02 1.797080e-03
1.595878e-01 8.912509e-01 1.050009e+00 9.927848e-01 4.469802e+04 3.570482e+00 5.771530e-02 1.809597e-03
1.636816e-01 8.912509e-01 1.062028e+00 1.010417e+00 4.464571e+04 3.544062e+00 4.291320e-02 1.777530e-03
1.678803e-01 8.912509e-01 1.072612e+00 9.930643e-01 4.359299e+04 3.468304e+00 2.144921e-02 1.736641e-03
1.721867e-01 8.912509e-01 1.081106e+00 9.894785e-01 4.209118e+04 3.352440e+00 1.741934e-02 1.670957e-03
1.766036e-01 8.912509e-01 1.086441e+00 9.930112e-01 4.217212e+04 3.369310e+00 1.282203e-02 1.697421e-03
1.811339e-01 8.912509e-01 1.086882e+00 9.889678e-01 4.099211e+04 3.293552e+00 -1.204991e-02 1.683712e-03
1.857803e-01 8.912509e-01 1.082323e+00 9.895366e-01 3.974493e+04 3.175459e+00 8.356571e-03 1.640916e-03
1.905459e-01 8.912509e-01 1.074858e+00 1.000721e+00 3.988139e+04 3.202516e+00 2.045631e-04 1.647830e-03
1.954338e-01 8.912509e-01 1.066676e+00 9.977791e-01 3.951470e+04 3.150631e+00 -1.213241e-02 1.686096e-03
2.004470e-01 8.912509e-01 1.057508e+00 9.869806e-01 3.837293e+04 3.039859e+00 2.021194e-03 1.677155e-03
2.055888e-01 8.912509e-01 1.048445e+00 9.775778e-01 3.746991e+04 2.988293e+00 -2.370775e-02 1.608133e-03
2.108626e-01 8.912509e-01 1.040417e+00 9.807096e-01 3.726584e+04 2.964420e+00 -1.236093e-02 1.626611e-03
