#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
8.912510e-02 8.912509e+00 1.046245e+00 9.990196e-01 7.945904e+04 6.296488e+00 2.764094e-02 2.551556e-03
9.141134e-02 8.912509e+00 1.028070e+00 9.938831e-01 7.634398e+04 6.080674e+00 1.192820e-02 2.577186e-03
9.375623e-02 8.912509e+00 1.012370e+00 9.986509e-01 7.316368e+04 5.799606e+00 -5.168200e-03 2.563000e-03
9.616126e-02 8.912509e+00 9.965907e-01 1.003724e+00 7.029296e+04 5.598434e+00 -2.451044e-02 2.587080e-03
9.862799e-02 8.912509e+00 9.837340e-01 1.022380e+00 6.918040e+04 5.502941e+00 -1.976675e-02 2.662182e-03
1.011580e-01 8.912509e+00 9.713535e-01 1.003470e+00 6.599938e+04 5.258798e+00 -2.488106e-02 2.640843e-03
1.037529e-01 8.912509e+00 9.614841e-01 9.939994e-01 6.417530e+04 5.106964e+00 -2.293634e-02 2.672434e-03
1.064143e-01 8.912509e+00 9.531430e-01 1.010659e+00 6.186925e+04 4.925209e+00 -1.486951e-02 2.695799e-03
1.091441e-01 8.912509e+00 9.466109e-01 9.979482e-01 5.812306e+04 4.634592e+00 2.096164e-02 2.626300e-03
1.119438e-01 8.912509e+00 9.421741e-01 1.004099e+00 5.691162e+04 4.537189e+00 5.047083e-03 2.654314e-03
1.148154e-01 8.912509e+00 9.392650e-01 9.848827e-01 5.334188e+04 4.244662e+00 3.482342e-03 2.515554e-03
1.177606e-01 8.912509e+00 9.388130e-01 1.005482e+00 5.482340e+04 4.383127e+00 2.336276e-02 2.574921e-03
1.207814e-01 8.912509e+00 9.398562e-01 9.853116e-01 5.178971e+04 4.126887e+00 5.366635e-02 2.479434e-03
1.238797e-01 8.912509e+00 9.424931e-01 9.884258e-01 5.004079e+04 3.984285e+00 4.185462e-02 2.447724e-03
1.270574e-01 8.912509e+00 9.479566e-01 1.010147e+00 5.023040e+04 4.003065e+00 6.232035e-02 2.422333e-03
1.303167e-01 8.912509e+00 9.540120e-01 9.836715e-01 4.854878e+04 3.865555e+00 -9.916425e-04 2.315164e-03
1.336595e-01 8.912509e+00 9.625568e-01 1.010589e+00 4.882940e+04 3.908527e+00 4.501581e-02 2.313614e-03
1.370881e-01 8.912509e+00 9.725815e-01 1.008673e+00 4.871927e+04 3.892930e+00 2.711070e-02 2.265930e-03
