#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:0.95:2.05:100:1 --domainy=a:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:0.95:2.05:100:1_a:-0.05:1.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
8.912509e+00 8.912509e-01 1.015754e+00 1.032185e+00 1.886277e+05 1.500927e+01 6.304324e-02 3.448725e-04
9.141131e+00 8.912509e-01 1.015849e+00 1.014882e+00 1.891455e+05 1.503791e+01 8.564591e-03 3.358126e-04
9.375619e+00 8.912509e-01 1.014529e+00 9.936799e-01 1.883186e+05 1.496693e+01 7.353902e-03 3.293753e-04
9.616121e+00 8.912509e-01 1.014886e+00 9.921356e-01 1.911425e+05 1.522381e+01 -8.848965e-03 3.290176e-04
9.862793e+00 8.912509e-01 1.013590e+00 9.996242e-01 1.938117e+05 1.539124e+01 -4.387975e-03 3.137589e-04
1.011579e+01 8.912509e-01 1.014777e+00 1.008424e+00 2.007886e+05 1.598011e+01 1.358306e-02 3.201962e-04
1.037528e+01 8.912509e-01 1.012750e+00 1.021557e+00 2.115781e+05 1.682554e+01 3.482068e-02 3.218651e-04
1.064143e+01 8.912509e-01 1.013202e+00 9.970283e-01 2.113138e+05 1.681026e+01 5.262887e-02 3.192425e-04
1.091440e+01 8.912509e-01 1.012548e+00 1.006644e+00 2.203676e+05 1.755129e+01 2.978945e-02 3.151894e-04
1.119438e+01 8.912509e-01 1.011712e+00 9.878414e-01 2.195155e+05 1.749049e+01 -8.579910e-03 3.302097e-04
1.148154e+01 8.912509e-01 1.012169e+00 9.933659e-01 2.256961e+05 1.795841e+01 -1.467705e-02 3.144741e-04
1.177606e+01 8.912509e-01 1.009420e+00 9.939133e-01 2.316699e+05 1.844510e+01 -1.080251e-02 3.143549e-04
1.207814e+01 8.912509e-01 1.010334e+00 1.001831e+00 2.372450e+05 1.888405e+01 -2.208829e-02 3.075600e-04
1.238797e+01 8.912509e-01 1.009473e+00 9.603988e-01 2.323298e+05 1.850272e+01 -3.188837e-02 3.095865e-04
1.270575e+01 8.912509e-01 1.010157e+00 9.638234e-01 2.333762e+05 1.859566e+01 -2.527511e-02 2.990961e-04
1.303168e+01 8.912509e-01 1.010906e+00 9.754729e-01 2.451304e+05 1.948629e+01 7.725954e-04 2.976656e-04
1.336596e+01 8.912509e-01 1.008828e+00 9.641182e-01 2.470161e+05 1.964672e+01 2.351511e-02 2.913475e-04
1.370883e+01 8.912509e-01 1.008997e+00 9.707272e-01 2.575612e+05 2.048801e+01 8.559227e-03 2.934933e-04
1.406049e+01 8.912509e-01 1.009115e+00 9.796575e-01 2.669355e+05 2.123859e+01 -4.251122e-03 2.973080e-04
1.442117e+01 8.912509e-01 1.009809e+00 1.005283e+00 2.827782e+05 2.249400e+01 -9.310365e-03 2.975464e-04
1.479110e+01 8.912509e-01 1.007113e+00 9.940429e-01 2.837091e+05 2.259141e+01 -3.598779e-02 2.841949e-04
1.517052e+01 8.912509e-01 1.007346e+00 9.840781e-01 2.864003e+05 2.278685e+01 -2.774614e-02 3.008842e-04
1.555967e+01 8.912509e-01 1.006959e+00 9.943731e-01 2.988487e+05 2.380576e+01 -4.146397e-02 2.816916e-04
1.595881e+01 8.912509e-01 1.006186e+00 9.757925e-01 3.007391e+05 2.392672e+01 -4.322159e-02 2.757311e-04
1.636819e+01 8.912509e-01 1.006573e+00 9.940435e-01 3.233434e+05 2.570161e+01 -8.636713e-03 2.862215e-04
1.678806e+01 8.912509e-01 1.007578e+00 9.941516e-01 3.250620e+05 2.586300e+01 3.374100e-03 2.892017e-04
1.721871e+01 8.912509e-01 1.007970e+00 1.015065e+00 3.422572e+05 2.725210e+01 -1.890004e-02 2.697706e-04
1.766041e+01 8.912509e-01 1.005612e+00 9.948821e-01 3.479122e+05 2.769105e+01 -1.721966e-02 2.669096e-04
1.811343e+01 8.912509e-01 1.007714e+00 9.845017e-01 3.556559e+05 2.831144e+01 -3.046697e-02 2.692938e-04
1.857808e+01 8.912509e-01 1.004871e+00 9.844843e-01 3.602830e+05 2.867622e+01 -2.617198e-02 2.677441e-04
1.905464e+01 8.912509e-01 1.005804e+00 9.859881e-01 3.753271e+05 2.988293e+01 -3.368300e-02 2.784729e-04
1.954343e+01 8.912509e-01 1.006129e+00 9.880243e-01 3.821037e+05 3.042024e+01 -2.010262e-02 2.719164e-04
2.004476e+01 8.912509e-01 1.005652e+00 1.006158e+00 4.007209e+05 3.188223e+01 -2.113861e-02 2.673864e-04
2.055895e+01 8.912509e-01 1.005386e+00 9.948393e-01 4.066635e+05 3.237116e+01 -2.792186e-02 2.609491e-04
2.108633e+01 8.912509e-01 1.004917e+00 9.804390e-01 4.097703e+05 3.260607e+01 -1.138347e-02 2.623796e-04
2.162724e+01 8.912509e-01 1.005614e+00 9.854749e-01 4.242968e+05 3.376472e+01 -2.620047e-02 2.710819e-04
2.218202e+01 8.912509e-01 1.006734e+00 1.001824e+00 4.389024e+05 3.494342e+01 -1.840580e-02 2.712011e-04
2.275103e+01 8.912509e-01 1.006826e+00 1.006882e+00 4.516583e+05 3.595692e+01 -2.974516e-02 2.669096e-04
2.333464e+01 8.912509e-01 1.005307e+00 9.836432e-01 4.578166e+05 3.644171e+01 -3.962439e-02 2.642870e-04
2.393322e+01 8.912509e-01 1.006289e+00 1.008537e+00 4.792424e+05 3.815039e+01 -5.447751e-02 2.629757e-04
2.454716e+01 8.912509e-01 1.004776e+00 1.006204e+00 4.865554e+05 3.870425e+01 -4.136533e-02 2.732277e-04
2.517684e+01 8.912509e-01 1.006149e+00 1.003584e+00 4.979539e+05 3.965409e+01 -4.938751e-02 2.671480e-04
2.582268e+01 8.912509e-01 1.004050e+00 1.001822e+00 5.070838e+05 4.036838e+01 -2.884918e-02 2.567768e-04
2.648508e+01 8.912509e-01 1.005049e+00 1.024258e+00 5.273408e+05 4.195834e+01 3.808975e-03 2.601147e-04
2.716448e+01 8.912509e-01 1.004156e+00 1.010454e+00 5.333734e+05 4.244248e+01 2.384186e-05 2.630949e-04
2.786130e+01 8.912509e-01 1.005819e+00 9.927458e-01 5.383276e+05 4.284419e+01 -4.475355e-03 2.648830e-04
2.857600e+01 8.912509e-01 1.003881e+00 1.003938e+00 5.524338e+05 4.399138e+01 -1.158023e-02 2.783537e-04
2.930903e+01 8.912509e-01 1.005584e+00 9.832949e-01 5.639362e+05 4.486100e+01 -1.691300e-02 2.665520e-04
3.006087e+01 8.912509e-01 1.006279e+00 9.831703e-01 5.793900e+05 4.610846e+01 -1.448625e-02 2.681017e-04
3.083199e+01 8.912509e-01 1.003556e+00 1.015846e+00 6.184232e+05 4.919575e+01 -2.186024e-02 2.726316e-04
3.162289e+01 8.912509e-01 1.002047e+00 9.751120e-01 6.118259e+05 4.868200e+01 -1.422101e-02 2.621412e-04
3.243408e+01 8.912509e-01 1.004997e+00 9.924248e-01 6.322959e+05 5.033020e+01 -7.226175e-02 2.596378e-04
3.326608e+01 8.912509e-01 1.006513e+00 9.741874e-01 6.433374e+05 5.119155e+01 -4.994941e-02 2.478361e-04
3.411942e+01 8.912509e-01 1.006290e+00 1.000573e+00 6.779005e+05 5.393220e+01 -3.271657e-02 2.539158e-04
3.499465e+01 8.912509e-01 1.005229e+00 9.915189e-01 6.853710e+05 5.455640e+01 -3.461820e-02 2.497435e-04
3.589234e+01 8.912509e-01 1.004354e+00 9.803160e-01 6.805614e+05 5.414737e+01 -3.279567e-02 2.441406e-04
3.681305e+01 8.912509e-01 1.003477e+00 1.002633e+00 7.234052e+05 5.754533e+01 -4.241294e-02 2.452135e-04
3.775738e+01 8.912509e-01 1.004087e+00 9.840935e-01 7.340945e+05 5.842546e+01 -4.154563e-02 2.425909e-04
3.872593e+01 8.912509e-01 1.006081e+00 9.814970e-01 7.584821e+05 6.036365e+01 -2.821159e-02 2.423525e-04
3.971933e+01 8.912509e-01 1.003980e+00 1.003034e+00 7.871446e+05 6.262651e+01 -2.595413e-02 2.485514e-04
4.073821e+01 8.912509e-01 1.007937e+00 9.950569e-01 8.130239e+05 6.467802e+01 -4.574913e-02 2.446175e-04
4.178323e+01 8.912509e-01 1.005003e+00 9.923475e-01 8.226071e+05 6.544706e+01 -1.425648e-02 2.539158e-04
4.285505e+01 8.912509e-01 1.005113e+00 9.868859e-01 8.378707e+05 6.669483e+01 -4.744005e-02 2.434254e-04
4.395437e+01 8.912509e-01 1.005711e+00 9.814173e-01 8.623366e+05 6.863239e+01 -3.559858e-02 2.423525e-04
4.508189e+01 8.912509e-01 1.004209e+00 9.889919e-01 8.942652e+05 7.117027e+01 -2.634472e-02 2.390146e-04
4.623833e+01 8.912509e-01 1.001942e+00 1.009126e+00 9.341821e+05 7.433777e+01 -1.631469e-02 2.375841e-04
4.742443e+01 8.912509e-01 1.003838e+00 1.008453e+00 9.495386e+05 7.554289e+01 2.548814e-03 2.427101e-04
4.864096e+01 8.912509e-01 1.004749e+00 1.016017e+00 9.925782e+05 7.898987e+01 -1.631570e-02 2.311468e-04
4.988870e+01 8.912509e-01 1.002207e+00 1.013047e+00 1.011700e+06 8.051617e+01 -6.850839e-03 2.346039e-04
5.116845e+01 8.912509e-01 1.002965e+00 9.862333e-01 9.977080e+05 7.938680e+01 -1.873398e-02 2.330542e-04
5.248102e+01 8.912509e-01 1.002251e+00 9.747428e-01 1.008236e+06 8.023733e+01 1.087761e-02 2.206564e-04
5.382727e+01 8.912509e-01 1.000765e+00 9.813012e-01 1.041527e+06 8.287579e+01 -3.549755e-03 2.386570e-04
5.520805e+01 8.912509e-01 9.987641e-01 9.866537e-01 1.084155e+06 8.626707e+01 -2.539128e-02 2.406836e-04
5.662424e+01 8.912509e-01 1.002030e+00 9.736980e-01 1.098829e+06 8.744895e+01 -3.263313e-02 2.312660e-04
5.807677e+01 8.912509e-01 1.002987e+00 9.829364e-01 1.143429e+06 9.098983e+01 -1.682967e-02 2.361536e-04
5.956656e+01 8.912509e-01 1.002687e+00 9.860856e-01 1.175426e+06 9.352612e+01 -1.575357e-02 2.356768e-04
6.109455e+01 8.912509e-01 1.003519e+00 9.937386e-01 1.216984e+06 9.684928e+01 -3.395873e-02 2.368689e-04
6.266175e+01 8.912509e-01 1.003975e+00 1.003904e+00 1.273025e+06 1.013133e+02 -4.307318e-02 2.477169e-04
6.426916e+01 8.912509e-01 1.004644e+00 9.970678e-01 1.248912e+06 9.936488e+01 -4.191476e-02 2.392530e-04
6.591779e+01 8.912509e-01 1.003923e+00 1.011539e+00 1.310528e+06 1.043238e+02 -4.072732e-02 2.273321e-04
6.760871e+01 8.912509e-01 9.985787e-01 1.012526e+00 1.330275e+06 1.058590e+02 -4.955101e-02 2.485514e-04
6.934301e+01 8.912509e-01 1.000597e+00 1.015063e+00 1.385018e+06 1.102021e+02 -5.152375e-02 2.470016e-04
7.112180e+01 8.912509e-01 1.003651e+00 9.947878e-01 1.380706e+06 1.098777e+02 -5.186379e-03 2.400875e-04
7.294622e+01 8.912509e-01 1.005352e+00 9.966702e-01 1.398936e+06 1.113225e+02 -4.140317e-03 2.294779e-04
7.481744e+01 8.912509e-01 1.000930e+00 9.696356e-01 1.406296e+06 1.119219e+02 5.600572e-03 2.284050e-04
