#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
8.912511e+01 8.912509e+00 1.149629e+00 9.961129e-01 1.711418e+06 1.361959e+02 2.938855e-02 2.341270e-04
9.141134e+01 8.912509e+00 1.147366e+00 1.015070e+00 1.815923e+06 1.445034e+02 2.442670e-02 2.424717e-04
9.375623e+01 8.912509e+00 1.142643e+00 1.004546e+00 1.864718e+06 1.483849e+02 2.897060e-02 2.367496e-04
9.616126e+01 8.912509e+00 1.139597e+00 1.002271e+00 1.870647e+06 1.488595e+02 8.606076e-03 2.459288e-04
9.862799e+01 8.912509e+00 1.131084e+00 9.802585e-01 1.885082e+06 1.500239e+02 -3.187746e-02 2.309084e-04
1.011580e+02 8.912509e+00 1.131921e+00 9.960294e-01 1.932027e+06 1.537656e+02 2.569020e-02 2.360344e-04
1.037528e+02 8.912509e+00 1.127392e+00 9.793029e-01 1.968316e+06 1.566597e+02 1.356304e-02 2.257824e-04
1.064143e+02 8.912509e+00 1.124536e+00 9.801338e-01 2.009053e+06 1.598858e+02 1.287103e-03 2.322197e-04
1.091440e+02 8.912509e+00 1.120812e+00 1.007003e+00 2.143216e+06 1.705606e+02 2.611744e-02 2.399683e-04
1.119437e+02 8.912509e+00 1.120464e+00 9.836764e-01 2.124123e+06 1.690633e+02 2.218187e-02 2.294779e-04
1.148153e+02 8.912509e+00 1.119307e+00 9.908550e-01 2.206598e+06 1.755864e+02 2.448380e-02 2.338886e-04
1.177605e+02 8.912509e+00 1.119148e+00 1.008585e+00 2.336095e+06 1.859019e+02 -4.702151e-03 2.349615e-04
1.207813e+02 8.912509e+00 1.115787e+00 1.009703e+00 2.359568e+06 1.877691e+02 3.541946e-02 2.287626e-04
1.238795e+02 8.912509e+00 1.109820e+00 9.858649e-01 2.422582e+06 1.927726e+02 4.258955e-02 2.193451e-04
1.270572e+02 8.912509e+00 1.108017e+00 1.006087e+00 2.591990e+06 2.062587e+02 4.967177e-02 2.366304e-04
1.303165e+02 8.912509e+00 1.109193e+00 9.699920e-01 2.484356e+06 1.977003e+02 5.075216e-02 2.372265e-04
1.336593e+02 8.912509e+00 1.102388e+00 9.690190e-01 2.547795e+06 2.027707e+02 2.382886e-02 2.249479e-04
1.370879e+02 8.912509e+00 1.106718e+00 9.765400e-01 2.626200e+06 2.089933e+02 -5.628467e-04 2.213717e-04
1.406044e+02 8.912509e+00 1.093720e+00 9.968330e-01 2.766501e+06 2.201749e+02 4.093540e-02 2.284050e-04
1.442112e+02 8.912509e+00 1.086841e+00 9.997737e-01 2.790344e+06 2.220511e+02 2.247465e-02 2.338886e-04
1.479105e+02 8.912509e+00 1.079979e+00 9.777197e-01 2.766167e+06 2.201259e+02 8.626342e-03 2.275705e-04
1.517046e+02 8.912509e+00 1.075879e+00 9.659589e-01 2.810030e+06 2.236213e+02 -3.576338e-03 2.270937e-04
1.555961e+02 8.912509e+00 1.082888e+00 9.668854e-01 2.973477e+06 2.366147e+02 -7.845461e-03 2.083778e-04
1.595874e+02 8.912509e+00 1.079179e+00 9.809060e-01 3.091272e+06 2.460048e+02 3.766990e-02 2.125502e-04
1.636811e+02 8.912509e+00 1.073176e+00 9.916149e-01 3.261744e+06 2.595397e+02 2.580023e-02 2.219677e-04
1.678798e+02 8.912509e+00 1.070275e+00 9.913703e-01 3.272781e+06 2.604418e+02 2.826214e-03 2.177954e-04
1.721862e+02 8.912509e+00 1.070616e+00 9.885805e-01 3.405438e+06 2.710033e+02 5.800557e-02 2.328157e-04
1.766031e+02 8.912509e+00 1.070356e+00 9.816349e-01 3.436315e+06 2.734390e+02 1.111003e-01 2.171993e-04
1.811333e+02 8.912509e+00 1.076641e+00 9.817892e-01 3.569262e+06 2.840155e+02 4.346192e-02 2.306700e-04
1.857796e+02 8.912509e+00 1.084298e+00 9.648736e-01 3.535231e+06 2.813277e+02 4.399586e-02 2.226830e-04
1.905452e+02 8.912509e+00 1.079539e+00 9.793146e-01 3.598972e+06 2.864149e+02 -2.372396e-02 2.318621e-04
1.954330e+02 8.912509e+00 1.076055e+00 9.736444e-01 3.712146e+06 2.954034e+02 1.858795e-02 2.177954e-04
2.004462e+02 8.912509e+00 1.080166e+00 9.565519e-01 3.909279e+06 3.110846e+02 -3.953499e-02 2.197027e-04
2.055880e+02 8.912509e+00 1.077012e+00 9.766565e-01 4.105321e+06 3.266824e+02 -7.094830e-02 2.260208e-04
2.108617e+02 8.912509e+00 1.075344e+00 9.586526e-01 4.006455e+06 3.188271e+02 -2.961153e-02 2.332926e-04
2.162707e+02 8.912509e+00 1.062470e+00 9.830947e-01 4.057144e+06 3.228569e+02 -4.381186e-02 2.300739e-04
2.218184e+02 8.912509e+00 1.057807e+00 9.330809e-01 3.903489e+06 3.106482e+02 7.212162e-05 2.163649e-04
2.275084e+02 8.912509e+00 1.057530e+00 9.594479e-01 4.114445e+06 3.274279e+02 -4.881108e-02 2.360344e-04
2.333444e+02 8.912509e+00 1.055811e+00 9.800400e-01 4.469960e+06 3.557151e+02 3.000736e-03 2.304316e-04
2.393301e+02 8.912509e+00 1.050269e+00 9.811853e-01 4.586338e+06 3.649671e+02 3.256929e-02 2.349615e-04
2.454693e+02 8.912509e+00 1.047623e+00 1.027678e+00 5.034070e+06 4.006064e+02 -2.618229e-02 2.259016e-04
2.517661e+02 8.912509e+00 1.043911e+00 1.012075e+00 5.134228e+06 4.085790e+02 -2.377808e-03 2.130270e-04
2.582243e+02 8.912509e+00 1.045612e+00 1.017022e+00 5.351456e+06 4.258550e+02 -4.420882e-02 2.143383e-04
2.648482e+02 8.912509e+00 1.046904e+00 9.713045e-01 5.074362e+06 4.037952e+02 5.586886e-02 2.212524e-04
2.716420e+02 8.912509e+00 1.040298e+00 1.014515e+00 5.538831e+06 4.407787e+02 -4.943144e-02 2.117157e-04
2.786101e+02 8.912509e+00 1.041696e+00 9.885257e-01 5.270025e+06 4.193758e+02 -9.854674e-03 2.218485e-04
2.857569e+02 8.912509e+00 1.039561e+00 9.510689e-01 5.073662e+06 4.037554e+02 -4.507971e-02 2.286434e-04
2.930871e+02 8.912509e+00 1.029123e+00 1.027867e+00 5.971930e+06 4.752245e+02 -3.132570e-02 2.397299e-04
3.006053e+02 8.912509e+00 1.029859e+00 1.003122e+00 6.028362e+06 4.797468e+02 -1.062900e-01 2.390146e-04
3.083163e+02 8.912509e+00 1.035379e+00 1.029665e+00 6.455517e+06 5.137191e+02 -3.530520e-02 2.267361e-04
3.162252e+02 8.912509e+00 1.022430e+00 1.024443e+00 6.724190e+06 5.351152e+02 -3.674483e-02 2.105236e-04
3.243369e+02 8.912509e+00 1.030148e+00 1.005442e+00 6.504467e+06 5.176091e+02 -2.418369e-02 2.095699e-04
