#./double_integration --dev=0 --block=256 --domainz=-10:20:1024 --domaint=-5:2:1024 --domaineps=-1:3:256:1 --lambda=6.66666666667 --zeta=0.15 --second=3.14 --skew=0.99>> integrate_6.66666666667_0.15_-1:3:256:1.dat
#eps <v_r> <v>/v_0 
1.000000e-01 2.948387e-03 1.019656e+00 
1.036633e-01 3.056173e-03 1.020374e+00 
1.074608e-01 3.167890e-03 1.021119e+00 
1.113974e-01 3.283680e-03 1.021891e+00 
1.154782e-01 3.403690e-03 1.022691e+00 
1.197085e-01 3.528074e-03 1.023520e+00 
1.240938e-01 3.656989e-03 1.024380e+00 
1.286397e-01 3.790600e-03 1.025271e+00 
1.333521e-01 3.929077e-03 1.026194e+00 
1.382372e-01 4.072594e-03 1.027151e+00 
1.433013e-01 4.221335e-03 1.028142e+00 
1.485508e-01 4.375487e-03 1.029170e+00 
1.539927e-01 4.535245e-03 1.030235e+00 
1.596339e-01 4.700812e-03 1.031339e+00 
1.654817e-01 4.872396e-03 1.032483e+00 
1.715438e-01 5.050213e-03 1.033668e+00 
1.778279e-01 5.234488e-03 1.034897e+00 
1.843423e-01 5.425452e-03 1.036170e+00 
1.910953e-01 5.623345e-03 1.037489e+00 
1.980957e-01 5.828414e-03 1.038856e+00 
2.053525e-01 6.040916e-03 1.040273e+00 
2.128752e-01 6.261117e-03 1.041741e+00 
2.206734e-01 6.489290e-03 1.043262e+00 
2.287573e-01 6.725719e-03 1.044838e+00 
2.371374e-01 6.970699e-03 1.046471e+00 
2.458244e-01 7.224531e-03 1.048164e+00 
2.548297e-01 7.487529e-03 1.049917e+00 
2.641648e-01 7.760017e-03 1.051733e+00 
2.738420e-01 8.042330e-03 1.053616e+00 
2.838736e-01 8.334813e-03 1.055565e+00 
2.942727e-01 8.637824e-03 1.057585e+00 
3.050528e-01 8.951729e-03 1.059678e+00 
3.162278e-01 9.276911e-03 1.061846e+00 
3.278121e-01 9.613762e-03 1.064092e+00 
3.398208e-01 9.962686e-03 1.066418e+00 
3.522695e-01 1.032410e-02 1.068827e+00 
3.651741e-01 1.069844e-02 1.071323e+00 
3.785515e-01 1.108614e-02 1.073908e+00 
3.924190e-01 1.148767e-02 1.076584e+00 
4.067944e-01 1.190349e-02 1.079357e+00 
4.216965e-01 1.233409e-02 1.082227e+00 
4.371445e-01 1.277996e-02 1.085200e+00 
4.531584e-01 1.324163e-02 1.088278e+00 
4.697589e-01 1.371961e-02 1.091464e+00 
4.869675e-01 1.421446e-02 1.094763e+00 
5.048066e-01 1.472672e-02 1.098178e+00 
5.232991e-01 1.525697e-02 1.101713e+00 
5.424691e-01 1.580579e-02 1.105372e+00 
5.623413e-01 1.637378e-02 1.109159e+00 
5.829415e-01 1.696156e-02 1.113077e+00 
6.042964e-01 1.756975e-02 1.117132e+00 
6.264335e-01 1.819900e-02 1.121327e+00 
6.493816e-01 1.884997e-02 1.125666e+00 
6.731704e-01 1.952331e-02 1.130155e+00 
6.978306e-01 2.021972e-02 1.134798e+00 
7.233942e-01 2.093989e-02 1.139599e+00 
7.498942e-01 2.168452e-02 1.144563e+00 
7.773650e-01 2.245433e-02 1.149696e+00 
8.058422e-01 2.325004e-02 1.155000e+00 
8.353625e-01 2.407239e-02 1.160483e+00 
8.659643e-01 2.492213e-02 1.166148e+00 
8.976871e-01 2.580000e-02 1.172000e+00 
9.305720e-01 2.670675e-02 1.178045e+00 
9.646616e-01 2.764315e-02 1.184288e+00 
1.000000e+00 2.860995e-02 1.190733e+00 
1.036633e+00 2.960791e-02 1.197386e+00 
1.074608e+00 3.063779e-02 1.204252e+00 
