#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=5.0 --zeta=0.2 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> sim_integrate_5.0_0.2_a:-1:3:300:1.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.000613e+00 1.014319e+00 1.034978e+05 8.363911e+00 -1.902115e-02 4.173517e-04
1.031177e-01 1.000866e+00 1.011342e+00 1.033850e+05 8.196161e+00 -1.716721e-02 4.575253e-04
1.063327e-01 1.000465e+00 1.010331e+00 1.032673e+05 8.326349e+00 -2.055150e-02 4.065037e-04
1.096478e-01 1.000762e+00 1.014209e+00 1.038207e+05 8.250592e+00 -1.546788e-02 4.490614e-04
1.130663e-01 1.000695e+00 1.012377e+00 1.032749e+05 8.285924e+00 -1.974332e-02 4.364252e-04
1.165914e-01 1.000579e+00 1.014170e+00 1.035559e+05 8.243907e+00 -2.149326e-02 4.591942e-04
1.202264e-01 1.000621e+00 1.011823e+00 1.035480e+05 8.251547e+00 -2.265716e-02 4.339218e-04
1.239747e-01 1.000775e+00 1.013552e+00 1.040605e+05 8.309161e+00 -2.337885e-02 4.384518e-04
1.278399e-01 1.000588e+00 1.012763e+00 1.033941e+05 8.335899e+00 -2.280152e-02 4.646778e-04
1.318256e-01 1.000880e+00 1.014539e+00 1.037876e+05 8.162420e+00 -1.595354e-02 4.426241e-04
1.359356e-01 1.000867e+00 1.015082e+00 1.039202e+05 8.264915e+00 -1.828498e-02 4.547834e-04
1.401737e-01 1.000840e+00 1.011210e+00 1.035556e+05 8.330806e+00 -1.881069e-02 4.479885e-04
1.445439e-01 1.000852e+00 1.015485e+00 1.035027e+05 8.274783e+00 -1.890063e-02 4.310608e-04
1.490504e-01 1.000969e+00 1.011177e+00 1.034365e+05 8.273510e+00 -2.339542e-02 4.296303e-04
1.536974e-01 1.001014e+00 1.009869e+00 1.027998e+05 8.168786e+00 -2.108687e-02 4.150867e-04
1.584892e-01 1.001041e+00 1.012155e+00 1.036899e+05 8.301203e+00 -2.097350e-02 4.386902e-04
1.634305e-01 1.001217e+00 1.014907e+00 1.038759e+05 8.250910e+00 -2.157068e-02 4.599094e-04
1.685258e-01 1.001384e+00 1.014949e+00 1.036325e+05 8.266190e+00 -2.561772e-02 4.138947e-04
1.737800e-01 1.001107e+00 1.011468e+00 1.036675e+05 8.260141e+00 -1.225930e-02 4.293919e-04
1.791980e-01 1.001327e+00 1.010698e+00 1.032968e+05 8.247409e+00 -1.454383e-02 4.342794e-04
1.847849e-01 1.001540e+00 1.011044e+00 1.029755e+05 8.229902e+00 -1.669818e-02 4.394054e-04
1.905460e-01 1.001535e+00 1.013550e+00 1.034664e+05 8.197116e+00 -2.149802e-02 4.211664e-04
1.964867e-01 1.001551e+00 1.011976e+00 1.034842e+05 8.301840e+00 -2.212065e-02 4.179478e-04
2.026126e-01 1.001551e+00 1.013458e+00 1.038529e+05 8.268099e+00 -1.695156e-02 4.323721e-04
2.089295e-01 1.001815e+00 1.013041e+00 1.036144e+05 8.275102e+00 -2.626824e-02 4.407167e-04
2.154433e-01 1.002020e+00 1.014875e+00 1.036802e+05 8.287197e+00 -2.106172e-02 4.230738e-04
2.221602e-01 1.001915e+00 1.016526e+00 1.036160e+05 8.281468e+00 -1.481724e-02 4.560947e-04
2.290866e-01 1.001996e+00 1.014248e+00 1.038092e+05 8.287516e+00 -2.068812e-02 4.743338e-04
2.362289e-01 1.002259e+00 1.016069e+00 1.040614e+05 8.196797e+00 -1.752925e-02 4.407167e-04
2.435938e-01 1.002233e+00 1.012050e+00 1.034540e+05 8.216533e+00 -1.695240e-02 4.527569e-04
2.511884e-01 1.002101e+00 1.014757e+00 1.033580e+05 8.142366e+00 -1.969588e-02 4.799366e-04
2.590198e-01 1.002249e+00 1.014783e+00 1.038690e+05 8.307888e+00 -2.074778e-02 4.444122e-04
2.670953e-01 1.002548e+00 1.013785e+00 1.040282e+05 8.334308e+00 -1.307279e-02 4.335642e-04
2.754226e-01 1.002802e+00 1.015472e+00 1.038581e+05 8.307251e+00 -2.434039e-02 4.591942e-04
2.840095e-01 1.002930e+00 1.015856e+00 1.040602e+05 8.208894e+00 -1.923680e-02 4.432201e-04
2.928641e-01 1.003038e+00 1.015629e+00 1.038572e+05 8.292609e+00 -1.812738e-02 4.203320e-04
3.019949e-01 1.003420e+00 1.011943e+00 1.034199e+05 8.175153e+00 -1.635355e-02 4.167557e-04
3.114102e-01 1.003596e+00 1.015735e+00 1.041651e+05 8.219716e+00 -1.717222e-02 4.504919e-04
3.211191e-01 1.003592e+00 1.013559e+00 1.034587e+05 8.173243e+00 -1.614344e-02 4.338026e-04
3.311307e-01 1.003684e+00 1.013145e+00 1.035559e+05 8.263642e+00 -1.897025e-02 4.527569e-04
3.414545e-01 1.004135e+00 1.013494e+00 1.033422e+05 8.228628e+00 -1.350105e-02 4.333258e-04
