#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=s:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_s:-0.05:1.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912510e-02 8.912509e-01 1.120441e+00 9.926047e-01 8.881032e+04 7.064569e+00 -1.963341e-02 2.741814e-03
9.141134e-02 8.912509e-01 1.146961e+00 9.998460e-01 9.154648e+04 7.319854e+00 -2.025503e-02 2.700090e-03
9.375623e-02 8.912509e-01 1.167543e+00 9.940979e-01 8.935717e+04 7.147330e+00 5.337119e-03 2.578020e-03
9.616126e-02 8.912509e-01 1.122828e+00 9.750841e-01 8.373828e+04 6.702332e+00 1.238787e-02 2.627850e-03
9.862799e-02 8.912509e-01 1.072949e+00 9.970880e-01 7.720529e+04 6.157386e+00 2.353668e-03 2.806187e-03
1.011580e-01 8.912509e-01 1.026144e+00 1.002781e+00 7.115896e+04 5.638859e+00 -1.335627e-02 2.908468e-03
1.037529e-01 8.912509e-01 9.833772e-01 9.996088e-01 6.572140e+04 5.235561e+00 2.734542e-03 3.021955e-03
1.064143e-01 8.912509e-01 9.468184e-01 9.911489e-01 5.889620e+04 4.709394e+00 -2.961892e-02 3.023863e-03
1.091441e-01 8.912509e-01 9.156952e-01 1.004484e+00 5.526165e+04 4.406204e+00 -1.605976e-02 3.177285e-03
1.119438e-01 8.912509e-01 8.920193e-01 9.909120e-01 4.980402e+04 3.969483e+00 -2.514166e-02 3.094912e-03
1.148154e-01 8.912509e-01 8.741504e-01 9.916859e-01 4.690869e+04 3.754147e+00 2.362025e-02 3.142118e-03
1.177606e-01 8.912509e-01 8.621401e-01 1.006985e+00 4.382537e+04 3.520507e+00 -1.153272e-02 3.045321e-03
1.207814e-01 8.912509e-01 8.553603e-01 1.016743e+00 4.201439e+04 3.379337e+00 -7.149577e-04 2.960920e-03
1.238797e-01 8.912509e-01 8.541853e-01 1.003087e+00 4.021274e+04 3.248830e+00 -6.701767e-03 2.772689e-03
1.270574e-01 8.912509e-01 8.578832e-01 1.004769e+00 3.923777e+04 3.160340e+00 -1.140326e-02 2.674341e-03
1.303167e-01 8.912509e-01 8.642969e-01 1.003377e+00 3.787003e+04 3.044475e+00 -2.691329e-02 2.574205e-03
1.336595e-01 8.912509e-01 8.750860e-01 1.013666e+00 3.795388e+04 3.041292e+00 -1.668537e-02 2.406478e-03
