#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_s:0.95:2.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912510e-02 8.912509e+00 9.830315e-01 9.784743e-01 7.532595e+04 6.005234e+00 -2.123147e-02 3.533483e-03
9.141134e-02 8.912509e+00 9.791801e-01 9.909957e-01 7.337270e+04 5.853400e+00 -2.676463e-02 3.499866e-03
9.375623e-02 8.912509e+00 9.750503e-01 9.950289e-01 7.174480e+04 5.735626e+00 1.368821e-02 3.502011e-03
9.616126e-02 8.912509e+00 9.740792e-01 9.913940e-01 7.090691e+04 5.667189e+00 1.509190e-02 3.505468e-03
9.862799e-02 8.912509e+00 9.725891e-01 9.940591e-01 6.895841e+04 5.500713e+00 -9.897411e-03 3.501892e-03
1.011580e-01 8.912509e+00 9.731144e-01 1.000504e+00 6.789487e+04 5.431958e+00 8.501291e-03 3.509164e-03
1.037529e-01 8.912509e+00 9.743949e-01 9.858218e-01 6.542836e+04 5.207231e+00 3.920674e-03 3.444195e-03
1.064143e-01 8.912509e+00 9.763224e-01 9.864344e-01 6.445863e+04 5.119060e+00 -1.618314e-02 3.399849e-03
1.091441e-01 8.912509e+00 9.809076e-01 9.974289e-01 6.311822e+04 5.046803e+00 1.128006e-02 3.370166e-03
1.119438e-01 8.912509e+00 9.845626e-01 9.741862e-01 6.071971e+04 4.862183e+00 1.659834e-02 3.242254e-03
1.148154e-01 8.912509e+00 9.909796e-01 1.006543e+00 6.211339e+04 4.975502e+00 -1.475918e-02 3.317356e-03
1.177606e-01 8.912509e+00 9.974043e-01 1.002311e+00 6.132484e+04 4.906110e+00 -2.302694e-02 3.244281e-03
1.207814e-01 8.912509e+00 1.005234e+00 1.004631e+00 6.091261e+04 4.851679e+00 -2.833366e-03 3.246784e-03
1.238797e-01 8.912509e+00 1.014247e+00 9.918843e-01 5.884683e+04 4.688068e+00 -2.115333e-02 3.058910e-03
1.270574e-01 8.912509e+00 1.024487e+00 9.926355e-01 5.914273e+04 4.711941e+00 -4.035425e-02 3.030181e-03
1.303167e-01 8.912509e+00 1.035798e+00 1.021599e+00 6.064262e+04 4.806798e+00 1.189470e-03 3.060341e-03
1.336595e-01 8.912509e+00 1.047229e+00 1.001484e+00 6.057893e+04 4.803614e+00 5.406499e-03 3.018498e-03
1.370881e-01 8.912509e+00 1.058459e+00 9.944502e-01 5.856214e+04 4.663558e+00 -3.195632e-02 2.934337e-03
1.406047e-01 8.912509e+00 1.065195e+00 9.942182e-01 5.848789e+04 4.649234e+00 -5.588293e-03 2.843022e-03
1.442115e-01 8.912509e+00 1.063790e+00 1.003492e+00 5.784661e+04 4.587163e+00 -4.698992e-03 2.878428e-03
1.479108e-01 8.912509e+00 1.056039e+00 1.002859e+00 5.686322e+04 4.517136e+00 3.340840e-03 2.799630e-03
1.517050e-01 8.912509e+00 1.047370e+00 9.886068e-01 5.491870e+04 4.339200e+00 -2.971429e-02 2.794743e-03
