#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:-0.05:1.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912511e+01 8.912509e-01 3.899846e+00 9.960275e-01 3.817728e+05 3.056793e+01 3.993022e-02 4.999638e-04
9.141134e+01 8.912509e-01 3.910498e+00 1.008014e+00 4.061393e+05 3.206017e+01 6.024122e-02 4.950762e-04
9.375623e+01 8.912509e-01 3.918266e+00 9.986979e-01 4.131249e+05 3.289032e+01 -1.341999e-02 4.972219e-04
9.616126e+01 8.912509e-01 3.926756e+00 9.966577e-01 4.289437e+05 3.421959e+01 -2.822149e-02 4.817247e-04
9.862799e+01 8.912509e-01 3.925940e+00 1.012479e+00 4.608331e+05 3.644011e+01 -7.728338e-04 4.810095e-04
1.011580e+02 8.912509e-01 3.925678e+00 1.009204e+00 4.754508e+05 3.776428e+01 -1.352942e-02 5.081892e-04
1.037528e+02 8.912509e-01 3.923042e+00 1.010217e+00 4.806738e+05 3.849258e+01 -3.955662e-02 5.120039e-04
1.064143e+02 8.912509e-01 3.920274e+00 1.007811e+00 4.980249e+05 3.967924e+01 -4.682285e-02 4.851818e-04
1.091440e+02 8.912509e-01 3.906261e+00 9.902219e-01 4.935960e+05 3.961303e+01 -3.077096e-02 4.917383e-04
1.119437e+02 8.912509e-01 3.895185e+00 9.879790e-01 5.263949e+05 4.194051e+01 -5.726755e-02 4.934072e-04
1.148153e+02 8.912509e-01 3.881705e+00 9.661826e-01 5.115562e+05 4.102887e+01 -6.702363e-03 4.963875e-04
1.177605e+02 8.912509e-01 3.866866e+00 9.950278e-01 5.567182e+05 4.444624e+01 -2.140993e-02 5.048513e-04
1.207813e+02 8.912509e-01 3.848786e+00 1.016838e+00 5.981436e+05 4.748165e+01 7.660031e-03 5.031824e-04
1.238795e+02 8.912509e-01 3.827754e+00 1.016428e+00 6.187282e+05 4.931002e+01 2.368712e-02 5.029440e-04
1.270572e+02 8.912509e-01 3.809069e+00 1.020831e+00 6.293219e+05 5.037445e+01 2.280283e-02 5.024672e-04
1.303165e+02 8.912509e-01 3.784082e+00 1.026402e+00 6.622724e+05 5.309918e+01 -9.112179e-03 4.947186e-04
1.336593e+02 8.912509e-01 3.754080e+00 1.000196e+00 6.667435e+05 5.313992e+01 2.604330e-02 4.640818e-04
1.370879e+02 8.912509e-01 3.725642e+00 9.960663e-01 6.746694e+05 5.360338e+01 -1.741958e-02 4.603863e-04
1.406044e+02 8.912509e-01 3.698888e+00 1.014894e+00 7.121036e+05 5.669481e+01 -1.102239e-02 4.636049e-04
1.442112e+02 8.912509e-01 3.666606e+00 9.857396e-01 7.032782e+05 5.557436e+01 -6.186366e-03 4.765987e-04
1.479105e+02 8.912509e-01 3.633823e+00 9.839832e-01 7.274261e+05 5.781017e+01 -3.769004e-02 4.712343e-04
1.517046e+02 8.912509e-01 3.606198e+00 1.013112e+00 7.970814e+05 6.354738e+01 -2.990389e-02 4.817247e-04
1.555961e+02 8.912509e-01 3.564052e+00 1.019583e+00 8.295163e+05 6.596145e+01 7.504225e-03 4.748106e-04
1.595874e+02 8.912509e-01 3.536146e+00 1.003702e+00 8.450943e+05 6.740784e+01 2.421105e-02 4.627705e-04
