#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:0.95:2.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912511e+01 8.912509e+00 1.617714e+00 1.012887e+00 5.193340e+06 4.132617e+02 6.197548e-02 4.476309e-04
9.141134e+01 8.912509e+00 1.604588e+00 9.909222e-01 5.136922e+06 4.088620e+02 2.456391e-02 4.343987e-04
9.375623e+01 8.912509e+00 1.594331e+00 1.002329e+00 5.381682e+06 4.282579e+02 2.861047e-02 4.550219e-04
9.616126e+01 8.912509e+00 1.577200e+00 9.778177e-01 5.425060e+06 4.317294e+02 -2.752841e-03 4.543066e-04
9.862799e+01 8.912509e+00 1.556441e+00 1.002496e+00 5.677272e+06 4.517384e+02 1.414919e-02 4.389286e-04
1.011580e+02 8.912509e+00 1.549187e+00 9.994395e-01 5.840289e+06 4.647401e+02 -2.524817e-02 4.626513e-04
1.037528e+02 8.912509e+00 1.531900e+00 1.006211e+00 5.981624e+06 4.759478e+02 -4.712951e-02 4.539490e-04
1.064143e+02 8.912509e+00 1.527218e+00 9.969965e-01 5.966758e+06 4.747808e+02 -4.023749e-02 4.594326e-04
1.091440e+02 8.912509e+00 1.488944e+00 9.984417e-01 6.023710e+06 4.793715e+02 -2.752179e-02 4.594326e-04
1.119437e+02 8.912509e+00 1.467319e+00 9.650387e-01 6.076642e+06 4.835605e+02 -1.008403e-02 4.507303e-04
1.148153e+02 8.912509e+00 1.461221e+00 1.006436e+00 6.396342e+06 5.089991e+02 1.688576e-02 4.659891e-04
1.177605e+02 8.912509e+00 1.449875e+00 9.791849e-01 6.625112e+06 5.271562e+02 3.611803e-03 4.705191e-04
1.207813e+02 8.912509e+00 1.433579e+00 1.007400e+00 7.011484e+06 5.579558e+02 -1.434147e-03 4.827976e-04
1.238795e+02 8.912509e+00 1.415946e+00 1.015153e+00 7.252108e+06 5.771473e+02 -3.504974e-02 4.793406e-04
1.270572e+02 8.912509e+00 1.403878e+00 1.014084e+00 7.518313e+06 5.982895e+02 1.782441e-02 4.472733e-04
