#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=s:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_s:-0.05:1.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912510e-02 8.912509e-01 1.091391e+00 9.814833e-01 8.424618e+04 6.710927e+00 -1.075906e-02 2.824545e-03
9.141134e-02 8.912509e-01 1.103471e+00 1.000525e+00 8.542066e+04 6.808967e+00 3.827333e-03 2.743602e-03
9.375623e-02 8.912509e-01 1.110795e+00 1.000113e+00 8.599324e+04 6.850029e+00 3.626490e-02 2.807856e-03
9.616126e-02 8.912509e-01 1.112589e+00 9.825267e-01 8.276159e+04 6.654586e+00 1.638842e-02 2.706647e-03
9.862799e-02 8.912509e-01 1.107942e+00 9.937859e-01 8.269311e+04 6.608113e+00 2.456009e-02 2.743006e-03
1.011580e-01 8.912509e-01 1.094947e+00 9.891457e-01 7.833958e+04 6.243011e+00 4.971027e-03 2.709270e-03
1.037529e-01 8.912509e-01 1.073194e+00 9.876873e-01 7.563027e+04 6.026879e+00 3.829646e-02 2.820730e-03
1.064143e-01 8.912509e-01 1.044921e+00 1.000637e+00 7.047796e+04 5.595251e+00 -1.795650e-03 2.838969e-03
1.091441e-01 8.912509e-01 1.007859e+00 1.010277e+00 6.494893e+04 5.152164e+00 5.828738e-03 2.931237e-03
1.119438e-01 8.912509e-01 9.640800e-01 9.811231e-01 5.907184e+04 4.706848e+00 7.723570e-04 2.990007e-03
1.148154e-01 8.912509e-01 9.145980e-01 9.953887e-01 5.211428e+04 4.147578e+00 -1.297396e-02 3.099799e-03
1.177606e-01 8.912509e-01 8.595150e-01 1.001439e+00 4.386168e+04 3.534831e+00 -4.315984e-02 3.028274e-03
1.207814e-01 8.912509e-01 8.014911e-01 1.001261e+00 3.482474e+04 2.824045e+00 7.135868e-04 2.789259e-03
1.238797e-01 8.912509e-01 7.807145e-01 1.014978e+00 3.234577e+04 2.610937e+00 -1.343650e-02 2.465963e-03
1.270574e-01 8.912509e-01 7.998936e-01 1.007594e+00 3.202695e+04 2.570511e+00 -1.634157e-02 2.244949e-03
1.303167e-01 8.912509e-01 8.194731e-01 1.009862e+00 3.333457e+04 2.700382e+00 -2.494204e-02 2.170444e-03
1.336595e-01 8.912509e-01 8.401303e-01 9.977585e-01 3.333996e+04 2.728075e+00 -1.002908e-02 2.107859e-03
1.370881e-01 8.912509e-01 8.609310e-01 9.962760e-01 3.468510e+04 2.812427e+00 -3.347784e-02 2.079368e-03
1.406047e-01 8.912509e-01 8.820407e-01 1.001779e+00 3.506900e+04 2.808448e+00 -2.630353e-02 2.003074e-03
1.442115e-01 8.912509e-01 9.044025e-01 9.833180e-01 3.497061e+04 2.778527e+00 -7.548630e-03 1.937747e-03
1.479108e-01 8.912509e-01 9.271878e-01 9.736275e-01 3.560493e+04 2.794124e+00 -3.227270e-02 1.871824e-03
1.517050e-01 8.912509e-01 9.496176e-01 9.767650e-01 3.692448e+04 2.937045e+00 -3.839368e-02 1.864076e-03
1.555965e-01 8.912509e-01 9.738615e-01 1.008314e+00 3.852482e+04 3.103203e+00 -3.194410e-02 1.840472e-03
1.595878e-01 8.912509e-01 9.971294e-01 9.981834e-01 3.901702e+04 3.124211e+00 -1.703823e-02 1.778722e-03
1.636816e-01 8.912509e-01 1.020787e+00 9.964700e-01 4.000062e+04 3.177369e+00 -3.512114e-02 1.755953e-03
1.678803e-01 8.912509e-01 1.044955e+00 1.010253e+00 4.131733e+04 3.258857e+00 -3.051758e-02 1.720309e-03
1.721867e-01 8.912509e-01 1.068145e+00 1.011422e+00 4.147536e+04 3.301828e+00 -4.009366e-02 1.699448e-03
1.766036e-01 8.912509e-01 1.091737e+00 9.996572e-01 4.231602e+04 3.410054e+00 -2.116370e-02 1.674652e-03
1.811339e-01 8.912509e-01 1.114885e+00 1.000011e+00 4.360492e+04 3.530375e+00 -2.425593e-02 1.672983e-03
1.857803e-01 8.912509e-01 1.136907e+00 1.008862e+00 4.435411e+04 3.576848e+00 -2.936012e-02 1.635909e-03
1.905459e-01 8.912509e-01 1.158360e+00 9.910446e-01 4.499995e+04 3.605814e+00 -1.177746e-02 1.621604e-03
1.954338e-01 8.912509e-01 1.178347e+00 1.005649e+00 4.552622e+04 3.652924e+00 -1.140338e-02 1.601458e-03
2.004470e-01 8.912509e-01 1.198097e+00 9.791479e-01 4.557634e+04 3.651333e+00 -4.281390e-02 1.556993e-03
2.055888e-01 8.912509e-01 1.215798e+00 9.851226e-01 4.783138e+04 3.807623e+00 -2.640939e-02 1.564026e-03
2.108626e-01 8.912509e-01 1.231965e+00 1.007789e+00 4.803779e+04 3.819719e+00 -3.035665e-02 1.550436e-03
2.162716e-01 8.912509e-01 1.245997e+00 1.000915e+00 4.905834e+04 3.901842e+00 -4.948527e-02 1.536727e-03
2.218194e-01 8.912509e-01 1.258052e+00 1.005724e+00 4.899886e+04 3.873831e+00 -4.681593e-02 1.515985e-03
2.275095e-01 8.912509e-01 1.268240e+00 9.960325e-01 4.967060e+04 3.947361e+00 -3.332990e-02 1.494050e-03
2.333455e-01 8.912509e-01 1.275424e+00 9.993854e-01 4.964023e+04 3.944496e+00 -3.324836e-02 1.500249e-03
2.393312e-01 8.912509e-01 1.281349e+00 9.966324e-01 4.967108e+04 3.931127e+00 -4.128188e-02 1.492500e-03
2.454706e-01 8.912509e-01 1.284135e+00 9.997580e-01 4.954786e+04 3.948952e+00 -2.702755e-02 1.468539e-03
2.517673e-01 8.912509e-01 1.283203e+00 9.967915e-01 4.920546e+04 3.904707e+00 -2.083009e-02 1.432538e-03
2.582256e-01 8.912509e-01 1.279736e+00 9.823254e-01 4.821325e+04 3.791389e+00 -1.693159e-02 1.441479e-03
2.648496e-01 8.912509e-01 1.274147e+00 9.817085e-01 4.766766e+04 3.771654e+00 -2.264982e-02 1.428127e-03
2.716435e-01 8.912509e-01 1.265366e+00 9.881918e-01 4.790828e+04 3.820673e+00 -3.118795e-02 1.444101e-03
2.786117e-01 8.912509e-01 1.253689e+00 9.946605e-01 4.721483e+04 3.745234e+00 -2.288955e-02 1.446366e-03
2.857586e-01 8.912509e-01 1.238438e+00 9.918994e-01 4.694596e+04 3.738868e+00 -1.671910e-02 1.472473e-03
2.930888e-01 8.912509e-01 1.221048e+00 9.963244e-01 4.645901e+04 3.701944e+00 -1.107913e-02 1.480818e-03
3.006071e-01 8.912509e-01 1.199909e+00 9.992561e-01 4.583492e+04 3.651969e+00 -5.032599e-03 1.495838e-03
3.083182e-01 8.912509e-01 1.176511e+00 9.898056e-01 4.447451e+04 3.540879e+00 -1.832300e-02 1.506090e-03
3.162272e-01 8.912509e-01 1.149626e+00 1.005714e+00 4.501447e+04 3.598175e+00 -4.514080e-02 1.554489e-03
3.243390e-01 8.912509e-01 1.119855e+00 1.008413e+00 4.339181e+04 3.486766e+00 -3.104305e-02 1.573443e-03
3.326589e-01 8.912509e-01 1.087465e+00 9.800301e-01 4.143809e+04 3.303738e+00 -4.628891e-02 1.575232e-03
3.411923e-01 8.912509e-01 1.052076e+00 1.010429e+00 4.089302e+04 3.242623e+00 -2.418417e-02 1.619935e-03
3.499445e-01 8.912509e-01 1.013853e+00 9.951350e-01 3.930382e+04 3.121665e+00 9.456158e-03 1.639009e-03
