#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_s:0.95:2.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912510e-02 8.912509e+00 9.735774e-01 9.916508e-01 7.217302e+04 5.758862e+00 9.466529e-03 3.096700e-03
9.141134e-02 8.912509e+00 9.829680e-01 1.008804e+00 7.340173e+04 5.868042e+00 -6.628454e-03 3.100157e-03
9.375623e-02 8.912509e+00 9.922763e-01 9.876848e-01 7.057177e+04 5.648090e+00 -1.769274e-02 2.975106e-03
9.616126e-02 8.912509e+00 1.000096e+00 9.981647e-01 7.315523e+04 5.852127e+00 9.648442e-03 3.029585e-03
9.862799e-02 8.912509e+00 1.007103e+00 9.928967e-01 7.123197e+04 5.669099e+00 -6.366134e-03 2.992272e-03
1.011580e-01 8.912509e+00 1.013978e+00 9.995359e-01 7.113641e+04 5.632175e+00 -8.634806e-03 3.049970e-03
1.037529e-01 8.912509e+00 1.018569e+00 9.994215e-01 7.204630e+04 5.723848e+00 -1.419252e-02 2.998471e-03
1.064143e-01 8.912509e+00 1.023068e+00 9.938579e-01 6.993541e+04 5.555144e+00 -1.283157e-02 2.958059e-03
1.091441e-01 8.912509e+00 1.026886e+00 1.010000e+00 7.007448e+04 5.566921e+00 -2.422285e-02 2.967238e-03
1.119438e-01 8.912509e+00 1.029860e+00 1.006568e+00 6.912227e+04 5.467609e+00 -9.033740e-03 2.917647e-03
1.148154e-01 8.912509e+00 1.031154e+00 9.998917e-01 6.758690e+04 5.357155e+00 -1.603174e-02 2.951741e-03
1.177606e-01 8.912509e+00 1.031677e+00 1.006782e+00 6.834809e+04 5.436096e+00 -1.745987e-02 2.965689e-03
1.207814e-01 8.912509e+00 1.031045e+00 9.952816e-01 6.566266e+04 5.225057e+00 -1.775020e-02 2.891898e-03
1.238797e-01 8.912509e+00 1.030521e+00 1.010909e+00 6.617905e+04 5.232696e+00 -4.350424e-02 2.936125e-03
1.270574e-01 8.912509e+00 1.028145e+00 1.016968e+00 6.427921e+04 5.095186e+00 -5.425453e-03 2.878070e-03
1.303167e-01 8.912509e+00 1.025089e+00 1.023245e+00 6.379750e+04 5.073859e+00 -1.755524e-02 2.911568e-03
1.336595e-01 8.912509e+00 1.021029e+00 1.019523e+00 6.279937e+04 4.990144e+00 -3.207922e-03 2.919912e-03
1.370881e-01 8.912509e+00 1.016108e+00 1.008820e+00 5.990957e+04 4.759051e+00 -1.646602e-02 2.865314e-03
1.406047e-01 8.912509e+00 1.010180e+00 9.964079e-01 5.800001e+04 4.586209e+00 -4.604852e-02 2.791882e-03
1.442115e-01 8.912509e+00 1.004472e+00 1.006261e+00 5.690137e+04 4.533051e+00 -4.200929e-02 2.816081e-03
1.479108e-01 8.912509e+00 9.967635e-01 1.001234e+00 5.449059e+04 4.328696e+00 -2.306396e-02 2.736092e-03
1.517050e-01 8.912509e+00 9.882299e-01 9.918439e-01 5.216432e+04 4.150443e+00 -1.849473e-02 2.706051e-03
1.555965e-01 8.912509e+00 9.791528e-01 9.905205e-01 4.988091e+04 4.008158e+00 -9.024382e-03 2.640009e-03
1.595878e-01 8.912509e+00 9.689381e-01 9.935496e-01 4.722430e+04 3.780885e+00 -4.114205e-02 2.572060e-03
1.636816e-01 8.912509e+00 9.582104e-01 1.004108e+00 4.664332e+04 3.727409e+00 -3.133482e-02 2.524853e-03
1.678803e-01 8.912509e+00 9.461665e-01 9.955321e-01 4.302546e+04 3.429471e+00 -3.958619e-02 2.409101e-03
1.721867e-01 8.912509e+00 9.343311e-01 9.964634e-01 4.182038e+04 3.326975e+00 -4.169893e-02 2.354503e-03
