#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:0.95:2.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:0.95:2.05:100:1_s:0.95:2.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912509e+00 8.912509e+00 2.581398e-01 1.011401e+00 6.045829e+05 4.811280e+01 -3.647506e-03 5.092621e-04
9.141131e+00 8.912509e+00 2.456775e-01 9.726176e-01 5.919552e+05 4.710636e+01 -2.815068e-03 4.985332e-04
9.375619e+00 8.912509e+00 2.325654e-01 9.829160e-01 6.121707e+05 4.871631e+01 3.414750e-03 4.887581e-04
9.616121e+00 8.912509e+00 2.166854e-01 1.001489e+00 6.456128e+05 5.137685e+01 -4.028738e-03 4.832745e-04
9.862793e+00 8.912509e+00 2.033857e-01 1.027237e+00 6.694358e+05 5.327256e+01 -4.493904e-02 5.047321e-04
1.011579e+01 8.912509e+00 1.872417e-01 1.005727e+00 6.800431e+05 5.411619e+01 6.477356e-03 5.017519e-04
1.037528e+01 8.912509e+00 1.762653e-01 1.013974e+00 6.929861e+05 5.514659e+01 -2.161741e-03 4.835129e-04
1.064143e+01 8.912509e+00 1.615970e-01 1.010255e+00 7.026901e+05 5.591876e+01 7.276535e-04 4.968643e-04
1.091440e+01 8.912509e+00 1.482085e-01 1.020410e+00 7.248949e+05 5.768535e+01 -2.670217e-02 4.967451e-04
1.119438e+01 8.912509e+00 1.348140e-01 1.016021e+00 7.432682e+05 5.914775e+01 -1.238894e-02 5.095005e-04
1.148154e+01 8.912509e+00 1.211143e-01 9.850351e-01 7.522474e+05 5.986258e+01 -1.418233e-02 5.058050e-04
1.177606e+01 8.912509e+00 1.106020e-01 1.003688e+00 7.680764e+05 6.112138e+01 -2.406776e-03 4.971027e-04
