#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:-1.05:0.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:-1.05:0.05:100:1_40_-0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
8.912511e+01 8.912510e-02 -2.397339e-03 8.703731e-01 1.066999e+02 8.490985e-03 2.945014e-01 2.785444e-03
9.141134e+01 8.912510e-02 -2.661349e-03 8.640285e-01 1.158571e+02 9.219683e-03 1.284432e-01 2.801895e-03
9.375623e+01 8.912510e-02 -3.042980e-03 8.762584e-01 1.268890e+02 1.009750e-02 6.009221e-02 2.874255e-03
9.616126e+01 8.912510e-02 -3.387337e-03 9.012176e-01 1.469558e+02 1.169422e-02 1.041996e-01 2.973914e-03
9.862799e+01 8.912510e-02 -3.879174e-03 9.320012e-01 1.701986e+02 1.354405e-02 1.086440e-01 3.100634e-03
1.011580e+02 8.912510e-02 -4.270750e-03 9.452826e-01 1.938742e+02 1.542829e-02 4.857779e-02 3.257394e-03
1.037528e+02 8.912510e-02 -4.733776e-03 9.040756e-01 1.998798e+02 1.590636e-02 9.107554e-02 3.131390e-03
1.064143e+02 8.912510e-02 -5.305780e-03 9.653987e-01 2.368281e+02 1.884585e-02 3.675997e-02 3.373384e-03
1.091440e+02 8.912510e-02 -6.004379e-03 9.369699e-01 2.546041e+02 2.026062e-02 7.462740e-03 3.326893e-03
1.119437e+02 8.912510e-02 -6.620712e-03 9.380499e-01 2.746600e+02 2.185696e-02 5.566931e-02 3.411651e-03
1.148153e+02 8.912510e-02 -7.405377e-03 9.388496e-01 3.082248e+02 2.452706e-02 1.678574e-02 3.450274e-03
1.177605e+02 8.912510e-02 -8.241715e-03 9.450577e-01 3.430765e+02 2.730113e-02 1.406281e-01 3.570199e-03
1.207813e+02 8.912510e-02 -9.260016e-03 9.609244e-01 3.949857e+02 3.143293e-02 6.582725e-02 3.748655e-03
1.238795e+02 8.912510e-02 -1.030168e-02 9.719998e-01 4.267200e+02 3.395784e-02 8.656359e-02 3.683567e-03
1.270572e+02 8.912510e-02 -1.142238e-02 9.529893e-01 4.656311e+02 3.705209e-02 7.591391e-02 3.670216e-03
1.303165e+02 8.912510e-02 -1.264950e-02 9.833207e-01 5.439222e+02 4.328435e-02 6.563401e-02 3.838062e-03
