#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_3_s_0.1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-03 1.942756e+00 1.077764e+00 5.557460e+05 4.361864e+01 -3.160703e-02 4.912615e-04
1.039122e-03 1.946059e+00 9.886628e-01 4.340334e+05 3.410245e+01 3.407359e-02 4.719496e-04
1.079775e-03 1.939641e+00 1.053092e+00 4.556100e+05 3.645157e+01 -1.740044e-02 4.930496e-04
1.122018e-03 1.938939e+00 9.377878e-01 3.760252e+05 3.009047e+01 1.965582e-02 5.114079e-04
1.165914e-03 1.942707e+00 9.566339e-01 3.659601e+05 2.884906e+01 -1.192266e-02 5.253553e-04
1.211527e-03 1.936217e+00 9.839787e-01 3.507166e+05 2.777827e+01 -5.896407e-02 4.786253e-04
1.258925e-03 1.928209e+00 1.022446e+00 3.513662e+05 2.789413e+01 4.796147e-02 4.788637e-04
1.308177e-03 1.908607e+00 9.818360e-01 2.986561e+05 2.348872e+01 7.627439e-02 5.025864e-04
1.359356e-03 1.894488e+00 1.036400e+00 3.188686e+05 2.499114e+01 6.203890e-03 5.673170e-04
1.412537e-03 1.862470e+00 1.013545e+00 2.802572e+05 2.135732e+01 1.390622e-01 5.040169e-04
1.467799e-03 1.841523e+00 1.043287e+00 2.684023e+05 2.174948e+01 4.745090e-02 5.575418e-04
1.525222e-03 1.807703e+00 1.013493e+00 2.440434e+05 1.899928e+01 -2.464885e-02 5.687475e-04
1.584893e-03 1.776664e+00 1.010311e+00 2.166701e+05 1.707860e+01 -7.420480e-02 5.662441e-04
1.646897e-03 1.733380e+00 1.006438e+00 1.979797e+05 1.610393e+01 -8.571863e-03 5.789995e-04
1.711327e-03 1.681047e+00 1.008763e+00 1.866855e+05 1.532471e+01 -8.710027e-03 5.773306e-04
1.778278e-03 1.636855e+00 9.741832e-01 1.597339e+05 1.277378e+01 -4.179788e-02 5.857944e-04
1.847849e-03 1.582845e+00 9.637210e-01 1.384351e+05 1.102307e+01 9.178042e-03 6.289482e-04
1.920141e-03 1.528821e+00 1.034685e+00 1.450487e+05 1.191243e+01 -2.945840e-03 6.232262e-04
1.995261e-03 1.475391e+00 1.057274e+00 1.349226e+05 1.064556e+01 -4.022419e-03 7.035732e-04
2.073320e-03 1.406418e+00 9.669550e-01 1.101631e+05 8.981431e+00 -4.530507e-02 7.379055e-04
2.154433e-03 1.347464e+00 1.063421e+00 1.142627e+05 9.123398e+00 -4.030621e-02 7.596016e-04
2.238719e-03 1.280510e+00 9.845379e-01 8.959680e+04 7.265741e+00 7.211089e-02 7.611513e-04
2.326303e-03 1.218926e+00 9.677157e-01 8.126317e+04 6.610660e+00 5.399525e-02 8.318424e-04
2.417313e-03 1.146318e+00 9.675529e-01 7.024523e+04 5.751223e+00 -9.802282e-03 9.111166e-04
2.511884e-03 1.080355e+00 1.001791e+00 6.546646e+04 5.202456e+00 -1.218885e-02 8.574724e-04
2.610155e-03 1.008105e+00 9.968663e-01 5.804407e+04 4.672471e+00 1.992416e-02 1.017332e-03
2.712270e-03 9.423304e-01 1.017401e+00 5.649508e+04 4.455702e+00 -2.555734e-02 1.036882e-03
2.818380e-03 8.776510e-01 9.710741e-01 4.893880e+04 3.997972e+00 -1.932484e-02 1.110792e-03
2.928642e-03 8.109102e-01 1.022585e+00 4.576771e+04 3.711334e+00 6.044853e-02 1.247883e-03
3.043217e-03 7.493790e-01 9.980373e-01 4.005189e+04 3.110206e+00 -3.432536e-02 1.354098e-03
3.162274e-03 6.882916e-01 1.030765e+00 3.747105e+04 2.899166e+00 -3.648740e-02 1.404285e-03
3.285990e-03 6.290464e-01 9.964505e-01 3.084010e+04 2.432604e+00 -3.460848e-02 1.508713e-03
3.414545e-03 5.722885e-01 1.004168e+00 2.710602e+04 2.202863e+00 9.526491e-03 1.520276e-03
3.548130e-03 5.199903e-01 9.970687e-01 2.392146e+04 1.922433e+00 -5.452269e-02 1.598716e-03
3.686941e-03 4.709853e-01 9.562489e-01 2.023177e+04 1.575475e+00 -1.357883e-02 1.736403e-03
3.831182e-03 4.248121e-01 1.026850e+00 1.982879e+04 1.453204e+00 -2.875948e-02 1.957178e-03
3.981066e-03 3.823639e-01 1.030776e+00 1.724922e+04 1.355801e+00 -7.297164e-02 2.088666e-03
4.136815e-03 3.413135e-01 1.011695e+00 1.473263e+04 1.168277e+00 1.627290e-02 2.114534e-03
4.298656e-03 3.058686e-01 1.018166e+00 1.318699e+04 1.034209e+00 -4.466122e-02 2.352357e-03
4.466829e-03 2.729208e-01 1.016787e+00 1.222092e+04 9.853282e-01 1.650119e-02 2.655625e-03
4.641582e-03 2.421044e-01 9.666890e-01 9.513117e+03 7.259256e-01 -3.640318e-02 2.615452e-03
4.823171e-03 2.147394e-01 9.853758e-01 8.487259e+03 6.909910e-01 -1.251352e-02 2.800107e-03
5.011864e-03 1.897615e-01 1.009477e+00 7.898792e+03 6.284432e-01 5.056739e-03 3.028750e-03
5.207940e-03 1.679137e-01 9.751757e-01 6.748140e+03 5.427184e-01 -3.498232e-02 3.179312e-03
5.411686e-03 1.476764e-01 1.004725e+00 6.098446e+03 4.816476e-01 -1.797599e-02 3.492117e-03
5.623404e-03 1.292626e-01 9.869165e-01 4.976723e+03 3.918394e-01 -4.223520e-02 3.363013e-03
5.843404e-03 1.138840e-01 1.000605e+00 4.613655e+03 3.630797e-01 -6.588608e-02 3.708959e-03
6.072011e-03 9.971789e-02 9.970657e-01 4.049181e+03 3.186953e-01 1.116693e-02 3.952384e-03
6.309562e-03 8.740172e-02 1.043822e+00 3.670037e+03 2.933897e-01 7.504678e-02 4.161000e-03
6.556407e-03 7.578508e-02 9.961424e-01 2.964708e+03 2.363749e-01 -1.747346e-02 4.171371e-03
6.812908e-03 6.609536e-02 9.715046e-01 2.548009e+03 2.031302e-01 -2.001143e-02 4.278064e-03
7.079445e-03 5.767763e-02 1.027797e+00 2.447490e+03 1.975399e-01 1.924121e-02 4.846215e-03
7.356409e-03 5.048013e-02 1.001438e+00 2.073844e+03 1.681416e-01 -1.029432e-02 4.801393e-03
7.644208e-03 4.378571e-02 9.821503e-01 1.771512e+03 1.414608e-01 4.600191e-02 4.790425e-03
7.943267e-03 3.821061e-02 9.818581e-01 1.545239e+03 1.230582e-01 2.420509e-02 4.936695e-03
8.254025e-03 3.320469e-02 9.948144e-01 1.336779e+03 1.068831e-01 -1.867807e-02 4.962683e-03
8.576942e-03 2.904978e-02 9.780494e-01 1.142547e+03 9.097010e-02 -9.297192e-03 4.918456e-03
8.912491e-03 2.498775e-02 9.598128e-01 9.684991e+02 7.700706e-02 -1.689488e-02 4.914880e-03
9.261168e-03 2.161513e-02 9.918640e-01 8.725682e+02 6.953222e-02 5.822778e-03 5.084634e-03
9.623486e-03 1.879789e-02 9.790226e-01 7.675182e+02 6.097437e-02 -2.327782e-02 5.156517e-03
9.999978e-03 1.626839e-02 9.905225e-01 6.787245e+02 5.391249e-02 -2.187300e-02 5.253077e-03
1.039120e-02 1.420748e-02 9.660730e-01 5.700093e+02 4.527810e-02 -2.422285e-02 5.057335e-03
1.079773e-02 1.236980e-02 9.280446e-01 4.707961e+02 3.741886e-02 -2.495754e-02 4.764557e-03
1.122016e-02 1.059945e-02 9.482304e-01 4.175924e+02 3.319830e-02 -1.706362e-03 4.920244e-03
1.165912e-02 9.055628e-03 9.722731e-01 3.771956e+02 3.002011e-02 6.074548e-03 4.988790e-03
1.211525e-02 7.893870e-03 9.630732e-01 3.297177e+02 2.624273e-02 8.959866e-02 4.913807e-03
1.258922e-02 6.880575e-03 9.137900e-01 2.719672e+02 2.164276e-02 5.952895e-02 4.615664e-03
1.308174e-02 6.005486e-03 9.395682e-01 2.476371e+02 1.969673e-02 1.385746e-01 4.684210e-03
1.359353e-02 5.266549e-03 9.314890e-01 2.180500e+02 1.734635e-02 9.867108e-02 4.671097e-03
1.412534e-02 4.561451e-03 8.979968e-01 1.850785e+02 1.472765e-02 7.129645e-02 4.506826e-03
1.467795e-02 3.983989e-03 9.005581e-01 1.660244e+02 1.321136e-02 1.537520e-01 4.440427e-03
1.525219e-02 3.397777e-03 8.692948e-01 1.395750e+02 1.110794e-02 6.962347e-02 4.252076e-03
1.584889e-02 2.960772e-03 8.683321e-01 1.261129e+02 1.003415e-02 3.783774e-02 4.221201e-03
1.646893e-02 2.577991e-03 8.697770e-01 1.128059e+02 8.976058e-03 1.248659e-01 4.189849e-03
1.711324e-02 2.232882e-03 8.148407e-01 9.273836e+01 7.377435e-03 1.240897e-01 3.958344e-03
1.778275e-02 1.936195e-03 8.124700e-01 8.261636e+01 6.572815e-03 1.191462e-01 3.913283e-03
1.847845e-02 1.690428e-03 8.001737e-01 7.592818e+01 6.044918e-03 2.196977e-01 3.925681e-03
1.920136e-02 1.505046e-03 7.523565e-01 6.541996e+01 5.208895e-03 2.014226e-01 3.782749e-03
1.995257e-02 1.314444e-03 7.316875e-01 5.748378e+01 4.576948e-03 1.780678e-01 3.660321e-03
2.073316e-02 1.170301e-03 7.035974e-01 5.121862e+01 4.077833e-03 1.374329e-01 3.641605e-03
2.154428e-02 1.021410e-03 7.035581e-01 4.748209e+01 3.779436e-03 1.767199e-01 3.618121e-03
2.238715e-02 9.128120e-04 6.760818e-01 4.319407e+01 3.436599e-03 1.864241e-01 3.614306e-03
2.326298e-02 7.971161e-04 6.452798e-01 3.920500e+01 3.119815e-03 2.596927e-01 3.577948e-03
2.417308e-02 7.167339e-04 6.218096e-01 3.541121e+01 2.816653e-03 2.185280e-01 3.594756e-03
2.511879e-02 6.152078e-04 5.963884e-01 3.172349e+01 2.523209e-03 2.688707e-01 3.463745e-03
2.610149e-02 5.441878e-04 5.678943e-01 2.888834e+01 2.297450e-03 3.776853e-01 3.454328e-03
2.712264e-02 4.699457e-04 5.418515e-01 2.621023e+01 2.084612e-03 4.044719e-01 3.434539e-03
2.818374e-02 4.216586e-04 5.146767e-01 2.419066e+01 1.924135e-03 3.470858e-01 3.411293e-03
2.928635e-02 3.664030e-04 4.884977e-01 2.215029e+01 1.761865e-03 3.751531e-01 3.388286e-03
3.043210e-02 3.344644e-04 4.690050e-01 2.096711e+01 1.667789e-03 3.630633e-01 3.410935e-03
3.162267e-02 3.080946e-04 4.428235e-01 1.963043e+01 1.561467e-03 3.239964e-01 3.449559e-03
3.285982e-02 2.708470e-04 4.133947e-01 1.829725e+01 1.455478e-03 4.139091e-01 3.472567e-03
3.414537e-02 2.366978e-04 3.841297e-01 1.695546e+01 1.348991e-03 4.354088e-01 3.455877e-03
3.548122e-02 2.071255e-04 3.607417e-01 1.595054e+01 1.269130e-03 5.094696e-01 3.472567e-03
3.686932e-02 1.887101e-04 3.339178e-01 1.496336e+01 1.190764e-03 4.063351e-01 3.499508e-03
3.831173e-02 1.664365e-04 3.149808e-01 1.423655e+01 1.133143e-03 4.606640e-01 3.535867e-03
3.981058e-02 1.394422e-04 2.769089e-01 1.306419e+01 1.039953e-03 4.233426e-01 3.495097e-03
4.136806e-02 1.286167e-04 2.589240e-01 1.265157e+01 1.007213e-03 3.681285e-01 3.577709e-03
4.298647e-02 1.160555e-04 2.427084e-01 1.216763e+01 9.685879e-04 3.394756e-01 3.658652e-03
