#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=1 --skew=0.99 --distribution=s>> journal_3_s_1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-03 1.072673e+00 1.097100e+00 7.586443e+06 6.035193e+02 -1.901555e-02 4.670620e-04
1.039122e-03 1.062468e+00 9.503886e-01 5.313892e+06 4.229985e+02 5.982208e-02 4.601479e-04
1.079775e-03 1.082504e+00 9.714007e-01 5.397700e+06 4.295509e+02 -5.698931e-02 4.476309e-04
1.122018e-03 1.093282e+00 9.417397e-01 5.523502e+06 4.395802e+02 1.509917e-02 4.233122e-04
1.165914e-03 1.141417e+00 9.682251e-01 5.472110e+06 4.354403e+02 1.446843e-03 5.090237e-04
1.211527e-03 1.182057e+00 1.025817e+00 5.422206e+06 4.314862e+02 -6.234443e-02 4.482269e-04
1.258925e-03 1.202375e+00 1.002321e+00 5.064358e+06 4.030503e+02 -3.288287e-02 4.209280e-04
1.308177e-03 1.202158e+00 9.472471e-01 4.319428e+06 3.437874e+02 -4.311168e-02 4.000664e-04
1.359356e-03 1.264803e+00 1.021718e+00 4.958772e+06 3.946208e+02 2.302706e-02 4.526377e-04
1.412537e-03 1.286350e+00 9.845207e-01 4.272898e+06 3.398932e+02 2.995026e-02 4.627705e-04
1.467799e-03 1.296266e+00 1.025832e+00 4.626533e+06 3.682791e+02 -7.104248e-02 4.360676e-04
1.525222e-03 1.345656e+00 1.034708e+00 4.635548e+06 3.687658e+02 -9.591776e-02 4.481077e-04
1.584893e-03 1.386831e+00 1.007290e+00 4.013470e+06 3.196073e+02 -6.274438e-02 4.650354e-04
1.646897e-03 1.424547e+00 9.661035e-01 3.694567e+06 2.939674e+02 -2.933085e-03 4.562140e-04
1.711327e-03 1.432501e+00 1.010847e+00 3.849812e+06 3.063109e+02 3.293419e-02 4.779100e-04
1.778278e-03 1.480766e+00 9.767508e-01 3.437303e+06 2.736968e+02 -5.868202e-02 4.718304e-04
