#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=50 --skew=0.99 --distribution=s>> journal_4_s_30_s:-2:3:300:1_1.0_0.99_40.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 4.861240e-08 6.812767e-05 7.489880e+00 5.962334e-04 -2.412513e-01 2.167463e-03
1.039122e-02 -8.263686e-09 -2.605038e-04 7.480460e+00 5.954579e-04 -2.395082e-01 2.181411e-03
1.079775e-02 6.130306e-08 1.545714e-04 7.492172e+00 5.963704e-04 -2.415190e-01 2.168894e-03
1.122018e-02 2.280946e-08 8.190726e-05 7.499487e+00 5.969570e-04 -2.432528e-01 2.157688e-03
1.165914e-02 -5.438854e-09 5.310274e-05 7.497337e+00 5.968008e-04 -2.426737e-01 2.178431e-03
1.211527e-02 6.935593e-08 2.593871e-04 7.482413e+00 5.956108e-04 -2.388759e-01 2.160072e-03
1.258925e-02 6.661542e-09 -1.869494e-04 7.460903e+00 5.939745e-04 -2.345423e-01 2.207518e-03
1.308177e-02 3.786117e-08 2.276561e-05 7.499126e+00 5.969221e-04 -2.429808e-01 2.164721e-03
1.359356e-02 -4.650432e-08 1.880687e-04 7.525951e+00 5.990287e-04 -2.488016e-01 2.200007e-03
1.412537e-02 4.991941e-08 9.525413e-05 7.502498e+00 5.971860e-04 -2.434185e-01 2.191901e-03
1.467799e-02 -5.894200e-08 -1.621362e-04 7.471398e+00 5.947446e-04 -2.366705e-01 2.185702e-03
1.525222e-02 -1.007664e-07 5.383595e-05 7.527625e+00 5.991950e-04 -2.491299e-01 2.218604e-03
1.584893e-02 1.280028e-07 5.567039e-06 7.488039e+00 5.960301e-04 -2.400566e-01 2.205610e-03
1.646897e-02 5.877336e-08 1.807603e-04 7.520108e+00 5.985601e-04 -2.470261e-01 2.216578e-03
1.711327e-02 -2.445376e-09 4.664919e-05 7.457425e+00 5.936735e-04 -2.326397e-01 2.193451e-03
1.778278e-02 -1.839092e-07 -2.952828e-04 7.519297e+00 5.985672e-04 -2.473525e-01 2.195597e-03
1.847849e-02 5.565339e-09 4.320268e-05 7.473239e+00 5.949138e-04 -2.360550e-01 2.219796e-03
1.920141e-02 -2.226136e-08 -1.423046e-04 7.503622e+00 5.972781e-04 -2.433504e-01 2.202511e-03
1.995261e-02 8.685302e-09 6.424968e-06 7.507049e+00 5.975366e-04 -2.436985e-01 2.210855e-03
2.073320e-02 -1.186008e-07 -1.204891e-04 7.497292e+00 5.967967e-04 -2.415701e-01 2.187967e-03
2.154433e-02 -5.265992e-08 2.605359e-04 7.486809e+00 5.959374e-04 -2.384847e-01 2.184629e-03
2.238719e-02 5.674960e-08 -4.428551e-05 7.491435e+00 5.963375e-04 -2.397551e-01 2.231121e-03
2.326303e-02 -1.467226e-07 -1.908994e-04 7.498856e+00 5.969140e-04 -2.416629e-01 2.189398e-03
2.417313e-02 -6.151387e-08 1.070813e-04 7.488106e+00 5.960541e-04 -2.385934e-01 2.216578e-03
2.511884e-02 -4.625134e-08 1.866623e-04 7.474556e+00 5.950362e-04 -2.350200e-01 2.172589e-03
2.610155e-02 1.056993e-07 2.078089e-04 7.508160e+00 5.976391e-04 -2.427614e-01 2.207518e-03
2.712270e-02 -3.419311e-08 2.607599e-04 7.486984e+00 5.959565e-04 -2.375791e-01 2.200723e-03
2.818380e-02 -3.339204e-08 5.168871e-05 7.489963e+00 5.962273e-04 -2.384850e-01 2.225876e-03
2.928642e-02 1.270753e-07 -1.860072e-04 7.467058e+00 5.943862e-04 -2.333461e-01 2.195239e-03
3.043217e-02 -1.071749e-07 5.825244e-05 7.477120e+00 5.952100e-04 -2.351413e-01 2.214193e-03
3.162274e-02 -2.424296e-08 -1.117617e-04 7.499469e+00 5.969685e-04 -2.404181e-01 2.167702e-03
3.285990e-02 -6.691056e-08 -5.515862e-05 7.502554e+00 5.971674e-04 -2.408438e-01 2.204895e-03
3.414545e-02 7.475263e-08 2.512335e-05 7.478607e+00 5.953189e-04 -2.350156e-01 2.230763e-03
3.548130e-02 6.648894e-08 1.826226e-05 7.513445e+00 5.980452e-04 -2.428682e-01 2.164364e-03
3.686940e-02 -5.346099e-08 -1.430809e-04 7.516139e+00 5.982431e-04 -2.434584e-01 2.190590e-03
3.831182e-02 5.637014e-08 -1.355387e-04 7.493547e+00 5.964412e-04 -2.380004e-01 2.179265e-03
3.981066e-02 1.576846e-08 -1.252326e-05 7.508133e+00 5.976217e-04 -2.409005e-01 2.201557e-03
