#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_5_s_0.1_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-9.970000e-01 nan nan nan nan nan nan
-9.903533e-01 -5.031497e-05 1.211336e-01 9.477558e+00 7.542539e-04 1.083595e-01 2.147913e-03
-9.837066e-01 -4.941380e-05 1.176075e-01 9.463785e+00 7.531806e-04 1.009356e-01 2.131701e-03
-9.770599e-01 -4.974296e-05 1.205242e-01 9.495048e+00 7.556208e-04 1.076390e-01 2.117276e-03
-9.704132e-01 -4.768294e-05 1.168901e-01 9.402803e+00 7.483309e-04 1.097691e-01 2.118468e-03
-9.637665e-01 -4.774484e-05 1.181240e-01 9.393747e+00 7.475786e-04 1.142942e-01 2.112150e-03
-9.571198e-01 -4.765587e-05 1.156631e-01 9.420070e+00 7.497133e-04 1.088251e-01 2.107501e-03
-9.504731e-01 -4.600600e-05 1.123318e-01 9.361836e+00 7.450988e-04 1.100907e-01 2.104640e-03
-9.438264e-01 -4.698808e-05 1.155249e-01 9.382940e+00 7.467621e-04 1.176696e-01 2.135158e-03
-9.371797e-01 -4.671601e-05 1.144600e-01 9.380619e+00 7.465782e-04 1.079304e-01 2.089381e-03
-9.305331e-01 -4.800835e-05 1.155869e-01 9.394091e+00 7.476154e-04 1.201061e-01 2.100348e-03
-9.238864e-01 -4.636100e-05 1.147708e-01 9.380570e+00 7.465742e-04 1.046391e-01 2.088666e-03
-9.172397e-01 -4.692888e-05 1.164157e-01 9.358679e+00 7.448185e-04 9.274590e-02 2.092242e-03
-9.105930e-01 -4.475574e-05 1.092594e-01 9.244295e+00 7.357114e-04 7.234275e-02 2.084613e-03
-9.039463e-01 -4.594382e-05 1.114807e-01 9.334295e+00 7.429174e-04 7.291389e-02 2.076507e-03
-8.972996e-01 -4.381718e-05 1.056430e-01 9.198001e+00 7.320627e-04 7.932079e-02 2.090216e-03
-8.906529e-01 -4.350999e-05 1.083884e-01 9.236737e+00 7.351412e-04 6.740403e-02 2.094865e-03
-8.840062e-01 -4.293170e-05 1.077856e-01 9.212318e+00 7.332313e-04 6.705046e-02 2.070546e-03
-8.773595e-01 -4.176315e-05 1.047004e-01 9.158708e+00 7.289597e-04 7.573378e-02 2.097845e-03
-8.707128e-01 -4.019343e-05 9.996504e-02 9.088800e+00 7.233890e-04 6.527472e-02 2.056956e-03
-8.640661e-01 -3.849549e-05 9.648394e-02 9.053279e+00 7.204938e-04 5.583215e-02 2.035975e-03
-8.574194e-01 -3.839536e-05 9.513500e-02 9.011503e+00 7.171716e-04 4.233313e-02 2.024293e-03
-8.507727e-01 -3.685317e-05 9.034920e-02 8.947908e+00 7.121097e-04 3.723538e-02 2.014875e-03
-8.441260e-01 -3.632223e-05 9.054469e-02 8.885597e+00 7.071443e-04 4.747379e-02 1.993179e-03
-8.374794e-01 -3.575220e-05 8.757155e-02 8.926001e+00 7.103845e-04 3.210306e-02 2.008319e-03
-8.308327e-01 -3.440054e-05 8.618484e-02 8.869313e+00 7.058636e-04 3.683209e-02 2.033949e-03
-8.241860e-01 -3.349698e-05 8.471206e-02 8.821376e+00 7.020735e-04 3.068697e-02 2.022862e-03
-8.175393e-01 -3.375374e-05 8.586180e-02 8.841194e+00 7.036455e-04 2.977157e-02 2.005458e-03
-8.108926e-01 -3.255255e-05 8.094364e-02 8.819248e+00 7.019067e-04 1.098669e-02 1.968265e-03
-8.042459e-01 -3.343647e-05 8.480695e-02 8.800826e+00 7.004552e-04 3.143942e-02 2.012610e-03
-7.975992e-01 -3.223428e-05 8.561199e-02 8.789912e+00 6.995716e-04 3.970051e-02 2.002954e-03
-7.909525e-01 -3.112543e-05 8.021163e-02 8.780184e+00 6.987809e-04 1.632500e-02 1.985312e-03
-7.843058e-01 -3.162993e-05 8.026022e-02 8.775470e+00 6.983915e-04 2.491903e-02 1.995683e-03
-7.776591e-01 -3.052146e-05 7.725731e-02 8.713761e+00 6.935360e-04 1.462042e-02 1.960278e-03
-7.710124e-01 -3.122215e-05 8.149807e-02 8.765059e+00 6.975731e-04 2.390635e-02 1.983643e-03
-7.643657e-01 -2.999490e-05 7.654220e-02 8.694485e+00 6.919949e-04 6.834149e-03 1.961470e-03
-7.577190e-01 -2.949487e-05 7.388141e-02 8.642220e+00 6.877871e-04 1.672912e-02 1.960874e-03
-7.510723e-01 -2.845798e-05 7.371990e-02 8.686762e+00 6.913999e-04 1.718390e-02 1.948357e-03
-7.444257e-01 -2.696563e-05 6.918454e-02 8.574407e+00 6.824507e-04 8.854032e-03 1.949549e-03
-7.377790e-01 -2.601408e-05 6.794228e-02 8.526197e+00 6.785956e-04 -7.888258e-03 1.913548e-03
-7.311323e-01 -2.501102e-05 6.566975e-02 8.518303e+00 6.779061e-04 -5.444586e-03 1.935959e-03
-7.244856e-01 -2.385945e-05 6.274296e-02 8.490484e+00 6.757078e-04 -4.429239e-02 1.927733e-03
-7.178389e-01 -2.268238e-05 5.979112e-02 8.400600e+00 6.685490e-04 -4.659390e-02 1.890302e-03
