#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=10 --skew=0.99 --distribution=s>> journal_5_s_10_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-9.970000e-01 nan nan nan nan nan nan
-9.903533e-01 3.582570e-01 9.965002e-01 2.028433e+06 1.614285e+02 -3.743351e-03 4.595518e-04
-9.837066e-01 3.402171e-01 1.002946e+00 2.047705e+06 1.629416e+02 -6.846488e-03 4.789829e-04
-9.770599e-01 3.244781e-01 1.002792e+00 2.037798e+06 1.621513e+02 -1.936913e-03 4.726648e-04
-9.704132e-01 3.087626e-01 9.965451e-01 2.019578e+06 1.607064e+02 8.625627e-03 4.603863e-04
-9.637665e-01 2.975060e-01 1.001238e+00 2.029562e+06 1.614989e+02 5.585074e-03 4.405975e-04
-9.571198e-01 2.872509e-01 9.997947e-01 2.030424e+06 1.615621e+02 1.193857e-02 4.626513e-04
-9.504731e-01 2.783035e-01 1.000988e+00 2.046994e+06 1.628824e+02 1.535630e-02 4.912615e-04
-9.438264e-01 2.702247e-01 1.004676e+00 2.046629e+06 1.628432e+02 1.487803e-02 4.786253e-04
-9.371797e-01 2.641551e-01 1.000278e+00 2.030083e+06 1.615449e+02 1.603448e-02 4.781485e-04
-9.305331e-01 2.598390e-01 1.002791e+00 2.032506e+06 1.617234e+02 1.122093e-02 4.527569e-04
-9.238864e-01 2.549355e-01 1.003079e+00 2.051057e+06 1.631997e+02 7.626891e-03 4.700422e-04
-9.172397e-01 2.501388e-01 1.001016e+00 2.051780e+06 1.632587e+02 9.654641e-03 4.572868e-04
-9.105930e-01 2.476351e-01 1.001862e+00 2.037146e+06 1.620939e+02 1.031601e-02 4.683733e-04
-9.039463e-01 2.452876e-01 1.001682e+00 2.053292e+06 1.633786e+02 5.782008e-03 4.720688e-04
-8.972996e-01 2.428058e-01 1.004703e+00 2.052043e+06 1.632844e+02 8.802652e-03 4.967451e-04
-8.906529e-01 2.439905e-01 1.000455e+00 2.043051e+06 1.625625e+02 8.910656e-03 4.758835e-04
-8.840062e-01 2.435815e-01 1.009232e+00 2.073625e+06 1.649946e+02 8.080482e-03 4.838705e-04
-8.773595e-01 2.459920e-01 1.008726e+00 2.066851e+06 1.644554e+02 1.637888e-02 4.817247e-04
-8.707128e-01 2.462941e-01 1.002750e+00 2.055018e+06 1.635184e+02 2.155685e-02 4.658699e-04
-8.640661e-01 2.493212e-01 1.001928e+00 2.051544e+06 1.632382e+02 1.892054e-02 4.689693e-04
-8.574194e-01 2.509524e-01 1.003229e+00 2.058063e+06 1.637590e+02 1.056898e-02 4.923344e-04
-8.507727e-01 2.550378e-01 1.005357e+00 2.063579e+06 1.642090e+02 1.303756e-02 4.755259e-04
-8.441260e-01 2.561352e-01 1.003992e+00 2.052395e+06 1.633097e+02 1.735687e-02 4.853010e-04
-8.374794e-01 2.597108e-01 1.002324e+00 2.046430e+06 1.628329e+02 1.724088e-02 4.640818e-04
-8.308327e-01 2.630554e-01 1.002406e+00 2.056803e+06 1.636577e+02 1.852071e-02 4.495382e-04
-8.241860e-01 2.666212e-01 1.005851e+00 2.053125e+06 1.633631e+02 8.611679e-03 4.842281e-04
-8.175393e-01 2.716286e-01 1.005410e+00 2.051081e+06 1.632061e+02 1.713097e-02 4.822016e-04
-8.108926e-01 2.746429e-01 1.000283e+00 2.045279e+06 1.627467e+02 1.790631e-02 4.492998e-04
-8.042459e-01 2.797589e-01 1.002205e+00 2.046618e+06 1.628451e+02 1.753390e-02 4.495382e-04
-7.975992e-01 2.840807e-01 1.003331e+00 2.053519e+06 1.633944e+02 1.376057e-02 4.494190e-04
-7.909525e-01 2.894501e-01 1.000129e+00 2.041719e+06 1.624550e+02 7.537365e-03 4.642010e-04
