#g P
0.09999999 0.0027375
0.1011579 0.00274375
0.1023293 0.00273125
0.1035142 0.0028
0.1047129 0.0027125
0.1059254 0.00273125
0.1071519 0.00266875
0.1083927 0.0027
0.1096478 0.0027375
0.1109175 0.00263125
0.1122018 0.0026625
0.1135011 0.00265
0.1148153 0.0026875
0.1161449 0.00270625
0.1174897 0.0026875
0.1188502 0.0024625
0.1202264 0.0025375
0.1216186 0.00233125
0.1230268 0.0025125
0.1244514 0.00254375
0.1258925 0.0025
0.1273503 0.00254375
0.1288249 0.002475
0.1303166 0.00250625
0.1318256 0.00256875
0.1333521 0.00240625
0.1348962 0.00241875
0.1364583 0.00244375
0.1380384 0.00241875
0.1396368 0.00251875
0.1412537 0.00253125
0.1428893 0.0024125
0.1445439 0.00235625
0.1462177 0.00236875
0.1479108 0.00243125
0.1496235 0.00244375
0.1513561 0.00239375
0.1531087 0.00240625
0.1548816 0.00255
0.156675 0.002775
0.1584892 0.00286875
0.1603245 0.00280625
0.1621809 0.0030625
0.1640589 0.00320625
0.1659586 0.00331875
0.1678803 0.00335625
0.1698243 0.0036625
0.1717908 0.00374375
0.17378 0.00401875
0.1757923 0.00395625
0.1778278 0.0041625
0.179887 0.004275
0.18197 0.00449375
0.1840771 0.004575
0.1862086 0.00460625
0.1883648 0.00469375
0.190546 0.0049125
0.1927524 0.00495625
0.1949843 0.0049625
0.1972422 0.0053
0.1995261 0.00543125
0.2018365 0.0056125
0.2041737 0.00575
0.2065379 0.00588125
0.2089295 0.0060625
0.2113487 0.006275
0.2137961 0.00621875
0.2162717 0.00671875
0.218776 0.0067
0.2213093 0.00681875
0.2238719 0.0067875
0.2264642 0.006975
0.2290866 0.0071875
0.2317393 0.00741875
0.2344227 0.00731875
0.2371372 0.0075
0.2398831 0.007525
0.2426608 0.00754375
0.2454707 0.0075125
0.2483131 0.00753125
0.2511884 0.007625
0.254097 0.00745625
0.2570393 0.0074125
0.2600157 0.00754375
0.2630266 0.0074625
0.2660722 0.00734375
0.2691532 0.00748125
0.2722699 0.00748125
0.2754226 0.00745625
0.2786118 0.00735625
0.281838 0.0073625
0.2851015 0.0074125
0.2884029 0.00755625
0.2917424 0.00756875
0.2951206 0.00755625
0.2985379 0.00761875
0.3019949 0.00759375
0.3054918 0.0076125
0.3090292 0.00783125
0.3126076 0.0078625
0.3162274 0.00795
0.3198892 0.00773125
0.3235933 0.00786875
0.3273403 0.00786875
0.3311307 0.0078125
0.3349651 0.007725
0.3388438 0.0079125
0.3427674 0.0079125
0.3467365 0.0079
0.3507515 0.0079125
0.3548129 0.00796875
0.3589215 0.0078
0.3630776 0.00764375
0.3672818 0.00761875
0.3715348 0.0075375
0.3758369 0.00765625
0.3801889 0.0076125
0.3845913 0.00789375
0.3890446 0.00789375
0.3935496 0.00769375
0.3981066 0.00771875
0.4027165 0.0075375
0.4073797 0.0077
0.412097 0.007575
0.4168688 0.00753125
0.4216959 0.007325
0.4265789 0.00750625
0.4315185 0.00745625
0.4365152 0.007675
0.4415698 0.00751875
0.4466829 0.007825
0.4518553 0.00794375
0.4570875 0.0079625
0.4623803 0.008275
0.4677345 0.00825625
0.4731506 0.00843125
0.4786294 0.00815
0.4841716 0.00818125
0.4897781 0.0082375
0.4954494 0.00836875
0.5011865 0.0083375
0.50699 0.00823125
0.5128606 0.0081875
0.5187992 0.0081625
0.5248066 0.0080625
0.5308836 0.00803125
0.5370309 0.00810625
0.5432495 0.00771875
0.54954 0.0075875
0.5559034 0.0073875
0.5623404 0.0072375
0.568852 0.00716875
0.575439 0.00746875
0.5821022 0.007225
0.5888426 0.00741875
0.5956612 0.00759375
0.6025586 0.0078125
0.6095359 0.00726875
0.6165939 0.0071875
0.6237338 0.00706875
0.6309562 0.00728125
0.6382623 0.00719375
0.6456531 0.00731875
0.6531294 0.0076375
0.6606923 0.0077
0.6683427 0.00784375
0.6760817 0.00799375
0.6839104 0.00833125
0.6918297 0.0083875
0.6998407 0.00855
0.7079445 0.00905
0.7161421 0.00910625
0.7244346 0.00941875
0.7328231 0.010125
0.7413088 0.010475
