%g vratio
0.09999999 0.0
0.1011579 0.0
0.1023293 0.0
0.1035142 0.0
0.1047129 0.0
0.1059254 0.0
0.1071519 0.0
0.1083927 0.0
0.1096478 0.0
0.1109175 0.0
0.1122018 0.0
0.1135011 0.0
0.1148153 0.0
0.1161449 0.0
0.1174897 0.0
0.1188502 0.0
0.1202264 0.0
0.1216186 0.0
0.1230268 0.0
0.1244514 0.0
0.1258925 0.0
0.1273503 0.0
0.1288249 0.0
0.1303166 0.0
0.1318256 0.0
0.1333521 0.0
0.1348962 0.0
0.1364583 0.0
0.1380384 0.0
0.1396368 0.0
0.1412537 0.0
0.1428893 0.0
0.1445439 0.0
0.1462177 0.0
0.1479108 0.0
0.1496235 0.0
0.1513561 0.0
0.1531087 0.0
0.1548816 0.0
0.156675 0.0
0.1584892 0.0
0.1603245 0.0
0.1621809 0.0
0.1640589 0.0
0.1659586 0.0
0.1678803 0.0
0.1698243 0.0
0.1717908 0.0
0.17378 0.0
0.1757923 0.0
0.1778278 0.0
0.179887 0.0
0.18197 0.0
0.1840771 0.0
0.1862086 0.0
0.1883648 0.0
0.190546 0.0
0.1927524 0.0
0.1949843 0.0
0.1972422 0.0
0.1995261 0.0
0.2018365 0.0
0.2041737 0.0
0.2065379 0.0
0.2089295 0.0
0.2113487 0.0
0.2137961 0.0
0.2162717 0.0
0.218776 0.0
0.2213093 0.0
0.2238719 0.0
0.2264642 0.0
0.2290866 0.0
0.2317393 0.0
0.2344227 0.0
0.2371372 0.0
0.2398831 0.0
0.2426608 6.25e-06
0.2454707 0.0
0.2483131 6.25e-06
0.2511884 1.25e-05
0.254097 1.25e-05
0.2570393 1.25e-05
0.2600157 1.875e-05
0.2630266 1.25e-05
0.2660722 6.25e-06
0.2691532 1.25e-05
0.2722699 1.875e-05
0.2754226 1.25e-05
0.2786118 1.875e-05
0.281838 1.875e-05
0.2851015 2.5e-05
0.2884029 2.5e-05
0.2917424 3.125e-05
0.2951206 3.75e-05
0.2985379 3.75e-05
0.3019949 6.25e-05
0.3054918 6.25e-05
0.3090292 5e-05
0.3126076 6.25e-05
0.3162274 6.875e-05
0.3198892 8.125e-05
0.3235933 0.0001
0.3273403 0.00011875
0.3311307 0.00016875
0.3349651 0.00016875
0.3388438 0.0001875
0.3427674 0.0002625
0.3467365 0.00028125
0.3507515 0.00033125
0.3548129 0.00040625
0.3589215 0.00048125
0.3630776 0.00054375
0.3672818 0.00058125
0.3715348 0.00064375
0.3758369 0.00066875
0.3801889 0.00069375
0.3845913 0.00075625
0.3890446 0.0008
0.3935496 0.00089375
0.3981066 0.0010375
0.4027165 0.00116875
0.4073797 0.0013
0.412097 0.001475
0.4168688 0.00165
0.4216959 0.00171875
0.4265789 0.00176875
0.4315185 0.001775
0.4365152 0.001775
0.4415698 0.00188125
0.4466829 0.00185
0.4518553 0.0018875
0.4570875 0.00194375
0.4623803 0.001975
0.4677345 0.00201875
0.4731506 0.0020375
0.4786294 0.00210625
0.4841716 0.00233125
0.4897781 0.0025
0.4954494 0.00275625
0.5011865 0.00301875
0.50699 0.003225
0.5128606 0.00346875
0.5187992 0.0037875
0.5248066 0.00411875
0.5308836 0.00451875
0.5370309 0.00471875
0.5432495 0.0051
0.54954 0.00543125
0.5559034 0.00573125
0.5623404 0.0061375
0.568852 0.0066
0.575439 0.0071
0.5821022 0.00729375
0.5888426 0.0075125
0.5956612 0.0078
0.6025586 0.00799375
0.6095359 0.00838125
0.6165939 0.0084375
0.6237338 0.008675
0.6309562 0.0088125
0.6382623 0.009075
0.6456531 0.00928125
0.6531294 0.009125
0.6606923 0.00924375
0.6683427 0.0094375
0.6760817 0.00936875
0.6839104 0.00951875
0.6918297 0.009675
0.6998407 0.00965625
0.7079445 0.00978125
0.7161421 0.0098875
0.7244346 0.00993125
0.7328231 0.00995625
0.7413088 0.01028125
0.7498928 0.01035
0.7585762 0.0102625
0.76736 0.01044375
0.7762457 0.0104875
0.7852342 0.01053125
0.7943267 0.01063125
0.8035246 0.0106375
0.812829 0.0107625
0.8222411 0.010725
0.8317622 0.01081875
0.8413936 0.01070625
0.8511364 0.0106375
0.8609921 0.010675
0.870962 0.01063125
0.8810472 0.0105125
0.8912493 0.0107125
0.9015695 0.010975
0.9120091 0.010975
0.9225697 0.010875
0.9332526 0.01098125
0.9440591 0.010975
0.9549908 0.01094375
0.9660491 0.01086875
0.9772354 0.0108875
0.9885513 0.01110625
0.9999982 0.01133125
1.011578 0.01160625
1.023291 0.01180625
1.03514 0.01205625
1.047127 0.01255625
1.059252 0.012925
1.071517 0.01316875
1.083925 0.01388125
1.096476 0.01435
1.109173 0.015075
1.122016 0.01580625
1.135009 0.01655
1.148151 0.01735
1.161446 0.01816875
1.174895 0.0189
1.1885 0.019025
1.202262 0.0193875
1.216184 0.0194625
1.230266 0.01925
1.244512 0.01936875
1.258923 0.0193375
1.273501 0.0192875
1.288247 0.01878125
1.303164 0.01866875
1.318254 0.0180375
1.333519 0.0173125
1.34896 0.0164375
1.364581 0.0160125
1.380382 0.0154125
1.396366 0.014675
1.412535 0.01404375
1.428891 0.01334375
1.445437 0.012875
1.462174 0.01228125
1.479106 0.01164375
1.496233 0.0110125
1.513558 0.01060625
1.531085 0.0099125
1.548814 0.00939375
1.566748 0.00895
1.58489 0.00849375
1.603242 0.007875
1.621807 0.00725
1.640586 0.00664375
1.659584 0.00601875
1.678801 0.00553125
1.69824 0.00499375
1.717905 0.0046125
1.737797 0.00416875
1.75792 0.003825
1.778276 0.00348125
1.798867 0.0032
1.819697 0.002825
1.840768 0.00245625
1.862083 0.0022125
1.883645 0.001975
1.905457 0.001725
1.927521 0.00150625
1.94984 0.00123125
1.972418 0.0011875
1.995258 0.0011875
2.018362 0.00123125
2.041734 0.0012375
2.065376 0.0012125
2.089291 0.001225
2.113484 0.00121875
2.137957 0.0012375
2.162714 0.0012
2.187757 0.00109375
2.21309 0.00109375
2.238716 0.001
2.264639 0.00100625
2.290862 0.000925
2.317389 0.00081875
2.344223 0.00080625
2.371368 0.000725
2.398827 0.00074375
2.426604 0.00075
2.454703 0.00076875
2.483127 0.00066875
2.51188 0.0008
2.540967 0.00074375
2.57039 0.0007125
2.600153 0.00064375
2.630262 0.00065
2.660718 0.00068125
2.691528 0.0007375
2.722695 0.00073125
2.754222 0.00073125
2.786114 0.0007375
2.818376 0.0007
2.851011 0.0008125
2.884024 0.00071875
2.91742 0.0007875
2.951202 0.00090625
2.985375 0.00088125
3.019944 0.0009125
3.054913 0.00095
3.090287 0.00090625
3.126071 0.00094375
3.162269 0.0010375
3.198887 0.001
3.235928 0.000975
3.273398 0.001025
3.311302 0.00096875
3.349646 0.001025
3.388433 0.00095625
3.427669 0.00104375
3.467359 0.001025
3.507509 0.0008625
3.548124 0.00083125
3.58921 0.000825
3.630771 0.0007625
3.672813 0.00075
3.715342 0.0007125
3.758364 0.00066875
3.801883 0.0006125
3.845907 0.0005625
3.890441 0.00056875
3.93549 0.00053125
3.981061 0.0004875
4.027159 0.000425
4.073791 0.0003125
4.120964 0.0003125
4.168682 0.00024375
4.216953 0.00018125
4.265783 0.0001625
4.315178 0.00010625
4.365146 5.625e-05
4.415691 4.375e-05
4.466823 6.25e-06
4.518546 6.25e-06
4.570868 0.0
4.623796 0.0
4.677338 1.875e-05
4.731498 6.875e-05
4.786287 0.0
4.841709 0.0
4.897773 0.0
4.954487 0.0
5.011857 0.0
5.069891 0.0
5.128598 0.0
5.187984 0.0
5.248058 0.0
5.308828 0.0
5.370301 0.0
5.432486 0.0
5.495392 0.0
5.559025 0.0
5.623395 0.0
5.688511 0.0
5.754381 0.0
5.821013 0.0
5.888418 0.0
5.956603 0.0
6.025576 0.0
6.095349 0.0
6.16593 0.0
6.237328 0.0
6.309553 0.0
6.382614 0.0
6.456521 0.0
6.531284 0.0
6.606913 0.0
6.683417 0.0
6.760808 0.0
6.839094 0.0
6.918286 0.0
6.998397 0.0
7.079434 0.0
7.16141 0.0
7.244335 0.0
7.32822 0.0
7.413077 0.0
7.498917 0.0
7.585749 0.0
7.673588 0.0
7.762445 0.0
7.852328 0.0
7.943254 0.0
8.035233 0.0
8.128276 0.0
8.222398 0.0
8.317609 0.0
8.41392 0.0
8.51135 0.0
8.609907 0.0
8.709604 0.0
8.810457 0.0
8.912478 0.0
9.015678 0.0
9.120075 0.0
9.225681 0.0
9.332508 0.0
9.440575 0.0
9.549891 0.000725
9.660473 0.0
9.772336 0.0
9.885495 0.0
