%a vratio
0.0 0.000175
0.0625 0.00010625
0.125 0.0001
0.1875 8.75e-05
0.25 0.00010625
0.3125 7.5e-05
0.375 6.25e-05
0.4375 4.375e-05
0.5 3.125e-05
0.5625 2.5e-05
0.625 1.875e-05
0.6875 1.875e-05
0.75 1.875e-05
0.8125 2.5e-05
0.875 2.5e-05
0.9375 4.375e-05
1.0 6.875e-05
1.0625 7.5e-05
1.125 6.875e-05
1.1875 6.25e-05
1.25 6.25e-05
1.3125 3.75e-05
1.375 1.875e-05
1.4375 6.25e-06
1.5 1.25e-05
1.5625 1.25e-05
1.625 1.25e-05
1.6875 1.25e-05
1.75 3.125e-05
1.8125 4.375e-05
1.875 2.5e-05
1.9375 1.25e-05
2.0 4.375e-05
2.0625 1.25e-05
2.125 0.00015
2.1875 9.375e-05
2.25 0.00014375
2.3125 0.00025625
2.375 0.00025625
2.4375 0.00026875
2.5 0.00035625
2.5625 0.00039375
2.625 0.0005375
2.6875 0.0005375
2.75 0.00059375
2.8125 0.00059375
2.875 0.00051875
2.9375 0.0009875
3.0 0.00091875
3.0625 0.0007625
3.125 0.00086875
3.1875 0.00083125
3.25 0.00093125
3.3125 0.0009625
3.375 0.00125625
3.4375 0.00139375
3.5 0.0017375
3.5625 0.0017
3.625 0.0018375
3.6875 0.0019
3.75 0.00166875
3.8125 0.00195625
3.875 0.00161875
3.9375 0.0016625
4.0 0.00175
4.0625 0.0018375
4.125 0.00204375
4.1875 0.00234375
4.25 0.00246875
4.3125 0.0025375
4.375 0.00258125
4.4375 0.00231875
4.5 0.0023375
4.5625 0.0023625
4.625 0.00283125
4.6875 0.00296875
4.75 0.0030375
4.8125 0.0028875
4.875 0.00303125
4.9375 0.00321875
5.0 0.00306875
5.0625 0.00284375
5.125 0.00286875
5.1875 0.00275625
5.25 0.0026375
5.3125 0.00301875
5.375 0.002825
5.4375 0.00311875
5.5 0.0032125
5.5625 0.00321875
5.625 0.00330625
5.6875 0.00319375
5.75 0.003725
5.8125 0.00369375
5.875 0.00365625
5.9375 0.00385625
6.0 0.00384375
6.0625 0.0041375
6.125 0.0046375
6.1875 0.004325
6.25 0.0048125
6.3125 0.00481875
6.375 0.0045
6.4375 0.0047375
6.5 0.00481875
6.5625 0.00456875
6.625 0.004825
6.6875 0.00463125
6.75 0.0049625
6.8125 0.00488125
6.875 0.00518125
6.9375 0.0055
7.0 0.00544375
7.0625 0.0057875
7.125 0.0059
7.1875 0.0061125
7.25 0.0061125
7.3125 0.00603125
7.375 0.0060625
7.4375 0.00625625
7.5 0.0065375
7.5625 0.0063125
7.625 0.0069
7.6875 0.0067375
7.75 0.007025
7.8125 0.00694375
7.875 0.00666875
7.9375 0.00686875
8.0 0.0069
8.0625 0.00688125
8.125 0.007025
8.1875 0.0071125
8.25 0.0074875
8.3125 0.00746875
8.375 0.00745
8.4375 0.00794375
8.5 0.00758125
8.5625 0.00765625
8.625 0.00800625
8.6875 0.00760625
8.75 0.007575
8.8125 0.0073625
8.875 0.00745625
8.9375 0.0079125
9.0 0.007725
9.0625 0.007375
9.125 0.00728125
9.1875 0.0075125
9.25 0.00763125
9.3125 0.00730625
9.375 0.00765
9.4375 0.00760625
9.5 0.00701875
9.5625 0.00710625
9.625 0.007575
9.6875 0.0073
9.75 0.007825
9.8125 0.0075875
9.875 0.007775
9.9375 0.00764375
10.0 0.00755625
10.0625 0.00805
10.125 0.007675
10.1875 0.00783125
10.25 0.008075
10.3125 0.00840625
10.375 0.00819375
10.4375 0.00861875
10.5 0.0086375
10.5625 0.00865
10.625 0.00891875
10.6875 0.0089
10.75 0.0087
10.8125 0.00885625
10.875 0.00923125
10.9375 0.00895625
11.0 0.00913125
11.0625 0.00965
11.125 0.01021875
11.1875 0.01038125
11.25 0.01018125
11.3125 0.0099625
11.375 0.01011875
11.4375 0.0108875
11.5 0.0105375
11.5625 0.0107875
11.625 0.01061875
11.6875 0.0106
11.75 0.01088125
11.8125 0.01089375
11.875 0.01124375
11.9375 0.0115
12.0 0.01145
12.0625 0.01175625
12.125 0.0115625
12.1875 0.01125625
12.25 0.01113125
12.3125 0.0114875
12.375 0.01174375
12.4375 0.01094375
12.5 0.011125
12.5625 0.01138125
12.625 0.0113625
12.6875 0.01158125
12.75 0.0113875
12.8125 0.01129375
12.875 0.01135625
12.9375 0.0115375
13.0 0.01121875
13.0625 0.0114875
13.125 0.01139375
13.1875 0.0117125
13.25 0.01133125
13.3125 0.01141875
13.375 0.01125
13.4375 0.01158125
13.5 0.011625
13.5625 0.01166875
13.625 0.01159375
13.6875 0.01188125
13.75 0.01194375
13.8125 0.01135625
13.875 0.0112625
13.9375 0.01161875
14.0 0.01161875
14.0625 0.01190625
14.125 0.01156875
14.1875 0.01145625
14.25 0.0116875
14.3125 0.01189375
14.375 0.01165625
14.4375 0.0117375
14.5 0.01170625
14.5625 0.012
14.625 0.01209375
14.6875 0.0115375
14.75 0.01168125
14.8125 0.01224375
14.875 0.01215
14.9375 0.012
15.0 0.0116625
15.0625 0.01190625
15.125 0.0119875
15.1875 0.0119625
15.25 0.01223125
15.3125 0.01189375
15.375 0.0120875
15.4375 0.0119375
15.5 0.01220625
15.5625 0.01205
15.625 0.01209375
15.6875 0.01185
15.75 0.012025
15.8125 0.012075
15.875 0.01206875
15.9375 0.01196875
16.0 0.01178125
16.0625 0.011975
16.125 0.01223125
16.1875 0.01205625
16.25 0.01165625
16.3125 0.011875
16.375 0.01211875
16.4375 0.01235625
16.5 0.0118625
16.5625 0.01179375
16.625 0.0117
16.6875 0.012125
16.75 0.0122125
16.8125 0.0119125
16.875 0.01159375
16.9375 0.011925
17.0 0.01201875
17.0625 0.01178125
17.125 0.01125
17.1875 0.01104375
17.25 0.0111875
17.3125 0.011225
17.375 0.01126875
17.4375 0.01113125
17.5 0.0108125
17.5625 0.0107625
17.625 0.01135
17.6875 0.010975
17.75 0.0110125
17.8125 0.0108875
17.875 0.0107875
17.9375 0.01095
18.0 0.01105625
18.0625 0.01094375
18.125 0.01099375
18.1875 0.0107875
18.25 0.01078125
18.3125 0.01078125
18.375 0.01131875
18.4375 0.0108375
18.5 0.010725
18.5625 0.01065625
18.625 0.01086875
18.6875 0.0109
18.75 0.0106
18.8125 0.0107375
18.875 0.01078125
18.9375 0.01055625
19.0 0.0111625
19.0625 0.011025
19.125 0.01044375
19.1875 0.01049375
19.25 0.01065625
19.3125 0.01064375
19.375 0.01088125
19.4375 0.01078125
19.5 0.0107625
19.5625 0.0104875
19.625 0.0109125
19.6875 0.0107
19.75 0.01051875
19.8125 0.01068125
19.875 0.0105125
19.9375 0.01085625
20.0 0.01073125
20.0625 0.01080625
20.125 0.010725
20.1875 0.01064375
20.25 0.01051875
20.3125 0.0111125
20.375 0.01116875
20.4375 0.01088125
20.5 0.0107875
20.5625 0.0109625
20.625 0.01095
20.6875 0.01075
20.75 0.01085625
20.8125 0.01124375
20.875 0.01070625
20.9375 0.01085
21.0 0.01111875
21.0625 0.0109375
21.125 0.01085625
21.1875 0.01101875
21.25 0.01079375
21.3125 0.01118125
21.375 0.0107375
21.4375 0.01113125
21.5 0.011025
21.5625 0.01095
21.625 0.0108125
21.6875 0.01093125
21.75 0.01096875
21.8125 0.01146875
21.875 0.0107875
21.9375 0.01083125
22.0 0.01090625
22.0625 0.01128125
22.125 0.01139375
22.1875 0.01129375
22.25 0.0117125
22.3125 0.01129375
22.375 0.01131875
22.4375 0.01165
22.5 0.01125
22.5625 0.01101875
22.625 0.0115
22.6875 0.0120875
22.75 0.01179375
22.8125 0.01145625
22.875 0.01169375
22.9375 0.0116375
23.0 0.01148125
23.0625 0.0114
23.125 0.0114625
23.1875 0.012075
23.25 0.01193125
23.3125 0.01164375
23.375 0.01178125
23.4375 0.01181875
23.5 0.01168125
23.5625 0.011975
23.625 0.01190625
23.6875 0.012025
23.75 0.011925
23.8125 0.01183125
23.875 0.01209375
23.9375 0.01221875
24.0 0.01211875
24.0625 0.012
24.125 0.01181875
24.1875 0.01220625
24.25 0.01253125
24.3125 0.01235
24.375 0.01261875
24.4375 0.01274375
24.5 0.0128625
24.5625 0.01273125
24.625 0.01234375
24.6875 0.01228125
24.75 0.01201875
24.8125 0.01214375
