#g P
0.09999999 4.375e-05
0.1011579 6.25e-05
0.1023293 6.25e-05
0.1035142 8.125e-05
0.1047129 6.875e-05
0.1059254 5e-05
0.1071519 5.625e-05
0.1083927 6.25e-05
0.1096478 5e-05
0.1109175 3.125e-05
0.1122018 8.125e-05
0.1135011 6.25e-05
0.1148153 8.125e-05
0.1161449 0.00010625
0.1174897 8.75e-05
0.1188502 8.75e-05
0.1202264 8.75e-05
0.1216186 8.125e-05
0.1230268 0.00014375
0.1244514 0.00010625
0.1258925 0.00013125
0.1273503 0.00013125
0.1288249 0.0001
0.1303166 0.0001625
0.1318256 0.00015625
0.1333521 0.000125
0.1348962 0.000125
0.1364583 0.000125
0.1380384 0.0002
0.1396368 0.0001375
0.1412537 0.0001625
0.1428893 0.00016875
0.1445439 0.00013125
0.1462177 0.00016875
0.1479108 0.0001875
0.1496235 0.00018125
0.1513561 0.000175
0.1531087 0.0002375
0.1548816 0.000225
0.156675 0.0002125
0.1584892 0.00023125
0.1603245 0.00021875
0.1621809 0.0002625
0.1640589 0.0001875
0.1659586 0.0003125
0.1678803 0.00021875
0.1698243 0.00029375
0.1717908 0.0003125
0.17378 0.0004
0.1757923 0.00026875
0.1778278 0.0003375
0.179887 0.0003
0.18197 0.00046875
0.1840771 0.000375
0.1862086 0.0004375
0.1883648 0.000475
0.190546 0.00040625
0.1927524 0.0005
0.1949843 0.00048125
0.1972422 0.00051875
0.1995261 0.00055
0.2018365 0.00055625
0.2041737 0.00055
0.2065379 0.0006
0.2089295 0.00071875
0.2113487 0.00060625
0.2137961 0.000675
0.2162717 0.00065625
0.218776 0.00059375
0.2213093 0.00068125
0.2238719 0.00074375
0.2264642 0.0007
0.2290866 0.0005875
0.2317393 0.0006125
0.2344227 0.00065
0.2371372 0.0006125
0.2398831 0.00049375
0.2426608 0.000475
0.2454707 0.00044375
0.2483131 0.00041875
0.2511884 0.00036875
0.254097 0.000325
0.2570393 0.000275
0.2600157 0.00030625
0.2630266 0.0002
0.2660722 0.00018125
0.2691532 0.00020625
0.2722699 0.00021875
0.2754226 0.00016875
0.2786118 0.00013125
0.281838 0.00015
0.2851015 9.375e-05
0.2884029 0.0001
0.2917424 6.25e-05
0.2951206 8.75e-05
0.2985379 9.375e-05
0.3019949 6.25e-05
0.3054918 4.375e-05
0.3090292 6.25e-05
0.3126076 8.75e-05
0.3162274 1.875e-05
0.3198892 8.125e-05
0.3235933 6.875e-05
0.3273403 4.375e-05
0.3311307 5.625e-05
0.3349651 3.125e-05
0.3388438 3.125e-05
0.3427674 3.125e-05
0.3467365 2.5e-05
0.3507515 6.25e-05
0.3548129 1.875e-05
0.3589215 3.75e-05
0.3630776 2.5e-05
0.3672818 2.5e-05
0.3715348 1.25e-05
0.3758369 3.75e-05
0.3801889 1.25e-05
0.3845913 3.125e-05
0.3890446 1.25e-05
0.3935496 1.25e-05
0.3981066 3.125e-05
0.4027165 2.5e-05
0.4073797 0.0
0.412097 1.25e-05
0.4168688 6.25e-06
0.4216959 1.25e-05
0.4265789 1.875e-05
0.4315185 6.25e-06
0.4365152 6.25e-06
0.4415698 2.5e-05
0.4466829 6.25e-06
0.4518553 6.25e-06
0.4570875 6.25e-06
0.4623803 6.25e-06
0.4677345 1.875e-05
0.4731506 1.25e-05
0.4786294 6.25e-06
0.4841716 0.0
0.4897781 6.25e-06
0.4954494 0.0
0.5011865 6.25e-06
0.50699 0.0
0.5128606 0.0
0.5187992 6.25e-06
0.5248066 0.0
0.5308836 1.25e-05
0.5370309 0.0
0.5432495 1.875e-05
0.54954 1.25e-05
0.5559034 0.0
0.5623404 6.25e-06
0.568852 0.0
0.575439 6.25e-06
0.5821022 0.0
0.5888426 0.0
0.5956612 0.0
0.6025586 0.0
0.6095359 0.0
0.6165939 0.0
0.6237338 0.0
0.6309562 0.0
0.6382623 6.25e-06
0.6456531 0.0
0.6531294 0.0
0.6606923 0.0
0.6683427 0.0
0.6760817 0.0
0.6839104 0.0
0.6918297 0.0
0.6998407 0.0
0.7079445 0.0
0.7161421 0.0
0.7244346 6.25e-06
0.7328231 1.25e-05
0.7413088 1.875e-05
0.7498928 3.75e-05
0.7585762 3.125e-05
0.76736 4.375e-05
0.7762457 3.125e-05
0.7852342 3.125e-05
0.7943267 1.875e-05
0.8035246 1.25e-05
0.812829 0.0
0.8222411 0.0
0.8317622 0.0
0.8413936 0.0
0.8511364 0.0
0.8609921 6.25e-06
0.870962 3.75e-05
0.8810472 5.625e-05
0.8912493 5.625e-05
0.9015695 5.625e-05
0.9120091 9.375e-05
0.9225697 0.00014375
0.9332526 0.00015
0.9440591 0.0002625
0.9549908 0.00041875
0.9660491 0.00055625
0.9772354 0.0006375
0.9885513 0.0007125
0.9999982 0.0008375
1.011578 0.0008
1.023291 0.00091875
1.03514 0.000925
1.047127 0.0010375
1.059252 0.001075
1.071517 0.00135
1.083925 0.0015375
1.096476 0.002025
1.109173 0.00239375
1.122016 0.0026625
1.135009 0.002925
1.148151 0.00295625
1.161446 0.00296875
1.174895 0.00259375
1.1885 0.0021125
1.202262 0.00135
1.216184 0.00071875
1.230266 0.00058125
1.244512 0.00059375
1.258923 0.00059375
1.273501 0.0005875
1.288247 0.00058125
1.303164 0.00059375
1.318254 0.000575
1.333519 0.000575
1.34896 0.00054375
1.364581 0.00050625
1.380382 0.0005
1.396366 0.0004375
1.412535 0.00041875
1.428891 0.0003625
1.445437 0.0003125
1.462174 0.00026875
1.479106 0.000225
1.496233 0.0002125
1.513558 0.0001875
1.531085 0.00018125
1.548814 0.0001625
1.566748 0.00014375
1.58489 0.00014375
1.603242 0.0001
1.621807 7.5e-05
1.640586 6.25e-05
1.659584 3.75e-05
1.678801 6.25e-06
1.69824 0.0
1.717905 0.0
1.737797 0.0
1.75792 0.0
1.778276 0.0
1.798867 0.0
1.819697 0.0
1.840768 0.0
1.862083 0.0
1.883645 0.0
1.905457 0.0
1.927521 0.0
1.94984 0.0
1.972418 0.0
1.995258 0.0
2.018362 0.0
2.041734 0.0
2.065376 0.0
2.089291 0.0
2.113484 0.0
2.137957 0.0
2.162714 0.0
2.187757 0.0
2.21309 0.0
2.238716 0.0
2.264639 0.0
2.290862 0.0
2.317389 0.0
2.344223 0.0
2.371368 0.0
2.398827 0.0
2.426604 0.0
2.454703 0.0
2.483127 0.0
2.51188 0.0
2.540967 0.0
2.57039 0.0
2.600153 0.0
2.630262 0.0
2.660718 0.0
2.691528 0.0
2.722695 0.0
2.754222 0.0
2.786114 0.0
2.818376 0.0
2.851011 0.0
2.884024 0.0
2.91742 0.0
2.951202 0.0
2.985375 0.0
3.019944 0.0
3.054913 0.0
3.090287 0.0
3.126071 0.0
3.162269 0.0
3.198887 0.0
3.235928 0.0
3.273398 0.0
3.311302 0.0
3.349646 0.0
3.388433 0.0
3.427669 0.0
3.467359 0.0
3.507509 0.0
3.548124 0.0
3.58921 0.0
3.630771 0.0
3.672813 0.0
3.715342 0.0
3.758364 0.0
3.801883 0.0
3.845907 0.0
3.890441 0.0
3.93549 0.0
3.981061 0.0
4.027159 0.0
4.073791 0.0
4.120964 0.0
4.168682 0.0
4.216953 0.0
4.265783 0.0
4.315178 0.0
4.365146 0.0
4.415691 0.0
4.466823 0.0
4.518546 0.0
4.570868 0.0
4.623796 0.0
4.677338 0.0
4.731498 0.0
4.786287 0.0
4.841709 0.0
4.897773 0.0
4.954487 0.0
5.011857 0.0
5.069891 0.0
5.128598 0.0
5.187984 0.0
5.248058 0.0
5.308828 0.0
5.370301 0.0
5.432486 0.0
5.495392 0.0
5.559025 0.0
5.623395 0.0
5.688511 0.0
5.754381 0.0
5.821013 0.0
5.888418 0.0
5.956603 0.0
6.025576 0.0
6.095349 0.0
6.16593 0.0
6.237328 0.0
6.309553 0.0
6.382614 6.25e-06
6.456521 0.0
6.531284 0.0
6.606913 0.0
6.683417 0.0
6.760808 0.0
6.839094 0.0
6.918286 0.0
6.998397 0.0
7.079434 0.0
7.16141 0.0
7.244335 0.0
7.32822 0.0
7.413077 0.0
7.498917 0.0
7.585749 0.0
7.673588 0.0
7.762445 0.0
7.852328 0.0
7.943254 0.0
8.035233 0.0
8.128276 0.0
8.222398 0.0
8.317609 0.0
8.41392 0.0
8.51135 0.0
8.609907 0.0
8.709604 0.0
8.810457 0.0
8.912478 0.0
9.015678 0.0
9.120075 0.0
9.225681 0.0
9.332508 0.0
9.440575 0.0
9.549891 0.00095
9.660473 0.0
9.772336 0.0
9.885495 0.0
