%m vratio
0.01 0.0
0.01023293 0.0
0.01047129 0.00068125
0.01071519 0.0
0.01096478 0.0
0.01122018 0.0
0.01148153 0.0
0.01174897 0.0
0.01202264 0.0
0.01230269 0.0
0.01258925 0.0
0.01288249 0.0
0.01318256 0.0
0.01348963 0.0
0.01380384 0.0
0.01412537 0.0
0.01445439 0.0
0.01479108 0.0
0.01513561 0.0
0.01548816 0.0
0.01584893 0.0
0.01621809 0.0
0.01659586 0.0
0.01698243 0.0
0.017378 0.0
0.01778278 0.0
0.018197 0.0
0.01862086 0.0
0.0190546 0.0
0.01949843 0.0
0.01995261 0.0
0.02041737 0.0
0.02089295 0.0
0.0213796 0.0
0.0218776 6.25e-05
0.02238719 6.25e-06
0.02290866 0.00018125
0.02344227 4.375e-05
0.02398831 0.0002125
0.02454707 0.000225
0.02511884 0.00020625
0.02570393 0.00031875
0.02630266 0.0002125
0.02691532 0.00014375
0.02754226 0.00024375
0.0281838 0.00013125
0.02884029 0.0002375
0.02951206 0.00034375
0.03019948 0.0003
0.03090292 0.0003625
0.03162274 0.0004625
0.03235933 0.00035
0.03311307 0.00064375
0.03388438 0.0004
0.03467364 0.000425
0.0354813 0.00051875
0.03630776 0.00044375
0.03715347 0.00056875
0.03801889 0.000725
0.03890447 0.00055625
0.03981066 0.00085625
0.04073797 0.0007625
0.04168688 0.00061875
0.04265789 0.00085
0.04365152 0.000575
0.04466829 0.00046875
0.04570875 0.00043125
0.04677344 0.00048125
0.04786294 0.00029375
0.04897781 0.000225
0.05011865 0.00029375
0.05128606 0.0004125
0.05248066 0.00050625
0.05370309 0.0007375
0.054954 0.00089375
0.05623404 0.00119375
0.0575439 0.00151875
0.05888427 0.0016125
0.06025586 0.0018875
0.06165939 0.00225
0.06309562 0.00254375
0.06456531 0.00271875
0.06606922 0.00286875
0.06760818 0.00303125
0.06918297 0.00310625
0.07079445 0.0033375
0.07244346 0.0035625
0.07413089 0.0036
0.07585761 0.00368125
0.07762456 0.00375
0.07943267 0.00393125
0.08128289 0.004225
0.08317621 0.00445625
0.08511363 0.0047375
0.08709618 0.00478125
0.08912491 0.00470625
0.09120089 0.00495625
0.09332523 0.0048375
0.09549905 0.0043625
0.09772351 0.00440625
0.09999999 0.0041
0.1011579 0.0040375
0.1023293 0.00393125
0.1035142 0.0036375
0.1047129 0.00478125
0.1059254 0.00339375
0.1071519 0.0033
0.1083927 0.00346875
0.1096478 0.00333125
0.1109175 0.0032875
0.1122018 0.00325
0.1135011 0.0031375
0.1148153 0.003125
0.1161449 0.00301875
0.1174897 0.00309375
0.1188502 0.00290625
0.1202264 0.00275625
0.1216186 0.0027625
0.1230268 0.0026375
0.1244514 0.0026625
0.1258925 0.002575
0.1273503 0.0023625
0.1288249 0.00233125
0.1303166 0.00248125
0.1318256 0.002325
0.1333521 0.00235
0.1348962 0.00231875
0.1364583 0.00223125
0.1380384 0.00214375
0.1396368 0.002225
0.1412537 0.0022875
0.1428893 0.00220625
0.1445439 0.0021375
0.1462177 0.00225625
0.1479108 0.002025
0.1496235 0.00206875
