%m vratio
0.01 0.0
0.0101742 0.0
0.01035142 0.0
0.01053174 0.0
0.0107152 0.0
0.01090185 0.0
0.01109176 0.0
0.01128497 0.0
0.01148155 0.0
0.01168155 0.0
0.01188504 0.0
0.01209207 0.0
0.01230271 0.0
0.01251701 0.0
0.01273505 0.0
0.01295689 0.0
0.01318259 0.0
0.01341223 0.0
0.01364586 0.0
0.01388356 0.0
0.01412541 0.0
0.01437147 0.0
0.01462181 0.0
0.01487651 0.0
0.01513566 0.0
0.01539931 0.0
0.01566756 0.0
0.01594048 0.0
0.01621816 0.0
0.01650067 0.0
0.0167881 0.0
0.01708054 0.0
0.01737808 0.0
0.01768079 0.0
0.01798878 0.0
0.01830214 0.0
0.01862095 0.0
0.01894532 0.0
0.01927534 0.0
0.0196111 0.0
0.01995272 0.0
0.02030029 0.0
0.02065391 0.0
0.02101369 0.0
0.02137974 0.0
0.02175216 0.0
0.02213107 0.0
0.02251658 0.0
0.02290881 0.0
0.02330787 0.0
0.02371388 0.0
0.02412696 0.0
0.02454724 0.0
0.02497484 0.0
0.02540989 0.0
0.02585252 6.875e-05
0.02630286 0.000125
0.02676104 0.00015625
0.0272272 0.00025
0.02770149 0.00016875
0.02818403 0.0002125
0.02867498 0.00028125
0.02917449 0.00024375
0.02968269 0.00020625
0.03019975 0.00024375
0.03072581 0.00024375
0.03126104 0.0002
0.03180559 0.0002625
0.03235963 0.00030625
0.03292332 0.00039375
0.03349683 0.00041875
0.03408033 0.0004875
0.03467399 0.00050625
0.03527799 0.00065625
0.03589251 0.0006625
0.03651774 0.00068125
0.03715386 0.0008875
0.03780106 0.000825
0.03845954 0.00093125
0.03912948 0.0010125
0.0398111 0.0013375
0.04050459 0.0015125
0.04121016 0.00160625
0.04192802 0.00195
0.04265838 0.00208125
0.04340147 0.002275
0.04415751 0.00251875
0.0449267 0.0027125
0.0457093 0.0029125
0.04650554 0.00310625
0.04731564 0.00329375
0.04813986 0.00349375
0.04897843 0.00374375
0.04983161 0.00401875
0.05069965 0.00429375
0.05158281 0.0044625
0.05248135 0.00478125
0.05339555 0.0051875
0.05432568 0.005675
0.055272 0.006175
0.05623481 0.0068125
0.05721439 0.00734375
0.05821104 0.00780625
0.05922505 0.00845
0.06025672 0.00903125
0.06130636 0.00968125
0.06237428 0.01041875
0.06346081 0.01123125
0.06456626 0.01196875
0.06569098 0.0126375
0.06683528 0.01359375
0.06799952 0.01444375
0.06918404 0.0154
0.07038918 0.01635
0.07161532 0.01721875
0.07286283 0.0179875
0.07413206 0.01893125
0.0754234 0.019775
0.07673724 0.020675
0.07807396 0.021225
0.07943398 0.02194375
0.08081768 0.02268125
0.08222548 0.02345
0.0836578 0.0241375
0.08511508 0.02454375
0.08659774 0.02520625
0.08810623 0.02555625
0.08964099 0.02589375
0.0912025 0.0262875
0.09279119 0.0265875
0.09440757 0.02674375
0.0960521 0.026725
0.09772528 0.026675
0.0994276 0.02664375
0.1011596 0.02711875
0.1029217 0.0272875
0.1047145 0.02868125
0.1065386 0.027925
0.1083944 0.02811875
0.1102826 0.02835625
0.1122036 0.02883125
0.1141581 0.02891875
0.1161467 0.02891875
0.1181699 0.0292125
0.1202284 0.0296125
0.1223227 0.02991875
0.1244534 0.03021875
0.1266213 0.03024375
0.128827 0.0305125
0.1310711 0.03096875
0.1333542 0.031225
0.1356772 0.03171875
0.1380406 0.031925
0.1404452 0.03264375
0.1428916 0.03290625
0.1453807 0.03338125
0.1479132 0.0335625
0.1504897 0.0336375
0.1531111 0.033575
0.1557782 0.0338875
0.1584918 0.0334
0.1612526 0.03348125
0.1640615 0.03321875
0.1669194 0.03295
0.169827 0.0327
0.1727853 0.03245625
0.1757951 0.03179375
0.1788573 0.0309125
0.1819729 0.03008125
0.1851428 0.029825
0.1883678 0.028975
0.1916491 0.02804375
0.1949875 0.02771875
0.198384 0.027025
0.2018397 0.0267875
0.2053557 0.02636875
0.2089328 0.0258375
0.2125723 0.0255875
0.2162752 0.02551875
0.2200425 0.02501875
0.2238755 0.024575
0.2277753 0.0246125
0.231743 0.02438125
0.2357798 0.02388125
0.2398869 0.02381875
0.2440656 0.02355625
0.2483171 0.0234875
0.2526426 0.0234875
0.2570435 0.02324375
0.261521 0.0233375
0.2660765 0.02323125
0.2707114 0.0230625
0.275427 0.02283125
0.2802248 0.0226375
0.2851061 0.0223
0.2900725 0.02208125
0.2951254 0.021475
0.3002662 0.02065
0.3054967 0.020375
0.3108183 0.01943125
0.3162325 0.019175
0.3217411 0.01926875
0.3273456 0.01926875
0.3330477 0.01925625
0.3388492 0.0191
0.3447517 0.01888125
0.3507571 0.0189625
0.356867 0.0189
0.3630835 0.01919375
0.3694081 0.01910625
0.375843 0.0190125
0.3823899 0.019025
0.3890509 0.0193375
0.3958279 0.01933125
0.402723 0.01904375
0.4097381 0.0192
0.4168755 0.01920625
0.4241372 0.0189125
0.4315254 0.01898125
0.4390423 0.01904375
0.4466901 0.01910625
0.4544712 0.01906875
0.4623878 0.0190875
0.4704423 0.0189625
0.4786371 0.0190375
0.4869746 0.0189125
0.4954574 0.0187375
0.5040879 0.01929375
0.5128688 0.02019375
0.5218027 0.02085625
0.5308921 0.02134375
0.5401399 0.0221625
0.5495488 0.022425
0.5591216 0.023225
0.5688611 0.02385
0.5787703 0.02421875
0.5888521 0.02594375
0.5991095 0.02754375
0.6095456 0.02871875
0.6201635 0.028975
0.6309664 0.02911875
0.6419574 0.02945
0.6531399 0.0305375
0.6645172 0.0309375
0.6760926 0.03141875
0.6878697 0.0308875
0.6998519 0.030675
0.7120429 0.03004375
0.7244462 0.02875
0.7370656 0.02715625
0.7499048 0.02583125
0.7629677 0.0242125
0.7762581 0.0226125
0.78978 0.0212
0.8035375 0.01978125
0.8175346 0.01885625
0.8317755 0.01761875
0.8462645 0.01688125
0.861006 0.01614375
0.8760041 0.0153875
0.8912635 0.01445
0.9067888 0.01394375
0.9225845 0.01341875
0.9386553 0.012825
0.9550061 0.0121625
0.9716417 0.01155625
0.9885671 0.0111
1.005787 0.01035
1.023307 0.0098875
1.041133 0.00931875
1.059269 0.008575
1.077721 0.007975
1.096494 0.0074125
1.115594 0.0070125
1.135027 0.00651875
1.154798 0.006175
1.174914 0.0059375
1.19538 0.0056875
1.216203 0.00534375
1.237389 0.00534375
1.258943 0.00511875
1.280873 0.0048625
1.303185 0.0048125
1.325886 0.00474375
1.348982 0.00453125
1.37248 0.004525
1.396388 0.00443125
1.420712 0.0041625
1.44546 0.00415625
1.470639 0.00410625
1.496257 0.0039625
1.522321 0.0037625
1.548838 0.0037625
1.575818 0.003675
1.603268 0.00348125
1.631196 0.00335625
1.65961 0.00309375
1.688519 0.0032125
1.717932 0.002975
1.747858 0.00286875
1.778304 0.0026625
1.809281 0.00256875
1.840798 0.00245625
1.872863 0.00221875
1.905487 0.00215625
1.938679 0.00193125
1.97245 0.00183125
2.006809 0.00173125
2.041766 0.001775
2.077332 0.00169375
2.113518 0.0015625
2.150334 0.00145
2.187792 0.0013
2.225902 0.00128125
2.264675 0.0012625
2.304125 0.0011125
2.344261 0.00115625
2.385096 0.0011125
2.426643 0.0010625
2.468914 0.00098125
2.511921 0.00094375
2.555677 0.00091875
2.600195 0.00075625
2.645489 0.00080625
2.691571 0.0007
2.738457 0.000675
2.786159 0.0006375
2.834692 0.0006
2.88407 0.0005875
2.934309 0.00058125
2.985423 0.00051875
3.037427 0.00050625
3.090337 0.00050625
3.144169 0.00053125
3.198938 0.00046875
3.254662 0.0004375
3.311356 0.00044375
3.369037 0.0004
3.427724 0.00038125
3.487432 0.00038125
3.548181 0.00038125
3.609988 0.0003625
3.672872 0.00035
3.736851 0.00035625
3.801944 0.00036875
3.868172 0.00035
3.935553 0.0002875
4.004107 0.00020625
4.073856 0.00021875
4.144821 0.00020625
4.217021 0.000225
4.290478 0.00023125
4.365216 0.00021875
4.441255 0.0002
4.518619 0.00023125
4.59733 0.0001625
4.677413 0.00021875
4.75889 0.00016875
4.841787 0.00019375
4.926127 0.0001625
5.011938 0.00020625
5.099242 0.00015
5.188068 0.000175
5.27844 0.0001875
5.370388 0.000175
5.463936 0.00014375
5.559114 0.00015625
5.655951 0.00015625
5.754474 0.00015
5.854712 0.00015625
5.956698 0.00013125
6.06046 0.00011875
6.166029 0.0001375
6.273437 0.0001125
6.382717 0.000125
6.493899 0.000125
6.607018 0.0001
6.722109 0.00010625
6.839203 0.0001125
6.958338 0.0001125
7.079547 0.0001125
7.202869 0.0001
7.328338 8.75e-05
7.455993 0.00010625
7.585871 0.00010625
7.718012 0.0001
7.852455 8.75e-05
7.98924 0.0001
8.128407 8.125e-05
8.269999 6.25e-05
8.414057 8.125e-05
8.560624 8.125e-05
8.709744 6.25e-05
8.861463 6.25e-05
9.015823 7.5e-05
9.172873 5.625e-05
9.332659 5e-05
9.495228 6.875e-05
9.660628 3.75e-05
9.82891 3.75e-05
