%m vratio
0.01 0.0
0.01023293 0.0
0.01047129 0.00060625
0.01071519 0.0
0.01096478 0.0
0.01122018 0.0
0.01148153 0.0
0.01174897 0.0
0.01202264 0.0
0.01230269 0.0
0.01258925 0.0
0.01288249 0.0
0.01318256 0.0
0.01348963 0.0
0.01380384 0.0
0.01412537 0.0
0.01445439 0.0
0.01479108 0.0
0.01513561 0.0
0.01548816 0.0
0.01584893 0.0
0.01621809 1.875e-05
0.01659586 5e-05
0.01698243 4.375e-05
0.017378 8.125e-05
0.01778278 0.00018125
0.018197 0.00016875
0.01862086 0.000225
0.0190546 0.000275
0.01949843 0.000375
0.01995261 0.00043125
0.02041737 0.0006625
0.02089295 0.000775
0.0213796 0.000925
0.0218776 0.00103125
0.02238719 0.00145625
0.02290866 0.0017375
0.02344227 0.00208125
0.02398831 0.00243125
0.02454707 0.0026375
0.02511884 0.00296875
0.02570393 0.00328125
0.02630266 0.0036125
0.02691532 0.0042375
0.02754226 0.0043625
0.0281838 0.00495625
0.02884029 0.0053
0.02951206 0.00570625
0.03019948 0.00636875
0.03090292 0.007025
0.03162274 0.0071375
0.03235933 0.00781875
0.03311307 0.0086625
0.03388438 0.00914375
0.03467364 0.0092875
0.0354813 0.010575
0.03630776 0.01099375
0.03715347 0.011325
0.03801889 0.01221875
0.03890447 0.0126
0.03981066 0.01374375
0.04073797 0.01438125
0.04168688 0.01464375
0.04265789 0.01536875
0.04365152 0.0161
0.04466829 0.0167
0.04570875 0.01719375
0.04677344 0.01809375
0.04786294 0.0189
0.04897781 0.01964375
0.05011865 0.02048125
0.05128606 0.02193125
0.05248066 0.022775
0.05370309 0.02393125
0.054954 0.02490625
0.05623404 0.02563125
0.0575439 0.02660625
0.05888427 0.02791875
0.06025586 0.0286875
0.06165939 0.0297375
0.06309562 0.03035
0.06456531 0.03151875
0.06606922 0.03285
0.06760818 0.0341125
0.06918297 0.03501875
0.07079445 0.03560625
0.07244346 0.0364375
0.07413089 0.03809375
0.07585761 0.03883125
0.07762456 0.04068125
0.07943267 0.04150625
0.08128289 0.04261875
0.08317621 0.0436375
0.08511363 0.044725
0.08709618 0.04605625
0.08912491 0.04676875
0.09120089 0.04783125
0.09332523 0.04936875
0.09549905 0.05013125
0.09772351 0.05088125
0.1 0.05226875
0.1011579 0.05265
0.1023293 0.0529625
0.1035142 0.05340625
0.1047129 0.05500625
0.1059254 0.05401875
0.1071519 0.054375
0.1083927 0.05483125
0.1096478 0.055625
0.1109175 0.0548875
0.1122018 0.0553
0.1135011 0.05569375
0.1148153 0.0555375
0.1161448 0.05664375
0.1174897 0.05631875
0.1188502 0.056375
0.1202264 0.0565125
0.1216186 0.05645
0.1230269 0.057
0.1244514 0.057
0.1258925 0.0573125
0.1273503 0.05773125
0.1288249 0.05775
0.1303166 0.05831875
0.1318256 0.058925
0.1333521 0.0587
0.1348962 0.0590375
0.1364583 0.0591375
0.1380384 0.05908125
0.1396368 0.060075
0.1412537 0.06030625
0.1428894 0.06105
0.1445439 0.061075
0.1462177 0.06113125
0.1479108 0.06134375
