#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0.277777777778 --zeta=3.6 --comp=0 --mean=0.0 --second=0.1 --skew=0.99 --distribution=d>> comp_d_a:-1:2:300:1_0.0_3.6_0.277777777778.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.002006e+00 1.014327e+00 2.317093e+04 1.864341e+00 -2.490926e-02 9.971857e-04
1.023293e-01 1.002012e+00 1.008324e+00 2.316250e+04 1.878028e+00 -3.142011e-02 1.006722e-03
1.047129e-01 1.002040e+00 1.006201e+00 2.299676e+04 1.832828e+00 -2.342761e-02 9.957552e-04
1.071519e-01 1.002274e+00 1.014062e+00 2.320538e+04 1.873254e+00 -2.839929e-02 1.009107e-03
1.096478e-01 1.002421e+00 1.009985e+00 2.310324e+04 1.839513e+00 -2.884644e-02 9.949207e-04
1.122018e-01 1.002387e+00 1.012326e+00 2.330134e+04 1.846197e+00 -3.610122e-02 1.021266e-03
1.148153e-01 1.002413e+00 1.016059e+00 2.323886e+04 1.851609e+00 -2.529413e-02 1.017213e-03
1.174897e-01 1.002709e+00 1.012343e+00 2.315686e+04 1.801316e+00 -3.021252e-02 1.009345e-03
1.202264e-01 1.002930e+00 1.016720e+00 2.338197e+04 1.846834e+00 -1.821750e-02 1.016736e-03
1.230269e-01 1.003134e+00 1.005056e+00 2.292212e+04 1.793358e+00 -3.141439e-02 9.983778e-04
1.258925e-01 1.003118e+00 1.002676e+00 2.289156e+04 1.817231e+00 -2.923578e-02 9.988546e-04
1.288249e-01 1.003328e+00 1.013361e+00 2.322064e+04 1.852882e+00 -3.373480e-02 1.011372e-03
1.318256e-01 1.003599e+00 1.003485e+00 2.305795e+04 1.863068e+00 -2.857631e-02 9.953976e-04
1.348962e-01 1.003827e+00 1.010041e+00 2.317747e+04 1.854792e+00 -2.744496e-02 9.876490e-04
1.380384e-01 1.003911e+00 1.001608e+00 2.303398e+04 1.860203e+00 -2.452517e-02 1.001477e-03
1.412537e-01 1.004154e+00 1.021129e+00 2.331796e+04 1.862113e+00 -3.651989e-02 1.008034e-03
1.445439e-01 1.004433e+00 9.972489e-01 2.282605e+04 1.870707e+00 -3.441530e-02 9.964705e-04
1.479108e-01 1.004641e+00 1.004172e+00 2.308574e+04 1.828054e+00 -3.065163e-02 1.004100e-03
1.513561e-01 1.004700e+00 1.010117e+00 2.314464e+04 1.867524e+00 -2.598536e-02 1.000166e-03
1.548816e-01 1.005066e+00 1.012351e+00 2.307663e+04 1.827735e+00 -3.874081e-02 1.008511e-03
1.584892e-01 1.005447e+00 1.001145e+00 2.301688e+04 1.804817e+00 -2.073437e-02 9.965897e-04
1.621809e-01 1.005839e+00 1.002313e+00 2.298378e+04 1.782535e+00 -3.708583e-02 9.781122e-04
1.659586e-01 1.005876e+00 1.005642e+00 2.294367e+04 1.787310e+00 -3.433675e-02 9.975433e-04
1.698243e-01 1.006210e+00 9.962063e-01 2.294670e+04 1.800042e+00 -3.586811e-02 9.958744e-04
1.737800e-01 1.006514e+00 1.001641e+00 2.277768e+04 1.791448e+00 -3.562087e-02 9.834766e-04
1.778278e-01 1.006958e+00 1.012806e+00 2.300400e+04 1.810865e+00 -3.183997e-02 1.023769e-03
1.819700e-01 1.007337e+00 9.990131e-01 2.289892e+04 1.775851e+00 -2.163786e-02 1.002431e-03
1.862086e-01 1.007713e+00 1.005314e+00 2.293543e+04 1.831873e+00 -3.209996e-02 9.999275e-04
1.905460e-01 1.007997e+00 1.007068e+00 2.297613e+04 1.849380e+00 -3.096849e-02 1.001358e-03
1.949843e-01 1.008551e+00 1.008354e+00 2.305115e+04 1.793040e+00 -2.549440e-02 1.008272e-03
1.995261e-01 1.009049e+00 1.002597e+00 2.286188e+04 1.845561e+00 -2.893656e-02 1.001954e-03
2.041737e-01 1.009450e+00 1.010228e+00 2.309282e+04 1.856065e+00 -2.411705e-02 1.029968e-03
2.089295e-01 1.009848e+00 1.006890e+00 2.318065e+04 1.829009e+00 -3.237492e-02 1.005888e-03
2.137960e-01 1.010412e+00 1.001543e+00 2.283815e+04 1.806409e+00 -3.121716e-02 9.838343e-04
2.187760e-01 1.011012e+00 9.980918e-01 2.278334e+04 1.811502e+00 -2.671087e-02 9.912252e-04
2.238719e-01 1.011555e+00 1.003258e+00 2.290916e+04 1.824870e+00 -2.624542e-02 9.906292e-04
2.290866e-01 1.012205e+00 1.006550e+00 2.284774e+04 1.831873e+00 -2.537519e-02 1.009464e-03
2.344227e-01 1.012664e+00 1.008808e+00 2.304545e+04 1.814048e+00 -3.397667e-02 1.007438e-03
2.398831e-01 1.013208e+00 1.002322e+00 2.285852e+04 1.834420e+00 -2.748013e-02 1.008034e-03
2.454707e-01 1.014125e+00 1.005514e+00 2.285843e+04 1.802271e+00 -1.872569e-02 9.733438e-04
2.511884e-01 1.014861e+00 1.001160e+00 2.264486e+04 1.816913e+00 -2.890265e-02 9.869337e-04
2.570393e-01 1.015320e+00 1.009532e+00 2.282014e+04 1.806090e+00 -3.165233e-02 9.988546e-04
2.630266e-01 1.016050e+00 1.012747e+00 2.305818e+04 1.799087e+00 -2.787989e-02 9.930134e-04
2.691532e-01 1.016960e+00 1.008148e+00 2.286983e+04 1.814048e+00 -2.523601e-02 9.860992e-04
2.754226e-01 1.017751e+00 1.001183e+00 2.263155e+04 1.795586e+00 -2.574420e-02 9.901524e-04
2.818380e-01 1.018779e+00 9.997190e-01 2.288641e+04 1.794949e+00 -2.891129e-02 1.012802e-03
2.884029e-01 1.019548e+00 1.006773e+00 2.274676e+04 1.802589e+00 -3.350985e-02 9.831190e-04
2.951206e-01 1.020449e+00 1.009595e+00 2.294143e+04 1.854155e+00 -2.976698e-02 9.818077e-04
3.019949e-01 1.021542e+00 1.003878e+00 2.259464e+04 1.777442e+00 -2.364713e-02 9.734631e-04
3.090292e-01 1.022452e+00 1.009658e+00 2.294584e+04 1.786355e+00 -2.401114e-02 1.001120e-03
3.162274e-01 1.023579e+00 1.005297e+00 2.292025e+04 1.825507e+00 -2.226305e-02 9.844303e-04
3.235933e-01 1.024845e+00 1.008258e+00 2.276203e+04 1.780944e+00 -3.487682e-02 1.000404e-03
3.311307e-01 1.025655e+00 1.003010e+00 2.256560e+04 1.839513e+00 -2.554494e-02 9.633303e-04
3.388438e-01 1.027009e+00 1.003333e+00 2.277658e+04 1.784763e+00 -2.634263e-02 9.944439e-04
3.467364e-01 1.028348e+00 1.012386e+00 2.287234e+04 1.829009e+00 -3.521371e-02 1.002669e-03
3.548129e-01 1.029573e+00 1.003619e+00 2.266423e+04 1.770121e+00 -2.865976e-02 9.850264e-04
3.630776e-01 1.030802e+00 9.983072e-01 2.241629e+04 1.754206e+00 -2.635098e-02 9.859800e-04
3.715348e-01 1.032322e+00 1.004506e+00 2.261680e+04 1.779034e+00 -2.170664e-02 1.002312e-03
3.801889e-01 1.033878e+00 1.006418e+00 2.274941e+04 1.793358e+00 -1.366329e-02 9.769201e-04
3.890446e-01 1.035199e+00 1.008635e+00 2.265731e+04 1.783490e+00 -2.285588e-02 9.837151e-04
3.981066e-01 1.036883e+00 9.956882e-01 2.244779e+04 1.783490e+00 -2.389216e-02 9.706020e-04
4.073797e-01 1.038504e+00 1.007128e+00 2.271311e+04 1.842378e+00 -1.388949e-02 9.943247e-04
4.168688e-01 1.040195e+00 1.005330e+00 2.255043e+04 1.780944e+00 -5.772829e-03 9.734631e-04
4.265789e-01 1.042062e+00 1.006091e+00 2.273276e+04 1.782854e+00 -6.451845e-03 9.906292e-04
4.365152e-01 1.043816e+00 9.973374e-01 2.245737e+04 1.795904e+00 -8.885860e-03 9.620190e-04
4.466830e-01 1.045558e+00 1.002843e+00 2.256365e+04 1.802589e+00 -1.647073e-02 9.728670e-04
4.570875e-01 1.047533e+00 1.003642e+00 2.248874e+04 1.777124e+00 -8.461118e-03 9.849072e-04
4.677345e-01 1.049714e+00 1.005601e+00 2.256956e+04 1.767256e+00 -8.431733e-03 9.640455e-04
4.786294e-01 1.051754e+00 1.010983e+00 2.260046e+04 1.798132e+00 -9.565473e-03 9.660721e-04
4.897781e-01 1.053871e+00 1.008689e+00 2.272424e+04 1.785082e+00 -1.766175e-02 9.726286e-04
5.011865e-01 1.055977e+00 1.009318e+00 2.257256e+04 1.724285e+00 -7.970870e-03 9.670258e-04
5.128606e-01 1.058231e+00 1.010427e+00 2.274516e+04 1.792403e+00 -2.487761e-02 9.592772e-04
5.248066e-01 1.060588e+00 1.014805e+00 2.279135e+04 1.804499e+00 -8.232117e-03 9.598732e-04
5.370309e-01 1.063076e+00 1.017616e+00 2.294781e+04 1.852564e+00 -3.195584e-03 9.762049e-04
5.495400e-01 1.065420e+00 1.019777e+00 2.311969e+04 1.832192e+00 -1.931560e-02 9.702444e-04
5.623404e-01 1.068042e+00 1.011455e+00 2.303129e+04 1.844606e+00 -1.853001e-02 9.536743e-04
5.754390e-01 1.070597e+00 1.007808e+00 2.294576e+04 1.806727e+00 -2.683586e-02 9.554625e-04
5.888427e-01 1.073240e+00 1.016288e+00 2.298954e+04 1.827099e+00 -2.022207e-02 9.593964e-04
6.025586e-01 1.076156e+00 1.007763e+00 2.294797e+04 1.892671e+00 -1.059729e-02 9.516478e-04
6.165940e-01 1.079265e+00 1.007727e+00 2.295634e+04 1.799724e+00 -1.180512e-02 9.371042e-04
6.309564e-01 1.081912e+00 1.007664e+00 2.304571e+04 1.815321e+00 -1.483667e-02 9.539127e-04
6.456532e-01 1.085014e+00 1.001543e+00 2.282599e+04 1.823279e+00 -3.416055e-02 9.602308e-04
6.606924e-01 1.087914e+00 1.006577e+00 2.293104e+04 1.851609e+00 -3.275287e-02 9.412766e-04
6.760820e-01 1.091259e+00 1.012889e+00 2.289394e+04 1.828372e+00 -1.512402e-02 9.409189e-04
6.918299e-01 1.094551e+00 1.003299e+00 2.309638e+04 1.851609e+00 -1.738107e-02 9.564161e-04
7.079447e-01 1.097747e+00 1.011550e+00 2.312750e+04 1.888533e+00 -7.082641e-03 9.518862e-04
7.244349e-01 1.101298e+00 1.008902e+00 2.313179e+04 1.917499e+00 -7.660925e-03 9.398460e-04
