#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0.277777777778 --zeta=3.6 --comp=0 --mean=0.0 --second=0.1 --skew=0.99 --distribution=e>> comp_e_a:-1:2:300:1_0.0_3.6_0.277777777778.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 9.957747e-01 9.824821e-01 4.425296e+04 3.498544e+00 -2.301264e-02 3.849030e-03
1.023293e-01 9.959878e-01 9.925263e-01 4.494023e+04 3.586716e+00 -4.790425e-04 3.890038e-03
1.047129e-01 9.953306e-01 9.855342e-01 4.450701e+04 3.529102e+00 -1.570791e-02 3.872514e-03
1.071519e-01 9.951767e-01 9.887675e-01 4.439482e+04 3.522735e+00 -1.983124e-02 3.874421e-03
1.096478e-01 9.949618e-01 9.896832e-01 4.477114e+04 3.591172e+00 -8.268237e-03 3.911138e-03
1.122018e-01 9.948599e-01 9.842063e-01 4.481562e+04 3.553293e+00 -1.272726e-02 3.868341e-03
1.148153e-01 9.947350e-01 9.808689e-01 4.434025e+04 3.528147e+00 -2.010810e-02 3.881693e-03
1.174897e-01 9.944065e-01 9.914286e-01 4.496468e+04 3.583533e+00 -2.228951e-02 3.853202e-03
1.202264e-01 9.942845e-01 9.859510e-01 4.454212e+04 3.519552e+00 -6.291032e-03 3.902555e-03
1.230269e-01 9.940131e-01 9.945073e-01 4.477354e+04 3.588307e+00 -5.636692e-03 3.872752e-03
1.258925e-01 9.939345e-01 9.881227e-01 4.460163e+04 3.530056e+00 -1.165265e-02 3.893137e-03
1.288249e-01 9.934821e-01 9.987577e-01 4.501256e+04 3.563161e+00 -1.815450e-02 3.896117e-03
1.318256e-01 9.932563e-01 9.944215e-01 4.514578e+04 3.548837e+00 -1.822948e-02 3.929615e-03
1.348962e-01 9.932087e-01 9.949979e-01 4.533941e+04 3.609316e+00 -1.293862e-02 3.952980e-03
1.380384e-01 9.926859e-01 9.894808e-01 4.468039e+04 3.541516e+00 -1.145041e-02 3.868461e-03
1.412537e-01 9.920076e-01 9.899114e-01 4.475737e+04 3.575257e+00 -1.044941e-02 3.850698e-03
1.445439e-01 9.921244e-01 9.823937e-01 4.459913e+04 3.517642e+00 -1.256067e-02 3.819585e-03
1.479108e-01 9.918945e-01 9.896690e-01 4.502011e+04 3.588944e+00 -1.499063e-02 3.910184e-03
1.513561e-01 9.914732e-01 9.981069e-01 4.530213e+04 3.627459e+00 -1.953542e-02 3.911257e-03
1.548816e-01 9.912568e-01 9.917451e-01 4.532828e+04 3.598811e+00 -2.402669e-02 3.903389e-03
1.584892e-01 9.909810e-01 9.860547e-01 4.487195e+04 3.565707e+00 -8.903205e-03 3.885508e-03
1.621809e-01 9.905811e-01 9.823307e-01 4.484040e+04 3.550747e+00 -1.840413e-02 3.864884e-03
1.659586e-01 9.903369e-01 9.921005e-01 4.529043e+04 3.614090e+00 -4.621625e-03 3.902555e-03
1.698243e-01 9.895962e-01 9.940601e-01 4.551508e+04 3.619820e+00 -2.422583e-02 3.908277e-03
1.737800e-01 9.894761e-01 9.912706e-01 4.545946e+04 3.651333e+00 -9.320498e-03 3.927708e-03
1.778278e-01 9.890055e-01 9.831034e-01 4.488473e+04 3.527828e+00 -3.834009e-03 3.874183e-03
1.819700e-01 9.887359e-01 9.916376e-01 4.525327e+04 3.584169e+00 -1.368093e-02 3.881335e-03
1.862086e-01 9.882726e-01 9.779938e-01 4.485161e+04 3.598175e+00 -9.805262e-03 3.872275e-03
1.905460e-01 9.879016e-01 9.945717e-01 4.545625e+04 3.630642e+00 -1.055527e-02 3.902316e-03
1.949843e-01 9.873365e-01 9.875937e-01 4.503549e+04 3.592127e+00 -1.562595e-02 3.850460e-03
1.995261e-01 9.870952e-01 9.934300e-01 4.558954e+04 3.617592e+00 -1.566827e-02 3.862739e-03
2.041737e-01 9.865053e-01 9.936841e-01 4.575537e+04 3.716268e+00 -7.152259e-03 3.903985e-03
2.089295e-01 9.862053e-01 9.912625e-01 4.601525e+04 3.658335e+00 -1.903212e-02 3.895164e-03
2.137960e-01 9.854226e-01 9.787967e-01 4.513482e+04 3.592764e+00 -1.020378e-02 3.834367e-03
2.187760e-01 9.851589e-01 9.825893e-01 4.508010e+04 3.613454e+00 -6.412446e-03 3.864765e-03
2.238719e-01 9.846541e-01 9.842265e-01 4.525505e+04 3.639555e+00 -1.945329e-02 3.831267e-03
2.290866e-01 9.841807e-01 9.884514e-01 4.564136e+04 3.627459e+00 -1.500797e-02 3.875613e-03
2.344227e-01 9.835879e-01 9.977263e-01 4.595505e+04 3.619183e+00 -1.020575e-02 3.879905e-03
2.398831e-01 9.829082e-01 9.900801e-01 4.570944e+04 3.633826e+00 -1.365745e-02 3.847361e-03
2.454707e-01 9.824161e-01 9.859153e-01 4.576563e+04 3.628414e+00 -2.709246e-02 3.841758e-03
2.511884e-01 9.820023e-01 9.934361e-01 4.594895e+04 3.652606e+00 -1.712024e-02 3.895402e-03
2.570393e-01 9.814290e-01 9.883965e-01 4.587374e+04 3.674569e+00 -6.253362e-03 3.890991e-03
2.630266e-01 9.806314e-01 9.844943e-01 4.593675e+04 3.651969e+00 -1.408017e-02 3.860116e-03
2.691532e-01 9.802157e-01 9.858308e-01 4.559275e+04 3.623958e+00 -1.508629e-02 3.858447e-03
2.754226e-01 9.796225e-01 9.915649e-01 4.620754e+04 3.669476e+00 -1.390201e-02 3.891587e-03
2.818380e-01 9.789644e-01 9.836025e-01 4.592557e+04 3.691121e+00 -1.582074e-02 3.825665e-03
2.884029e-01 9.785065e-01 9.903051e-01 4.589168e+04 3.651014e+00 -1.891959e-02 3.849626e-03
2.951206e-01 9.778524e-01 9.878051e-01 4.620520e+04 3.728045e+00 -2.664745e-02 3.868580e-03
3.019949e-01 9.772500e-01 9.784933e-01 4.567285e+04 3.624594e+00 -1.907390e-02 3.860712e-03
3.090292e-01 9.766396e-01 9.935614e-01 4.628291e+04 3.659609e+00 -1.274735e-02 3.859401e-03
3.162274e-01 9.758449e-01 9.873709e-01 4.606392e+04 3.672023e+00 -4.329503e-03 3.869653e-03
3.235933e-01 9.752381e-01 9.851504e-01 4.617599e+04 3.628096e+00 -1.387793e-02 3.840446e-03
3.311307e-01 9.744346e-01 9.917050e-01 4.643762e+04 3.685710e+00 -3.020680e-02 3.850102e-03
3.388438e-01 9.737331e-01 9.921933e-01 4.638397e+04 3.683482e+00 -1.828867e-02 3.865361e-03
3.467364e-01 9.730569e-01 9.898996e-01 4.671129e+04 3.703535e+00 -2.279395e-02 3.867030e-03
3.548129e-01 9.719871e-01 9.920924e-01 4.649834e+04 3.689848e+00 -2.375776e-02 3.897905e-03
3.630776e-01 9.715275e-01 9.915395e-01 4.699452e+04 3.754147e+00 -1.901555e-02 3.897429e-03
3.715348e-01 9.707753e-01 9.862673e-01 4.633007e+04 3.713085e+00 -2.603507e-02 3.843307e-03
3.801889e-01 9.697893e-01 9.892666e-01 4.669043e+04 3.684119e+00 -1.087791e-02 3.854990e-03
3.890446e-01 9.692079e-01 9.819556e-01 4.620633e+04 3.682845e+00 -2.308959e-02 3.823519e-03
3.981066e-01 9.686372e-01 9.831820e-01 4.672436e+04 3.729637e+00 -1.919544e-02 3.860116e-03
4.073797e-01 9.677165e-01 9.848863e-01 4.688089e+04 3.767834e+00 -1.580387e-02 3.859162e-03
4.168688e-01 9.667562e-01 9.861739e-01 4.687166e+04 3.741733e+00 -2.358830e-02 3.872752e-03
4.265789e-01 9.660609e-01 9.872655e-01 4.698962e+04 3.721997e+00 -1.965785e-02 3.888249e-03
4.365152e-01 9.652087e-01 9.900627e-01 4.670324e+04 3.690485e+00 -1.313478e-02 3.845811e-03
4.466830e-01 9.645233e-01 9.826735e-01 4.703230e+04 3.694623e+00 -5.342960e-03 3.861666e-03
4.570875e-01 9.636742e-01 9.840505e-01 4.668470e+04 3.716904e+00 -2.005190e-02 3.841043e-03
4.677345e-01 9.629719e-01 9.866372e-01 4.697142e+04 3.743006e+00 -2.532375e-02 3.845334e-03
4.786294e-01 9.620281e-01 9.873978e-01 4.718992e+04 3.764014e+00 -2.007115e-02 3.887057e-03
4.897781e-01 9.612671e-01 9.917294e-01 4.759115e+04 3.794254e+00 -1.810193e-02 3.846288e-03
5.011865e-01 9.605399e-01 9.866780e-01 4.710419e+04 3.720406e+00 -8.320689e-03 3.844261e-03
5.128606e-01 9.598345e-01 9.996994e-01 4.789785e+04 3.814626e+00 -1.376832e-02 3.881454e-03
5.248066e-01 9.588122e-01 9.927598e-01 4.743391e+04 3.782158e+00 -1.540011e-02 3.848314e-03
5.370309e-01 9.580637e-01 9.890482e-01 4.733982e+04 3.750645e+00 -6.290913e-03 3.857493e-03
5.495400e-01 9.572640e-01 9.933628e-01 4.758160e+04 3.792980e+00 -2.657413e-02 3.853083e-03
5.623404e-01 9.564413e-01 9.906689e-01 4.797180e+04 3.791707e+00 -1.756483e-02 3.852844e-03
5.754390e-01 9.552069e-01 9.872399e-01 4.789108e+04 3.792344e+00 -2.245551e-02 3.848672e-03
5.888427e-01 9.544065e-01 9.884598e-01 4.761161e+04 3.765606e+00 -2.254027e-02 3.838658e-03
6.025586e-01 9.537078e-01 9.975761e-01 4.833155e+04 3.856006e+00 -2.039725e-02 3.881931e-03
6.165940e-01 9.529201e-01 9.963528e-01 4.787492e+04 3.857597e+00 -1.719660e-02 3.883123e-03
6.309564e-01 9.520851e-01 9.961630e-01 4.820386e+04 3.836589e+00 -1.961666e-02 3.874779e-03
6.456532e-01 9.509012e-01 9.887406e-01 4.740041e+04 3.803485e+00 -1.596147e-02 3.842473e-03
6.606924e-01 9.506463e-01 9.936039e-01 4.803795e+04 3.830859e+00 -8.395553e-03 3.874779e-03
6.760820e-01 9.495891e-01 9.956322e-01 4.814806e+04 3.843592e+00 -1.829767e-02 3.903627e-03
6.918299e-01 9.484210e-01 9.884096e-01 4.771902e+04 3.822583e+00 -2.352780e-02 3.843665e-03
7.079447e-01 9.475663e-01 9.897937e-01 4.795922e+04 3.807941e+00 -2.486914e-02 3.859520e-03
7.244349e-01 9.469774e-01 9.836745e-01 4.771941e+04 3.823220e+00 -5.094051e-03 3.854871e-03
7.413091e-01 9.463457e-01 9.883766e-01 4.784172e+04 3.798710e+00 -2.456993e-02 3.823042e-03
7.585765e-01 9.450158e-01 9.895605e-01 4.787986e+04 3.830541e+00 -1.441282e-02 3.819227e-03
7.762460e-01 9.445236e-01 9.790472e-01 4.754118e+04 3.760513e+00 -1.522613e-02 3.810644e-03
7.943270e-01 9.434531e-01 9.952542e-01 4.806633e+04 3.828313e+00 -1.048106e-02 3.828645e-03
8.128293e-01 9.425123e-01 9.876474e-01 4.806469e+04 3.884335e+00 -7.345498e-03 3.818274e-03
8.317625e-01 9.418679e-01 9.966944e-01 4.853225e+04 3.903116e+00 -2.005172e-02 3.849030e-03
8.511367e-01 9.407617e-01 9.881697e-01 4.780773e+04 3.808578e+00 -1.993734e-02 3.830671e-03
8.709623e-01 9.402015e-01 9.896083e-01 4.777791e+04 3.830541e+00 -1.252055e-02 3.815413e-03
8.912496e-01 9.393556e-01 9.980841e-01 4.819379e+04 3.871603e+00 -7.215321e-03 3.820181e-03
9.120094e-01 9.385232e-01 9.904509e-01 4.813583e+04 3.840409e+00 -1.293558e-02 3.834009e-03
9.332529e-01 9.375466e-01 9.826819e-01 4.786261e+04 3.849958e+00 -7.192314e-03 3.818750e-03
9.549911e-01 9.370331e-01 9.895794e-01 4.817596e+04 3.833406e+00 -1.265281e-02 3.827095e-03
9.772357e-01 9.360631e-01 9.944501e-01 4.864397e+04 3.883380e+00 -1.474512e-02 3.859878e-03
9.999985e-01 9.353264e-01 9.945732e-01 4.847457e+04 3.891338e+00 -2.108598e-02 3.849030e-03
1.023291e+00 9.345526e-01 9.927830e-01 4.819296e+04 3.880516e+00 -2.854544e-02 3.846645e-03
1.047127e+00 9.336805e-01 9.838390e-01 4.807646e+04 3.832769e+00 -2.135950e-02 3.810644e-03
1.071518e+00 9.331475e-01 9.934719e-01 4.876956e+04 3.895476e+00 -1.772559e-02 3.831863e-03
1.096477e+00 9.323852e-01 9.879277e-01 4.877323e+04 3.908209e+00 -2.418631e-02 3.819585e-03
1.122017e+00 9.313480e-01 9.942302e-01 4.873391e+04 3.903116e+00 -1.796222e-02 3.849864e-03
1.148152e+00 9.305719e-01 9.856278e-01 4.771363e+04 3.838817e+00 -1.561224e-02 3.784776e-03
1.174896e+00 9.298723e-01 9.893226e-01 4.838831e+04 3.844228e+00 -1.080149e-02 3.786564e-03
1.202263e+00 9.290852e-01 9.845437e-01 4.830027e+04 3.920941e+00 -2.107424e-02 3.821015e-03
1.230267e+00 9.283670e-01 9.955466e-01 4.863501e+04 3.912983e+00 -1.417083e-02 3.846407e-03
1.258923e+00 9.276389e-01 9.927594e-01 4.859628e+04 3.885927e+00 -1.875103e-02 3.822446e-03
1.288247e+00 9.269385e-01 9.952980e-01 4.849649e+04 3.883699e+00 -2.698845e-02 3.835917e-03
1.318255e+00 9.263628e-01 9.827846e-01 4.806500e+04 3.865237e+00 -1.922190e-02 3.762603e-03
1.348961e+00 9.250754e-01 9.808230e-01 4.800543e+04 3.868420e+00 -1.673043e-03 3.786087e-03
1.380382e+00 9.244674e-01 9.935994e-01 4.847010e+04 3.891020e+00 -2.367932e-02 3.847718e-03
1.412535e+00 9.239466e-01 9.954578e-01 4.881811e+04 3.927625e+00 -2.116442e-03 3.820896e-03
1.445438e+00 9.234093e-01 9.972035e-01 4.901491e+04 3.964231e+00 -4.013717e-03 3.857851e-03
1.479106e+00 9.225389e-01 9.936383e-01 4.854814e+04 3.928581e+00 -8.767068e-03 3.797889e-03
1.513559e+00 9.217619e-01 9.994364e-01 4.879456e+04 3.929854e+00 -8.481681e-03 3.833294e-03
1.548814e+00 9.212343e-01 9.918467e-01 4.872257e+04 3.911073e+00 -1.811510e-02 3.796458e-03
1.584891e+00 9.206212e-01 9.820373e-01 4.827471e+04 3.882744e+00 -1.671976e-02 3.791571e-03
1.621808e+00 9.201511e-01 9.877397e-01 4.834882e+04 3.873831e+00 -6.046534e-03 3.760099e-03
1.659584e+00 9.191967e-01 9.964690e-01 4.844759e+04 3.884654e+00 -1.734698e-02 3.792167e-03
1.698241e+00 9.184794e-01 9.916570e-01 4.846196e+04 3.866351e+00 -1.377505e-02 3.802896e-03
1.737798e+00 9.183677e-01 9.883027e-01 4.853036e+04 3.934947e+00 -1.397538e-02 3.783464e-03
1.778277e+00 9.173767e-01 9.890525e-01 4.838216e+04 3.851072e+00 -1.691341e-02 3.751516e-03
1.819698e+00 9.170562e-01 9.940678e-01 4.869875e+04 3.920145e+00 -5.827844e-03 3.800631e-03
1.862084e+00 9.159954e-01 9.903772e-01 4.840412e+04 3.889269e+00 -2.107912e-02 3.752589e-03
1.905458e+00 9.157307e-01 9.802496e-01 4.820601e+04 3.896749e+00 -1.307535e-02 3.725052e-03
1.949842e+00 9.151433e-01 9.831088e-01 4.776225e+04 3.867783e+00 -1.165062e-02 3.746748e-03
1.995259e+00 9.144806e-01 9.901697e-01 4.871893e+04 4.006248e+00 -1.236689e-02 3.800511e-03
2.041735e+00 9.138984e-01 9.870365e-01 4.823716e+04 3.905980e+00 -7.288158e-03 3.761530e-03
2.089293e+00 9.134001e-01 9.859807e-01 4.835115e+04 3.906140e+00 -1.256686e-02 3.769636e-03
2.137959e+00 9.126856e-01 9.950102e-01 4.899646e+04 3.926193e+00 -1.810741e-02 3.777504e-03
2.187758e+00 9.124802e-01 9.996639e-01 4.900155e+04 3.957228e+00 -1.586872e-02 3.798008e-03
2.238717e+00 9.116446e-01 9.785627e-01 4.796768e+04 3.855210e+00 -1.696402e-02 3.729224e-03
2.290864e+00 9.107859e-01 9.897168e-01 4.833705e+04 3.899773e+00 -1.832283e-02 3.750086e-03
2.344225e+00 9.107777e-01 9.933296e-01 4.886797e+04 4.004338e+00 -2.161062e-02 3.810525e-03
2.398829e+00 9.100438e-01 9.940790e-01 4.844171e+04 3.890543e+00 -8.920193e-03 3.775120e-03
2.454705e+00 9.095894e-01 9.948367e-01 4.842186e+04 3.910437e+00 -1.735604e-02 3.749490e-03
2.511882e+00 9.093781e-01 9.888455e-01 4.861004e+04 3.957387e+00 -1.834190e-02 3.753781e-03
2.570391e+00 9.086007e-01 9.910660e-01 4.866611e+04 3.928581e+00 -1.690048e-02 3.736377e-03
2.630263e+00 9.082363e-01 9.979836e-01 4.886663e+04 3.931127e+00 -1.938391e-02 3.749967e-03
2.691530e+00 9.075989e-01 9.824093e-01 4.794101e+04 3.892293e+00 -1.108384e-02 3.740072e-03
2.754224e+00 9.072549e-01 9.855099e-01 4.819708e+04 3.878447e+00 -1.156080e-02 3.764987e-03
2.818378e+00 9.064491e-01 9.859443e-01 4.820635e+04 3.881789e+00 -2.018160e-02 3.715873e-03
