#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0.277777777778 --zeta=3.6 --comp=0 --mean=0.0 --second=10 --skew=0.99 --distribution=r>> comp_r_a:-1:2:300:1_0.0_10_3.6_0.277777777778.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.000805e+00 1.004452e+00 2.475329e+04 2.007580e+00 -1.729447e-02 1.233101e-03
1.023293e-01 1.000681e+00 1.001404e+00 2.506457e+04 1.941372e+00 -1.520455e-02 1.230359e-03
1.047129e-01 1.000885e+00 9.966134e-01 2.495977e+04 2.025406e+00 -1.793653e-02 1.235962e-03
1.071519e-01 1.000758e+00 1.004515e+00 2.520404e+04 2.023496e+00 -2.263963e-02 1.236558e-03
1.096478e-01 1.000967e+00 1.002894e+00 2.507850e+04 2.000896e+00 -1.736391e-02 1.211405e-03
1.122018e-01 1.000993e+00 1.003141e+00 2.507782e+04 2.007262e+00 -3.169352e-02 1.209259e-03
1.148153e-01 1.000966e+00 1.008034e+00 2.521870e+04 2.010763e+00 -1.884568e-02 1.232028e-03
1.174897e-01 1.001013e+00 9.959549e-01 2.482981e+04 1.993893e+00 -1.942867e-02 1.221657e-03
1.202264e-01 1.001225e+00 9.971761e-01 2.483559e+04 1.978932e+00 -1.275468e-02 1.224875e-03
1.230269e-01 1.001293e+00 1.001086e+00 2.504623e+04 1.937234e+00 -3.014243e-02 1.219988e-03
1.258925e-01 1.001131e+00 9.965804e-01 2.502150e+04 2.006625e+00 -2.567244e-02 1.233101e-03
1.288249e-01 1.001309e+00 9.964636e-01 2.503326e+04 1.993256e+00 -2.555090e-02 1.227736e-03
1.318256e-01 1.001454e+00 1.003798e+00 2.528377e+04 1.984662e+00 -2.409953e-02 1.231909e-03
1.348962e-01 1.001689e+00 1.008486e+00 2.520862e+04 1.991028e+00 -1.200354e-02 1.237035e-03
1.380384e-01 1.001779e+00 1.008797e+00 2.516873e+04 2.007899e+00 -2.432072e-02 1.255274e-03
1.412537e-01 1.001817e+00 1.004526e+00 2.504476e+04 1.979887e+00 -2.110076e-02 1.211405e-03
1.445439e-01 1.001793e+00 9.975418e-01 2.505792e+04 2.005034e+00 -2.944809e-02 1.225114e-03
1.479108e-01 1.001794e+00 9.977636e-01 2.509585e+04 2.007580e+00 -1.090848e-02 1.223922e-03
1.513561e-01 1.001940e+00 1.004782e+00 2.522267e+04 2.001533e+00 -1.017904e-02 1.229763e-03
1.548816e-01 1.001981e+00 1.007139e+00 2.530801e+04 2.024769e+00 -1.964647e-02 1.218796e-03
1.584892e-01 1.002311e+00 9.996887e-01 2.537454e+04 2.022859e+00 -2.362418e-02 1.227617e-03
1.621809e-01 1.002290e+00 9.977676e-01 2.527922e+04 2.049916e+00 -4.282951e-03 1.232386e-03
1.659586e-01 1.002643e+00 9.978178e-01 2.514815e+04 1.996121e+00 -2.222341e-02 1.217484e-03
1.698243e-01 1.002628e+00 9.952306e-01 2.520114e+04 2.021904e+00 -2.016294e-02 1.231313e-03
1.737800e-01 1.002767e+00 1.006051e+00 2.549308e+04 2.029225e+00 -2.864248e-02 1.234293e-03
1.778278e-01 1.002689e+00 1.002397e+00 2.529115e+04 2.011082e+00 -2.547175e-02 1.221180e-03
1.819700e-01 1.002875e+00 1.007731e+00 2.523696e+04 2.010445e+00 -2.361399e-02 1.230836e-03
1.862086e-01 1.002972e+00 9.985881e-01 2.523416e+04 1.965882e+00 -1.712573e-02 1.216650e-03
1.905460e-01 1.003274e+00 1.014893e+00 2.565841e+04 2.004397e+00 -2.316236e-02 1.226068e-03
1.949843e-01 1.003215e+00 9.969131e-01 2.538821e+04 2.021904e+00 -2.616680e-02 1.226425e-03
1.995261e-01 1.003495e+00 1.007179e+00 2.560965e+04 2.045778e+00 -1.782984e-02 1.232505e-03
2.041737e-01 1.003402e+00 9.979419e-01 2.545381e+04 2.011400e+00 -1.747996e-02 1.222849e-03
2.089295e-01 1.003575e+00 9.952605e-01 2.545120e+04 1.999304e+00 -2.483130e-02 1.239300e-03
2.137960e-01 1.003977e+00 1.005202e+00 2.560147e+04 2.052462e+00 -1.256871e-02 1.224041e-03
2.187760e-01 1.003956e+00 1.005089e+00 2.557744e+04 2.074107e+00 -1.896006e-02 1.217961e-03
2.238719e-01 1.004363e+00 9.952473e-01 2.553674e+04 1.991028e+00 -2.259040e-02 1.204491e-03
2.290866e-01 1.004478e+00 1.002723e+00 2.558012e+04 2.054372e+00 -6.660283e-03 1.215219e-03
2.344227e-01 1.004683e+00 1.000257e+00 2.550674e+04 2.050234e+00 -1.379973e-02 1.231074e-03
2.398831e-01 1.004810e+00 1.003888e+00 2.584480e+04 2.079837e+00 -1.902282e-02 1.225471e-03
2.454707e-01 1.005060e+00 9.992118e-01 2.564717e+04 2.036546e+00 -7.554233e-03 1.207829e-03
2.511884e-01 1.005353e+00 9.972928e-01 2.586849e+04 2.117397e+00 -1.825333e-02 1.230717e-03
2.570393e-01 1.005422e+00 1.004525e+00 2.553884e+04 2.017766e+00 -1.484197e-02 1.203418e-03
2.630266e-01 1.005986e+00 1.006836e+00 2.593226e+04 2.063285e+00 -1.494294e-02 1.230359e-03
2.691532e-01 1.006017e+00 1.001123e+00 2.574844e+04 2.070287e+00 -9.917676e-03 1.223683e-03
2.754226e-01 1.006143e+00 1.004316e+00 2.591914e+04 2.123127e+00 -1.740777e-02 1.220703e-03
2.818380e-01 1.006292e+00 9.981812e-01 2.587154e+04 2.077927e+00 -1.238894e-02 1.229286e-03
