#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0.277777777778 --zeta=3.6 --comp=0 --mean=0.0 --second=3.14 --skew=0.0 --distribution=s>> comp_s_3.14_a:-1:2:300:1_0.0_0.0_3.6_0.277777777778.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.000766e+00 1.005063e+00 2.841548e+04 2.316659e+00 1.649725e-02 1.405358e-03
1.023293e-01 1.000703e+00 1.008749e+00 2.828348e+04 2.243448e+00 -2.257943e-03 1.425862e-03
1.047129e-01 1.000965e+00 1.011195e+00 2.834668e+04 2.285146e+00 -5.345047e-03 1.414061e-03
1.071519e-01 1.000693e+00 1.002796e+00 2.833379e+04 2.270186e+00 3.936768e-03 1.401067e-03
1.096478e-01 1.000710e+00 1.007508e+00 2.841347e+04 2.215118e+00 1.179349e-02 1.397371e-03
1.122018e-01 1.000942e+00 1.007532e+00 2.862261e+04 2.311248e+00 1.487958e-02 1.400113e-03
1.148153e-01 1.001020e+00 1.007414e+00 2.827721e+04 2.259682e+00 6.525517e-03 1.394391e-03
1.174897e-01 1.001173e+00 1.005530e+00 2.853544e+04 2.288011e+00 1.873314e-02 1.400232e-03
1.202264e-01 1.001127e+00 1.011140e+00 2.856413e+04 2.325572e+00 3.920436e-03 1.423597e-03
1.230269e-01 1.001122e+00 1.008369e+00 2.874566e+04 2.263183e+00 1.273751e-03 1.431704e-03
1.258925e-01 1.001239e+00 9.986866e-01 2.850380e+04 2.255225e+00 6.245971e-03 1.418114e-03
1.288249e-01 1.001288e+00 1.009028e+00 2.862887e+04 2.272732e+00 6.986618e-03 1.416802e-03
1.318256e-01 1.001367e+00 1.003979e+00 2.835232e+04 2.224986e+00 5.610466e-03 1.396775e-03
1.348962e-01 1.001307e+00 1.006401e+00 2.865456e+04 2.280372e+00 7.270694e-03 1.416802e-03
1.380384e-01 1.001457e+00 1.003979e+00 2.849707e+04 2.288648e+00 1.046562e-02 1.397014e-03
1.412537e-01 1.001613e+00 1.000291e+00 2.843921e+04 2.332257e+00 2.218997e-02 1.402974e-03
1.445439e-01 1.001835e+00 1.003291e+00 2.856850e+04 2.268276e+00 9.576797e-03 1.397133e-03
1.479108e-01 1.001645e+00 1.004343e+00 2.867560e+04 2.314749e+00 9.295106e-03 1.425505e-03
1.513561e-01 1.001957e+00 1.008829e+00 2.891864e+04 2.328755e+00 1.551497e-02 1.427531e-03
1.548816e-01 1.002005e+00 1.009556e+00 2.874412e+04 2.280054e+00 1.621258e-02 1.424313e-03
1.584892e-01 1.002224e+00 1.006845e+00 2.844451e+04 2.295014e+00 1.004207e-02 1.397133e-03
1.621809e-01 1.002367e+00 1.007340e+00 2.890965e+04 2.261273e+00 1.448143e-02 1.414537e-03
1.659586e-01 1.002227e+00 1.015566e+00 2.888679e+04 2.289921e+00 1.335633e-02 1.405239e-03
1.698243e-01 1.002316e+00 1.004513e+00 2.847386e+04 2.250451e+00 8.360624e-03 1.391292e-03
1.737800e-01 1.002483e+00 1.003550e+00 2.876674e+04 2.285783e+00 1.153290e-02 1.412630e-03
1.778278e-01 1.002525e+00 9.994134e-01 2.831238e+04 2.216073e+00 9.385943e-03 1.377106e-03
1.819700e-01 1.002775e+00 1.012055e+00 2.882736e+04 2.327800e+00 5.792141e-03 1.412749e-03
1.862086e-01 1.002642e+00 1.010729e+00 2.878142e+04 2.277507e+00 6.752014e-03 1.375079e-03
1.905460e-01 1.002830e+00 1.000034e+00 2.855141e+04 2.288648e+00 1.387894e-02 1.384854e-03
1.949843e-01 1.003080e+00 1.005530e+00 2.869457e+04 2.284192e+00 1.068079e-02 1.408815e-03
1.995261e-01 1.003169e+00 1.005514e+00 2.897148e+04 2.309020e+00 3.450155e-03 1.416683e-03
