#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=0.1 --skew=0.99 --distribution=d>> comp_d_a:-1:2:300:1_0.0_0.0333333333333_30.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 9.949161e-01 9.798798e-01 3.410253e+02 6.207043e-02 1.535201e-02 3.552437e-05
1.023293e-01 9.946672e-01 9.772849e-01 3.406559e+02 2.801127e-02 1.449847e-02 3.385544e-05
1.047129e-01 9.944384e-01 9.753386e-01 3.430186e+02 9.867606e-03 3.197658e-02 3.051758e-05
1.071519e-01 9.941797e-01 9.838099e-01 3.449039e+02 2.132676e-02 1.825690e-02 2.133846e-05
1.096478e-01 9.939292e-01 9.756753e-01 3.415686e+02 3.183099e-03 1.579857e-02 4.172325e-05
1.122018e-01 9.936563e-01 9.737577e-01 3.435029e+02 6.047888e-03 1.457608e-02 3.731251e-05
1.148153e-01 9.933372e-01 9.859745e-01 3.465226e+02 1.846197e-02 1.079774e-02 3.504753e-05
1.174897e-01 9.929980e-01 9.725555e-01 3.418225e+02 2.260000e-02 1.394320e-02 2.586842e-05
1.202264e-01 9.926721e-01 9.795444e-01 3.435769e+02 -1.591549e-03 1.001990e-02 2.503395e-05
1.230269e-01 9.923476e-01 9.764585e-01 3.483547e+02 1.878028e-02 2.567673e-02 2.050400e-05
1.258925e-01 9.919606e-01 9.846101e-01 3.511660e+02 6.111550e-02 3.402233e-03 3.349781e-05
1.288249e-01 9.916077e-01 9.763964e-01 3.451816e+02 9.708451e-02 2.962935e-02 3.719330e-05
1.318256e-01 9.912058e-01 9.836329e-01 3.505016e+02 1.018592e-01 1.978648e-02 4.053116e-05
1.348962e-01 9.907843e-01 9.735119e-01 3.442733e+02 7.543944e-02 6.677389e-03 3.492832e-05
1.380384e-01 9.903607e-01 9.733173e-01 3.456163e+02 6.780000e-02 1.027632e-02 5.090237e-05
1.412537e-01 9.898942e-01 9.802770e-01 3.468799e+02 7.257465e-02 7.920980e-03 4.351139e-05
