#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=0.1 --skew=0.99 --distribution=e>> comp_e_a:-1:2:300:1_0.0_0.0333333333333_30.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 9.948993e-01 9.760222e-01 5.462040e+02 1.012225e-01 1.064539e-03 6.139278e-05
1.023293e-01 9.946292e-01 9.793379e-01 5.495500e+02 9.644789e-02 1.251674e-02 6.067753e-05
1.047129e-01 9.944157e-01 9.805827e-01 5.532935e+02 9.803944e-02 1.466131e-02 7.164478e-05
1.071519e-01 9.941316e-01 9.782773e-01 5.481337e+02 4.233521e-02 2.523434e-02 5.340576e-05
1.096478e-01 9.938811e-01 9.764104e-01 5.560079e+02 1.018592e-01 1.392365e-02 7.581711e-05
1.122018e-01 9.935631e-01 9.810246e-01 5.530488e+02 1.002676e-01 8.881807e-03 6.365776e-05
1.148153e-01 9.932995e-01 9.906438e-01 5.630251e+02 4.583662e-02 9.768128e-03 6.747246e-05
1.174897e-01 9.929593e-01 9.714414e-01 5.530934e+02 4.106198e-02 1.364422e-02 5.686283e-05
1.202264e-01 9.926831e-01 9.752797e-01 5.520486e+02 1.177747e-01 1.396024e-02 5.412102e-05
1.230269e-01 9.922853e-01 9.823818e-01 5.580816e+02 1.101352e-01 1.849961e-02 6.484985e-05
1.258925e-01 9.919637e-01 9.814150e-01 5.580049e+02 6.748170e-02 2.537048e-02 6.103516e-05
1.288249e-01 9.915757e-01 9.794147e-01 5.581558e+02 6.557184e-02 1.365101e-02 5.841255e-05
1.318256e-01 9.911800e-01 9.817657e-01 5.633868e+02 6.461690e-02 1.388443e-02 4.673004e-05
1.348962e-01 9.907395e-01 9.784796e-01 5.576416e+02 9.581127e-02 7.538438e-03 6.091595e-05
1.380384e-01 9.903325e-01 9.802741e-01 5.587598e+02 6.493521e-02 1.899135e-02 6.067753e-05
1.412537e-01 9.898891e-01 9.797753e-01 5.562493e+02 4.679155e-02 5.913138e-03 4.708767e-05
