#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=10 --skew=0.99 --distribution=r>> comp_r_a:-1:2:300:1_0.0_10_0.0333333333333_30.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 9.949178e-01 9.642667e-01 3.565576e+02 1.250958e-01 -3.170550e-03 3.814697e-05
1.023293e-01 9.946757e-01 9.690646e-01 3.563051e+02 7.957747e-02 6.544590e-04 3.707409e-05
1.047129e-01 9.944611e-01 9.605983e-01 3.565482e+02 8.148733e-02 -5.754173e-03 3.600121e-05
1.071519e-01 9.941611e-01 9.618145e-01 3.565527e+02 9.421972e-02 -8.868814e-03 3.695488e-05
1.096478e-01 9.939111e-01 9.663561e-01 3.575987e+02 8.148733e-02 -1.412648e-02 3.230572e-05
1.122018e-01 9.936221e-01 9.632322e-01 3.557112e+02 6.589014e-02 -8.225977e-03 3.826618e-05
1.148153e-01 9.933286e-01 9.692742e-01 3.588163e+02 7.894085e-02 -1.074910e-03 4.601479e-05
1.174897e-01 9.930092e-01 9.657185e-01 3.629320e+02 8.276056e-02 7.699728e-04 4.458427e-05
1.202264e-01 9.926915e-01 9.687396e-01 3.628644e+02 2.387324e-02 -7.509530e-03 3.814697e-05
1.230269e-01 9.923548e-01 9.741614e-01 3.629374e+02 2.482817e-02 -4.317760e-04 3.385544e-05
1.258925e-01 9.919970e-01 9.624273e-01 3.628940e+02 -1.432394e-02 -4.803360e-03 3.588200e-05
1.288249e-01 9.915857e-01 9.704397e-01 3.650573e+02 -6.684507e-03 -1.172882e-02 2.455711e-05
1.318256e-01 9.912280e-01 9.610331e-01 3.617950e+02 2.450986e-02 -2.580333e-02 3.838539e-05
1.348962e-01 9.907959e-01 9.677024e-01 3.609957e+02 8.053240e-02 -6.378949e-03 3.683567e-05
1.380384e-01 9.903808e-01 9.574457e-01 3.595234e+02 7.034648e-02 -6.367505e-03 3.433228e-05
1.412537e-01 9.899217e-01 9.676375e-01 3.616393e+02 9.899437e-02 -7.663369e-03 4.589558e-05
1.445439e-01 9.894443e-01 9.693570e-01 3.672916e+02 1.142732e-01 -9.758830e-03 4.529953e-05
