#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=3.14 --skew=0.99 --distribution=s>> comp_s_3.14_a:-1:2:300:1_0.0_0.99_0.0333333333333_30.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.001115e+00 9.999421e-01 5.876966e+05 4.674285e+01 -2.412277e-02 2.499819e-04
1.023293e-01 1.000048e+00 9.978560e-01 5.893726e+05 4.691569e+01 -1.979935e-02 2.661943e-04
1.047129e-01 1.000895e+00 9.972376e-01 5.877714e+05 4.677723e+01 -1.829994e-02 2.745390e-04
1.071519e-01 1.000184e+00 9.958783e-01 5.884168e+05 4.677054e+01 -1.689410e-02 2.512932e-04
1.096478e-01 1.000196e+00 9.851740e-01 5.841752e+05 4.644268e+01 -6.169975e-03 2.673864e-04
1.122018e-01 1.000307e+00 9.983488e-01 5.889594e+05 4.688068e+01 -1.807052e-02 2.546310e-04
1.148153e-01 1.000169e+00 9.893686e-01 5.850940e+05 4.653149e+01 -8.997619e-03 2.658367e-04
1.174897e-01 9.999468e-01 1.000898e+00 5.879230e+05 4.680333e+01 -1.353168e-02 2.679825e-04
1.202264e-01 1.000761e+00 9.993188e-01 5.857797e+05 4.659006e+01 -1.060629e-02 2.758503e-04
1.230269e-01 1.000077e+00 9.965141e-01 5.872101e+05 4.676736e+01 -1.481974e-02 2.579689e-04
1.258925e-01 1.000416e+00 9.948664e-01 5.877395e+05 4.674762e+01 -1.442021e-02 2.627373e-04
1.288249e-01 9.999837e-01 9.954114e-01 5.858051e+05 4.663526e+01 -1.854843e-02 2.563000e-04
1.318256e-01 9.999812e-01 1.000618e+00 5.873422e+05 4.677054e+01 -1.362103e-02 2.648830e-04
1.348962e-01 1.000371e+00 9.965677e-01 5.887216e+05 4.685426e+01 -1.122904e-02 2.553463e-04
1.380384e-01 1.000679e+00 9.915426e-01 5.797412e+05 4.611037e+01 -1.770192e-02 2.583265e-04
1.412537e-01 1.000440e+00 9.955680e-01 5.852948e+05 4.656491e+01 -8.587122e-03 2.627373e-04
1.445439e-01 9.993443e-01 9.961913e-01 5.897205e+05 4.694880e+01 -9.188235e-03 2.608299e-04
1.479108e-01 1.000837e+00 9.924143e-01 5.846960e+05 4.655441e+01 -1.487935e-02 2.512932e-04
1.513561e-01 1.000108e+00 9.966202e-01 5.865005e+05 4.665372e+01 -1.956576e-02 2.571344e-04
1.548816e-01 1.000866e+00 9.975501e-01 5.911169e+05 4.699177e+01 -1.803112e-02 2.579689e-04
1.584892e-01 1.001564e+00 1.000881e+00 5.930741e+05 4.717543e+01 -2.644694e-02 2.725124e-04
1.621809e-01 1.001438e+00 1.000208e+00 5.894476e+05 4.688864e+01 -3.285527e-03 2.548695e-04
1.659586e-01 1.000684e+00 9.921997e-01 5.850274e+05 4.656905e+01 -1.578730e-02 2.559423e-04
1.698243e-01 1.001052e+00 9.998760e-01 5.896028e+05 4.693288e+01 -2.177209e-02 2.577305e-04
1.737800e-01 1.000556e+00 9.938935e-01 5.891939e+05 4.688800e+01 -1.301241e-02 2.509356e-04
1.778278e-01 1.000991e+00 1.001194e+00 5.888661e+05 4.684280e+01 -1.175141e-02 2.558231e-04
1.819700e-01 1.000835e+00 1.004300e+00 5.930113e+05 4.719676e+01 -1.157629e-02 2.726316e-04
1.862086e-01 1.001078e+00 9.983656e-01 5.858779e+05 4.664194e+01 -9.868622e-03 2.679825e-04
1.905460e-01 1.000965e+00 9.926050e-01 5.834401e+05 4.639589e+01 -1.534152e-02 2.577305e-04
1.949843e-01 1.000383e+00 9.963841e-01 5.836884e+05 4.645382e+01 -4.410863e-03 2.516508e-04
1.995261e-01 1.001129e+00 9.992478e-01 5.911513e+05 4.704174e+01 -1.693815e-02 2.555847e-04
2.041737e-01 1.001129e+00 9.873627e-01 5.836551e+05 4.640290e+01 -1.574522e-02 2.479553e-04
2.089295e-01 1.000466e+00 1.009905e+00 5.931361e+05 4.721363e+01 -1.720965e-02 2.704859e-04
2.137960e-01 1.000523e+00 9.958153e-01 5.864832e+05 4.665563e+01 -1.663470e-02 2.499819e-04
2.187760e-01 1.000509e+00 1.000946e+00 5.932272e+05 4.722350e+01 -1.475674e-02 2.779961e-04
2.238719e-01 1.000061e+00 9.955034e-01 5.877881e+05 4.680524e+01 -2.063596e-02 2.597570e-04
2.290866e-01 1.000061e+00 9.983323e-01 5.912582e+05 4.701851e+01 -2.327043e-02 2.608299e-04
2.344227e-01 1.001853e+00 1.001680e+00 5.889941e+05 4.688577e+01 -9.903491e-03 2.524853e-04
2.398831e-01 1.001215e+00 1.004372e+00 5.952130e+05 4.738520e+01 -1.650214e-02 2.584457e-04
2.454707e-01 1.000970e+00 9.998606e-01 5.896611e+05 4.695739e+01 -1.587522e-02 2.553463e-04
