#./overdamped_3d --dev=0 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=500.0 --zeta=3.6 --comp=0 --mean=0.0 --second=3.14 --skew=0.99 --distribution=d>> comp_d_l:-2:3:300:1_0.0_3.6_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 6.275981e-02 1.002023e+00 2.473021e+03 1.947584e-01 -5.785882e-03 1.796234e-02
1.039122e-02 6.520464e-02 1.001064e+00 2.573646e+03 2.021865e-01 1.702785e-03 1.742077e-02
1.079775e-02 6.783944e-02 1.004260e+00 2.688093e+03 2.110419e-01 1.131594e-02 1.681399e-02
1.122018e-02 7.044385e-02 1.001353e+00 2.777869e+03 2.178421e-01 -1.374280e-02 1.615644e-02
1.165914e-02 7.321453e-02 1.002753e+00 2.900069e+03 2.274821e-01 -9.713829e-03 1.568079e-02
1.211527e-02 7.618078e-02 1.010698e+00 3.043729e+03 2.384228e-01 1.967919e-02 1.513755e-02
1.258925e-02 7.903673e-02 1.009562e+00 3.173339e+03 2.480081e-01 1.699126e-02 1.468182e-02
1.308177e-02 8.208459e-02 9.985145e-01 3.266861e+03 2.552994e-01 -1.027054e-02 1.409686e-02
1.359356e-02 8.520920e-02 1.002060e+00 3.412609e+03 2.680045e-01 -3.549039e-03 1.359427e-02
1.412537e-02 8.862087e-02 1.005052e+00 3.517680e+03 2.770166e-01 -2.154827e-03 1.300538e-02
1.467799e-02 9.216804e-02 1.010539e+00 3.668833e+03 2.914624e-01 -1.719326e-02 1.260245e-02
1.525222e-02 9.561235e-02 1.010835e+00 3.829810e+03 3.070397e-01 1.930904e-02 1.224232e-02
1.584893e-02 9.950954e-02 9.982542e-01 3.960185e+03 3.196279e-01 2.021182e-02 1.165104e-02
1.646897e-02 1.033356e-01 1.007531e+00 4.177891e+03 3.393332e-01 1.103151e-02 1.142919e-02
1.711327e-02 1.074893e-01 1.003614e+00 4.344269e+03 3.539780e-01 1.281130e-02 1.093960e-02
1.778278e-02 1.117213e-01 1.007073e+00 4.481915e+03 3.660265e-01 1.670384e-02 1.052225e-02
1.847849e-02 1.159397e-01 1.006682e+00 4.631363e+03 3.774509e-01 -8.883595e-03 1.007640e-02
1.920141e-02 1.205344e-01 1.002177e+00 4.763146e+03 3.873782e-01 -5.171239e-03 9.653568e-03
1.995261e-02 1.252933e-01 1.011111e+00 4.997330e+03 4.071531e-01 -9.845912e-03 9.379268e-03
2.073320e-02 1.300881e-01 1.012461e+00 5.218843e+03 4.252371e-01 1.514792e-03 9.122729e-03
2.154433e-02 1.352643e-01 1.009940e+00 5.377680e+03 4.394666e-01 3.675461e-03 8.714914e-03
2.238719e-02 1.405595e-01 1.014425e+00 5.607812e+03 4.553870e-01 -1.297086e-02 8.348227e-03
2.326303e-02 1.460625e-01 1.018507e+00 5.828617e+03 4.704570e-01 -1.221621e-02 8.092999e-03
2.417313e-02 1.517174e-01 1.011029e+00 5.994497e+03 4.796830e-01 -7.309198e-03 7.753253e-03
2.511884e-02 1.574805e-01 1.004205e+00 6.171730e+03 4.903464e-01 4.430413e-03 7.406950e-03
2.610155e-02 1.638508e-01 9.970109e-01 6.316320e+03 5.004528e-01 -6.875634e-03 7.010818e-03
2.712270e-02 1.702806e-01 1.003682e+00 6.650063e+03 5.268128e-01 4.695177e-03 6.839991e-03
