#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=3.6 --comp=0 --mean=0.0 --second=0 --skew=0.0 --distribution=d>> comp_d_l:-2:3:300:1_0.0_3.6_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 6.272133e-02 1.001351e+00 2.466182e+03 1.945495e-01 -8.783221e-03 1.805544e-02
1.039122e-02 6.515715e-02 1.004139e+00 2.573522e+03 2.024041e-01 1.186013e-03 1.750112e-02
1.079775e-02 6.771677e-02 9.979199e-01 2.667484e+03 2.092937e-01 5.619645e-03 1.682973e-02
1.122018e-02 7.045188e-02 9.994065e-01 2.787201e+03 2.183258e-01 -1.452732e-02 1.623964e-02
1.165914e-02 7.316497e-02 1.006919e+00 2.914497e+03 2.283600e-01 -1.751542e-03 1.575720e-02
1.211527e-02 7.610312e-02 1.015465e+00 3.074747e+03 2.408785e-01 -2.918839e-03 1.536286e-02
1.258925e-02 7.897007e-02 1.005158e+00 3.156787e+03 2.467038e-01 1.044226e-02 1.471734e-02
1.308177e-02 8.201629e-02 9.985778e-01 3.268979e+03 2.559560e-01 -8.594394e-03 1.415265e-02
1.359356e-02 8.520012e-02 1.003639e+00 3.392568e+03 2.660896e-01 -6.854296e-03 1.361501e-02
1.412537e-02 8.859876e-02 1.001174e+00 3.511261e+03 2.769420e-01 6.368637e-03 1.305437e-02
1.467799e-02 9.203931e-02 1.008290e+00 3.667776e+03 2.919548e-01 -1.948541e-02 1.266038e-02
1.525222e-02 9.566744e-02 1.000738e+00 3.825929e+03 3.066866e-01 1.768994e-02 1.218820e-02
1.584893e-02 9.942383e-02 1.000825e+00 3.965399e+03 3.199586e-01 -4.637361e-03 1.175761e-02
1.646897e-02 1.032106e-01 1.008871e+00 4.165077e+03 3.387265e-01 9.427905e-03 1.145303e-02
1.711327e-02 1.073373e-01 1.008739e+00 4.342326e+03 3.542764e-01 2.608919e-02 1.100767e-02
1.778278e-02 1.115379e-01 1.003052e+00 4.474622e+03 3.652457e-01 1.037824e-02 1.052570e-02
1.847849e-02 1.160292e-01 9.968966e-01 4.603016e+03 3.748248e-01 -1.213449e-02 1.005447e-02
1.920141e-02 1.206323e-01 1.005021e+00 4.784864e+03 3.887558e-01 4.071593e-03 9.721637e-03
1.995261e-02 1.253035e-01 1.004070e+00 4.995917e+03 4.068547e-01 -8.282185e-03 9.327292e-03
2.073320e-02 1.299662e-01 1.023358e+00 5.180637e+03 4.232079e-01 1.009214e-02 9.115934e-03
2.154433e-02 1.351183e-01 1.019148e+00 5.392070e+03 4.410979e-01 3.756762e-03 8.749008e-03
2.238719e-02 1.404132e-01 1.016936e+00 5.669612e+03 4.611713e-01 -4.455328e-03 8.517027e-03
2.326303e-02 1.458564e-01 1.011193e+00 5.831601e+03 4.718695e-01 -1.718056e-02 8.136511e-03
2.417313e-02 1.515181e-01 1.011367e+00 6.023842e+03 4.819261e-01 -8.063912e-03 7.814765e-03
2.511884e-02 1.572690e-01 1.007447e+00 6.149265e+03 4.893915e-01 -1.603961e-03 7.403135e-03
2.610155e-02 1.636324e-01 1.002271e+00 6.394557e+03 5.067891e-01 -1.263809e-02 7.087469e-03
2.712270e-02 1.701432e-01 9.980581e-01 6.666414e+03 5.276185e-01 5.852103e-03 6.814718e-03
