#./overdamped_3d --dev=0 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=500.0 --zeta=3.6 --comp=0 --mean=0.0 --second=3.14 --skew=0.99 --distribution=e>> comp_e_l:-2:3:300:1_0.0_3.6_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 3.180720e-02 1.004814e+00 1.849143e+03 1.474412e-01 4.601634e-02 1.018069e-01
1.039122e-02 3.307095e-02 9.976067e-01 1.912547e+03 1.526526e-01 1.136196e-02 9.797549e-02
1.079775e-02 3.436344e-02 1.002130e+00 1.996745e+03 1.595118e-01 1.292264e-02 9.374857e-02
1.122018e-02 3.567467e-02 1.014036e+00 2.111721e+03 1.687602e-01 6.654143e-03 9.172940e-02
1.165914e-02 3.711963e-02 1.015579e+00 2.207638e+03 1.765162e-01 2.251029e-03 8.914304e-02
1.211527e-02 3.853736e-02 1.012225e+00 2.284614e+03 1.827543e-01 -4.689097e-04 8.470035e-02
1.258925e-02 4.000384e-02 1.016734e+00 2.363548e+03 1.889113e-01 8.392334e-04 8.150101e-02
1.308177e-02 4.155924e-02 1.013326e+00 2.449698e+03 1.958588e-01 8.575439e-03 7.816482e-02
1.359356e-02 4.320333e-02 1.012471e+00 2.522143e+03 2.017332e-01 -4.770696e-03 7.492232e-02
1.412537e-02 4.490889e-02 1.010359e+00 2.584822e+03 2.068405e-01 1.554620e-02 7.160687e-02
1.467799e-02 4.674375e-02 1.006702e+00 2.667810e+03 2.135163e-01 8.642673e-03 6.837749e-02
1.525222e-02 4.845544e-02 1.006704e+00 2.760118e+03 2.209723e-01 1.959872e-02 6.585419e-02
1.584893e-02 5.040507e-02 1.001360e+00 2.869776e+03 2.297874e-01 1.831424e-02 6.323576e-02
1.646897e-02 5.230883e-02 1.002817e+00 2.988070e+03 2.391278e-01 -1.093817e-02 6.129658e-02
1.711327e-02 5.446433e-02 1.008732e+00 3.122565e+03 2.497850e-01 1.385653e-02 5.922806e-02
1.778278e-02 5.658014e-02 1.001742e+00 3.246679e+03 2.592000e-01 -7.731974e-03 5.692542e-02
1.847849e-02 5.877312e-02 9.990688e-01 3.339767e+03 2.655761e-01 9.739876e-03 5.474091e-02
1.920141e-02 6.109883e-02 1.001835e+00 3.471904e+03 2.751304e-01 -9.403050e-03 5.247271e-02
1.995261e-02 6.350925e-02 1.006155e+00 3.636576e+03 2.873928e-01 -1.895547e-03 5.086565e-02
2.073320e-02 6.594785e-02 1.003486e+00 3.749568e+03 2.961662e-01 7.629395e-06 4.844534e-02
2.154433e-02 6.858345e-02 1.006118e+00 3.929054e+03 3.095588e-01 7.920265e-03 4.713202e-02
2.238719e-02 7.120576e-02 1.009530e+00 4.059972e+03 3.195757e-01 -9.940028e-03 4.514945e-02
2.326303e-02 7.399699e-02 1.001490e+00 4.194501e+03 3.299978e-01 1.757562e-02 4.317605e-02
2.417313e-02 7.684885e-02 1.002860e+00 4.367494e+03 3.433432e-01 1.081359e-02 4.146779e-02
2.511884e-02 7.994272e-02 1.002264e+00 4.493931e+03 3.529795e-01 8.932710e-03 3.958189e-02
2.610155e-02 8.300660e-02 1.008573e+00 4.709336e+03 3.704928e-01 1.950717e-02 3.839839e-02
2.712270e-02 8.631034e-02 9.966446e-01 4.841996e+03 3.819196e-01 3.008664e-02 3.680205e-02
2.818380e-02 8.960067e-02 1.003638e+00 5.045422e+03 3.998992e-01 1.230478e-02 3.530490e-02
2.928642e-02 9.304872e-02 9.944072e-01 5.199335e+03 4.140640e-01 1.650763e-02 3.411627e-02
3.043217e-02 9.684487e-02 1.001851e+00 5.426127e+03 4.342841e-01 1.875126e-02 3.311694e-02
3.162274e-02 1.005125e-01 9.977883e-01 5.659524e+03 4.549270e-01 1.662433e-02 3.170836e-02
3.285990e-02 1.045110e-01 1.001122e+00 5.908542e+03 4.762090e-01 2.423930e-02 3.079152e-02
3.414545e-02 1.085184e-01 9.955243e-01 6.093467e+03 4.931316e-01 5.080104e-03 2.909529e-02
3.548130e-02 1.128412e-01 1.000869e+00 6.312424e+03 5.109172e-01 1.234114e-02 2.786708e-02
3.686940e-02 1.172761e-01 1.001045e+00 6.530783e+03 5.284839e-01 3.030634e-02 2.684104e-02
3.831182e-02 1.219631e-01 9.982591e-01 6.809744e+03 5.504771e-01 1.189518e-02 2.571332e-02
3.981066e-02 1.266774e-01 1.001367e+00 7.109596e+03 5.753650e-01 3.637195e-03 2.515662e-02
4.136815e-02 1.316065e-01 1.003489e+00 7.385817e+03 5.975025e-01 2.802491e-03 2.399349e-02
4.298656e-02 1.366622e-01 1.011147e+00 7.728095e+03 6.254192e-01 -2.622306e-03 2.341259e-02
4.466829e-02 1.420876e-01 1.000558e+00 7.913247e+03 6.386440e-01 -1.059520e-02 2.231741e-02
4.641582e-02 1.476557e-01 9.978389e-01 8.156893e+03 6.547385e-01 -4.681408e-03 2.128732e-02
4.823171e-02 1.534083e-01 9.919608e-01 8.522546e+03 6.811433e-01 -3.203887e-02 2.049816e-02
5.011865e-02 1.594331e-01 9.979932e-01 8.841984e+03 7.037135e-01 -2.495354e-02 1.962924e-02
5.207940e-02 1.657290e-01 9.982886e-01 9.168886e+03 7.282333e-01 -4.064143e-03 1.885593e-02
5.411686e-02 1.719863e-01 9.926457e-01 9.556037e+03 7.567320e-01 -5.631328e-03 1.819181e-02
5.623404e-02 1.789798e-01 1.000580e+00 9.948141e+03 7.884635e-01 -3.619075e-03 1.751733e-02
5.843404e-02 1.858352e-01 9.935027e-01 1.023909e+04 8.085369e-01 1.387715e-02 1.680636e-02
6.072012e-02 1.931817e-01 1.000904e+00 1.072757e+04 8.445756e-01 1.839328e-02 1.649058e-02
6.309562e-02 2.007262e-01 1.004268e+00 1.113129e+04 8.715822e-01 1.697171e-02 1.580858e-02
6.556407e-02 2.086135e-01 1.000499e+00 1.162406e+04 9.092621e-01 3.214717e-03 1.537538e-02
6.812909e-02 2.167095e-01 1.000090e+00 1.210885e+04 9.489514e-01 -8.839369e-05 1.481557e-02
7.079445e-02 2.252098e-01 9.976236e-01 1.252331e+04 9.824435e-01 8.827448e-04 1.409411e-02
7.356408e-02 2.339221e-01 9.983544e-01 1.299955e+04 1.024998e+00 -2.919847e-02 1.361716e-02
7.644208e-02 2.430421e-01 1.001859e+00 1.358325e+04 1.071351e+00 -1.322091e-02 1.324713e-02
7.943267e-02 2.526887e-01 1.008077e+00 1.430544e+04 1.129861e+00 7.452011e-03 1.282811e-02
8.254025e-02 2.624531e-01 9.959317e-01 1.469229e+04 1.163423e+00 -4.079998e-03 1.239538e-02
8.576941e-02 2.728710e-01 1.000037e+00 1.524500e+04 1.207409e+00 3.916621e-03 1.182950e-02
8.912491e-02 2.834371e-01 9.896290e-01 1.563604e+04 1.243398e+00 -1.909631e-02 1.130378e-02
9.261168e-02 2.945981e-01 9.892445e-01 1.632607e+04 1.296456e+00 -5.333304e-03 1.096141e-02
9.623486e-02 3.059658e-01 9.825268e-01 1.671145e+04 1.322259e+00 -2.094328e-03 1.054311e-02
9.999978e-02 3.181655e-01 9.917555e-01 1.755208e+04 1.383991e+00 -6.635785e-03 1.016796e-02
1.039120e-01 3.306732e-01 9.906705e-01 1.842876e+04 1.454437e+00 8.908272e-03 9.937286e-03
1.079773e-01 3.435523e-01 9.849020e-01 1.892967e+04 1.486786e+00 1.570320e-02 9.430408e-03
1.122016e-01 3.569892e-01 9.944831e-01 1.993571e+04 1.548777e+00 1.277602e-02 9.178400e-03
1.165912e-01 3.710167e-01 9.954638e-01 2.054098e+04 1.599030e+00 -1.620400e-02 8.748293e-03
1.211525e-01 3.852531e-01 1.001161e+00 2.156312e+04 1.713263e+00 -1.730663e-02 8.547664e-03
1.258922e-01 4.004464e-01 9.944568e-01 2.206042e+04 1.812059e+00 -1.241165e-02 8.164167e-03
1.308174e-01 4.161483e-01 1.000944e+00 2.328636e+04 1.962818e+00 -1.722670e-02 7.894516e-03
1.359353e-01 4.325571e-01 9.985285e-01 2.402397e+04 2.014185e+00 -1.284122e-02 7.533073e-03
1.412534e-01 4.495702e-01 9.973582e-01 2.476770e+04 2.044902e+00 -2.227795e-02 7.263780e-03
1.467796e-01 4.669152e-01 1.000312e+00 2.608234e+04 2.124718e+00 -8.545399e-03 7.086158e-03
1.525219e-01 4.852498e-01 9.976971e-01 2.693929e+04 2.178831e+00 -2.067363e-02 6.721973e-03
1.584889e-01 5.044285e-01 1.006912e+00 2.856674e+04 2.282918e+00 -1.111639e-02 6.527662e-03
1.646893e-01 5.240314e-01 1.001010e+00 2.925868e+04 2.306473e+00 -1.322478e-02 6.387234e-03
1.711324e-01 5.445059e-01 1.003705e+00 3.049799e+04 2.364406e+00 -1.922005e-02 6.080270e-03
1.778274e-01 5.660135e-01 1.009614e+00 3.199685e+04 2.452976e+00 -1.034123e-02 5.857825e-03
1.847845e-01 5.880371e-01 9.985989e-01 3.254400e+04 2.517592e+00 -1.015908e-02 5.569577e-03
1.920137e-01 6.111344e-01 9.944606e-01 3.349894e+04 2.637038e+00 -2.230221e-02 5.314708e-03
1.995257e-01 6.349914e-01 9.991402e-01 3.533811e+04 2.842507e+00 -2.243537e-02 5.158663e-03
2.073316e-01 6.598852e-01 9.877051e-01 3.601870e+04 2.925904e+00 -3.221798e-02 4.920363e-03
2.154428e-01 6.858258e-01 9.855171e-01 3.723552e+04 3.012803e+00 -1.607341e-02 4.752874e-03
2.238715e-01 7.124423e-01 9.935085e-01 3.892917e+04 3.150313e+00 -3.447503e-02 4.642129e-03
2.326298e-01 7.403833e-01 9.888129e-01 4.055226e+04 3.215885e+00 -3.059113e-02 4.419327e-03
