#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=3.6 --comp=0 --mean=0.0 --second=0 --skew=0.0 --distribution=e>> comp_e_l:-2:3:300:1_0.0_3.6_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 3.181362e-02 1.002538e+00 1.851692e+03 1.476094e-01 3.023660e-02 1.008800e-01
1.039122e-02 3.304063e-02 1.002164e+00 1.909553e+03 1.523287e-01 1.799035e-02 9.722078e-02
1.079775e-02 3.440433e-02 1.000658e+00 2.005173e+03 1.601071e-01 1.166618e-02 9.338403e-02
1.122018e-02 3.569380e-02 1.016626e+00 2.115406e+03 1.688811e-01 -2.087533e-03 9.088874e-02
1.165914e-02 3.710978e-02 1.012200e+00 2.178715e+03 1.741466e-01 4.921794e-03 8.771932e-02
1.211527e-02 3.854225e-02 1.007426e+00 2.257417e+03 1.804708e-01 1.250577e-02 8.350468e-02
1.258925e-02 4.000686e-02 1.011080e+00 2.347377e+03 1.876611e-01 9.178162e-03 8.033597e-02
1.308177e-02 4.159251e-02 1.016364e+00 2.451207e+03 1.958750e-01 7.778764e-03 7.810783e-02
1.359356e-02 4.317511e-02 1.007501e+00 2.494422e+03 1.994448e-01 1.765513e-02 7.448113e-02
1.412537e-02 4.496073e-02 1.001076e+00 2.575446e+03 2.060167e-01 7.880211e-03 7.083249e-02
1.467799e-02 4.671936e-02 1.004419e+00 2.685010e+03 2.148760e-01 3.064156e-02 6.851387e-02
1.525222e-02 4.843165e-02 1.000839e+00 2.738599e+03 2.191402e-01 3.095102e-02 6.475735e-02
1.584893e-02 5.040586e-02 1.010138e+00 2.919102e+03 2.335667e-01 1.549494e-02 6.419873e-02
1.646897e-02 5.239201e-02 9.959403e-01 2.969645e+03 2.375083e-01 1.312053e-02 6.124723e-02
1.711327e-02 5.440244e-02 1.009554e+00 3.146601e+03 2.514406e-01 -7.799804e-03 5.895722e-02
1.778278e-02 5.653252e-02 1.015554e+00 3.252628e+03 2.596358e-01 3.116429e-02 5.730975e-02
1.847849e-02 5.884667e-02 1.002076e+00 3.324729e+03 2.644409e-01 2.147496e-02 5.462885e-02
1.920141e-02 6.111924e-02 1.000306e+00 3.459603e+03 2.743197e-01 -2.771437e-03 5.216599e-02
1.995261e-02 6.352241e-02 1.010203e+00 3.640923e+03 2.881600e-01 1.525176e-02 5.122662e-02
2.073320e-02 6.591678e-02 1.003670e+00 3.763991e+03 2.971373e-01 -7.542372e-04 4.878283e-02
2.154433e-02 6.848939e-02 1.002959e+00 3.899317e+03 3.074090e-01 -5.630314e-03 4.671764e-02
2.238719e-02 7.123117e-02 1.000816e+00 3.987845e+03 3.140662e-01 -4.401863e-03 4.449809e-02
2.326303e-02 7.393891e-02 1.005657e+00 4.201209e+03 3.303584e-01 1.491475e-02 4.341924e-02
2.417313e-02 7.687477e-02 1.005926e+00 4.324468e+03 3.401091e-01 2.155900e-02 4.137897e-02
2.511884e-02 7.985251e-02 9.982585e-01 4.478271e+03 3.518966e-01 -1.713812e-03 3.964615e-02
2.610155e-02 8.304077e-02 9.989495e-01 4.603590e+03 3.617641e-01 1.200140e-02 3.810322e-02
2.712270e-02 8.632094e-02 9.994068e-01 4.789556e+03 3.776597e-01 5.647516e-02 3.652406e-02
2.818380e-02 8.956841e-02 1.000437e+00 5.020418e+03 3.976685e-01 1.135719e-02 3.550661e-02
2.928642e-02 9.311642e-02 9.940089e-01 5.180613e+03 4.129698e-01 2.153611e-02 3.397107e-02
3.043217e-02 9.683124e-02 9.991760e-01 5.407970e+03 4.326627e-01 2.572441e-02 3.275192e-02
3.162274e-02 1.005205e-01 1.003828e+00 5.671219e+03 4.562997e-01 2.047241e-02 3.163946e-02
3.285990e-02 1.045611e-01 1.001370e+00 5.868454e+03 4.739808e-01 3.455615e-02 3.036058e-02
3.414545e-02 1.086712e-01 9.993777e-01 6.091980e+03 4.929252e-01 1.168430e-02 2.905262e-02
3.548130e-02 1.129476e-01 9.970672e-01 6.297126e+03 5.102557e-01 4.499090e-02 2.777445e-02
3.686940e-02 1.172212e-01 9.954979e-01 6.543750e+03 5.295483e-01 1.863849e-02 2.689672e-02
3.831182e-02 1.219323e-01 9.993213e-01 6.780278e+03 5.484728e-01 4.678607e-03 2.564883e-02
3.981066e-02 1.266752e-01 1.003551e+00 7.092390e+03 5.740669e-01 1.324415e-04 2.526772e-02
4.136815e-02 1.315738e-01 9.991632e-01 7.368750e+03 5.969155e-01 9.789467e-03 2.393985e-02
4.298656e-02 1.366126e-01 9.993057e-01 7.628327e+03 6.174664e-01 -1.292670e-02 2.316296e-02
4.466829e-02 1.421245e-01 9.986206e-01 7.903016e+03 6.374503e-01 -4.133523e-03 2.218640e-02
