#./overdamped_3d --dev=0 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=500.0 --zeta=3.6 --comp=0 --mean=0.0 --second=10 --skew=0.99 --distribution=r>> comp_r_l:-2:3:300:1_0.0_10_3.6_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 3.910035e-02 9.952387e-01 1.567865e+03 1.257818e-01 -9.642839e-04 2.888584e-02
1.039122e-02 4.071146e-02 9.940577e-01 1.634646e+03 1.311126e-01 -1.333773e-03 2.787924e-02
1.079775e-02 4.232971e-02 9.960334e-01 1.688563e+03 1.353718e-01 3.031731e-02 2.666867e-02
1.122018e-02 4.402663e-02 1.002564e+00 1.767624e+03 1.417896e-01 2.454019e-02 2.578080e-02
1.165914e-02 4.571510e-02 9.956554e-01 1.834250e+03 1.472426e-01 4.752040e-03 2.465653e-02
1.211527e-02 4.753924e-02 1.004043e+00 1.919823e+03 1.540987e-01 4.384542e-02 2.406311e-02
1.258925e-02 4.940857e-02 1.005161e+00 2.011081e+03 1.614136e-01 2.914774e-02 2.337050e-02
1.308177e-02 5.122020e-02 9.983387e-01 2.064579e+03 1.656567e-01 2.163696e-02 2.220583e-02
1.359356e-02 5.323315e-02 1.005915e+00 2.156066e+03 1.731363e-01 2.718139e-02 2.147603e-02
1.412537e-02 5.536412e-02 9.986807e-01 2.221304e+03 1.781174e-01 3.715277e-02 2.055025e-02
1.467799e-02 5.765773e-02 1.015411e+00 2.379869e+03 1.898631e-01 3.797662e-02 2.028894e-02
1.525222e-02 5.980487e-02 1.009153e+00 2.443535e+03 1.938047e-01 1.566827e-02 1.937604e-02
1.584893e-02 6.208792e-02 1.013878e+00 2.564713e+03 2.025396e-01 -1.849985e-02 1.893377e-02
1.646897e-02 6.457351e-02 1.006154e+00 2.651355e+03 2.089767e-01 -7.182479e-03 1.803815e-02
1.711327e-02 6.704772e-02 1.003845e+00 2.732175e+03 2.147634e-01 -9.868145e-03 1.724267e-02
1.778278e-02 6.978008e-02 9.990933e-01 2.818881e+03 2.209406e-01 -6.000757e-03 1.649392e-02
