#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=3.6 --comp=0 --mean=0.0 --second=10 --skew=0.0 --distribution=r>> comp_r_l:-2:3:300:1_0.0_10_3.6_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 3.908854e-02 9.956063e-01 1.562964e+03 1.253013e-01 -1.539230e-03 2.855563e-02
1.039122e-02 4.062293e-02 9.952326e-01 1.624892e+03 1.302323e-01 1.491201e-02 2.752805e-02
1.079775e-02 4.230437e-02 9.986726e-01 1.695010e+03 1.359525e-01 2.111709e-02 2.657914e-02
1.122018e-02 4.401318e-02 9.974719e-01 1.768840e+03 1.417026e-01 2.071762e-02 2.545726e-02
1.165914e-02 4.565899e-02 1.010004e+00 1.866600e+03 1.496566e-01 2.779222e-02 2.496719e-02
1.211527e-02 4.754439e-02 1.000901e+00 1.921483e+03 1.540122e-01 4.284251e-02 2.375913e-02
1.258925e-02 4.939996e-02 1.003365e+00 1.980474e+03 1.590921e-01 7.850647e-03 2.280760e-02
1.308177e-02 5.122841e-02 9.976817e-01 2.068566e+03 1.660800e-01 2.167022e-02 2.210402e-02
1.359356e-02 5.329135e-02 1.003953e+00 2.165696e+03 1.737276e-01 2.691841e-02 2.134943e-02
1.412537e-02 5.539710e-02 1.003385e+00 2.253566e+03 1.804923e-01 3.784513e-02 2.050495e-02
1.467799e-02 5.760488e-02 1.007276e+00 2.353092e+03 1.877307e-01 2.329719e-02 1.989365e-02
1.525222e-02 5.981595e-02 1.010296e+00 2.441159e+03 1.937301e-01 -6.210804e-05 1.911986e-02
1.584893e-02 6.211633e-02 1.011868e+00 2.548117e+03 2.013472e-01 -1.917148e-02 1.863277e-02
1.646897e-02 6.446803e-02 1.011077e+00 2.628894e+03 2.070842e-01 -7.239580e-03 1.779926e-02
1.711327e-02 6.708884e-02 1.005153e+00 2.704220e+03 2.122891e-01 -1.465249e-02 1.690435e-02
1.778278e-02 6.969832e-02 9.995869e-01 2.805106e+03 2.203475e-01 -6.390870e-03 1.629066e-02
1.847849e-02 7.243170e-02 1.000302e+00 2.913744e+03 2.284110e-01 -2.213854e-02 1.575124e-02
1.920141e-02 7.516085e-02 1.008785e+00 3.052600e+03 2.392148e-01 -8.630753e-04 1.528883e-02
1.995261e-02 7.808642e-02 9.993961e-01 3.133504e+03 2.455985e-01 -1.234764e-02 1.463377e-02
2.073320e-02 8.114221e-02 1.013083e+00 3.323502e+03 2.597085e-01 9.795547e-03 1.439703e-02
2.154433e-02 8.430086e-02 1.013400e+00 3.440285e+03 2.701406e-01 4.485047e-02 1.377702e-02
2.238719e-02 8.763379e-02 1.016552e+00 3.622668e+03 2.850415e-01 1.334465e-02 1.336408e-02
2.326303e-02 9.103340e-02 1.012465e+00 3.707103e+03 2.940860e-01 1.708293e-02 1.269650e-02
2.417313e-02 9.454449e-02 1.011924e+00 3.873740e+03 3.098050e-01 -7.031500e-03 1.235902e-02
2.511884e-02 9.827501e-02 1.013772e+00 4.066792e+03 3.279586e-01 3.490806e-03 1.197028e-02
2.610155e-02 1.021260e-01 1.007148e+00 4.185552e+03 3.391791e-01 2.886045e-02 1.144433e-02
2.712270e-02 1.062044e-01 1.006761e+00 4.347553e+03 3.543435e-01 1.115930e-02 1.099372e-02
2.818380e-02 1.103353e-01 1.009373e+00 4.549089e+03 3.706097e-01 5.042076e-03 1.073503e-02
2.928642e-02 1.147629e-01 1.011108e+00 4.692199e+03 3.819470e-01 5.888939e-03 1.026022e-02
