#./overdamped_3d --dev=0 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=500.0 --zeta=3.6 --comp=0 --mean=0.0 --second=3.14 --skew=0.0 --distribution=s>> comp_s_3.14_l:-2:3:300:1_0.0_0.0_3.6_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 3.771494e-02 1.000517e+00 1.516575e+03 1.218542e-01 -8.317053e-03 3.011096e-02
1.039122e-02 3.918561e-02 9.998432e-01 1.586662e+03 1.273563e-01 1.031387e-02 2.920628e-02
1.079775e-02 4.079248e-02 9.939075e-01 1.610351e+03 1.291430e-01 1.051116e-02 2.753866e-02
1.122018e-02 4.238064e-02 9.988217e-01 1.698621e+03 1.361919e-01 -9.962738e-03 2.702367e-02
1.165914e-02 4.400939e-02 9.991823e-01 1.766225e+03 1.414626e-01 -7.051468e-03 2.589858e-02
1.211527e-02 4.583665e-02 9.997185e-01 1.829441e+03 1.468621e-01 -1.274300e-02 2.489853e-02
1.258925e-02 4.753008e-02 9.954204e-01 1.898420e+03 1.524182e-01 1.023471e-02 2.392161e-02
1.308177e-02 4.933028e-02 9.948936e-01 1.983570e+03 1.591581e-01 -1.797479e-02 2.329743e-02
1.359356e-02 5.125631e-02 9.960794e-01 2.045379e+03 1.643337e-01 -5.813181e-03 2.227676e-02
1.412537e-02 5.325567e-02 9.894473e-01 2.083927e+03 1.672420e-01 -1.865298e-02 2.094245e-02
1.467799e-02 5.540477e-02 9.915385e-01 2.191826e+03 1.755193e-01 -5.248070e-03 2.031744e-02
1.525222e-02 5.751133e-02 9.900292e-01 2.256003e+03 1.798874e-01 -4.319191e-03 1.946032e-02
1.584893e-02 5.981153e-02 9.930602e-01 2.353490e+03 1.866950e-01 7.471800e-03 1.877904e-02
1.646897e-02 6.215919e-02 9.742066e-01 2.393944e+03 1.889443e-01 7.916927e-03 1.773274e-02
1.711327e-02 6.455556e-02 9.916972e-01 2.549335e+03 2.007304e-01 2.253532e-03 1.755226e-02
1.778278e-02 6.727909e-02 9.813701e-01 2.615572e+03 2.051134e-01 1.673806e-02 1.656926e-02
1.847849e-02 6.984043e-02 9.849830e-01 2.720211e+03 2.129381e-01 -2.395940e-02 1.600254e-02
1.920141e-02 7.267022e-02 9.820162e-01 2.804430e+03 2.197482e-01 -1.888001e-02 1.529968e-02
