#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=3.6 --comp=0 --mean=0.0 --second=3.14 --skew=0.0 --distribution=s>> comp_s_3.14_l:-2:3:300:1_0.0_0.0_3.6_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 3.776253e-02 9.927133e-01 1.507031e+03 1.208651e-01 -1.145971e-02 2.956164e-02
1.039122e-02 3.922237e-02 9.994788e-01 1.585394e+03 1.270753e-01 5.373836e-03 2.888823e-02
1.079775e-02 4.078799e-02 9.859515e-01 1.605556e+03 1.286817e-01 8.879900e-03 2.731490e-02
1.122018e-02 4.239614e-02 9.979761e-01 1.706153e+03 1.367520e-01 -7.317185e-03 2.670097e-02
1.165914e-02 4.402933e-02 1.006027e+00 1.779506e+03 1.425034e-01 -2.953738e-02 2.586687e-02
1.211527e-02 4.585646e-02 1.001296e+00 1.839235e+03 1.475882e-01 2.518415e-03 2.472270e-02
1.258925e-02 4.754807e-02 9.938697e-01 1.903782e+03 1.527769e-01 -3.219843e-03 2.373803e-02
1.308177e-02 4.933510e-02 9.903128e-01 1.965908e+03 1.578574e-01 -1.141417e-02 2.283490e-02
1.359356e-02 5.130398e-02 9.872042e-01 2.036064e+03 1.635448e-01 -8.798063e-03 2.194738e-02
1.412537e-02 5.326722e-02 9.924802e-01 2.099530e+03 1.685525e-01 -3.624547e-02 2.082884e-02
1.467799e-02 5.546326e-02 9.898535e-01 2.194695e+03 1.756990e-01 -2.612984e-02 2.020144e-02
1.525222e-02 5.747640e-02 9.851228e-01 2.250181e+03 1.795753e-01 -1.957178e-02 1.928401e-02
1.584893e-02 5.986036e-02 9.932737e-01 2.363496e+03 1.877295e-01 2.934098e-03 1.875472e-02
1.646897e-02 6.215201e-02 9.794289e-01 2.412012e+03 1.902884e-01 -4.473627e-03 1.772916e-02
1.711327e-02 6.463390e-02 9.839616e-01 2.521882e+03 1.984426e-01 6.926060e-03 1.723111e-02
1.778278e-02 6.726208e-02 9.818695e-01 2.621355e+03 2.057301e-01 1.277924e-03 1.643586e-02
1.847849e-02 6.982924e-02 9.860114e-01 2.721340e+03 2.134777e-01 -2.938884e-02 1.590800e-02
1.920141e-02 7.272080e-02 9.883127e-01 2.853155e+03 2.239397e-01 -1.388067e-02 1.540256e-02
1.995261e-02 7.544953e-02 9.868895e-01 2.930924e+03 2.294840e-01 3.170490e-03 1.475501e-02
2.073320e-02 7.831563e-02 9.841904e-01 3.031271e+03 2.373037e-01 1.357794e-04 1.419067e-02
2.154433e-02 8.135706e-02 9.968359e-01 3.170891e+03 2.474884e-01 4.845738e-03 1.375747e-02
2.238719e-02 8.450620e-02 9.922523e-01 3.283578e+03 2.570427e-01 -1.192284e-02 1.325703e-02
