#./overdamped_3d --dev=1 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=500.0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=3.14 --skew=0.99 --distribution=d>> comp_d_l:-2:3:300:1_0.0_0.0333333333333_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 -2.150245e-09 -4.711232e-05 7.385154e+00 5.877133e-04 -2.180145e-01 1.578331e-04
1.039122e-02 -1.264850e-10 -2.308891e-05 7.458625e+00 5.937075e-04 -2.357501e-01 1.610518e-04
1.079775e-02 1.028745e-08 3.779371e-05 7.381773e+00 5.874104e-04 -2.171988e-01 1.611710e-04
1.122018e-02 4.005358e-09 -2.934921e-06 7.471174e+00 5.945379e-04 -2.386432e-01 1.657009e-04
1.165914e-02 2.546564e-08 6.402000e-05 7.372155e+00 5.867258e-04 -2.149677e-01 1.696348e-04
1.211527e-02 -2.951316e-10 4.247337e-05 7.365332e+00 5.862669e-04 -2.132508e-01 1.596212e-04
1.258925e-02 5.944794e-09 -5.261390e-07 7.429747e+00 5.913557e-04 -2.287083e-01 1.676083e-04
1.308177e-02 4.975076e-09 6.802210e-05 7.427147e+00 5.911674e-04 -2.279462e-01 1.393557e-04
1.359356e-02 -2.698346e-09 -3.903978e-05 7.384474e+00 5.876491e-04 -2.179146e-01 1.640320e-04
1.412537e-02 1.201607e-08 -3.992945e-05 7.412524e+00 5.898804e-04 -2.245083e-01 1.642704e-04
1.467799e-02 -8.010716e-10 2.758915e-05 7.407280e+00 5.894799e-04 -2.232225e-01 1.770258e-04
1.525222e-02 -1.412416e-08 -5.881129e-05 7.438141e+00 5.919391e-04 -2.308272e-01 1.657009e-04
1.584893e-02 1.446145e-08 -6.202231e-06 7.419048e+00 5.904426e-04 -2.260160e-01 1.764297e-04
1.646897e-02 -1.737060e-08 -1.102575e-05 7.330098e+00 5.834620e-04 -2.047064e-01 1.829863e-04
1.711327e-02 -2.487538e-09 1.394453e-05 7.399336e+00 5.889484e-04 -2.213349e-01 1.564026e-04
1.778278e-02 -2.411647e-08 2.754718e-05 7.346256e+00 5.846088e-04 -2.085919e-01 1.816750e-04
1.847849e-02 -8.305848e-09 -6.993806e-06 7.404993e+00 5.893281e-04 -2.227075e-01 1.611710e-04
1.920141e-02 1.559981e-09 8.264346e-05 7.380713e+00 5.873259e-04 -2.168561e-01 1.642704e-04
1.995261e-02 1.387119e-08 -3.112709e-05 7.432275e+00 5.915529e-04 -2.293935e-01 1.673698e-04
2.073320e-02 -9.486374e-09 5.760085e-05 7.423283e+00 5.908512e-04 -2.269789e-01 1.678467e-04
2.154433e-02 8.558818e-09 -1.931319e-05 7.391703e+00 5.883503e-04 -2.194948e-01 1.690388e-04
2.238719e-02 -7.799907e-09 2.454340e-05 7.341325e+00 5.842670e-04 -2.074289e-01 1.544952e-04
2.326303e-02 -2.108083e-09 -6.193095e-05 7.332975e+00 5.836939e-04 -2.055005e-01 1.763105e-04
2.417313e-02 -1.867762e-08 1.435680e-05 7.345413e+00 5.845341e-04 -2.084481e-01 1.683235e-04
2.511884e-02 -5.818309e-09 6.236053e-05 7.449635e+00 5.928652e-04 -2.334965e-01 1.680851e-04
2.610155e-02 3.162125e-09 1.023742e-05 7.400034e+00 5.889998e-04 -2.214961e-01 1.646280e-04
2.712270e-02 -2.276730e-09 1.614229e-05 7.364811e+00 5.862211e-04 -2.131889e-01 1.598597e-04
2.818380e-02 -8.685302e-09 5.449562e-05 7.389518e+00 5.881373e-04 -2.188966e-01 1.844168e-04
2.928642e-02 6.619381e-09 -7.798261e-06 7.337626e+00 5.840069e-04 -2.065732e-01 1.530647e-04
3.043217e-02 4.764268e-09 -1.590551e-05 7.391285e+00 5.882974e-04 -2.194118e-01 1.659393e-04
3.162274e-02 -2.361053e-09 4.921071e-05 7.445746e+00 5.924977e-04 -2.325308e-01 1.649857e-04
3.285990e-02 -1.285931e-08 3.551943e-05 7.416276e+00 5.901663e-04 -2.253324e-01 1.583099e-04
3.414545e-02 -1.644305e-09 7.061686e-05 7.401068e+00 5.890590e-04 -2.216696e-01 1.789331e-04
3.548130e-02 6.492896e-09 -3.126785e-05 7.357235e+00 5.855592e-04 -2.114288e-01 1.668930e-04
3.686940e-02 -7.968554e-09 -1.711515e-05 7.407597e+00 5.894944e-04 -2.233554e-01 1.766682e-04
3.831182e-02 4.806429e-09 -3.873367e-05 7.427167e+00 5.911907e-04 -2.281285e-01 1.782179e-04
3.981066e-02 -7.546937e-09 -9.008276e-06 7.387494e+00 5.879207e-04 -2.185377e-01 1.691580e-04
4.136815e-02 1.222688e-09 1.676033e-05 7.341277e+00 5.842682e-04 -2.074311e-01 1.863241e-04
4.298656e-02 -9.106919e-09 -8.134222e-06 7.446994e+00 5.926362e-04 -2.329513e-01 1.541376e-04
4.466829e-02 -1.378686e-08 2.516099e-05 7.362324e+00 5.860486e-04 -2.125208e-01 1.595020e-04
4.641582e-02 -1.728628e-08 3.400741e-05 7.442564e+00 5.922347e-04 -2.317780e-01 1.744032e-04
4.823171e-02 -1.403983e-08 3.207854e-05 7.393528e+00 5.885173e-04 -2.198757e-01 1.729727e-04
5.011865e-02 -1.281715e-08 4.067811e-05 7.367976e+00 5.864500e-04 -2.139585e-01 1.835823e-04
5.207940e-02 -1.172094e-08 1.212890e-05 7.401706e+00 5.891062e-04 -2.219285e-01 1.714230e-04
5.411686e-02 -4.890753e-09 -7.265223e-06 7.422475e+00 5.907663e-04 -2.268847e-01 1.786947e-04
5.623404e-02 2.023760e-09 3.899341e-05 7.422484e+00 5.907705e-04 -2.268103e-01 1.666546e-04
5.843404e-02 9.865829e-09 -4.329070e-05 7.347119e+00 5.846301e-04 -2.090289e-01 1.883507e-04
6.072012e-02 5.691824e-09 2.321401e-05 7.402761e+00 5.891667e-04 -2.222033e-01 1.596212e-04
