#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=0 --skew=0.0 --distribution=d>> comp_d_l:-2:3:300:1_0.0_0.0333333333333_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 -1.905707e-08 -4.779367e-07 7.382570e+00 5.874992e-04 -2.173963e-01 2.690554e-04
1.039122e-02 4.722106e-09 2.155790e-05 7.463387e+00 5.939046e-04 -2.366869e-01 2.870560e-04
1.079775e-02 1.505171e-08 -1.060065e-05 7.410605e+00 5.897135e-04 -2.241531e-01 2.632141e-04
1.122018e-02 3.794550e-09 -1.165290e-05 7.406283e+00 5.893747e-04 -2.231338e-01 2.717972e-04
1.165914e-02 8.811788e-09 -2.919773e-05 7.375393e+00 5.869172e-04 -2.157217e-01 2.645254e-04
1.211527e-02 -5.902633e-10 -9.573225e-06 7.442902e+00 5.922910e-04 -2.318650e-01 2.703667e-04
1.258925e-02 4.637783e-10 -1.524434e-05 7.422496e+00 5.906660e-04 -2.270156e-01 2.754927e-04
1.308177e-02 -2.938668e-08 -2.098143e-05 7.300493e+00 5.809698e-04 -1.973676e-01 2.796650e-04
1.359356e-02 -1.715980e-08 -3.761237e-05 7.421721e+00 5.906046e-04 -2.268782e-01 2.657175e-04
1.412537e-02 3.503634e-08 5.160975e-05 7.335247e+00 5.837156e-04 -2.058074e-01 2.789497e-04
1.467799e-02 1.146797e-08 7.808142e-06 7.420242e+00 5.904827e-04 -2.264508e-01 2.763271e-04
1.525222e-02 -2.377918e-08 1.691888e-05 7.436530e+00 5.917799e-04 -2.303075e-01 2.825260e-04
1.584893e-02 1.526252e-08 -3.188670e-05 7.402259e+00 5.890502e-04 -2.222114e-01 2.666712e-04
1.646897e-02 1.408200e-08 -2.111484e-05 7.432414e+00 5.914517e-04 -2.293856e-01 2.702475e-04
1.711327e-02 2.297811e-08 3.883287e-05 7.443532e+00 5.923474e-04 -2.319359e-01 2.828836e-04
1.778278e-02 -2.065921e-09 3.948598e-06 7.446029e+00 5.925472e-04 -2.325744e-01 2.650023e-04
1.847849e-02 2.205055e-08 5.576026e-05 7.389274e+00 5.880164e-04 -2.189419e-01 2.794266e-04
1.920141e-02 6.914513e-09 5.744904e-05 7.416316e+00 5.901689e-04 -2.254502e-01 2.647638e-04
1.995261e-02 7.504775e-09 -3.920599e-05 7.410061e+00 5.896680e-04 -2.240818e-01 2.439022e-04
2.073320e-02 2.866993e-09 2.448178e-05 7.375771e+00 5.869402e-04 -2.157384e-01 2.667904e-04
2.154433e-02 2.715211e-08 4.900603e-06 7.413606e+00 5.899395e-04 -2.248949e-01 2.769232e-04
2.238719e-02 -1.281715e-08 -6.312612e-05 7.449686e+00 5.928259e-04 -2.335650e-01 2.979040e-04
2.326303e-02 1.264850e-09 -4.315873e-05 7.412049e+00 5.898364e-04 -2.245779e-01 2.665520e-04
2.417313e-02 -2.824831e-09 7.272760e-06 7.398025e+00 5.887083e-04 -2.211331e-01 2.763271e-04
2.511884e-02 2.065921e-09 -1.328088e-05 7.402096e+00 5.890389e-04 -2.221379e-01 2.629757e-04
2.610155e-02 -1.011880e-08 -4.029368e-05 7.374739e+00 5.868496e-04 -2.155967e-01 2.555847e-04
2.712270e-02 3.503634e-08 -1.108146e-04 7.433561e+00 5.915407e-04 -2.298148e-01 2.820492e-04
2.818380e-02 -2.571861e-08 -6.238773e-05 7.415269e+00 5.900993e-04 -2.253740e-01 2.659559e-04
2.928642e-02 1.285931e-08 4.193583e-05 7.417851e+00 5.902895e-04 -2.258130e-01 2.685785e-04
3.043217e-02 9.486374e-09 -6.513307e-05 7.395437e+00 5.884974e-04 -2.206237e-01 2.624989e-04
3.162274e-02 1.694899e-08 2.815543e-06 7.388007e+00 5.879192e-04 -2.187258e-01 2.744198e-04
3.285990e-02 1.113068e-08 1.342879e-05 7.369946e+00 5.864751e-04 -2.143403e-01 2.641678e-04
3.414545e-02 -1.104636e-08 1.083622e-04 7.443378e+00 5.923140e-04 -2.318132e-01 2.653599e-04
