#./overdamped_3d --dev=1 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=500.0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=3.14 --skew=0.99 --distribution=e>> comp_e_l:-2:3:300:1_0.0_0.0333333333333_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 6.703704e-09 -6.686409e-05 7.476836e+00 5.949914e-04 -2.400836e-01 1.633167e-04
1.039122e-02 -6.492896e-09 6.761820e-05 7.388994e+00 5.880941e-04 -2.187468e-01 1.808405e-04
1.079775e-02 6.366411e-09 1.063346e-05 7.406132e+00 5.894002e-04 -2.229669e-01 1.802444e-04
1.122018e-02 1.222688e-08 4.119952e-05 7.438248e+00 5.919485e-04 -2.307028e-01 1.603365e-04
1.165914e-02 -4.553459e-09 7.643821e-08 7.438561e+00 5.919762e-04 -2.308291e-01 1.724958e-04
1.211527e-02 -1.429280e-08 -7.519723e-06 7.428735e+00 5.913064e-04 -2.284477e-01 1.803637e-04
1.258925e-02 1.648521e-08 8.466978e-05 7.331686e+00 5.835926e-04 -2.049343e-01 1.782179e-04
1.308177e-02 -6.535058e-09 4.524423e-05 7.360605e+00 5.858745e-04 -2.121199e-01 1.695156e-04
1.359356e-02 7.546937e-09 1.383480e-05 7.414052e+00 5.899748e-04 -2.248102e-01 1.757145e-04
1.412537e-02 2.529700e-10 7.643157e-05 7.335520e+00 5.838850e-04 -2.058967e-01 1.835823e-04
1.467799e-02 1.399767e-08 -4.664018e-05 7.346891e+00 5.846171e-04 -2.089626e-01 1.676083e-04
1.525222e-02 4.469136e-09 6.309302e-05 7.385135e+00 5.876881e-04 -2.179215e-01 1.600981e-04
1.584893e-02 1.264850e-08 -3.142193e-05 7.379665e+00 5.872227e-04 -2.168012e-01 1.784563e-04
1.646897e-02 -1.315444e-08 2.165258e-05 7.424924e+00 5.909988e-04 -2.274715e-01 1.889467e-04
1.711327e-02 2.529700e-09 -1.183480e-05 7.380064e+00 5.872634e-04 -2.168774e-01 1.929998e-04
1.778278e-02 -1.096203e-08 3.149058e-06 7.472610e+00 5.946218e-04 -2.389774e-01 1.841784e-04
1.847849e-02 -3.752388e-09 -4.904032e-05 7.409427e+00 5.896091e-04 -2.237921e-01 1.962185e-04
1.920141e-02 -3.739740e-08 4.452348e-05 7.366132e+00 5.863432e-04 -2.134724e-01 1.872778e-04
1.995261e-02 -1.728628e-09 -4.126295e-05 7.405207e+00 5.893268e-04 -2.228229e-01 1.738071e-04
2.073320e-02 -1.247985e-08 -1.931384e-05 7.418946e+00 5.904425e-04 -2.260168e-01 1.970530e-04
2.154433e-02 4.975076e-09 -1.024441e-05 7.425108e+00 5.910028e-04 -2.275819e-01 1.864433e-04
2.238719e-02 -9.402051e-09 -1.902134e-05 7.417764e+00 5.903193e-04 -2.257321e-01 2.052784e-04
2.326303e-02 2.213487e-08 -2.491553e-05 7.406187e+00 5.893969e-04 -2.230364e-01 1.982450e-04
2.417313e-02 -1.277498e-08 1.259039e-05 7.418774e+00 5.904027e-04 -2.259565e-01 2.019405e-04
2.511884e-02 -1.134149e-08 4.898327e-06 7.399328e+00 5.889402e-04 -2.213532e-01 1.980066e-04
2.610155e-02 -9.106919e-09 -1.974141e-05 7.368350e+00 5.864769e-04 -2.141119e-01 1.945496e-04
2.712270e-02 -1.640089e-08 2.167347e-05 7.391010e+00 5.882775e-04 -2.192982e-01 2.024174e-04
2.818380e-02 2.445376e-08 -1.517839e-05 7.395816e+00 5.886901e-04 -2.204867e-01 1.850128e-04
2.928642e-02 2.162893e-08 3.468649e-05 7.408689e+00 5.895759e-04 -2.235225e-01 2.049208e-04
3.043217e-02 9.865829e-09 1.273280e-05 7.484750e+00 5.957664e-04 -2.417125e-01 2.005100e-04
3.162274e-02 -9.317727e-09 8.343193e-05 7.349825e+00 5.848513e-04 -2.094279e-01 2.009869e-04
3.285990e-02 9.359889e-09 -2.284715e-05 7.368382e+00 5.864702e-04 -2.141287e-01 1.845360e-04
3.414545e-02 1.450361e-08 5.679013e-05 7.418510e+00 5.903713e-04 -2.258168e-01 2.174377e-04
3.548130e-02 5.607501e-09 3.130319e-05 7.506318e+00 5.973263e-04 -2.465768e-01 1.946688e-04
3.686940e-02 -1.054042e-09 5.759220e-06 7.421124e+00 5.906663e-04 -2.265267e-01 2.059937e-04
