#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=0 --skew=0.0 --distribution=e>> comp_e_l:-2:3:300:1_0.0_0.0333333333333_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 -1.855113e-08 -6.349773e-05 7.475892e+00 5.949172e-04 -2.397465e-01 2.763271e-04
1.039122e-02 -8.853949e-10 1.315566e-04 7.460218e+00 5.936735e-04 -2.357574e-01 2.630949e-04
1.079775e-02 1.859329e-08 -4.212336e-05 7.411596e+00 5.897752e-04 -2.244641e-01 2.756119e-04
1.122018e-02 1.433497e-09 4.005371e-05 7.394928e+00 5.884568e-04 -2.203282e-01 2.806187e-04
1.165914e-02 -2.162893e-08 -7.174420e-05 7.377787e+00 5.871086e-04 -2.163689e-01 2.753735e-04
1.211527e-02 3.022991e-08 -3.945854e-05 7.368713e+00 5.863729e-04 -2.141235e-01 2.745390e-04
1.258925e-02 -6.450734e-09 -4.370509e-05 7.387760e+00 5.878957e-04 -2.187072e-01 2.632141e-04
1.308177e-02 2.888074e-08 3.962474e-05 7.396113e+00 5.885590e-04 -2.206106e-01 2.738237e-04
1.359356e-02 -1.804519e-08 -2.442722e-05 7.348176e+00 5.847476e-04 -2.090960e-01 2.702475e-04
1.412537e-02 1.429280e-08 -2.984067e-06 7.394345e+00 5.884345e-04 -2.202407e-01 2.862215e-04
1.467799e-02 2.238784e-08 -6.810010e-05 7.342398e+00 5.842831e-04 -2.077613e-01 2.659559e-04
1.525222e-02 -9.781505e-09 7.487334e-05 7.407452e+00 5.894608e-04 -2.232889e-01 2.797842e-04
1.584893e-02 1.416632e-08 -6.425672e-05 7.411376e+00 5.897777e-04 -2.244397e-01 2.857447e-04
1.646897e-02 5.312369e-09 2.776297e-05 7.360028e+00 5.856938e-04 -2.119010e-01 2.801418e-04
1.711327e-02 1.956301e-08 6.341627e-05 7.370041e+00 5.864830e-04 -2.142589e-01 2.774000e-04
1.778278e-02 -4.848591e-09 2.533834e-05 7.427852e+00 5.910692e-04 -2.282616e-01 2.593994e-04
1.847849e-02 -1.391335e-08 4.180207e-07 7.389501e+00 5.880381e-04 -2.190768e-01 2.655983e-04
1.920141e-02 1.500955e-08 -1.024701e-04 7.396399e+00 5.885882e-04 -2.208953e-01 2.696514e-04
1.995261e-02 -1.509387e-08 -4.070795e-05 7.444785e+00 5.924270e-04 -2.323787e-01 2.608299e-04
2.073320e-02 3.166341e-08 6.174033e-05 7.376923e+00 5.870244e-04 -2.159566e-01 2.739429e-04
2.154433e-02 3.545796e-08 -3.875120e-05 7.412182e+00 5.898325e-04 -2.245783e-01 2.743006e-04
2.238719e-02 1.395551e-08 7.656453e-05 7.398782e+00 5.887710e-04 -2.211874e-01 2.881289e-04
2.326303e-02 -1.855113e-08 -5.990548e-06 7.410538e+00 5.896963e-04 -2.241667e-01 2.875328e-04
2.417313e-02 1.640089e-08 -1.437946e-05 7.406297e+00 5.893703e-04 -2.231366e-01 2.871752e-04
2.511884e-02 2.656185e-09 -5.968835e-05 7.386709e+00 5.878090e-04 -2.185189e-01 2.713203e-04
2.610155e-02 -2.011111e-08 3.037658e-07 7.451351e+00 5.929695e-04 -2.338526e-01 2.808571e-04
2.712270e-02 1.260634e-08 -3.060338e-05 7.393818e+00 5.883699e-04 -2.201797e-01 2.716780e-04
2.818380e-02 -5.860471e-09 -5.466989e-05 7.385836e+00 5.877401e-04 -2.182856e-01 2.698898e-04
2.928642e-02 8.643140e-09 4.553249e-05 7.375328e+00 5.869080e-04 -2.155874e-01 2.826452e-04
3.043217e-02 -1.745493e-08 2.390309e-05 7.397823e+00 5.887073e-04 -2.210390e-01 2.855062e-04
3.162274e-02 6.535058e-09 -6.582144e-06 7.476265e+00 5.949353e-04 -2.397617e-01 2.895594e-04
3.285990e-02 -1.686466e-08 -7.225477e-05 7.407485e+00 5.894721e-04 -2.235088e-01 2.877712e-04
3.414545e-02 2.571861e-09 7.204125e-05 7.461133e+00 5.937505e-04 -2.360352e-01 2.899170e-04
3.548130e-02 -1.509387e-08 -6.134510e-05 7.408375e+00 5.895427e-04 -2.237198e-01 2.852678e-04
3.686940e-02 1.138365e-09 6.196715e-05 7.387214e+00 5.878498e-04 -2.184479e-01 2.777576e-04
3.831182e-02 -3.119963e-09 -1.042628e-04 7.415081e+00 5.900695e-04 -2.253932e-01 2.880096e-04
3.981066e-02 1.715980e-08 -6.757656e-05 7.396622e+00 5.886013e-04 -2.209193e-01 2.839565e-04
4.136815e-02 -8.432332e-09 -5.956789e-05 7.425518e+00 5.908939e-04 -2.278227e-01 2.968311e-04
4.298656e-02 -2.339972e-08 -5.240753e-05 7.464728e+00 5.940132e-04 -2.371042e-01 2.847910e-04
4.466829e-02 -1.163662e-08 4.188362e-05 7.400679e+00 5.889356e-04 -2.216886e-01 2.751350e-04
4.641582e-02 -1.897275e-09 7.578374e-05 7.417404e+00 5.902659e-04 -2.256629e-01 2.810955e-04
