#./overdamped_3d --dev=1 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=500.0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=10 --skew=0.99 --distribution=r>> comp_r_l:-2:3:300:1_0.0_10_0.0333333333333_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 -1.446145e-08 -4.783641e-05 7.411708e+00 5.898048e-04 -2.243255e-01 1.541376e-04
1.039122e-02 -1.264850e-08 5.782115e-05 7.427327e+00 5.911727e-04 -2.280254e-01 1.784563e-04
1.079775e-02 -1.104636e-08 -1.662983e-05 7.431746e+00 5.915157e-04 -2.291846e-01 1.754761e-04
1.122018e-02 5.986956e-09 -6.859457e-05 7.379167e+00 5.871985e-04 -2.167251e-01 1.610518e-04
1.165914e-02 -5.733986e-09 -4.132512e-06 7.410063e+00 5.896554e-04 -2.238808e-01 1.600981e-04
1.211527e-02 1.054042e-09 1.108413e-05 7.444689e+00 5.924340e-04 -2.323238e-01 1.715422e-04
1.258925e-02 1.125716e-08 7.127561e-05 7.394525e+00 5.885921e-04 -2.200459e-01 1.649857e-04
1.308177e-02 1.188959e-08 3.277009e-05 7.398322e+00 5.888699e-04 -2.210854e-01 1.705885e-04
1.359356e-02 -3.710226e-09 -1.595080e-05 7.391557e+00 5.883272e-04 -2.194833e-01 1.670122e-04
1.412537e-02 -1.117284e-08 -8.072217e-05 7.411857e+00 5.898099e-04 -2.243842e-01 1.596212e-04
1.467799e-02 -3.233799e-08 1.116109e-05 7.380248e+00 5.872857e-04 -2.168714e-01 1.652241e-04
1.525222e-02 1.121500e-08 -4.840602e-05 7.427286e+00 5.912019e-04 -2.281978e-01 1.609325e-04
1.584893e-02 -1.581062e-08 3.642593e-06 7.382977e+00 5.874948e-04 -2.175006e-01 1.765490e-04
1.646897e-02 -8.348009e-09 -4.873736e-05 7.355534e+00 5.853671e-04 -2.110213e-01 1.668930e-04
1.711327e-02 1.855113e-09 7.249411e-05 7.422687e+00 5.908015e-04 -2.267818e-01 1.584291e-04
1.778278e-02 2.200839e-08 -3.177782e-05 7.422276e+00 5.907575e-04 -2.268710e-01 1.730919e-04
1.847849e-02 -8.179362e-09 7.271022e-05 7.433591e+00 5.916550e-04 -2.295386e-01 1.664162e-04
1.920141e-02 1.564198e-08 2.878512e-05 7.427563e+00 5.912197e-04 -2.281180e-01 1.647472e-04
1.995261e-02 6.914513e-09 9.319751e-06 7.407141e+00 5.894730e-04 -2.232162e-01 1.871586e-04
2.073320e-02 -3.457256e-09 1.403587e-05 7.386647e+00 5.878390e-04 -2.182782e-01 1.839399e-04
2.154433e-02 -9.865829e-09 -1.106765e-05 7.393255e+00 5.885140e-04 -2.198440e-01 1.646280e-04
2.238719e-02 1.517820e-09 1.041994e-05 7.415391e+00 5.900883e-04 -2.251624e-01 1.695156e-04
2.326303e-02 2.167110e-08 -5.074828e-05 7.453504e+00 5.932756e-04 -2.345493e-01 1.635551e-04
2.417313e-02 -2.297811e-08 2.584840e-05 7.426880e+00 5.911589e-04 -2.279366e-01 1.595020e-04
