#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=10 --skew=0.0 --distribution=r>> comp_r_l:-2:3:300:1_0.0_10_0.0333333333333_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 -2.398999e-08 -6.655521e-05 7.413171e+00 5.899279e-04 -2.248582e-01 2.796650e-04
1.039122e-02 2.529700e-10 7.036384e-05 7.413123e+00 5.899161e-04 -2.246640e-01 2.737045e-04
1.079775e-02 1.458794e-08 1.420537e-05 7.388723e+00 5.879659e-04 -2.188706e-01 2.731085e-04
1.122018e-02 3.162125e-09 2.869163e-06 7.397979e+00 5.887021e-04 -2.211202e-01 2.802610e-04
1.165914e-02 3.372933e-10 7.730346e-05 7.399369e+00 5.888122e-04 -2.213530e-01 2.700090e-04
1.211527e-02 -1.884626e-08 4.455663e-05 7.448957e+00 5.927657e-04 -2.332245e-01 2.617836e-04
1.258925e-02 -1.631656e-08 2.429042e-05 7.395134e+00 5.884716e-04 -2.203990e-01 2.690554e-04
1.308177e-02 -9.486374e-09 7.723241e-05 7.369100e+00 5.864197e-04 -2.140307e-01 2.810955e-04
1.359356e-02 -1.328092e-08 -7.591078e-05 7.427827e+00 5.910732e-04 -2.283903e-01 2.741814e-04
1.412537e-02 1.741277e-08 -1.737406e-05 7.429446e+00 5.912169e-04 -2.286662e-01 2.832413e-04
1.467799e-02 1.547333e-08 -5.143739e-05 7.438432e+00 5.919205e-04 -2.308792e-01 2.543926e-04
1.525222e-02 2.403215e-09 -9.077162e-05 7.451068e+00 5.929204e-04 -2.339445e-01 2.576113e-04
1.584893e-02 2.900722e-08 6.755086e-05 7.383955e+00 5.875941e-04 -2.176203e-01 2.660751e-04
1.646897e-02 -9.402051e-09 3.085153e-05 7.471762e+00 5.945795e-04 -2.386422e-01 2.747774e-04
1.711327e-02 -8.769626e-09 4.774151e-05 7.379876e+00 5.872662e-04 -2.166773e-01 2.778769e-04
1.778278e-02 3.630119e-08 5.678176e-05 7.482038e+00 5.954016e-04 -2.410196e-01 2.825260e-04
1.847849e-02 -1.412416e-08 2.767730e-05 7.433005e+00 5.914956e-04 -2.294576e-01 2.633333e-04
1.920141e-02 -2.926019e-08 -7.982309e-05 7.377495e+00 5.870766e-04 -2.163051e-01 2.783537e-04
1.995261e-02 4.848591e-09 -6.250978e-05 7.364902e+00 5.860751e-04 -2.132317e-01 2.615452e-04
2.073320e-02 -1.454577e-08 -2.307064e-05 7.402055e+00 5.890440e-04 -2.221392e-01 2.702475e-04
2.154433e-02 -3.204286e-09 -4.438537e-06 7.405124e+00 5.892627e-04 -2.228667e-01 2.799034e-04
2.238719e-02 6.914513e-09 -2.395386e-06 7.413610e+00 5.899640e-04 -2.248784e-01 2.702475e-04
2.326303e-02 7.715584e-09 4.631381e-05 7.377135e+00 5.870505e-04 -2.160184e-01 2.741814e-04
2.417313e-02 -3.752388e-09 -2.226024e-05 7.454119e+00 5.931733e-04 -2.345572e-01 2.779961e-04
2.511884e-02 -2.377918e-08 2.915377e-05 7.364895e+00 5.860803e-04 -2.130885e-01 2.629757e-04
2.610155e-02 8.853949e-10 -2.254899e-06 7.416303e+00 5.901604e-04 -2.255273e-01 2.810955e-04
2.712270e-02 8.853949e-10 -1.113833e-04 7.395140e+00 5.884783e-04 -2.206318e-01 2.642870e-04
2.818380e-02 -1.686467e-10 -1.212128e-05 7.348119e+00 5.847413e-04 -2.090971e-01 2.914667e-04
2.928642e-02 -1.939436e-09 6.024415e-05 7.391717e+00 5.882215e-04 -2.195159e-01 2.795458e-04
3.043217e-02 -6.450734e-09 7.820402e-05 7.358538e+00 5.855622e-04 -2.114603e-01 2.652407e-04
3.162274e-02 8.474494e-09 1.041945e-05 7.446620e+00 5.925734e-04 -2.327277e-01 2.628565e-04
3.285990e-02 -9.823667e-09 4.248449e-05 7.436728e+00 5.917951e-04 -2.303063e-01 2.601147e-04
3.414545e-02 6.619381e-09 -7.594522e-06 7.331431e+00 5.834086e-04 -2.050023e-01 2.770424e-04
3.548130e-02 -2.449593e-08 -2.924304e-06 7.365057e+00 5.861050e-04 -2.131476e-01 2.775192e-04
3.686940e-02 9.865829e-09 -2.986144e-05 7.390217e+00 5.880850e-04 -2.193264e-01 2.809763e-04
3.831182e-02 2.150245e-09 9.469159e-05 7.415170e+00 5.900810e-04 -2.250877e-01 2.709627e-04
3.981066e-02 -2.158677e-08 2.111994e-07 7.295963e+00 5.806022e-04 -1.962425e-01 2.683401e-04
4.136815e-02 -1.614792e-08 1.548442e-06 7.382039e+00 5.874410e-04 -2.172605e-01 2.557039e-04
4.298656e-02 4.595621e-09 5.411989e-05 7.435293e+00 5.916820e-04 -2.299570e-01 2.782345e-04
4.466829e-02 1.631656e-08 3.212290e-05 7.462272e+00 5.938248e-04 -2.363977e-01 2.934933e-04
