#./overdamped_3d --dev=1 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=500.0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=3.14 --skew=0.99 --distribution=s>> comp_s_3.14_l:-2:3:300:1_0.0_0.99_0.0333333333333_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 3.996908e-03 9.081377e-01 1.699872e+02 1.351500e-02 2.956927e-02 2.669685e-01
1.039122e-02 4.164166e-03 8.944477e-01 1.728893e+02 1.374229e-02 3.449070e-02 2.482860e-01
1.079775e-02 4.360642e-03 9.094028e-01 1.811947e+02 1.440405e-02 2.227116e-02 2.390234e-01
1.122018e-02 4.519578e-03 9.132091e-01 1.888183e+02 1.501450e-02 1.204133e-03 2.330358e-01
1.165914e-02 4.700315e-03 9.097124e-01 1.938652e+02 1.541320e-02 1.436114e-02 2.221128e-01
1.211527e-02 4.858682e-03 9.136627e-01 2.006334e+02 1.595209e-02 2.280390e-02 2.160352e-01
1.258925e-02 5.039529e-03 9.205164e-01 2.066393e+02 1.642788e-02 5.068588e-02 2.069136e-01
1.308177e-02 5.206076e-03 9.194725e-01 2.190139e+02 1.741458e-02 5.840313e-02 2.037376e-01
1.359356e-02 5.418822e-03 9.341415e-01 2.288221e+02 1.819453e-02 1.021739e-01 1.979475e-01
1.412537e-02 5.645656e-03 9.380606e-01 2.373295e+02 1.887294e-02 7.238483e-02 1.906168e-01
1.467799e-02 5.877650e-03 9.367391e-01 2.451199e+02 1.949405e-02 5.770230e-02 1.828940e-01
1.525222e-02 6.112562e-03 9.553586e-01 2.600827e+02 2.068850e-02 5.197370e-02 1.793628e-01
1.584893e-02 6.353038e-03 9.511002e-01 2.676502e+02 2.129409e-02 8.927882e-02 1.698034e-01
1.646897e-02 6.583286e-03 9.503372e-01 2.725118e+02 2.167746e-02 6.602180e-02 1.627078e-01
1.711327e-02 6.849466e-03 9.468919e-01 2.849924e+02 2.267033e-02 6.269956e-02 1.554948e-01
1.778278e-02 7.118249e-03 9.445472e-01 2.952153e+02 2.347945e-02 3.764939e-02 1.503793e-01
1.847849e-02 7.399059e-03 9.487340e-01 3.073238e+02 2.443835e-02 9.425533e-02 1.448510e-01
1.920141e-02 7.658343e-03 9.403037e-01 3.127642e+02 2.487118e-02 2.387738e-02 1.380737e-01
1.995261e-02 7.942837e-03 9.438245e-01 3.254125e+02 2.586491e-02 4.686713e-03 1.332859e-01
2.073320e-02 8.231870e-03 9.439847e-01 3.345044e+02 2.658076e-02 2.678442e-02 1.283196e-01
2.154433e-02 8.550501e-03 9.484093e-01 3.484006e+02 2.767277e-02 2.524626e-02 1.234692e-01
2.238719e-02 8.881537e-03 9.558654e-01 3.646390e+02 2.896173e-02 9.465575e-03 1.200732e-01
2.326303e-02 9.254905e-03 9.651003e-01 3.792464e+02 3.011211e-02 1.592815e-02 1.156344e-01
2.417313e-02 9.648137e-03 9.635211e-01 3.932366e+02 3.124515e-02 5.811167e-02 1.098479e-01
2.511884e-02 1.000322e-02 9.493093e-01 3.995857e+02 3.175906e-02 5.655909e-02 1.045359e-01
2.610155e-02 1.040048e-02 9.587659e-01 4.175265e+02 3.320809e-02 2.732062e-02 1.011137e-01
2.712270e-02 1.076963e-02 9.583134e-01 4.371954e+02 3.478091e-02 1.221657e-02 9.863555e-02
2.818380e-02 1.118133e-02 9.523500e-01 4.449073e+02 3.541248e-02 2.091026e-02 9.329772e-02
2.928642e-02 1.164467e-02 9.754570e-01 4.754378e+02 3.787021e-02 7.228255e-03 9.176874e-02
3.043217e-02 1.209414e-02 9.695640e-01 4.884297e+02 3.891672e-02 1.646364e-02 8.782470e-02
