#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=0.0 --second=3.14 --skew=0.99 --distribution=s>> comp_s_3.14_l:-2:3:300:1_0.0_0.99_0.0333333333333_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 4.017642e-03 9.067340e-01 1.721804e+02 1.369249e-02 1.505744e-02 2.460378e-01
1.039122e-02 4.162628e-03 9.013581e-01 1.718634e+02 1.366682e-02 4.123640e-02 2.303261e-01
1.079775e-02 4.340868e-03 9.032515e-01 1.780288e+02 1.415722e-02 2.349865e-02 2.192931e-01
1.122018e-02 4.529978e-03 9.115492e-01 1.888535e+02 1.502138e-02 2.369404e-03 2.137058e-01
1.165914e-02 4.703854e-03 9.074823e-01 1.910017e+02 1.519170e-02 2.054894e-02 2.023418e-01
1.211527e-02 4.869345e-03 9.174431e-01 1.983976e+02 1.577553e-02 2.501750e-02 1.967925e-01
1.258925e-02 5.044815e-03 9.175691e-01 2.091797e+02 1.663508e-02 4.245877e-02 1.922436e-01
1.308177e-02 5.231078e-03 9.334930e-01 2.207424e+02 1.755453e-02 3.140020e-02 1.898078e-01
1.359356e-02 5.443263e-03 9.299963e-01 2.301346e+02 1.830265e-02 1.097995e-01 1.837847e-01
1.412537e-02 5.658252e-03 9.455543e-01 2.406146e+02 1.914078e-02 4.579842e-02 1.789547e-01
1.467799e-02 5.872542e-03 9.428110e-01 2.467479e+02 1.962896e-02 6.064379e-02 1.709350e-01
1.525222e-02 6.091530e-03 9.529031e-01 2.603960e+02 2.071649e-02 5.383384e-02 1.665517e-01
1.584893e-02 6.362909e-03 9.425338e-01 2.631699e+02 2.094546e-02 3.719461e-02 1.561644e-01
1.646897e-02 6.583301e-03 9.339260e-01 2.708326e+02 2.155526e-02 8.610427e-02 1.500653e-01
1.711327e-02 6.854481e-03 9.449611e-01 2.830922e+02 2.253103e-02 4.417586e-02 1.445434e-01
1.778278e-02 7.111369e-03 9.484863e-01 2.972658e+02 2.366046e-02 7.829213e-02 1.411229e-01
1.847849e-02 7.380346e-03 9.504682e-01 3.072696e+02 2.445198e-02 6.594193e-02 1.358650e-01
1.920141e-02 7.667604e-03 9.487296e-01 3.162969e+02 2.517146e-02 5.529952e-02 1.303596e-01
1.995261e-02 7.938867e-03 9.455164e-01 3.249168e+02 2.584890e-02 1.126766e-02 1.253456e-01
2.073320e-02 8.223250e-03 9.493170e-01 3.385623e+02 2.693417e-02 3.397822e-02 1.208491e-01
2.154433e-02 8.562786e-03 9.434150e-01 3.462886e+02 2.753652e-02 2.239954e-02 1.151958e-01
2.238719e-02 8.895813e-03 9.514495e-01 3.613080e+02 2.873539e-02 1.333082e-02 1.116577e-01
2.326303e-02 9.263258e-03 9.649744e-01 3.790076e+02 3.013144e-02 8.147717e-03 1.076478e-01
2.417313e-02 9.641443e-03 9.658455e-01 3.953795e+02 3.144897e-02 7.517874e-02 1.040204e-01
2.511884e-02 1.002539e-02 9.530346e-01 4.060834e+02 3.231040e-02 6.672859e-02 9.942210e-02
2.610155e-02 1.036950e-02 9.499995e-01 4.156178e+02 3.307489e-02 5.020642e-02 9.510350e-02
2.712270e-02 1.077167e-02 9.494913e-01 4.327742e+02 3.444088e-02 1.162899e-02 9.181476e-02
2.818380e-02 1.120573e-02 9.555876e-01 4.450355e+02 3.542655e-02 2.346981e-02 8.765936e-02
2.928642e-02 1.165076e-02 9.592660e-01 4.696296e+02 3.740238e-02 4.402542e-02 8.489919e-02
3.043217e-02 1.213413e-02 9.599731e-01 4.864095e+02 3.874809e-02 4.062402e-02 8.133364e-02
3.162274e-02 1.257158e-02 9.601187e-01 5.006876e+02 3.989151e-02 2.390373e-02 7.850504e-02
3.285990e-02 1.311739e-02 9.637040e-01 5.277767e+02 4.205117e-02 3.009629e-02 7.584846e-02
3.414545e-02 1.362607e-02 9.614654e-01 5.447889e+02 4.341631e-02 2.632332e-02 7.321620e-02
3.548130e-02 1.420190e-02 9.717768e-01 5.657176e+02 4.507341e-02 3.056824e-02 6.982446e-02
3.686940e-02 1.475754e-02 9.528765e-01 5.787487e+02 4.610286e-02 2.267265e-02 6.588626e-02
3.831182e-02 1.532880e-02 9.636195e-01 5.995561e+02 4.774446e-02 1.782513e-02 6.399417e-02
3.981066e-02 1.591717e-02 9.648882e-01 6.243929e+02 4.971696e-02 1.528597e-02 6.164312e-02
4.136815e-02 1.656455e-02 9.608620e-01 6.454531e+02 5.139749e-02 6.741381e-02 5.880213e-02
4.298656e-02 1.715272e-02 9.637680e-01 6.569795e+02 5.231853e-02 3.225088e-02 5.633068e-02
4.466829e-02 1.779604e-02 9.745856e-01 7.118539e+02 5.666304e-02 4.901755e-02 5.626869e-02
4.641582e-02 1.851076e-02 9.658898e-01 7.341789e+02 5.845634e-02 2.881706e-02 5.391884e-02
4.823171e-02 1.927013e-02 9.671220e-01 7.605441e+02 6.054866e-02 2.879953e-02 5.173433e-02
