#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:1:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=d>> comp_d_l:-2:1:300:1_1.0_0.0333333333333_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 1.004562e+00 1.005174e+00 6.326276e+05 5.022898e+01 -1.519632e-02 1.803434e-02
1.023293e-02 1.026581e+00 1.015446e+00 6.508445e+05 5.171008e+01 -1.095790e-02 1.770532e-02
1.047129e-02 9.863833e-01 9.975430e-01 5.741508e+05 4.552786e+01 4.141569e-03 1.694202e-02
1.071519e-02 1.007869e+00 1.010287e+00 5.968240e+05 4.742817e+01 1.000512e-02 1.695311e-02
1.096478e-02 1.032644e+00 9.994786e-01 6.041484e+05 4.817875e+01 -6.005168e-04 1.629448e-02
1.122018e-02 9.868078e-01 1.000481e+00 5.438884e+05 4.478843e+01 -1.924717e-02 1.601100e-02
1.148153e-02 1.010416e+00 1.008854e+00 5.579806e+05 4.593371e+01 -9.492636e-04 1.568556e-02
1.174897e-02 1.032756e+00 1.011369e+00 5.753224e+05 4.723750e+01 1.290476e-02 1.551056e-02
1.202264e-02 9.820148e-01 1.015587e+00 5.103532e+05 4.058642e+01 2.223551e-02 1.521611e-02
1.230269e-02 1.005398e+00 1.017360e+00 5.262008e+05 4.179823e+01 3.943443e-03 1.506245e-02
1.258925e-02 1.027169e+00 1.006616e+00 5.298032e+05 4.212386e+01 2.290201e-02 1.451528e-02
1.288249e-02 9.709190e-01 1.001810e+00 4.626030e+05 3.684819e+01 9.547710e-03 1.419377e-02
1.318256e-02 9.929210e-01 1.004116e+00 4.746650e+05 3.772768e+01 -8.107424e-03 1.393616e-02
1.348963e-02 1.014465e+00 1.012578e+00 4.862780e+05 3.865810e+01 -4.919171e-03 1.377296e-02
1.380384e-02 1.038151e+00 1.010424e+00 4.996822e+05 3.971711e+01 -4.798889e-03 1.339626e-02
1.412537e-02 9.759753e-01 1.011039e+00 4.246490e+05 3.368005e+01 8.689642e-03 1.291358e-02
1.445439e-02 9.980969e-01 1.011933e+00 4.403030e+05 3.495074e+01 -1.524240e-02 1.246083e-02
1.479108e-02 1.021974e+00 1.008937e+00 4.461322e+05 3.549060e+01 -6.394088e-03 1.241767e-02
1.513561e-02 1.044434e+00 1.009651e+00 4.591262e+05 3.650537e+01 1.154482e-02 1.220477e-02
1.548816e-02 9.722943e-01 1.020615e+00 3.954654e+05 3.147766e+01 3.036845e-02 1.213169e-02
1.584893e-02 9.954867e-01 1.002085e+00 3.974719e+05 3.174664e+01 -1.974165e-03 1.162827e-02
1.621809e-02 1.018319e+00 1.009606e+00 4.093226e+05 3.279674e+01 7.606745e-03 1.142836e-02
1.659586e-02 1.041878e+00 1.007714e+00 4.174960e+05 3.350562e+01 -7.096410e-03 1.117456e-02
1.698243e-02 9.605495e-01 9.971890e-01 3.436807e+05 2.718526e+01 -4.741609e-03 1.088345e-02
1.737800e-02 9.822040e-01 1.008679e+00 3.538469e+05 2.795206e+01 1.458824e-02 1.071167e-02
1.778278e-02 1.006713e+00 1.009392e+00 3.658322e+05 2.889203e+01 7.277012e-03 1.056421e-02
1.819700e-02 1.029987e+00 1.000225e+00 3.707233e+05 2.931698e+01 1.555300e-02 1.024008e-02
1.862086e-02 1.052756e+00 1.014572e+00 3.788705e+05 3.007042e+01 -4.706740e-03 9.972692e-03
1.905460e-02 9.575218e-01 1.005995e+00 3.040659e+05 2.421129e+01 1.021981e-03 9.728312e-03
1.949843e-02 9.801366e-01 1.008217e+00 3.105872e+05 2.465405e+01 -7.670224e-03 9.514809e-03
1.995261e-02 1.004276e+00 1.016382e+00 3.193383e+05 2.537152e+01 -9.809256e-03 9.309053e-03
2.041737e-02 1.025757e+00 9.998769e-01 3.218890e+05 2.544028e+01 7.340074e-03 9.053349e-03
2.089295e-02 1.050335e+00 1.013504e+00 3.315732e+05 2.625929e+01 7.301927e-03 8.861303e-03
2.137960e-02 9.393727e-01 1.023286e+00 2.632466e+05 2.133249e+01 -3.651619e-03 8.828163e-03
2.187760e-02 9.618608e-01 1.015608e+00 2.704400e+05 2.203468e+01 5.416989e-03 8.613825e-03
2.238719e-02 9.839596e-01 1.019273e+00 2.750915e+05 2.245422e+01 -5.440295e-03 8.366108e-03
2.290866e-02 1.006593e+00 1.024924e+00 2.839090e+05 2.316628e+01 -3.054512e-02 8.338809e-03
2.344227e-02 1.030192e+00 1.011216e+00 2.881539e+05 2.351005e+01 -8.685112e-03 8.039832e-03
2.398831e-02 1.053846e+00 1.013537e+00 2.936498e+05 2.377679e+01 -1.538575e-02 7.770658e-03
2.454707e-02 9.245417e-01 1.010847e+00 2.198899e+05 1.755033e+01 -2.905434e-02 7.689476e-03
2.511884e-02 9.460417e-01 1.010835e+00 2.235457e+05 1.779448e+01 -2.689475e-02 7.384062e-03
2.570393e-02 9.681845e-01 1.004277e+00 2.271596e+05 1.800170e+01 -1.015145e-02 7.193327e-03
2.630266e-02 9.922158e-01 1.004287e+00 2.330815e+05 1.842314e+01 -1.566797e-02 7.048607e-03
2.691532e-02 1.015840e+00 1.004010e+00 2.384815e+05 1.879906e+01 -1.545137e-02 6.851673e-03
2.754226e-02 1.038596e+00 1.010753e+00 2.457250e+05 1.946210e+01 -1.354712e-02 6.770849e-03
2.818380e-02 1.062225e+00 1.004448e+00 2.508292e+05 1.990169e+01 -1.641268e-02 6.611705e-03
2.884029e-02 1.087913e+00 1.009194e+00 2.587404e+05 2.058510e+01 -1.707214e-02 6.493688e-03
2.951206e-02 9.281795e-01 1.013027e+00 1.857503e+05 1.406548e+01 -2.353686e-02 6.469846e-03
3.019948e-02 9.500230e-01 1.006935e+00 1.883503e+05 1.423100e+01 -5.060315e-03 6.225228e-03
3.090292e-02 9.709054e-01 1.007012e+00 1.909047e+05 1.473807e+01 -2.082974e-02 6.057382e-03
3.162274e-02 9.939740e-01 9.969164e-01 1.934505e+05 1.532407e+01 -1.380682e-02 5.823016e-03
3.235933e-02 1.016550e+00 1.011274e+00 2.010176e+05 1.633375e+01 -8.160174e-03 5.849838e-03
3.311307e-02 1.039758e+00 1.004023e+00 2.050190e+05 1.700857e+01 -1.404411e-02 5.694509e-03
3.388438e-02 1.064685e+00 1.013097e+00 2.112287e+05 1.748922e+01 -2.075088e-02 5.625010e-03
3.467364e-02 1.089336e+00 1.004086e+00 2.163431e+05 1.744338e+01 -1.052994e-02 5.445123e-03
3.548130e-02 8.938440e-01 1.009542e+00 1.420338e+05 1.135873e+01 -1.429063e-02 5.531669e-03
3.630776e-02 9.138051e-01 9.963822e-01 1.456709e+05 1.169455e+01 -2.483368e-02 5.351067e-03
3.715347e-02 9.348010e-01 1.011396e+00 1.503708e+05 1.204485e+01 -3.862959e-02 5.261898e-03
3.801889e-02 9.560297e-01 1.007153e+00 1.530172e+05 1.221323e+01 -1.803356e-02 5.126357e-03
3.890447e-02 9.783378e-01 1.011490e+00 1.549382e+05 1.234469e+01 -3.617966e-02 4.969120e-03
3.981066e-02 1.001476e+00 1.013318e+00 1.591666e+05 1.261080e+01 -4.081780e-02 4.913926e-03
4.073797e-02 1.024786e+00 1.004778e+00 1.648633e+05 1.304052e+01 -3.794813e-02 4.823804e-03
4.168688e-02 1.048563e+00 1.014778e+00 1.683718e+05 1.325188e+01 -3.973818e-02 4.694104e-03
4.265789e-02 1.073157e+00 1.000219e+00 1.677162e+05 1.324137e+01 -4.694766e-02 4.519463e-03
4.365152e-02 1.097718e+00 1.009109e+00 1.736581e+05 1.377199e+01 -4.812187e-02 4.431129e-03
4.466829e-02 1.122295e+00 1.000137e+00 1.759991e+05 1.397603e+01 -3.656060e-02 4.301429e-03
4.570875e-02 8.634023e-01 1.018072e+00 1.061957e+05 8.433461e+00 -6.702816e-02 4.596353e-03
4.677344e-02 8.824278e-01 1.014046e+00 1.061020e+05 8.487574e+00 -3.750086e-02 4.324198e-03
4.786294e-02 9.024734e-01 1.016833e+00 1.083671e+05 8.705935e+00 -3.866267e-02 4.160643e-03
4.897781e-02 9.230149e-01 1.017549e+00 1.111791e+05 8.866839e+00 -3.907639e-02 4.059434e-03
5.011865e-02 9.444874e-01 1.017666e+00 1.143077e+05 9.118941e+00 -4.893881e-02 4.043102e-03
5.128606e-02 9.661012e-01 1.016049e+00 1.165685e+05 9.250722e+00 -2.875918e-02 3.924131e-03
5.248066e-02 9.889262e-01 1.020244e+00 1.196901e+05 9.484043e+00 -2.440387e-02 3.827691e-03
5.370309e-02 1.011940e+00 1.017966e+00 1.215560e+05 9.597043e+00 -2.439857e-02 3.741026e-03
5.495400e-02 1.036135e+00 1.027258e+00 1.264837e+05 1.006432e+01 -3.695083e-02 3.703356e-03
5.623404e-02 1.060154e+00 1.016984e+00 1.281044e+05 1.025626e+01 -2.000415e-02 3.602505e-03
5.754390e-02 1.085095e+00 1.015038e+00 1.299165e+05 1.056948e+01 -2.208245e-02 3.503561e-03
5.888427e-02 1.109058e+00 1.015848e+00 1.338651e+05 1.085532e+01 -2.471614e-02 3.449440e-03
6.025586e-02 1.134774e+00 1.020752e+00 1.367979e+05 1.097692e+01 -3.922987e-02 3.368020e-03
6.165939e-02 1.161060e+00 1.018200e+00 1.392877e+05 1.112907e+01 -2.617019e-02 3.261209e-03
6.309562e-02 1.186095e+00 1.013650e+00 1.404370e+05 1.116090e+01 -1.570779e-02 3.123879e-03
6.456531e-02 8.146053e-01 1.018354e+00 6.651011e+04 5.223147e+00 -2.977508e-02 3.446698e-03
6.606922e-02 8.321727e-01 1.008549e+00 6.669838e+04 5.321982e+00 -5.154133e-03 3.270388e-03
6.760818e-02 8.506559e-01 1.006005e+00 6.741521e+04 5.414451e+00 1.292706e-03 3.105044e-03
6.918297e-02 8.699404e-01 1.010247e+00 6.883989e+04 5.629787e+00 -7.501423e-03 3.001451e-03
7.079445e-02 8.897941e-01 9.978398e-01 6.931188e+04 5.654775e+00 2.144098e-02 2.837896e-03
7.244346e-02 9.101210e-01 1.002935e+00 7.140324e+04 5.832074e+00 2.743137e-02 2.806067e-03
7.413089e-02 9.315160e-01 1.009995e+00 7.418057e+04 5.970538e+00 2.781868e-02 2.797365e-03
7.585761e-02 9.538047e-01 1.008491e+00 7.543199e+04 6.016693e+00 2.715230e-03 2.758622e-03
7.762456e-02 9.753934e-01 1.018133e+00 7.892412e+04 6.209908e+00 -2.678436e-02 2.731442e-03
7.943267e-02 9.977131e-01 1.000841e+00 7.939707e+04 6.222958e+00 -5.964875e-03 2.659202e-03
8.128289e-02 1.020938e+00 1.000464e+00 7.998080e+04 6.190809e+00 1.523829e-02 2.560139e-03
8.317621e-02 1.044348e+00 1.001679e+00 8.224796e+04 6.370654e+00 1.170254e-02 2.525330e-03
8.511363e-02 1.068726e+00 9.949816e-01 8.289252e+04 6.439727e+00 -3.228366e-03 2.478600e-03
8.709618e-02 1.093670e+00 9.997137e-01 8.593117e+04 6.827110e+00 9.734511e-03 2.419949e-03
8.912491e-02 1.119002e+00 1.011488e+00 8.904970e+04 7.110724e+00 1.624966e-02 2.437353e-03
9.120089e-02 1.145024e+00 1.015164e+00 9.128707e+04 7.392110e+00 4.559636e-03 2.369642e-03
9.332523e-02 1.171247e+00 1.008425e+00 9.202659e+04 7.318899e+00 2.709353e-02 2.289176e-03
9.549905e-02 1.197492e+00 1.001192e+00 9.385909e+04 7.482192e+00 1.924646e-02 2.249718e-03
9.772351e-02 1.224524e+00 1.004775e+00 9.752038e+04 7.819282e+00 1.883626e-03 2.229691e-03
9.999978e-02 1.252441e+00 9.948702e-01 9.920912e+04 7.884854e+00 6.444097e-03 2.149940e-03
1.023291e-01 1.279439e+00 1.003657e+00 1.017833e+05 8.131226e+00 -1.053464e-02 2.114177e-03
1.047126e-01 1.306339e+00 1.015259e+00 1.049263e+05 8.407837e+00 1.165628e-03 2.054095e-03
1.071517e-01 6.839947e-01 1.021349e+00 3.021296e+04 2.484568e+00 1.551116e-02 3.001809e-03
1.096476e-01 6.959270e-01 1.008851e+00 2.953327e+04 2.446052e+00 3.174865e-02 2.753019e-03
1.122016e-01 7.101686e-01 1.003523e+00 2.978896e+04 2.391303e+00 2.392328e-02 2.554178e-03
1.148151e-01 7.254139e-01 1.004726e+00 2.995703e+04 2.376342e+00 2.458096e-02 2.407908e-03
1.174895e-01 7.411372e-01 1.002530e+00 3.042991e+04 2.419792e+00 3.764188e-02 2.231359e-03
1.202262e-01 7.574348e-01 1.010481e+00 3.117157e+04 2.431887e+00 4.717422e-02 2.161622e-03
1.230266e-01 7.744514e-01 1.006113e+00 3.134537e+04 2.417404e+00 4.781759e-02 2.032518e-03
1.258922e-01 7.914203e-01 1.002329e+00 3.177275e+04 2.425999e+00 5.104673e-02 1.894712e-03
1.288246e-01 8.093104e-01 1.007687e+00 3.317369e+04 2.532792e+00 3.727484e-02 1.845002e-03
1.318253e-01 8.283370e-01 1.004567e+00 3.347353e+04 2.589769e+00 4.395127e-02 1.791358e-03
1.348960e-01 8.475309e-01 1.000976e+00 3.406137e+04 2.669506e+00 1.447594e-02 1.731396e-03
1.380381e-01 8.673062e-01 1.002161e+00 3.463014e+04 2.827865e+00 1.318359e-02 1.703978e-03
1.412534e-01 8.874479e-01 1.003232e+00 3.552762e+04 2.913331e+00 2.807546e-02 1.650810e-03
1.445436e-01 9.080501e-01 9.941779e-01 3.579402e+04 2.968399e+00 3.165615e-02 1.618862e-03
1.479105e-01 9.288794e-01 9.980908e-01 3.693014e+04 2.986065e+00 2.312469e-02 1.574874e-03
1.513557e-01 9.509610e-01 1.007835e+00 3.865130e+04 3.139172e+00 2.207661e-02 1.577020e-03
1.548813e-01 9.728416e-01 1.000157e+00 3.856389e+04 3.054183e+00 3.917968e-02 1.511931e-03
1.584889e-01 9.956031e-01 1.012206e+00 4.007252e+04 3.112116e+00 2.193487e-02 1.521587e-03
1.621806e-01 1.018840e+00 9.985371e-01 4.021149e+04 3.107978e+00 2.881908e-02 1.460433e-03
1.659582e-01 1.042493e+00 9.951789e-01 4.097580e+04 3.131851e+00 1.738095e-02 1.422882e-03
1.698239e-01 1.067042e+00 9.977923e-01 4.222114e+04 3.367400e+00 7.247806e-03 1.441121e-03
1.737796e-01 1.091887e+00 9.964887e-01 4.311069e+04 3.427243e+00 -1.081145e-02 1.383662e-03
1.778274e-01 1.117431e+00 9.934182e-01 4.409746e+04 3.539606e+00 -2.611780e-02 1.375675e-03
1.819696e-01 1.143389e+00 9.997213e-01 4.526010e+04 3.604541e+00 -1.552230e-02 1.355171e-03
1.862082e-01 1.169549e+00 9.988645e-01 4.619687e+04 3.648468e+00 1.351357e-03 1.326203e-03
1.905455e-01 1.196842e+00 9.937584e-01 4.696920e+04 3.758921e+00 1.291180e-02 1.306534e-03
1.949839e-01 1.224760e+00 9.898466e-01 4.764227e+04 3.842319e+00 2.273440e-03 1.283288e-03
1.995257e-01 1.253468e+00 1.002717e+00 4.927298e+04 3.916166e+00 5.764723e-03 1.290798e-03
2.041732e-01 1.282704e+00 9.905083e-01 5.010211e+04 3.949589e+00 -1.016355e-02 1.248598e-03
2.089290e-01 1.312433e+00 9.923306e-01 5.119753e+04 4.177499e+00 -1.061839e-02 1.200557e-03
2.137956e-01 1.342071e+00 9.880729e-01 5.214218e+04 4.320102e+00 -3.150594e-02 1.202703e-03
2.187755e-01 1.371773e+00 9.911046e-01 5.307598e+04 4.353206e+00 -2.241898e-02 1.169324e-03
2.238715e-01 1.402081e+00 9.992399e-01 5.494140e+04 4.271719e+00 -1.988810e-02 1.153469e-03
2.290861e-01 1.433643e+00 1.007949e+00 5.684831e+04 4.407319e+00 -3.441924e-02 1.145244e-03
2.344222e-01 1.464603e+00 1.001867e+00 5.749461e+04 4.352569e+00 -2.787983e-02 1.115799e-03
2.398826e-01 1.496271e+00 1.002917e+00 5.866975e+04 4.427054e+00 -5.217391e-02 1.063108e-03
2.454701e-01 1.528438e+00 1.007819e+00 6.027765e+04 4.707166e+00 -4.197258e-02 1.045823e-03
2.511879e-01 1.561574e+00 1.021917e+00 6.246458e+04 4.800113e+00 -4.909939e-02 1.041889e-03
2.570388e-01 1.595632e+00 1.019241e+00 6.355435e+04 5.272485e+00 -3.910840e-02 1.031041e-03
2.630260e-01 1.629769e+00 1.021387e+00 6.469056e+04 5.427183e+00 -3.974563e-02 1.001716e-03
2.691526e-01 1.664056e+00 1.023276e+00 6.581095e+04 5.536046e+00 -3.279114e-02 9.722710e-04
2.754220e-01 1.697496e+00 1.007346e+00 6.503029e+04 5.306862e+00 -1.889783e-02 9.217262e-04
2.818374e-01 1.731546e+00 1.013199e+00 6.646248e+04 5.411904e+00 -1.452988e-02 8.971691e-04
2.884022e-01 1.765891e+00 1.008352e+00 6.674587e+04 5.511217e+00 -1.373452e-02 8.670092e-04
2.951200e-01 1.798801e+00 9.965993e-01 6.659080e+04 5.462197e+00 -2.358663e-02 8.248091e-04
3.019942e-01 1.829938e+00 1.011614e+00 6.739812e+04 5.509307e+00 -2.128625e-02 8.203983e-04
3.090285e-01 1.855365e+00 1.009383e+00 6.730934e+04 5.453285e+00 -2.197373e-02 7.746220e-04
3.162267e-01 1.539591e+00 1.000894e+00 5.428465e+04 4.167313e+00 -9.892523e-03 8.146763e-04
3.235926e-01 1.301832e-01 1.002717e+00 5.195943e+03 4.235262e-01 8.446574e-03 3.211498e-03
3.311300e-01 9.057701e-02 9.840341e-01 3.518151e+03 2.789439e-01 -7.850885e-03 4.204154e-03
3.388430e-01 8.029426e-02 9.845749e-01 3.164371e+03 2.476053e-01 -3.824764e-02 4.984260e-03
3.467357e-01 7.360805e-02 9.920933e-01 2.925364e+03 2.294567e-01 -4.627824e-03 5.609393e-03
3.548122e-01 6.878840e-02 9.762992e-01 2.715091e+03 2.130786e-01 8.369684e-03 6.200314e-03
3.630768e-01 6.485686e-02 9.810082e-01 2.567681e+03 2.021790e-01 4.932880e-03 6.701708e-03
3.715340e-01 6.172959e-02 9.828336e-01 2.425347e+03 1.916250e-01 5.939722e-03 7.200360e-03
3.801881e-01 5.889918e-02 9.759170e-01 2.308023e+03 1.835293e-01 1.663709e-02 7.590413e-03
3.890438e-01 5.631586e-02 9.798599e-01 2.208696e+03 1.767266e-01 -8.302927e-05 7.949471e-03
3.981058e-01 5.429881e-02 9.665989e-01 2.063892e+03 1.655939e-01 -1.333225e-02 8.197665e-03
4.073789e-01 5.325759e-02 9.742997e-01 2.050447e+03 1.645413e-01 -3.295273e-02 8.608341e-03
4.168679e-01 5.048951e-02 9.850247e-01 1.996019e+03 1.602740e-01 -2.508968e-02 9.283304e-03
4.265780e-01 4.809479e-02 9.874083e-01 1.901256e+03 1.526172e-01 -2.623326e-02 9.729743e-03
4.365143e-01 4.771031e-02 9.933227e-01 1.896921e+03 1.522211e-01 -2.449083e-02 1.014733e-02
4.466820e-01 4.374298e-02 9.876534e-01 1.728222e+03 1.384959e-01 -4.910296e-02 1.062107e-02
4.570865e-01 4.474411e-02 9.808390e-01 1.754065e+03 1.406246e-01 -4.725063e-02 1.082623e-02
4.677334e-01 3.981683e-02 9.881470e-01 1.572481e+03 1.260849e-01 -3.811640e-02 1.147544e-02
4.786283e-01 4.054595e-02 9.916365e-01 1.609213e+03 1.289621e-01 -2.694827e-02 1.197183e-02
4.897770e-01 3.612443e-02 9.846881e-01 1.431548e+03 1.147339e-01 -1.063716e-02 1.247871e-02
5.011854e-01 3.507482e-02 1.008565e+00 1.428138e+03 1.143485e-01 -2.321255e-02 1.332736e-02
5.128595e-01 3.467542e-02 9.909885e-01 1.393363e+03 1.114958e-01 8.040667e-04 1.354563e-02
5.248055e-01 2.843117e-02 9.865444e-01 1.129758e+03 8.982835e-02 6.839633e-03 1.432383e-02
5.370297e-01 2.920780e-02 9.736282e-01 1.144733e+03 9.109755e-02 -4.839003e-03 1.452672e-02
5.495388e-01 2.564338e-02 9.654824e-01 1.004586e+03 7.989360e-02 2.000892e-02 1.527190e-02
5.623392e-01 2.037559e-02 9.714190e-01 8.093272e+02 6.443941e-02 2.117074e-02 1.630068e-02
5.754377e-01 2.086555e-02 9.797403e-01 8.431404e+02 6.709702e-02 4.254854e-02 1.681685e-02
5.888414e-01 1.666285e-02 9.899536e-01 6.848510e+02 5.455292e-02 4.763746e-02 1.761806e-02
6.025573e-01 9.529967e-03 9.510207e-01 3.891000e+02 3.093836e-02 -2.143115e-02 1.763451e-02
6.165926e-01 9.428914e-03 9.653708e-01 3.941734e+02 3.134027e-02 -1.224709e-02 1.841974e-02
6.309550e-01 8.780416e-03 9.600411e-01 3.648834e+02 2.901656e-02 9.019017e-03 1.841295e-02
6.456518e-01 2.556448e-03 8.284200e-01 1.051544e+02 8.368541e-03 3.247273e-02 1.300180e-02
6.606910e-01 1.966606e-03 7.892905e-01 8.132983e+01 6.473110e-03 4.775047e-02 1.231742e-02
6.760805e-01 1.734472e-03 7.795897e-01 7.392029e+01 5.882671e-03 1.177735e-01 1.205730e-02
6.918284e-01 1.520954e-03 7.615856e-01 6.549329e+01 5.211724e-03 1.102240e-01 1.166165e-02
7.079431e-01 1.328639e-03 7.478135e-01 5.866306e+01 4.668147e-03 1.226159e-01 1.147544e-02
7.244333e-01 1.160039e-03 7.175478e-01 5.197578e+01 4.136129e-03 1.395266e-01 1.095247e-02
7.413075e-01 1.017311e-03 7.012168e-01 4.800757e+01 3.820487e-03 2.140663e-01 1.102459e-02
7.585748e-01 8.283129e-04 6.527253e-01 3.950237e+01 3.144317e-03 2.536075e-01 1.022625e-02
7.762442e-01 7.713575e-04 6.411760e-01 3.714240e+01 2.956797e-03 2.041128e-01 1.009595e-02
7.943253e-01 5.825759e-04 5.870935e-01 3.036518e+01 2.416767e-03 2.944624e-01 9.369969e-03
8.128275e-01 4.758811e-04 5.387150e-01 2.590050e+01 2.061462e-03 2.334292e-01 8.876920e-03
8.317607e-01 4.448003e-04 5.193887e-01 2.473609e+01 1.968838e-03 3.092884e-01 8.702397e-03
8.511349e-01 2.697982e-04 4.055992e-01 1.779476e+01 1.416252e-03 3.387935e-01 7.524729e-03
8.709604e-01 2.285604e-04 3.717298e-01 1.640572e+01 1.305640e-03 3.973355e-01 7.213712e-03
8.912476e-01 1.901800e-04 3.379183e-01 1.518000e+01 1.208067e-03 4.169580e-01 7.069826e-03
9.120075e-01 7.822089e-05 1.796108e-01 1.056710e+01 8.408962e-04 2.167863e-01 5.930901e-03
9.332508e-01 7.477911e-05 1.667770e-01 1.039453e+01 8.271704e-04 2.031993e-01 5.894899e-03
9.549890e-01 5.276317e-05 1.277861e-01 9.595925e+00 7.636022e-04 1.489522e-01 5.571246e-03
9.772336e-01 3.748712e-05 9.516029e-02 8.967992e+00 7.136504e-04 5.467045e-02 5.330563e-03
9.999962e-01 2.997934e-05 7.795232e-02 8.688481e+00 6.914106e-04 -3.975093e-03 5.205750e-03
1.023289e+00 2.424346e-05 6.350432e-02 8.423295e+00 6.703035e-04 -3.720289e-02 5.076766e-03
1.047125e+00 2.060390e-05 5.545063e-02 8.401571e+00 6.685561e-04 -7.142091e-02 4.936099e-03
1.071515e+00 1.761552e-05 4.918369e-02 8.233394e+00 6.551798e-04 -2.861232e-02 4.806519e-03
1.096474e+00 1.227090e-05 3.639574e-02 8.034462e+00 6.393596e-04 -1.057672e-01 4.645944e-03
1.122014e+00 8.646935e-06 2.209537e-02 7.808390e+00 6.213619e-04 -1.620375e-01 4.534960e-03
1.148149e+00 4.804153e-06 1.647399e-02 7.733928e+00 6.154506e-04 -1.788592e-01 4.375100e-03
1.174893e+00 3.543730e-06 1.069313e-02 7.622196e+00 6.065598e-04 -1.973249e-01 4.259467e-03
1.202260e+00 1.419119e-06 4.134987e-03 7.551831e+00 6.009521e-04 -2.184057e-01 4.145026e-03
1.230264e+00 1.068081e-06 2.488357e-03 7.532802e+00 5.994455e-04 -2.325258e-01 4.015684e-03
1.258921e+00 8.485456e-07 6.606827e-04 7.500319e+00 5.968614e-04 -2.314188e-01 3.946662e-03
1.288245e+00 9.714890e-07 2.700991e-03 7.504747e+00 5.972157e-04 -2.206914e-01 3.868461e-03
1.318252e+00 9.716576e-07 4.074431e-03 7.544213e+00 6.003528e-04 -2.246901e-01 3.799081e-03
1.348958e+00 1.404953e-06 3.454861e-03 7.560810e+00 6.016636e-04 -2.255844e-01 3.734827e-03
1.380379e+00 7.952954e-07 2.008598e-03 7.462432e+00 5.938314e-04 -2.188944e-01 3.680229e-03
1.412532e+00 3.391484e-07 1.461454e-03 7.498431e+00 5.967133e-04 -2.306172e-01 3.568172e-03
1.445434e+00 1.037851e-06 2.940988e-03 7.551696e+00 6.009241e-04 -2.332835e-01 3.521442e-03
1.479103e+00 1.097046e-06 2.605655e-03 7.539660e+00 5.999819e-04 -2.375461e-01 3.443003e-03
1.513556e+00 3.864960e-07 6.580905e-04 7.497138e+00 5.965992e-04 -2.369143e-01 3.337264e-03
1.548811e+00 3.233799e-08 -2.520783e-04 7.551710e+00 6.009455e-04 -2.547727e-01 3.275156e-03
1.584887e+00 -3.908386e-08 -3.831354e-05 7.462047e+00 5.938067e-04 -2.336985e-01 3.159761e-03
1.621804e+00 -1.174202e-07 -2.644390e-04 7.511071e+00 5.977111e-04 -2.455853e-01 3.142834e-03
1.659581e+00 1.998463e-08 -2.824589e-05 7.510348e+00 5.976468e-04 -2.451267e-01 3.065109e-03
1.698237e+00 7.589099e-09 3.766453e-04 7.563531e+00 6.018954e-04 -2.567768e-01 3.013134e-03
1.737795e+00 6.644678e-08 2.137633e-04 7.485398e+00 5.956590e-04 -2.389731e-01 2.953172e-03
1.778273e+00 -5.000373e-08 3.215226e-04 7.519323e+00 5.983517e-04 -2.467719e-01 2.839088e-03
1.819694e+00 8.626276e-08 -2.648129e-04 7.477180e+00 5.950033e-04 -2.380530e-01 2.792597e-03
