#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-3:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=0 --skew=0.0 --distribution=d>> comp_d_l:-3:3:300:1_1.0_0.0333333333333_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-03 9.977049e-01 1.002396e+00 6.274376e+06 4.991977e+02 1.911724e-02 1.783559e-01
1.047128e-03 9.907576e-01 9.944653e-01 5.961982e+06 4.746611e+02 2.668953e-02 1.713157e-01
1.096478e-03 9.949598e-01 9.947197e-01 5.720520e+06 4.544590e+02 -8.736610e-03 1.626042e-01
1.148153e-03 9.984543e-01 1.004556e+00 5.459752e+06 4.345016e+02 3.422225e-02 1.559441e-01
1.202264e-03 9.965752e-01 1.005665e+00 5.265784e+06 4.200735e+02 3.941190e-02 1.512657e-01
1.258925e-03 9.913061e-01 1.000856e+00 4.998181e+06 3.981302e+02 6.307876e-02 1.437062e-01
1.318256e-03 1.001186e+00 1.003917e+00 4.857038e+06 3.858447e+02 4.428184e-02 1.368577e-01
1.380384e-03 9.950712e-01 1.006942e+00 4.653726e+06 3.707212e+02 6.357062e-02 1.328945e-01
1.445439e-03 9.985307e-01 1.006492e+00 4.443245e+06 3.546924e+02 9.747624e-02 1.268349e-01
1.513561e-03 1.005060e+00 1.012249e+00 4.332850e+06 3.450129e+02 6.812632e-02 1.207827e-01
1.584893e-03 9.965889e-01 1.023071e+00 4.170953e+06 3.321703e+02 7.610559e-02 1.184121e-01
1.659586e-03 1.001675e+00 1.012692e+00 3.976511e+06 3.164312e+02 4.965425e-02 1.120980e-01
1.737800e-03 1.010001e+00 1.022561e+00 3.834041e+06 3.045824e+02 3.813374e-02 1.062725e-01
1.819700e-03 9.971881e-01 1.027535e+00 3.641878e+06 2.898708e+02 4.345381e-02 1.037942e-01
1.905460e-03 1.002951e+00 1.019693e+00 3.496199e+06 2.787987e+02 6.783938e-02 9.784317e-02
1.995261e-03 9.999326e-01 1.022840e+00 3.360651e+06 2.671148e+02 4.912615e-02 9.514570e-02
2.089295e-03 9.960002e-01 1.010407e+00 3.111596e+06 2.483167e+02 5.614662e-02 8.918452e-02
2.187760e-03 1.005369e+00 1.021407e+00 3.084457e+06 2.461382e+02 4.200697e-02 8.657062e-02
2.290866e-03 9.963597e-01 1.015179e+00 2.894118e+06 2.304789e+02 3.445101e-02 8.270264e-02
2.398831e-03 9.957774e-01 1.011978e+00 2.723415e+06 2.170218e+02 -9.303570e-03 7.767701e-02
2.511884e-03 1.001553e+00 9.952505e-01 2.566934e+06 2.042983e+02 -1.693928e-02 7.226396e-02
2.630266e-03 1.014654e+00 1.001799e+00 2.549928e+06 2.004292e+02 -3.372198e-02 7.043898e-02
2.754226e-03 1.010336e+00 1.003073e+00 2.415821e+06 1.923836e+02 4.392385e-03 6.705999e-02
2.884028e-03 9.998070e-01 1.006529e+00 2.287540e+06 1.828502e+02 -2.103418e-02 6.523740e-02
3.019948e-03 1.007833e+00 1.006747e+00 2.212738e+06 1.758083e+02 -3.262681e-02 6.229961e-02
3.162274e-03 9.973938e-01 1.006133e+00 2.046031e+06 1.631889e+02 -4.813266e-02 5.848062e-02
3.311307e-03 1.002410e+00 1.001935e+00 1.966228e+06 1.562376e+02 -1.999599e-02 5.538082e-02
3.467364e-03 1.002500e+00 9.995308e-01 1.885222e+06 1.484629e+02 -1.614094e-04 5.344963e-02
3.630776e-03 1.008365e+00 1.000224e+00 1.794522e+06 1.428205e+02 -3.209352e-03 5.025613e-02
3.801889e-03 1.008442e+00 1.000403e+00 1.722120e+06 1.380710e+02 1.483798e-03 4.842746e-02
3.981066e-03 1.002394e+00 1.009880e+00 1.647955e+06 1.308963e+02 -1.507282e-03 4.700279e-02
4.168688e-03 9.967679e-01 1.006093e+00 1.553473e+06 1.236634e+02 -2.601373e-02 4.507625e-02
4.365152e-03 9.881903e-01 1.007540e+00 1.439399e+06 1.140495e+02 -1.397860e-02 4.229343e-02
4.570875e-03 1.007857e+00 1.004708e+00 1.417522e+06 1.131264e+02 -3.466350e-02 3.996396e-02
4.786294e-03 9.913166e-01 9.949504e-01 1.301249e+06 1.038266e+02 -1.095825e-02 3.779507e-02
5.011864e-03 1.010490e+00 9.966612e-01 1.289154e+06 1.025216e+02 -8.567691e-03 3.631210e-02
5.248067e-03 9.910687e-01 9.827847e-01 1.163546e+06 9.253937e+01 -2.827531e-02 3.412902e-02
5.495400e-03 9.976605e-01 9.836067e-01 1.125416e+06 8.949442e+01 4.369259e-03 3.268957e-02
5.754390e-03 1.008688e+00 9.950479e-01 1.115171e+06 9.041846e+01 -1.274264e-02 3.131545e-02
6.025585e-03 9.846937e-01 9.954897e-01 9.971971e+05 7.934637e+01 -1.295412e-02 2.956438e-02
