#./overdamped_3d --dev=0 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:1:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=e>> comp_e_l:-2:1:300:1_1.0_0.0333333333333_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 9.993758e-01 1.008774e+00 1.274483e+06 1.015087e+02 3.773510e-02 1.067456e-01
1.023293e-02 9.995812e-01 1.005392e+00 1.234013e+06 9.820210e+01 2.366352e-02 1.038580e-01
1.047129e-02 1.000540e+00 1.008564e+00 1.220759e+06 9.713258e+01 3.786349e-02 1.021223e-01
1.071519e-02 9.995683e-01 1.007101e+00 1.189807e+06 9.472615e+01 1.990104e-02 9.956110e-02
1.096478e-02 9.995767e-01 1.013091e+00 1.173253e+06 9.342013e+01 -6.994605e-03 9.730542e-02
1.122018e-02 1.000342e+00 1.011292e+00 1.160479e+06 9.238880e+01 -1.153433e-02 9.513211e-02
1.148153e-02 9.987746e-01 1.017004e+00 1.131750e+06 9.009921e+01 1.648128e-02 9.373856e-02
1.174897e-02 9.995870e-01 1.012610e+00 1.111723e+06 8.846754e+01 1.495194e-02 9.209132e-02
1.202264e-02 1.000373e+00 1.014722e+00 1.086614e+06 8.656055e+01 1.858759e-02 8.924496e-02
1.230269e-02 9.993595e-01 1.017615e+00 1.054769e+06 8.397874e+01 3.029883e-02 8.746767e-02
1.258925e-02 9.988731e-01 1.019085e+00 1.032730e+06 8.220925e+01 1.596653e-02 8.549428e-02
1.288249e-02 9.996127e-01 1.017100e+00 1.011832e+06 8.055850e+01 4.752398e-03 8.390820e-02
1.318256e-02 9.994333e-01 1.003285e+00 9.685718e+05 7.709720e+01 1.748133e-02 8.076608e-02
1.348963e-02 1.000695e+00 1.005351e+00 9.541588e+05 7.594778e+01 -4.443347e-03 7.970858e-02
1.380384e-02 9.993366e-01 1.007504e+00 9.175821e+05 7.306771e+01 3.868341e-03 7.591665e-02
1.412537e-02 1.000144e+00 1.004694e+00 8.915841e+05 7.095190e+01 1.136601e-02 7.492316e-02
1.445439e-02 9.992556e-01 1.008717e+00 8.824689e+05 7.022170e+01 5.719900e-03 7.414091e-02
1.479108e-02 9.988227e-01 1.002676e+00 8.482082e+05 6.755077e+01 4.382133e-04 7.100379e-02
1.513561e-02 9.991266e-01 1.008731e+00 8.293524e+05 6.599359e+01 1.502907e-02 6.938803e-02
1.548816e-02 9.994257e-01 1.012233e+00 8.163470e+05 6.498328e+01 1.087177e-02 6.819355e-02
1.584893e-02 9.993544e-01 1.012138e+00 8.053779e+05 6.415854e+01 1.424491e-02 6.765389e-02
1.621809e-02 9.990183e-01 1.008066e+00 7.791531e+05 6.203350e+01 -1.044643e-02 6.492710e-02
1.659586e-02 9.991043e-01 1.003580e+00 7.684734e+05 6.118425e+01 -2.397060e-03 6.354773e-02
1.698243e-02 9.992791e-01 1.015179e+00 7.525861e+05 5.995239e+01 -1.377815e-02 6.311834e-02
1.737800e-02 1.000067e+00 1.012825e+00 7.372673e+05 5.866483e+01 2.635837e-03 6.167018e-02
1.778278e-02 9.990630e-01 1.016740e+00 7.233666e+05 5.762587e+01 4.283190e-03 6.069338e-02
